Ayssi comensan las paraulas de Albucasim .	Thus they begin with the words of Albucasim.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if it appears that the stomach of the patient is weakened and their food is not digested, and their face is often discolored, then cauterize that area on the stomach with a large cautery as previously described; and with one cautery on the liver, and with another cautery on the middle of the back with a keyed cautery, and let the cautery stay for some time open, and carefully treat the inside so that it may be healed.
Capitol .xxxv.	Chapter 95.
De cauterizacio de atheyl aprop la abscizio de lor.	Of the cauterization of the thigh near the abscession of the groin.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you dissect the thigh, then ignite the cautery that is assembled in a line.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then insert the ignited thing into the dissected thigh, and with your hand inside guide it so that the cautery reaches the opening of the vein from which the blood flows.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And make there a remedy or two, for if the humors are excessive, then cauterize each of them according to what has been recounted, and properly cure those with it that contribute to the healing of the joints.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you cauterize with a large cautery on the shoulder blade, it is more harmful in young people.
Capitol .xxxvi.	Chapter 36.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	Of the cauterization of fistulas that are made in the rectum, in the lower parts of the body.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When the rectum does not obey the work that we have recommended in its place, and the patient is frightened by it, then heal it with a cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	Therefore when someone has a fistula in the rectum, and it is old and corrupted, with rotten blood and corrupt humidity, then that which is most worthy to be covered is what proceeds from it with subtle thread, and then feel the quantity of its depth with the aforementioned thread at the front.
Aprop igneys le cauteri que es semblant a ray.	Then apply the cautery that resembles a razor.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And then insert the ignited cautery into this fistula, and according to the quantity in which the thread is inserted.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And repeat the cautery on that area until the corrupted body parts are burned, one, two or three times, according to the quantity of your need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	Be cautious of combustion of nerves and veins; or if a fistula goes to the body of the bladder or to the body of the intestine, then beware of all those places; and do not do this unless the fistula is in a fleshy location and you think that it is not penetrating.
E aprop cura le loc entro que sia sanat.	And then heal the place where it was injured.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the place is sealed, and its matters are separated from it, and it rests thus for a long time, then you will know that it has been cured entirely.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the matters are not removed from it, then you will know that it is penetrating or in the press of its bone corrupted, or this comes from those causes which will bring recollection to their place.
Capitol .xxxvii.	Chapter 37.
De cauterizacio dels ronhos.	Of the cauterization of the kidneys.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in the kidneys there is pain due to cold or due to great abundance, and thus the cotyle of the patient is constricted, then it is fitting that you cauterize over the kidneys with a cautery on each kidney with a sharp-pointed cautery, by which the recollection will be pressed.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And strengthen the cautery on the second with a small hold, so that three linear cauteries will come, and thus they will serve as more recent aids in healing.
Capitol .xxxviii.	Chapter 38.
De cauterizacio de la vesica.	On the cauterization of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When weakness and softening occur in the bladder due to cold and humidity, so that the patient cannot retain urine, then cauterize that area and place a dressing on the bladder, where the skin of the perineum begins, and cauterize with a cautery on the right side of it, and with another on the left side.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And let the length of each cautery be according to the quantity of nodes on the foot; and cauterize that area with a cautery in the lowest part of the back, or with two cauteries if it is necessary.
E sia cauteri clavilh segon que es procesit.	And let the cautery be applied to the hip bone as needed.
Capitol .xxxix.	Chapter 39.
De cauterizacio de la mayra.	On the cauterization of the uterus.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When cold and humidity come to the uterus, and because of this conception is prohibited, and the menses of it are corrupted, and the flow of them is delayed, and pain occurs in the abdomen, then it is necessary that the area be cauterized with three cauteries around the navel, as we have said regarding the bladder; and with a cautery on the lowest part of the back, or with two cauteries, and let the cautery be applied to the hip bone.
Capitol .xl.	Chapter forty.
De cauterizacio de la dislocacio de l’anqua.	On the cauterization of the dislocation of the ankle.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When moist humors accumulate at the ankle joint, and are the cause of the swelling in that place, it is a sign that one thigh is longer than the other when compared between them.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the place of the dislocation is found in which way it is bent.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Therefore, you should cauterize the patient on the ankle joint with a circular cautery, because you will have felt with your hand in the circuit of the joint as it is turned, and so that the joint falls in the middle place of the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And let this cautery be of the type which follows the form in the cauterization of the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this cautery is not at your disposal, then cauterize with three irons and an olive-shaped cautery.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And let the cautery be made according to the quantity of the thickness of the entire cord; and take care that which enters is healed.
Capitol .xli.	Chapter forty-one.
De cauterizacio de la vena sciatica.	On the cauterization of the sciatic vein.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain occurs in the ankle joint, and it is caused by cold and humidity, the patient is treated with what we have said before and it does not help, and this is ancient, therefore you should treat the patient with gross humors with fetid or artificial plasters; and then cauterize.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	The handling of the cautery in this case is according to two methods: either a cautery with burning medicines or a cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	It will be according to two scientific methods, of which one is that it cauterizes the area on the side of the patient with three triangular cauteries, in this form; and do so with good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And let the space between each cautery be the amount of the thickness of the finger, and if the olive or grain-sized cautery.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	More often the cautery is placed on the middle location on the head of the ankle for which there are four cauteries.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you want, cauterize with the circle in which the form is previously described in the cautery of the dislocation of the ankle, that the circle be continent and burn the stiffness of the entire cod.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the method of cautery in cases where pain is adhering to the ankle and is not extended into the thigh.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	But if it is extended into the thigh, then cauterize with two cauteries on the thigh at the location where you find the patient who has the pain; and with one cautery on the hip, a little below the pubic area.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if the cautery cuts, then its depth should be according to the quantity of the spasm of the tendon.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the patient complains that the pain is extended to the area proper to the toes of the feet, then cauterize that place where it hurts with a cautery for three points or four or more if indicated by that.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the patient complains of pain being in the knee towards the thigh, then cauterize that place with a sharp-pointed cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And beware in all cauterization that you do not touch with the cautery so as to harm a nerve or a large artery, and that because of this you cause evil to the patient, an inconvenient or contraction.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And I have already seen one and another of those whom I have cauterized on the hip and finished with the cauterization, and the leg became swollen within which the tumor reached the foot, and it became perforated and corrupted the whole foot.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And then follows a strong flux of belly, and then comes death.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two parts at the same time, cauterize each one according to this method.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And the wise men say in the cauterization of this cautery, that the method is: make a figure like a circle of iron, whose circumference is the size of a palm; and let it be hollow according to the thickness of a date stone or a little finger.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And let that circle be another thumb; and let the space be the amount of the knot of the foot; and let those circles be divided into two parts; and let the length of those chains be a knot or two knots, and make in their margin a decently dressed iron in the circles; and this is the shape of it:
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Then let it be ignited in the fire until it wraps and sparks, and then place it on the affected part of the ankle, the patient lying on their side.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And thus cauterize that wound with three cauteries applied in a single occasion.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And then leave it for three days; then plaster that wound with paste and leave the open wound for many days; and thus cure it with ointment until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Says Albucasis: Oh, sons, of this type of cautery we have made little use due to fear of its management, and because we have found few that take care of it.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	Worse than the cauteries is he who suffers them, and it is even worse for him in the place where it is applied.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	A worse cauterization in medicine is that you make two circles having an armula with a perforation in which the iron hook of the door would fit; let the length of the partition be on the narrowness of them, being two knots or chains those.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space which exists between each of the quantities of the thickness of the said thing; and they are opened underneath and above, and they contain themselves between them according to this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And then stop on the part of the ill person's flank, and press your hand on the part of the flank; and take warm water and put it between two cloths, and the quality of that should be with a small fire, a little at a time, and apply that for the quantity of an hour, and let the patient suffer the biting and adjustment of it — because that burning bites like fire — until the biting stops.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then lift your hand with the instrument and wipe away the warm water from all the flank with cold water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And then let it be for three days and stop on that bandage until the blackness of the adjusted wound is cleaned, and let it be for several days, and beware of its putrefaction; this is necessary in treatment.
E aprop cura aquel am enguentz entro que sia sanat.	And then heal it with an ointment until it is healthy.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain extends to the thigh or the leg, make a plaster for it that contains water according to what is done in the aforementioned ointment.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the method of hot water, and I have already written about it in the treatise on the correction of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe for alkaline and non-extinguished lime, take a part of it, divide it into three, and put it in a new pot, from which the part will be perforated by a small hole, according to the quantity that enters into the container.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And put the bottom of one pot into another covered pot, and pour over that alkaline and living lime sweet water which takes those with a finger, and once you have compressed them well with your hand for good compression, and release the pot that separates the sharp water from the part in the covered pot.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then adjust all that water, and pour it over another living lime and other renewed alkaline, because that water will then be strongly acidic, which is administered in many operations of medicine and in cauterization of the other members, for the operation makes a burning.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And of medicines some are those with which it is cauterized, such as vitriol and honey and lime mixed together with soap, so that they are mixed.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Galen recounts of one of the ancients the operation and the cure with which is cured pain of water and of vein sciatica, and magnifies much to be of that, and says that there is no need for another cure, and that it is healed by a single glance, just as he recommends, because the man went into a bath and was already healthy before that.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is that a plaster of vert is applied, and if no vert is found, then a recent figua is applied; and the mixture is triturated with a few grains and placed on the ankle where the pain is, or on the thigh, or on the leg, and is tied.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And it should be left for a duration of three hours or for the amount of time that the patient feels relief from the adjustment.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And then put him in a bath and when his body is sweating, rub him on the ground, for the pain ceases and it is healed.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	And be aware that it's not suitable to use a cautery with these medicines, but rather the evacuation of the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	Moreover, Escorides said that when the strict vein of the goat is cauterized, it benefits him; and let the cautery be done in this manner: take a wool and dip it in ancient oil, and place it between the toes of the foot and between the fingers.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And then take dry goat's fat and melt it in fire until it becomes charcoal; and put it on the wool and squeeze it in so that it is absorbed.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And then repeat this, and do not stop doing it until the sensation of the biting reaches the water and relieves the pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	And this manner of cautery is called cow's cautery.
Capitol .xlii.	Chapter 42.
De cauterizacio de dolor de dos.	On the cauterization of pain of teeth.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some pains in the back are due to many causes, such as a fall or a blow or excessive evacuation, and for similar reasons, from an infusion of humid and cold matter.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cautery is not applied except in this single case, which is made by an effusion of cold matter.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Therefore, apply evacuation to the patient with warmed pills and similar to them, which are made on the back where the pain is, three lines according to the latitude of it, putting seven or eight cauteries in each line, according to the quantity that is seen from the tolerance of the patient and the virtue of it.
E sia fayta cauterizacio am cauteri de punt.	And let a cautery be made with a pointed cautery.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you want, cauterize with three cauteries or with four with the middle clavicle cautery in this manner:
Capitol .xliii.	Chapter 43.
De cauterizacio al comensament de gilbositat.	On the cauterization at the beginning of gibbosity.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Many times this sickness appears in small children; and the sign of the beginning of it in children is that they have a stiff structure in their legs, with elevation and restricted movement.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And we attack in the upper part of the spine and the nodes of the patient that have already started to protrude over the other vertebrae.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And then when you see this and want to prohibit it, then cauterize that part with a cautery that is circular in shape according to this form:
que prengua le cauteri sobre tota partida del spondilh engualment.	which takes the cautery on the entire affected part of the vertebrae.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you want, cauterize around the vertebrae with a pointed cautery two or three lines.
E sian les puntz propdas entre lor.	And let the points be properly spaced between them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	And then heal the place within which has been sanitized with what we have said.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	But beware that cautery is not administered in yellowness that is made by spasm of nerves.
Capitol .xliv.	Chapter 44.
De cauterizacio de podagra e de dolor de juncturas.	Of the cauterization of gout and of joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And then how gout is cured from cold cause with manual cure and the pains are not alleviated, then they are alleviated by cautery.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And it is that you should cauterize with evacuation of the circuit of the joint of the foot with heated cauteries.
E sia cauteri olivar del qual aquesta es la forma de lu:	And be an olive-shaped cauter, which is the form of this:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it is necessary to make points on the surface of the foot, then do so with a pointed cauter.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	And if the pains rise into the teeth or to the other joints, and this hot iron reaches the end, then cauterize that area on each tooth with three or four cauteries of the entire partition with this olive-shaped cauter.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	And if many cauteries are needed so that these cauteries are necessary to you, then cauterize and do not press your hand too much with the cauter before, it being only surrounding the specificity of the cordon.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	And if the pains rise into the tooth and the two, then administer the cauter that we have spoken of in the sixth chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	And if the pains are only in the hands, and it is called gout, then prick in the circuit of the veins thus as they turn, prick on those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	And if there remains pain in the fingers, then prick in the circuit of the veins over each knot and over the joint of the hand.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	And if the pains push close to the joints or the muscles, then cauterize all the parts of the helpers.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	And do not evacuate the patient of good regimen and reception of medicines, for if good regimen is done and the flux is evacuated with this cautery, it will be healthy, God helping.
Capitol .xlv.	Chapter 44.
De cauterizacio de rompeduras.	Of the cauterization of fractures.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When a fracture occurs in the limbs and intestines protrude from the wound, and this is a common beginning, then command the patient to leave their food for that day and to use gentle laxatives so that the wound of their belly may be evacuated.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	And then follow the patient with your hands on their back, and command them to hold their arms inside so that the intestines or the wound are not protruding outward.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	And then return to the thighs of the patient and examine the rupture on the bone of the pelvis with a sign that shows the extremity of which is similar to the majority of circle at the upper divided parts of the body.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	And then apply the cautery, the shape of which is this:
entro que sia mot rog e gete cintilhas.	Into the area where there is a lot of movement and sweating, tie bandages.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	Then return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	And you have already opened the space between the patient's thighs, and placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	And then cauterize the area with your hand holding the cautery upright, and in that place where you feel the bone of the patient's ankle in the middle of the joint; and if you did not succeed with the first attempt, try again.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	And be careful with the movement of the intestine during the time of your cauterization, so that you do not harm it, lest the patient suffer death or some other great evil.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	And know that when you have the cautery, if you do not touch the bone, your operation will not be successful.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	And it is fitting that the cautery for children be subtle according to their size and measure.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	And then treat the area of the cautery for three days with a poultice until the scar is formed by the heat.
E aprop cura aquel am les autres enguentz entro que sia sanat.	And then treat that one with the other ointments until it is healed.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	And let the patient sit on the seat for forty days until the place and the wound are sealed.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	And give that one nourishment according to the length of time of their treatment, which will cleanse the belly of theirs, and so that the intestine does not come out due to the effort of straining.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And then when it is time to get up, administer a gentle decent treatment, and keep that one for another forty days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	And let it be spared from work and from abundance of food and drink, and from violent vomiting, for when one uses this regimen of complete healing they will be healed.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And we will describe the treatment of ruptures in other parts of the belly, and so from the beginning, and you want that they not protrude, then cauterize the rupture of that one with a heated cautery according to its quantity, and let it be that which is exuded from the coding, thus as the third part of it; and then treat that one with what we have said, and it will not be out of place.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	And we have already said that some first rupture should be cauterized with a triangular cautery according to this form, because it is done with a tent.
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	And it is customary to make a line with the cautery along the width of the wound, and another line on the bottom; and place your hand with a clavical cautery, but the first cautery is put more lightly and better.
Capitol .xlvi.	Chapter 46.
De cauterizacio de torcio.	On the cauterization of the throat.
