Ayssi comensan las paraulas de Albucasim .	Thus they begin with the teachings of Albucasim.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	The handling of the cautery in this case is according to two methods: either with a medicinal cautery that burns, or with a cautery by fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	It will be according to two scientific methods, of which one is that it cauterizes the area on the patient's groin with three triangular cauteries in this shape; and do so to a good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And let the space that is between each cautery be the amount of the thickness of the finger, and if the olive or grain sized cautery.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	More often it is seen that the cautery is on the middle place on the head of the ankle for which there are four cauteries.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you want, cauterize with the circle in which the shape is predetermined for the cauterization of the dislocation of the ankle, that the circle be continuous and burn the entire thickness of the tendon.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the method of cautery for sciatica when pain is adhering to the ankle and is not extended into the thigh.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	More often if it is extended into the thigh, then cauterize with two cauteries on the thigh in the place where you encircle the patient who has the pain; and with one cautery on the hip a little below the vertical part.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if the cautery is cut, then its depth should be according to the quantity of the spiciness of the cord.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the patient complains that the pain has spread to the area near the toes of the feet, then cauterize that spot with a cautery for three points or four or more if indicated by that.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the patient complains of pain being on the back of the thigh near the hip, then cauterize that spot with a sharp-pointed cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And beware in all cauterization that you do not touch with the cautery any nerve or large artery, and that by this you do no harm to the patient, either ill occurrence or contraction.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	I have already seen and visited another of those who were cauterized on the hip and ended in cauterization, and the leg became swollen until the tumor reached the foot, and it was perforated and corrupted the entire foot.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	Then there follows a violent purging of the belly, and then comes death.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two parts at the same time, cauterize each one according to this method.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	They say that the wise men in cauterization of any cautery, of which this is the method: make it similar to a circle of iron, of which the circumference is the size of a palm; and let its orifice be according to the thickness of a finger bone or a little less.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And let that circle be another third; and let the space be which is between them the quantity of the knot of the foot; and let those circles be divided into two parts; and let the length of those chains be a knot or two knots, and make in that margin of iron decently apparelled with rings; and this is the form of it:
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Then put fire near the focus so that it ignites and sparks, and then place it on the affected part of the ankle, the patient lying on their side.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And thus cauterize it with three cauterizers arranged in a row.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And then leave it for three days; then plaster it with a poultice and leave the wound open for many days; and then cure it with an ointment until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Albucasis says: Oh, sons, of this species of cautery we have made little use because of the fear of the care of it, and because we have found few who take care regarding it.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	It is better for the evil to be cauterized where they are suffered, and to apply it to that place.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	It is better to cauterize with medicinal adhesives that you make two circles having an armula perforated in which there is a iron hook; the length of the bandage on the nausea of them being two knots or four, those.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space which exists between each of the quantity of the thickness of the said thing; and let them be opened above and below, and let them contain themselves within them according to this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And then pause on the part of the ill person's shoulder, and press your hand on the part of the shoulder; and take hot water and put it between two cloths, and let the quality of that be near the small fire little by little, and apply that for the quantity of an hour, and let the patient suffer the biting and adjustment of it — for that biting is like fire — until the biting ceases.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then lift your hand with the instrument and remove the hot water from all of the area with cold water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And then let it be for three days and pause on that treatment until the blackness of the adjusted wound is removed, and let it be for several days, and cleanse its purulence; this is the last in treatment.
E aprop cura aquel am enguentz entro que sia sanat.	And then heal it with an ointment until it is healthy.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain extends to the thigh or leg, make a statue for it that contains water according to what is done in the warm bath.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	This is the method of hot water, and I have already written about it in the treatise on the correction of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe for alkaline and non-extinguished lime of both parts one, and grind them and pause in a new bowl of which the part is perforated by a small hole, according to the quantity that enters into it.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And pour the bottom of one bowl into another enveloping bowl, and throw upon that alkaline and living lime sweet water which takes those in a finger, and once you compress them with your hand for good compression, and release the hole that separates the sharp water from the part in the enveloping bowl.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then adjust all that water, and throw it on another living lime and other renewed alkaline, because that then will be of very strong sharpness, which is administered in many operations of medicine and in cauterization of the other members, for an operation that generates heat.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And of the medicines some are those with which it is cauterized, like thus tezizic and honey and lime mixed with soap so that they are mixed.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Gualia recounts from one of the ancients the operation and the cure with which is cured pain of water and of vein sciatica, and magnifies much to be of that, and says that there is no need for another cure, and that it is healed by a single glance, just as recommended, because the fort holds the bath and already has said that it will go away from that.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is that a certain green herb be taken, and if the green herb is not found, a fresh fig be taken; and the herb be crushed with a few grains and be placed on the ankle where the pain is, or on the thigh, or on the leg, and be tied.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And let it be left for a duration of three hours or for the amount of time that the patient feels relief from the adjustment.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And then put him in a bath and when his body is warmed up, apply to the ground, for the pain ceases and it is healed.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	And be aware that it's not suitable to use cautery with these medicines except for the evacuation of the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	Moreover, it is said by Escorides that when the vena stretica vein of the goat is cauterized, relief will be brought to him; and let the cautery be applied in this manner: take a woolen thread and soak it in old oil, and place it between the toes of the foot and between the metatarsal bones.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And then take dry goat's wool and inflate it with fire until it becomes charcoal; and place it on the thread and burn it until it is constricted.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And then repeat this, and do not stop doing it until the sensation of the burning reaches the ankle and relieves the pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	And this method of cautery is called cow's cautery.
Capitol .xlii.	Chapter 42.
De cauterizacio de dolor de dos.	On the cauterization of toothache.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some times pain in the back is caused by various reasons, such as a fall or a blow or excessive evacuation, and for similar causes, due to the infusion of humid and cold matter.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cautery is not applied except in this single case, which is made by the infusion of cold matter.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Then apply, with evacuation of the patient, warm pills similar to them, which are placed on the back where the pain is, three lines according to the width of it, and in each line seven or eight cauteries, according to the quantity that is seen of the tolerance of the patient and of their virtue.
E sia fayta cauterizacio am cauteri de punt.	And let a cauterization be made with a pointed cautery.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you want, cauterize with three cauteries or four with a key-shaped median cautery in this form:
Capitol .xliii.	Chapter 43.
De cauterizacio al comensament de gilbositat.	On the cauterization for the beginning of paralysis.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Many times it happens that this illness attacks small children; and the sign of the beginning of it in the children is that they stumble upon their feet, due to lack of elevation and movement.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	We are targeting the uppermost vertebrae in the spine and the nodes of the patient that have begun to protrude beyond the other vertebrae.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And so when you see this and want to prohibit it, then cauterize that part with a cautery that is circular in shape according to this form:
que prengua le cauteri sobre tota partida del spondilh engualment.	that the cautery takes hold of the entire affected portion of the vertebra, including the adjacent area.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you wish, cauterize around the circumference of the vertebra with a pointed cautery two or three lines.
E sian les puntz propdas entre lor.	And let the points made be properly spaced between them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	Then carefully treat the area within which it is healed with what we have just said.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	But beware that cautery should not be administered in inflammation caused by nerve spasm.
Capitol .xliv.	Chapter 44.
De cauterizacio de podagra e de dolor de juncturas.	Of the cauterization of gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And thus how gout of cold cause is cured with the hand of cure and the pains are not alleviated, then they are alleviated by cautery.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And it is that you should cauterize the evacuation on the joint of the foot with a heated iron.
E sia cauteri olivar del qual aquesta es la forma de lu:	And let the olive-shaped cautery be the form of it:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	And if the pains increase in the teeth or other joints, and this hot iron is applied to it, then cauterize each tooth with three irons or four of all parts with this olive-shaped cautery.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	And if many cauteries are needed so that these cauteries are necessary to you, then cauterize and do not press your hand too much on the cautery beforehand, but only envelop the vicinity of the coding.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	And if the pains increase in the tooth and the two, then administer the cautery which we have spoken of in the sixth chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	And if the pains are only in the hands, and it is called gout, then prick on the circuit of the ankles thus as they turn, prick on those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	And if there remains pain in the fingers, then prick on the circuit of the ankles over each knot and over the joint of the hand.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	And if pains push close to the joints or the muscles, then cauterize all of them throughout the entire affected area.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	And not evacuate the patient of good regimen and reception of medicines, for if good regimen is done and the flux is evacuated with this cautery it will be healthy, God helping.
Capitol .xlv.	Chapter 44.
De cauterizacio de rompeduras.	Of the cauterization of fractures.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When there is a fracture in the limbs and intestines are coming out through the wound, and this is what begins to happen nearby, then it is advisable that you order the patient to stop eating for that day and to use soothing remedies so that the wound of their swollen belly may heal.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	And then follow the patient with your hands on their back, and command them to hold their arms inside so that the wound is not touched or the flesh or the intestines protrude.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	And then return to the aforementioned place and apply a bandage on the rupture of the bone of the pelvis with signs indicating the extremity, which seems like the majority of circles around the divided parts of the body.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	And then apply the cautery in the shape of this:
entro que sia mot rog e gete cintilhas.	Into that which is moved by red and yellow bile.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	And then return the intestine or hernia to its cavity, and place your hand over the area so that the intestine does not protrude.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	And you have already opened the space between the patient's thighs, and placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	And then apply the cautery on that spot with your hand, holding the cautery straight, and insert that into where you have inserted the bone of the instrument into the middle of the thigh; and try again in another way if you did not succeed in the first attempt to insert the bone.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	And observe carefully the movement of the intestine during the time of your cauterization, so that you do not harm the intestine, lest the patient suffer death or some other great evil.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	And know that when you have the cautery, if you do not touch the bone, your operation is not effective.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	And it is fitting that the cautery for children be subtle according to their size and measure.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	And then treat the place of the cautery for three days with a warm poultice until the scar is formed by the heat.
E aprop cura aquel am les autres enguentz entro que sia sanat.	And then treat that one with other ointments until it is healed.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	And let the patient sit on their behind for forty days until the place and the wound are sealed.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	And take care that you give the patient nourishment according to the length of time of their treatment, which will cleanse the stomach of the patient, and that the intestine does not come out due to the effort of vomiting.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And then when it is time to get up, after forty days, administer a moderate and decent enema, and keep the patient in bed for another forty days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	And let them be spared from work and from excess of food and drink, and from violent vomiting, for when one uses this regimen of complete healing they will be healed.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And I will tell you about the treatment of ruptures in other parts of the stomach, and so on, and do not hesitate, then cauterize the rupture with a red-hot cautery according to its quantity, and let that be extracted from the body as the third part of it; and then treat that one with what we have said before, and it will be adjusted.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	And I have already said to some first that the rupture should be cauterized with a triangular cautery in this form, because it is touched with a probe:
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	And it is customary to make a line where the pain is located in the width of the area above the rupture, and another line below; and place your hand with a key-shaped cautery, but the first cautery is better and more gentle.
Capitol .xlvi.	Chapter 46.
De cauterizacio de torcio.	On the cauterization of the torso.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	When pain occurs in some members due to a blow or a violent impact and the pain persists for a long time and does not respond to treatment with medicines, then it is advisable to cauterize with a pointed cautery.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	And the size of the cautery should be for each member according to its greatness and smallness, and its strength and weakness, and location of the torso and pain of it.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	Therefore, if it is healed by the first cautery, that's good; and if not, then apply another one to it; for it is customary with these pains that they be punctured in the member near to the one where the pain is, so that it is necessary to repeat the cauteries until the patient is healed.
Capitol .xlvii.	Chapter 47.
De cauterizacio de lepra.	On the cauterization of leprosy.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	Lepers are sometimes treated with a cautery for great benefit, especially if the type of leprosy is caused by putrefaction of phlegm and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	And so if you want to cauterize that person, consider if the leprosy is contagious and if it has been treated with what we have said in the division and not denied, nor this, and fear for the patient that the corruption will comprehend the entire body of theirs and the entire complexity of it, then cauterize that person on the head with 5 cauteries: one in the middle of the head, and another at the back of theirs, placing the front to the end of the hair; and two on the horns; and one behind, on the nape or neck.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	And finally, put your hand on the cautery a little inside so that it presses on the bone a small impression, and from there will be displaced the organs, so that the exhalation of gross vapors is alleviated for them; and cauterize on the middle as it is prescribed.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	And if the leprosy has already spread over the patient and appears manifestly, then it is necessary that you cauterize that person with those cauteries which we have mentioned on the head; and with a cautery on the extremity of the nose, and two cauteries on the two maxillaries, and two cauteries on two vertebrae of the neck, and six cauteries on the vertebrae of the back, and one large one near the coccyx, and one on the coccyx, and two on the hips, and one on each hip, and two on the knees and one on each knee, and two on the elbows, and two on the muscles, and two on the tendons of the sixth rib; and cauterize that person on all the joints of the limbs and feet, and on each heel of their feet, and on the soles of their feet.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	Watch out for the nerves that are on the sole of the foot so that you don't damage them.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	And some times it is cauterized with a cautery on the bone of the knee and with another on the mouth of the stomach, and another on the liver.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	And know that the more you adjust the cauteries, the more they are helpful and effective; and know that the patient does not have pain from the cautery, unlike their usual state, because the body of the patient is already numb.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	And it is fitting that the cauteries are large or small according to the limbs and the joints, as it is predetermined by the species of the iron instruments.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	And then treat the cautery with flour of dried roses mixed with honey and with another cure, so that it is healed.
Capitol .xlviii.	Chapter 48.
De cauterizacio de stupor.	Of the cauterization of numbness.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	When a limb is numb or fallen asleep and is treated with medicines, oils, and plasters, and is not healed, then you cauterize that numb limb with cauteries according to the size of the limb or its smallness.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	And let the cautery enter the depth of the skin a little.
E aprop cura aquel am enguent entro que sia sanat.	And then treat that wound with an ointment that will heal it.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	And some times the area is cauterized where there is numbness which extends to the hands and feet, and the vertebrae of the back and it affects the nervous system which damages that member, and the numbness is alleviated.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	But do not press on that except for one who is skilled in the anatomy of the members and the pathway of the nerves throughout the whole moving body.
Capitol .xlix.	Chapter 49.
De cauterizacio de albaras que es morfea.	On the cauterization of ulcers that cause mortification.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	When an ulcer is old and does not respond to the remedies of medicine, then you cauterize it with a cautery iron taking a little according to the quantity of the specificity of the code that is inside, until the whiteness and the color of it are restored, and its color is changed.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	And then treat that wound with flour of oats and of lentils mixed with rose oil and with leaves of arnagrossa, and with blood of pigeon or blood of dove, each one a portion and all mixed together, and then wrap it in a cloth and place it on the area until it is healed.
Capitol .l.	Chapter 50.
De cauterizacio de cranc.	Of cauterization of cancer.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When cancer is beginning and you want to treat it, then cauterize it with a circular cautery around the circumference of the affected area as it is turned.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	And I say that the wise ones should be cauterized with the last cautery in the middle place; but to me it is not seen as such, because I fear that it will be ulcerated, and I have already seen this several times.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it is better to cauterize around the circumference with a circular cautery as we have said, or with many small cauteries.
Capitol .li.	Chapter 51.
De cauterizacio de adubilati.	Of the cauterization of hemorrhoids.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When some hemorrhoids are delayed in maturation, and this is due to the excess of feces that cause it, or because of the patient's age, for they are old and decrepit, with little blood, or because of the time, and you want to hasten the maturation of the hemorrhoids; then cauterize around the circumference with many small cauteries making small punctures; and immediately apply a poultice so that it will accelerate the maturation.
