Ayssi comensan las paraulas de Albucasim .	Thus they begin to recite the words of Albucasim.
E si indigeyses de addicio, lahoras cauteriza aquel en tot latz de la coa del huel sobre la extremitat del sobrecilh am petit cauteri.	If the case requires it, then cauterize that entire area of the heel on the extremity of the eyebrow with a small cautery.
Capitol .xiiii.	Chapter 14.
De cauterizacio de fetor de nas.	On the cauterization of foul odor of the nose.
Quan tu medicas aquel am aquo que havem dit en la divisio e no aprofieyta la tua medicacio, lahoras tu aparelha e dona en beure al malaute las cochias per tres noytz; e aprop ras le cap de lu, e cauteriza le am cauteri migier am cauteri olivar.	When you treat that with the remedy we have mentioned in the division and do not press your treatment, then prepare it and give to drink to the patient the decoctions for three nights; and rub the head of the patient, and cauterize it with a middle-sized cautery or an olive tree cautery.
E aprop cauteriza aquel am cauteri clavelh am dos cauteris sobre les dos sobrecilhs dejos les cabels un petit.	And then cauterize that area with a small nail-shaped cautery or two cauteries above the two eyebrows, leaving a small amount of hair.
E guarda te de la arceria que no incindas aquela.	And beware of the acidity that you do not inflame it.
E del cauteri clavilh aquesta es la forma.	And this is the shape of the nail-shaped cautery.
Capitol .xv.	Chapter 15.
De cauteri de mollificacio de palpebras dels huels.	On the cauterization for softening of the eyelids of the heels.
Quan la palpebra del huel es mollificada per malautia o per humiditat, lahoras cauteriza aquela palpebre1 am un cauteri am aquest cauteri lunar; e aquesta es la forma de lu:	When the eyelid of the heel is softened by illness or humidity, then cauterize that eyelid with a cautery or with this lunar-shaped cautery; and this is its shape:
E si vos, cauteriza aquel sobre les dos sobrecils un petit am dos cauteris en tota partida, e sian elonguatz de las timporas.	And if you do, cauterize that above the two eyebrows a little with two cauteries on the entire partition, and let them be elongated from the temples.
E sia la longitut de quascun cauteri segon la quantitat del sobrecil.	And let the length of each cautery be according to the quantity of the swelling.
E no premas trop la tua ma am le cauteri, mays segon la quantitat que la tersa partida de la palpebre sia adhurida.	And do not press your hand too much with the cautery, but rather according to the quantity that the third part of the eyelid is irritated.
Capitol .xvi.	Chapter sixteen.
De cauteri de la palpebre del huel quan les pels so convertitz a las partidas dedintz e punho le huel.	Of the cautery of the eyelid of the eye when the skin is converted to the inner parts and the eye is punctured.
Quan les pels del huel son convertitz a las partidas dedintz ayssi que pungo le huel, cauteri en aquels es segon dos manieyras, quar cauteri o es am fer o es am medicina comburent.	When the skin of the eye is converted to the inner parts so that it punctures the eye, then cautery is done in two ways, either with iron or with medicinal applications.
Si am cauteri de lu am foc, comanda al malaute denant aquo que leyse les sieus pels ayssi cum aquels les quals les mundan, entro que sian prolonguatz e engualhatz; e si punho aquel deves le lor naysement, lahoras tu strenh les huels de lu am una benda per so que no sia maugut entro que·ls pels sian nascutz.	If you apply the cautery with fire to the patient, command them beforehand that they should lift their skin like those who are about to be treated, until they are lengthened and widened; and if the needle is piercing too deeply, then tie the eyes of the patient with a bandage so that it is not moved until the skin is grown.
Donc cum siran nascutz e engualhatz, lahoras pausa le cap del malaute en le tieu se, e aprop senha sobre la palpebre dels huels de lu am tenta, am senhal le qual sia segon la figura de fulha de merta, e sia le comensament del senhal prop dels pels.	Then when they are grown and widened, place the head of the patient on your thigh, and apply a sign above the eyelid of their eyes with a thread, which is shaped like a fig leaf, and let this signal be close to the skin.
E aprop pausa coto enbegut en album de huou o en mucillatge de ptilli sobre le huel.	And then stop putting cotton in the wound or in the poultice of pitch on the ulcer.
E aprop igneys le cauteri del qual aquesta es la forma de lu.	And then apply the cautery of which this is the shape.
E aprop cauteriza sobre la figura la qual as senhada, petit a petit, em motas veguadas, entro que sia comburida la superficia de la codena la qual es ayssi cum fuelha de mirta, tota aparent propriament.	And then cauterize on the figure that has been designed, little by little, in small burned spots, until the surface of the quiver is completely burnt, which appears like a fig tree leaf, clearly apparent.
E senhal de sanetat de la tieua obra es que tu vegus la palpebre de l’huel ja esser contrayta e·ls pels de lu esser elevatz deves la punctura del huel.	Signal of sanity of the present work is that you see the eyelid of the eye already being contracted and the skin of it being elevated due to the puncture of the eye.
E donc eleva la tua ma e laysa aquel per tres jorns, e aprop pausa sobre lu coto am boder entro que sia eredicada la scara.	And then raise your hand and leave it there for three days, and then put on the wound a bandage until the scar is formed.
E aprop cura aquela am enguent entro que sia sanat.	And then heal that with an ointment until it is healed.
Mays si retorna per les pels alcuna causa aprop lor naysement e la palpebra es mollificada, lahoras fay autra vetz le cauteri sobre aquel tot ayssi cum avias fayt primieyrament.	But if it returns through the skin for some reason, then apply another treatment and the eyelid is softened, then do another time the cautery on that one just as you had done previously.
Mays si les pels so en la palpebra dejos, lahoras cauterisa aquela entro que sia elevada al sieu loc natural e sia engualhat e que les pels no punhan le huelh.	But if the skin grows on the eyelid, then cauterize it until it is elevated to its own natural place and is evened out so that the skin does not touch the eye.
Mays le cauteri am medicina comburent aquest es que comandes al malaute que leyse les pels entro que sian prolonguatz e engualhatz, e aprop sia fayta de carta de drap la forma de fuelha de mirtra.	Put the cautery in medicine to burn and this is what commands the patient to raise their skin while they are prolonged and narrowed, and then make a paper of cloth in the shape of a miter's funnel.
E aprop pren de sabo conogut e de caus viva ana unc. i, o quays aquo, e aprop mescle3 aquelas causas be, e fay aquo am festinacio per so que no sia enfregidat; e aprop expandeys de aquo sobre la carta la qual es fayta ayssi cum forma de fulha de mirtra, e pausa aquel sobre la un huel od amdos; e pausa dejos le huel coto enbegut en album de huou, e el cap del malaute sia en le tieu se.	And then take soap made from congealed and living snake, or what is called aqua, and mix those things together, and make a paste to prevent it from being cold; and then spread that paste on the paper which is made in the shape of a miter's funnel, and apply that to one of the soles of the feet; and apply the heel wrapped in a poultice of warm water, and let the patient's head be in a raised position.
E pausa le dit sobre le medicina e prem aquela un petit e no la mauguas entro que lo malaute senta la mordicacio de la medicina, quar mordicacio es en lu ayssi cum de foc.	And then put the finger on the medicine and press it a little and not on the veins so that the patient feels the biting of the medicine, because this biting is in him like fire.
E donc cum percevera aquo que el atrobo mordicacio, lahoras leyssa la medicina e mau aquela am le tieu dit; donc cum cessa la mordicacio, lahoras remau la medicina he lava le huel am aygua; e lahoras considera si vezes la palpebra ja es levada ayssi cum es lavada deves la costriccio am foc o am incisio, quar lahoras esta be; e si no torna sobre aquela de la medicina sobre le loc en le qual no ha empremut la medicina e no se denigra entro que sia engualhada la tua operacio e sia contrayt le huel.	And then when he perceives that the medicine has a biting sensation, then raise the medicine and put it on the upper finger; then when the biting stops, then remove the medicine and wash the heel with water; and then consider if the swelling is already lifted like something washed of constriction by fire or incision, because this is good; and if it does not return to that place where the medicine was applied and does not diminish until the operation is completed and the heel is contracted.
E aprop pausa sobre lu coto am boder entro que sia eradicada la codena de la adhustio, e aprop cura aquel am enguent deafinicon o am autre entro que sia sanat.	And then pause on the patient's back to ensure that the stiffness of the adjustment is eradicated, and treat that area with a soothing ointment or another entrance so that it may be healed.
E es necessari a tu, deves la tua operacio que guardes am pervigil diligencia que en le huel no caia re de la medicina, e si la palpebre aprop alscus dias es mollificada e alcuna causa dels pels punh en le huel, lahoras itera la tua medicina sobre aquel loc le qual de la palpebre es mollificat, e propriamen ayssi quo as fayt al comensament, e aprop enaviro lu entro que sia sanat.	And it is necessary for you, that you must guard your operation with vigilant diligence so that no part of the medicine falls into the eye, and if the eyelid is softened in some days and some cause of the skin pinches in the eye, then apply your medicine to that area where the eyelid is softened, and properly as it was done at the beginning, and apply a dressing to ensure that it may be healed.
E aquesta es la forma de fuelha de mirtra.	And this is the form of application of the plaster.
E sapias que les huels dels homes son diversificatz segon la magnitut e la parvitat, e donc segon aquo es fayta la tua contraccio.	And you should know that the eyes of men are diversified according to size and smallness, and thus your contraction is made accordingly.
E no sira amaguada la via de rectetut ad aquel al qual es studi en aquesta art.	And let not be hidden the way of rectitude to he who has studied in this art.
Capitol .xvii.	Chapter 18.
De cauterizacio de fistula que es en le lacrimal de l’huel.	Of cauterization of the fistula that is in the tear duct of the eye.
Quan tu curas fistula am aquo que havem dit en las divisios de las malautias e no confereys la tua curacio, lahoras cove que tu cauterizas aquela segon aquesta manieyra: comanda al malaute que pause le cap sieu en le tieu se, e tengua le cap de lu alcun ministre entre las tieuas mas en tal manieyra que no sia maugut ni agitat am le sieu cap.	When you treat a fistula with the method that we have discussed in the divisions of illnesses and do not confirm your treatment, then it is necessary that you cauterize it in this manner: command the patient to pause with their head held back, and hold the head of the patient by some servant between the hands in such a way that it may not be moved nor agitated with the head.
E aprop pausa coto enfus en album de huou o en mucellage de ptilli sobre le huel de lu.	And then pause to put cotton or a poultice of warm water on the wound of the patient.
E aprop igneys le cauteri del qual aquesta es la forma:	And then prepare the cautery in the shape that this is:
le qual sia conquau, ayssi cum es forma de cana o de pena de voltor, de la una extremitat am la qual es fayta lo cauteri.	which should be concave, such as the shape of a reed or a dove's wing, on one extremity where the cautery is made.
E si voys, sia penetrant entro a la autra extremitat.	And if it happens, let it penetrate into the other extremity.
E si vols sia sort ayssi cum tenta.	And if you want, let it come out like a probe.
Mays empero aquel que es concau es milhor a la tieua obra.	But I prefer that which is concave to be better for the whole work.
E aprop prem la fistula si es uberta, e tra de lu sania et exsicca aquela.	And then press the fistula if it is open, and pull out from it blood and dry it.
E si no es uberta, lahoras obre aquela e extratz la poyredura de lu.	And if it is not open, then apply to it and extract the pus from it.
E aprop pausa sobre lu le cauteri le qual sia be ignit, e te am aquel la tieua ma un petit deves le cauteri del huel a la partida del nas, per so que no erre la tua ma o le malaute sia enquietat, e lahoras pausa le cauteri en le grays del huel e corrompas aquel.	And then pause on it the cautery which should be well ignited, and give to that one the whole hand except a little below the cautery from the wound to the separation of the nose, so that not the hand or the patient is disturbed, and then pause the cautery in the depth of the wound and cauterize it.
E donc si al comensament del tieu cauteri perve entro al os, bo es; e sino, lahoras itera le cauteri una veguada o dos, si mestiers era; e layssa aquel ayssi per tres jorns, e aprop pausa sobre aquel coto am boder e enviro lu am enguent exsiccatiu entro que sia sanat.	And thus if at the beginning of applying the cautery you see it enter into the bone, it is good; and if not, then repeat the cautery one or two times, if necessary; and let it be like that for three days, and then pause on that wound with a bandage and wrap it with unguent exsiccative until it is healed.
Mays si eran passatz xi dias e no es sanat, lahoras pausa sobre lu medicina aguda corrosiva entro que l’os sia descubert e sia ras segon que conveneys en le sieu capitol.	More pain will be if it has passed eleven days and it's not healed, then pause on the medicine of sharp corrosive until the bone is uncovered and scraped according to what is convenient in the sixth chapter.
E es autra manieyra de cauteri de fistula la qual alscus primiers diysero: enten al loc de la fistula e fen aquela e aprop pausa en aquela fissura camaen subtil del qual es la forma de lu: E fon en aquela la quantitat de i unc de plom fundut; e te la tua ma am camaem am bona retencio, e no sia maugut le malaute per so que le plom fundut no pervengua al huel de aquel; e cove que pausas sobre le huel del malaute coto enfus en album de huou o en aygua, quar plom adhureys le loc de la fistula e sana aquela per sanacio meravilhora.	And there's another way of cauterizing a fistula, which the first doctors described: put it in the place of the fistula and make a hole and return to the narrow passage with subtlety, of which is the form of it: And put in it the quantity of one ounce of melted lead; and hold your hand with it with good retention, and do not move the patient so that the melted lead does not penetrate to the inside of that; and cover what you put on the inside of the patient with cotton soaked in white of egg or in water, because lead adheres to the place of the fistula and heals it by marvelous healing.
E si la fistula es sanada am aquo que havem dit del cauteri e de la curacio, bo es; e sino, lahoras es necessari aministrar trauc del nas e reduzir la fistula al cors del nas segon que vindra en son loc propri.	And if the fistula is healed with what we have said about cauterizing and of the cure, it's good; and if not, then it's necessary to administer a tube through the nose and return the fistula to the body of the nose according to how it will come into its proper place.
Capitol .xviii.	Chapter 18.
De cauterizacio de la fendedura des potz.	Of the cauterization of the swelling of the feet.
Motas veguadas accideysso fissuras en las labias, e majorment en las labias dels enfantz.	Many times seen are ulcers in the lips, and mainly in the lips of infants.
Donc cum tu curas aquelas fissuras am aquo que nos havem dit en las divisios e no aprofieyta la tua cura, lahoras igneys le cauteri petit cutellar segon aquesta forma que s’ensiec:	Therefore, when you treat those fissures with the method that we have discussed in the divisions and do not deepen your treatment, then apply the small cutting cautery according to this form that is taught:
E sia la conquavitat de lu segon la subtilitat de cotella.	And let the convergence of it be according to the subtlety of the cut.
Aprop pausa aquel init cuytadament en aquelas fissuras entro que·l cauteri pervengua al preon de las fissuras.	Then carefully place that instrument in those fissures until the cautery reaches the bottom of the fissures.
E aprop cura aquel am cerotz entro que sia sanat.	And then treat it with wax until it is healed.
Capitol .xix.	Chapter 19.
De cauterizacio de fistula en la boca.	On the cauterization of a fistula in the mouth.
Quan en la razit de uvula o en le paladar o en las razitz de las dentz endeve apostema e aprop fa brac, e aprop es rompuda, e aprop es antiquada, e corr brac e es fayta fistula, e aprop tu curas aquela e no aprofieyta a curacio, lahoras cove que tu igniscas cauteri segon la quantitat que sia receubuda en la fistula, e aprop met aquel ignit en le trauc de la fistola, e te la tua ma entro que pervengua le ferr ignit al preon de lu, e al derier de lu fazen aysso una veguada o dos; e aprop cura aquel am aquo que nos havem dit de la curacio entro que sia sanat.	When in the root of the uvula or in the palate or in the roots of the teeth there appears an apostema, and then it is broken, and then it is antiquated, and a fistula is made, and you treat that one and do not deepen your treatment, then take care that you apply cautery according to the quantity that has been received in the fistula, and then put that applied thing in the hole of the fistula, and hold your hand so that the iron thing reaches the bottom of it, and afterwards make a dressing, one or two; and then treat it with the method that we have discussed regarding treatment until it is healed.
E donc si la sania es abscindita e es sanat, bo es; e sino, lahoras es necessari de descubrir le loc e hostar le os corrumput segon que vindra en son capitol.	And thus if the blood is separated and purified, it is good; and if not, then it is necessary to discover the place and remove the corrupted bone according to what is described in its chapter.
Capitol .xx.	Chapter 20.
De cauterisacio de las dentz e de mollificacio de las angivas.	On the cauterization of the teeth and the softening of the gums.
Quan las angivas son mollificadas per humiditat e las dentz son maugudas, e curas aquelas am medicinas e no confereys, lahoras pausa le cap del malaute en le tieu se, e aprop igneys le cauteri la forma del qual vindra aprop aysso, enayssi que tu pauses la quanula sobre la dent e entromet en aquela le cauteri ignit festinantment, e te la tieua ma un petit entro que·l malaute cente la calor del foc a la razit de la dent esser pervenguda.	When the gums are softened by moisture and the teeth are decayed, and you treat them with medicines and not with confectons, then place the patient's head in a sling, and take a cautery in the shape of which will be described later, so that you place the swab on the tooth and introduce into it the ignited cautery, gently and slowly, and make a small hole so that the patient feels the heat of the fire at the root of the tooth to be penetrated.
E aprop leva la tua ma, e aprop itera le cauteri alcunas veguadas segon que vols.	And then lift your hand, and apply the cautery repeatedly as needed.
E aprop le malaute huompla la sua boca de aygua de sal e tengua aquela per una hora, e pueys stupa aquela, quar la dent mauguda es fermada e la gengiva mollificada es strenguda e la humiditat corrompuda es exsiccada.	And then let the patient rinse their mouth with salt water and hold it for an hour, and afterwards spit it out, because the decayed tooth is strengthened and the softened gum is tightened and the corrupted moisture is dried out.
Capitol .xxi.	Chapter 21.
De cauterisacio de dolor de dent.	On the cauterization of toothache.
Quan dolor de dent es per fregiditat, o en lu es freg o verm, o no comfereys la curacio am medicina, lahoras cauteri en aquela es segon dos manieyras: o cauteri am boder de vacas, o cauteri am foc.	When pain in the tooth is caused by cold or heat, or if the verm or worm does not respond to medical treatment, then a cautery is applied according to two methods: either a cautery with a hot iron or a cautery with a burning coal.
Cauteri am boder es que tu prenguas boder de vacas e bulhas aquel en culhe de ferr , e aprop pren coto e envolopa le sobre la extremitat de la tenta, e aprop enmergeys aquel am boder bulhit, e pausa aquel sobre la dent dolorosa festinantment entro que sia enfregidat.	Cautery with a hot iron is that you take a hot iron rod and burn it in a coal fire, and then wrap the iron in cloth and apply it to the affected area, and then dip the iron in boiling water, and place it on the painful tooth, applying it gently until it becomes cold.
E aprop itera aquela alcunas veguadas entro que la vertut del foc pervengua a la razit de la dentz.	And then repeat this process several times until the virtue of the heat penetrates to the root of the tooth.
E si voys, submergeys lana o coto en le boder desus dit, e pausa aquel sobre la dent dolent, e pausa sobre aquel ferr ignit entro que·l ferr pervengua al preon de la conquavitat de la dent.	And if you wish, submerge a thread or cloth in the hot iron mentioned earlier, and place it on the painful tooth, and place the hot iron over it until the iron penetrates to the depth of the tooth's cavity.
Mays empero la cauterizacio am foc es que tu atendas a la quannula de eram o de ferr, e sia en le cor de lu alcuna grocesa e la acuitat del foc no pervengua a la boca del malaute.	But beware of the cautery with fire that you pay attention to the size of the iron or rod, and it should be in the core of some thickness so the sharpness of the heat does not reach the mouth of the patient.
E aprop igneys le cauteri la forma del qual vindra, e pausa aquel sobre la dent e te la tua ma entro que·l cauteri sia enfregidat; e fay aquo alcunas veguadas quar la dolor sira remauguda o en aquel dia o en l’autre dia.	And then ignite the cautery in the form that you want, and place it on the tooth and hold your hand there until the cautery becomes cold; and do this several times a day, either on that day or on the following days, until the pain is alleviated.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	And it is necessary that the patient should put their mouth on the good opening of the cautery and hold it for an hour and then remove it; this is the shape of the cautery.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	And cauterize to the extent that you can, according to what is possible for you.
E aquesta es la forma de la cannula:	And this is the shape of the cannula:
Capitol .xxii.	Chapter 22.
De cauterizacio de extrophulos.	Of the cauterization of excesscences or tumors.
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When excesscences are of phlegm and cold humors and are not obedient to digestion by medicines and you wish to digest those lightly, then you ignite the cautery in the form of which this is the following, having two extremities covered so that the smoke of the cautery goes through the other extremity, and place that ignited thing on that apostema for a while, and another time if it is necessary for that one, until it penetrates to the bottom of the apostema.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	And if the apostema is small, then place the cautery according to the quantity of the apostema, and remove it after three days and place on the wound a dressing in good order until what the fire has burnt is restored.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	And treat that one with ointments and bandages and dressings until it is healed.
E la forma de la cannula o deu cauteri a tal es comveyter.	The shape of the cannula or of the cautery is such that it conveys. 
Capitol .xxiii.	Chapter twenty-three.
De cauterizacio de rauquiera de votz e de constriccio de ale.	Of cauterization of the throat and constriction of the spleen or alternatively,  Of cauterization of the region of the voice and of the constriction.
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	When humidity comes into the channel of the lung, and especially when it is mixed with coldness of temperament, then it is advisable that the patient be evacuated at the beginning with laxative medicines, and then cauterize the vein at the root of the throat in the affected place.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	And beware that you do not touch the throat with the cautery nor burn the cartilage of it except a little.
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	And cauterize it with another cautery on the joint of the neck at the last vertebra of it.
E·l cauteri de lu sia clavilh sego la maniera precedent.	And his cautery be done in the same manner as previously mentioned.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	And then heal it with that which has been previously stated, until it is healthy.
Capitol .xxiiii.	Chapter twenty-four.
De cauterizacio de malautia del pulmo e de tos.	Of the cauterization of sickness of the lung and of cough.
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	When cough and lung sickness are from cold humidities and the patient has no fever nor wasting, and it is an old sickness, then cauterize it with two cauteries on the furcula in the affected places on the arms and shoulders; and with another cautery in the middle of the chest between the two breasts; and let the cautery be done according to the previous method.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	And if you want, then your cauterization should be done with a cautery that is called a point, the shape of which precedes in the treatment of ear pain.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	And make points between the sides to those; and then heal that which is treated before it becomes healthy again.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And you should have the cautery having three hooks because cauterization is done in that way: in one session you can make three cauteries according to this method:
Capitol .xxv.	Chapter 25.
De cauterizacio de titillic que es le cap del ajutori.	Of cauterization of the nipple which is the tip of the helper or assistant ( possibly referring to a part of a medical tool or the body part that assists in a procedure, likely the
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the tip of the helper is dislocated due to causes of lubricating humidity and is not held firm at the time of its return, you must return its dislocation before it becomes customary to return, and then with a small movement it is displaced so that it goes in, as we have testified, when we primarily reduce the dislocation, and then the patient is turned over on their back or on their side; and then lift the cod (possibly referring to a tendon or ligament) which is in the inner part of the nipple to the upper parts with the fingers of your left hand, if the joint is dislocated in the inner parts.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	And then apply the cautery having two ends; and this is the form of it: 
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	And then cauterize the vein so that it penetrates to the other side; and the figure of cauterization will appear, which is customary with four irons or cauteries.
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	And this is according to the quantity of tension; and this is the shape/form of it:
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	And some adjusted burns are made according to this count and for which there are three cauteries.
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	And then pause on the cautery with salt water, and make the patient adhere to tranquility, and the member not be moved for some time while it is being comforted.
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	And if the dislocation is in the lower parts and it is done thus, then cauterize on the muscle with a key-shaped cautery or with many pointed cauteries, for the joint is confirmed and the humidity is broken and the patient is healed.
Capitol .xxvi.	Chapter 26.
De cauterizacio del stomac.	On the cauterization of the stomach.
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When cold and many humidities come into the stomach so that it extracts from its complexity and is thus multiplied to it, and if you continue the manners of cure and do not confirm, then it is seen that the patient is on the seventh day resupinated, and extends their hands and their thighs, and then cauterize with three cauteries: one cautery placed on the chest for the quantity of a finger with a key-shaped cautery, and two cauteries placed on the two sides of the chest, until the figure of a triangular cautery appears; and elongate between those that are not adjusted so that they will make a poultice.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	And if the depth of the cautery is the quantity of the two thirds of the thickness of the skin of the cod.
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	And let the figure of the cautery be added according to this form, And if you want, cauterize with a large cautery in the middle place of the stomach according to this form; and let this be a cautery in the shape of a circle according to this form:
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And let the stomach be cauterized by pricking the one who is frightened by this cautery: and it is that you place stitches on the stomach according to the quantity that you want with a needle, and then cauterize that with a cautery in the points; and then cure that with the cure that precedes until it is healed.
Capitol .xxvii.	Chapter 27.
De cauterizacio del fietge fret.	Of the cauterization of the cold fever.
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When there is pain in the liver due to cold or humidity or excessive fatness until it is expelled from its normal composition by superfluous excretion, and the patient is cured with what we have said and not conflicted, then it happens that the patient is suspended on their back, and stitches are made with a needle with three cauteries in this form and quantity placed on the liver under the hypochondria, where one can see the decline of the disease.
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	And let the space between each cautery be according to the thickness of the said thing, and let the cautery be according to the length of the right body.
E no compremas la tua am le cauteri mot.	And do not press your hand on the moving cautery.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	And if the quantity of water that is administered is equal to the quantity of the mixture of the specific treatment of the coda, and it is not yet adjusted; and if the patient stands on their feet; and if they are not standing, then let them sit, who has already spread their thighs, and lifted their arms.
E es aquesta la forma del cauteri:	And this is the shape of the cautery:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And to you it is possible to cauterize these cauteries with a knife-shaped cautery, when you are with subtlety and prudence in the art.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And beware that you do not proceed too much in the cauterization, and let the specific treatment of the whole coda be administered so that it penetrates the entire body and reaches the intestines, for the coda is subtle here; and know this.
Capitol .xxviii.	Chapter 28.
De perforacio de apostema del fietge am cauteri.	Of the perforation of the abscess of the liver with a cautery.
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When there is an abscess or swelling in the liver and you want to know if that abscess is in the flesh of the liver or in its membrane, then if it is in the flesh of the liver, the patient will experience severe gravity and increased pain.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the tunic of the liver, then the pain is greatly increased and many times the doctors have exhausted the cure for it.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Therefore, it is necessary that the patient be turned onto their back; and secure the area of the abscess with a bandage; and apply the cautery iron, which is assembled like a razor, the shape of which was described in the previous page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cauterize with that iron, so that the entire cord is seared, until it reaches the spleen, until it penetrates to the liver, where the blood will stop.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And then treat that one with the treatment of other abscesses until it is healed.
