Ayssi comensan las paraulas de Albucasim .	Thus commence the words of Albucasim.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	If it is not possible to collect all of that in that time, then you should apply a compress to everything that alleviates the patient's pain, and leave it for several days until the pain is relieved and the risk of abscess is avoided.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And then repeat on them according to the method of treatment until they are healed.
E aquesta es la forma de las forfexs:	And this is the way of the forceps:
Capitol .xix.	Chapter XIX.
De reduccio de arizati al nas.	On the reduction of a hernia through the nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When treating a hernia with a cautery or sharp medicine, as it is preceded by the account of its condition and is not healed, then do not attempt to tighten it in him, but instead make incisions over the abscess until its maturity, and extract all the humidity that is in it until the bones are exposed.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And so when the bone is exposed and there is corruption or blackness in it, then use this tool on it, whose form is as follows:
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	And it is called an acute headache, and it is made by cutting into the scalp with a sharp instrument, and the head is rounded in such a way that the puncture is made with a lime or alkaline substance through a subtle punctation (such as in the following form).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And press it over the corrupted part of the bone, then turn it between your fingers, and apply gentle pressure with your hand until you know that the corruption is removed.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	This should be done at certain times, and then the place is restored using drying and astringent substances.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	So if the place is consolidated and there is good flesh in it and the body has been separated from the sanie (perhaps referring to pus or infection) for 40 days, and it is not renewed, nor does it fester, and no accident occurs in it, then you know that it is healed.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	And if it is not possible to bring the fissure back into its natural shape, you must do so by reducing it according to the following method: and this is how you expose the bone, as per your skilled or acute treatment, and once the bone is exposed, you take hold of it in this form.
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The end of the instrument should be triangular, and the shaft of the instrument must first be extended towards the extremity in this way as you repeat it.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Then place your hand over the bone, and it should be the one near the lacrimal; extend your hand a little further, and then rotate your hand while pressing so that it penetrates the entire bone, and you will feel the pain as it releases air from within.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Therefore, you restore the area using astringent medicines that dry out as required.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	Therefore when the flesh and the place have been hardened, the matter that was discharged from outside returns to the inside, so this is more easily treated for the malady.
Capitol .xx.	**Chapter XX**
De reduccio de la eminencia del huel.	**On the Reduction of Swelling**
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	When the swelling is prominent and does not yield to gentle pressure or decrease, it is necessary to address the malady, and accordingly, you should continue with treatments such as scarification and suction for a good flow; then apply over the swelling a liniment made of aloe, onions, garlic, and horse collar, and strengthen the poultice over the swelling with a motley powder.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	And the method of the powders is that you take sheets of lion's fur, and each sheet is cut into four pieces; and make powder from those pieces.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	And then place them one on top of the other according to the amount of swelling present.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	Then apply strong pressure to these with a firm, tightly drawn cloth; repeat the suction with scarification; and remove the ventoses, leaving the swelling tightly compressed for the day and night.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	If, meanwhile, the ligament becomes softened, be sure it is still firmly tied.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	And then leave the ligature firmly in place for both the day and night as we have said.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	And if the swelling has already been reduced, well, then continue with further treatment using poultices, compression, and suction until healing occurs.
Capitol .xxi.	Chapter XXI.
De la inscizio de la eminencia de la tunica uvea.	Regarding the incision of the prominence of the uvular tunic.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When you need to disrupt the uvular tunic, and it is prominent, you should process the eyelids as if with a grain of sand, and by forming a shape like a man, you want to perform an incision, during the operation on him, you insert the needle into the root of the uvula from below, and then insert another needle through which there is a double fold from the lacrimal part, and make it penetrate and leave the first needle according to its position; then incise the location of the double fold and lift that part of the uvula along the course of the needle, and tighten that tissue.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	Then remove the needle and place it on the humid wool soaked in egg albumen, and wait until the thread falls off the uvula.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	And then treat the wool with something that will soothe it until the plague is healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And in some cases, from all parts, a circular bandage is wrapped tightly around the prominent area, and then it is punctured through the thin membrane that reaches the nerve ending of the joint, and the white fluid leaks out, and the joint descends and within a short time.
E aprop strenh entro que sia sanat.	And then tighten it so that it is healed.
Capitol .xxii.	**Chapter XXII**
De curacio de alconati.	**On the Cure for Alconati** (or **On Treating Alconation**)
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This affliction known as alconati is nothing but a healthy condition that is confined to the joint, resembling water flowing down, and it is not [the same as] gout.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	The manner of working in this case is that you sever the affliction from its attached seat and turn it to the right, and then take hold of its head with both hands from two different sides and press it inward so that you feel the health returning to the parts left behind, and make it stop descending, and retain the light, and as you see the illness thus, its causes become clear.
E si no descendra en jos, sapias que es aygua.	And if it doesn't come down below, you will know that it is water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	If, however, the descent is not prepared as we have said, then the patient should stop the malady between their thighs, take a delicate needle and make incisions at that point surrounding the pannus, just above the continuation of the conjunctiva with the tunica cornea on the crown (in the place desired), until the sanie (fluid) is drained.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	Once the sanie is drained, you should distill warm water in which honey or fennel and honey mixture has been boiled, and apply it to the affected area.
E aprop sia curat am las autras causas entro que sia sanat.	And then it should be treated for other causes as well, until it is healed.
Capitol .xxii.	Chapter .XXII.
De la curacio de la aygua descendent del huel.	On the treatment of water flowing from the knee.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	Having discussed the types of water in division, it is now necessary to declare which to pierce and when, according to health.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Now you must understand how to stop the patient's pain between your hands on a pillow and tie their knee so that the water stops flowing.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	Then place your left hand near the patient's knee, if the water is in the left knee; or your right hand, if it is in the right knee.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	Then take hold with your right hand, if the knee is on the left side; or with your left hand, if the knee is on the right side.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	Then hold the tip of the hand near the corner for the thickness of the ray in the white of the eye, close to the lacrimal gland, and with your thumb, gently pull the hand towards you and turn it.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	And then gently insert into the wound's albumen, and feel that the almond has already been reached by sight.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	And it should be measured the distance from the almond to the pupil with the width of the space that is between the pupil and the end of the blackness, which is the iris; for you will see in that pupil the vision of the eye through the clarity of the transparent cornea.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	Then gently press the almond within the area where there is water, and release it downwards a few times, then observe if the water descends; at that moment, you will know the ailment over which his sight was previously focused, and the almond will enter its iris.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	Then rest for a moment; if the water has descended, you should pause again before releasing it so that the almond is not thrown out.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And when it is stuck and will not come down, you extract the magic with ease, turn your hand a little at a time, and dissolve a small amount of clear salt gem in water, then wash the swelling inside with that water; and press out the swelling or stop or cotton soaked in rose oil and egg albumen and apply it to the swelling.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	May we, and those of our time, no longer rely on such things as egg albumen.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	And if you do not follow your magic with the instrument of the swelling due to its hardness - for it is one of the men whose swelling is hard, then you must understand that you take the spatula named "alberid" which has this form:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And therefore, perforate that joint, do not end your hand on the trail, and make sure you only create a subtle space for the magic to enter.
E aprop entromet almagda segon que havem dit.	And then I insert the almug as we have said.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	And you must prepare the bed for the sick person, so that they sleep comfortably on their back in a dark room, and all movements are prohibited.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And consider the nature of this condition so that its natural course is not disturbed, and do not force their head to the right or left at any time.
E sia le liament segon la sua disposicio entro al tertz dia.	And dress them according to their condition on the third day.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	And then remove him from that dark place and banish the cold view, and examine his condition, and return to dress the wound on the seventh day.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And do not cover this during the time of treatments or, if necessary, apply infusion.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	Having noticed that you apply this for such a reason that water can leave slightly through great and violent observation.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	If an abscess occurs cautiously, you will notice that the pain diminishes after the seventh day, and correct any deformity in the affected area with this water.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Then you clean the sight of it and place your attention on the oral side from which it is emanating, allowing its condition to improve for several days, present in the darkest season.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And gradually consider that season, its causes, and discuss them.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	And you know that in illness the disciple of sight should not be excused from observing certain times, and then you will be bold about the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And we have already reached those who are in the art of surgery, and one says that fire should be made in the air with a hollowed-out instrument through which water is drawn out.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	However, you may not have seen this perfect method in our land, nor is it mentioned in any of the ancient books; and it is possible that this is new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the ways of the spices of medicine, that they may be superior to those who ignore them.
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	They are made of iron or steel, and their ends have this triangular subtlety, the sharp end being so too in shape.
Capitol .xxiv.	Chapter XXIV.
De la curacio de carn nada en le nas.	Regarding the treatment of flesh wounds in the nose.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When there are diverse layers of flesh in the nose, each with its own cause, such as a growth of many feet or a polyp in the nostril, this malady is called polypus because it resembles that foot represented.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And it is flesh cancerous, leathery, of dark color; and of this flesh is the lion's flesh not of dark color.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore, in that which is in these lion flesh, not fraudulent nor cancerous, you should cut the malady between your hands and place it in the sun, dry the nose of it, and pick at the tiny parts in those meats.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	Then extract that from the parts outside, and carefully divide what you have understood from those by the subtle cutting of one part within knowing that all the flesh is held; if there is any cause from which the separation is possible, then use this as a tool to it with subtlety among the delicate means from which nothing causes harm.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	If the infection is accompanied by fever or acute post-apoplexy, then you should treat it accordingly; but if it is one of the malignant apostemata, then cut and cauterize that part which has become abscessed and leave all cavities intact.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	And then make incisions in the nose, carefully introducing either a knife or a syringe with water or liquid.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	If the nose is blocked and you find moisture inside the palate, then know that it is already healed.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	If the moisture does not penetrate as it should, then you know that inside there is flesh turned to pus over bones of the nose to which no incision has been made.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Therefore, you should carefully insert the instrument into the area where there is any hardness, and gently move it in and out, and between each bone, using as much or as little force as necessary, and thus heal the patient and insert one end of the instrument into the nose either by cutting or for other reasons that may be possible.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And after this has been done, it should be applied to the nose so that its scent reaches the nasal canals, and placed over the nostrils, for the troops who have witnessed such actions make children in schools, and it is a light cause for anyone who wishes to do so.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Then grasp both ends of the thread, one end emerging from the nose and the other passing through the nostrils, and apply pressure to the flesh with the threads, doing this until you know that the flesh is compressed around the thread.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	Then remove the thread and stop the bleeding with a cold compress, and do this for three days or more until the ointment corrodes all that is broken in the flesh.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	Finally, at the end of the treatment, insert a gold tube into the nose for several days until it is healed.
Mays si endigeys de curacio que exsique, usa de aquela.	If there is a cure that can be ended, use it.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	And this is the form of the purgative instrument that distills oils and medicines from plants:
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	And make it of silver or brass, which is similar to a small lamp with a small cavity, and the inside appears like a hook.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	And if you wish, make a closed tube like a straw, and the tube of the purgative instrument is flat, open; it has a handle at the end, which you hold when you draw oil or water that you want from the juices and sucking causes.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	And these purgatives are valuable: prepare a mixture of castor oil, white balayra, ginger, and safron piletre, long pepper, fennel, and spices. Mix with lemon juice and make pills, and take one pill with warm water, it is thrown into the patient's mouth towards the direction of their pain.
Capitol .xxv.	Chapter .xxv.
De theyls natz en las extramitatz del nas.	They grow from the ends of the nose.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	Small bumps appear as a thread on the ends of the nose, and it swells and becomes inflamed over some days until a crust forms on it.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And so it is important that you understand this at the beginning of its appearance, and attend to all of it.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	And then apply over the area either a cautery or medicine that is burning, which is in place of it.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	If its inflammation is delayed and it becomes magnified, consider if it is lapified (ulcerated), hard, of dark color, and has little sensation, then do not touch it with iron or any other sharp object, for such bumps that appear at the site of this inflammation hold great malice for whoever incides upon this apostema.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	And if the abscess is a serious infection and not of a dark color, sometimes it is possible to incise it entirely, drain the pus, cut out the infected tissue, and treat the area with something that promotes healing and prevents recurrence.
Capitol .xxvi.	**Capitol XXVI.**
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	On the suture of the nose, lips, and earlobe when continuity is broken due to disease or something similar.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	You should know that when there is an interruption of continuity in one of these cartilages, little benefit results from the operation except in certain cases.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	Therefore, when you encounter any cause among these that indicates a recent infection, consider it as such and adjust the two edges of the wound with sutures, and then care for it until it heals.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the openings of the solution for continuity are already separated and each one is made healthy, then you must remove each part from its connection until it heals completely.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	Then adjust both openings with stitches and strengthen them, and sprinkle dragon's blood on them and cover them with a thin layer of plaster or some other consolidating bandage, and leave it for two or three days, then remove that and replace the plaster and leave it until the flesh is completely healed.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	The technique for the suture is that you either add a solution to restore continuity as we have recommended in the suture of the abdomen, or add the solution of continuity with thread as you know how to do.
Capitol .xxvii.	Chapter 27.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	To extract those causes that come in both lips within the openings.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	These swellings are often seen in many people within the openings of their lips; some are hard like grainy errant matter, and others are softer or larger.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	Therefore, he opens the lips and cleaves apart each of those hard swellings from every part, and then fills the space with a clean tripe, while restricting the opening; then it is washed with wine and treated with water that has been squeezed, until it is healed.
Capitol .xxviii.	Chapter XXXVIII.
De inscizio de la carn ajustada en las gengivas.	On the incision of the tissue attached to the gums.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	In cases where swellings appear on the gum tissue that ancient physicians called albus, he should suspend them using tongs or hold them with forceps and carefully incise what is necessary into its base, allowing the healthy blood to flow and the opening to heal.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	And then apply sage or other astringent or drying powders to the area.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	And if that flesh returns, cut it secondly and cauterize it, for near the cautery returning is unlikely.
Capitol .xxix.	**Chapter 29.**
De razo de dentz am ferr.	On the cause of teeth falling out.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When on the surface of the loose teeth and between the gums there are tight, rough, scaly, blackened, or green deposits, this leads to corruption of the gums and the loss of nearby teeth.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And so you must remove the illness between your hands, place the tip of it on the thigh, and extract the teeth in which these rough deposits and similar debris appear, without causing any further harm, and do this with regard to their blackness, greenness, and other conditions until they are purified.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	Therefore, if there remains something in the beginning of reasoning, good; otherwise, you will repeat the reasoning about those points on another day and the following ones until it comes to the last statement in what you want.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	And you know that teeth require various forms and shapes of cutting according to how they are prepared for your operation.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	And for this reason, the cutter with which the tooth is removed from its socket is different from the cutter used to shave between teeth according to other forms, and these shapes of cutters must be prepared that you will see shortly:
Capitol .xxx.	Chapter .XXX.
D’eradicacio de dentz.	Eradication of teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	Understand that you cure the tooth from its pain with all diligence and take your time in the complete eradication of it, because there is no reason to delay the moment when it is eradicated, as it is a sublime substance whose excuse is not accepted during the eradication.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	When the illness is forced to extract a tooth that causes pain, you must be certain which tooth is painful, as the pain may mislead you to believe it comes from an unhealthy tooth, and you extract that one, but the pain does not cease until the sickly, painful tooth is removed, for we have seen this through the operations of barbers.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Therefore, to determine which tooth is painful, and as you know, when you uncover that it is necessary to sacrifice the gums around the tooth with a scalpel in which there is some virtue, until it is completely detached from the tooth, then carefully apply your instruments, or fine pliers, starting at the smallest point, until the extraction is complete.
