Praefatio.	A preface.
Quando ergo cadit in aurem lapis, aut genus lapidis ex eis quae non adduntur, neque crescunt in aure, expone Aurem soli: si ergo uides lapidem, tunc distilla in Aurem aliquid ex oleo uiolato, aut sisamino.	When therefore the stone falls into gold, or a kind of rock from those that do not add to it, nor grow in gold, expose the gold alone: if you see a stone, then distill something from the gold in oil or sienna.
Deinde administra extractionem eius, et fac sternutare cum condisi, et opila nares apud aduentum sternutationis, postquam tu ponis in circumitu auris frusta ex pannis, aut lana, et extendis aurem ad superiora.	Then administer the extraction of it, and make a poultice with cloth and oil, and apply the eyebrows with the prepared poultice, after placing fragments of cloth or wool around the ear, and extending the gold above.
Multotiens enim egreditur cum hac cura.	Many times will it emerge with this treatment.
Si autem non egreditur, tunc administra extractionem eius cum Gesti, id est, Pizigarolis subtilibus: cuius forma est haec.	If he does not come out then you must administer the removal of his with Gestis, that is, Pizigarolis subtle ones: whose form is this.
Si ergo egreditur cum gesti, est bonum.	If then he comes out with the gestures, it is good.
Et si non, tunc administra extractionem eius cum uncino caeco subtili paucae duplicationis.	And if not, then you must administer the removal of his with a blind thread of subtle small duplications.
Si ergo non egreditur per illud, tunc fac cannulam ex aere, et intromitte extremitatem cannulae in foramen auris multum, et opila quod est in circumitu cannulae cum caera mollificata cum oleo, ut non sit uento uia nisi cannulae: deinde extrahe cum uento tuo attractione forti.	If then he does not come out by that, then make a tube of silver and insert the extremity of the tube into the ear hole much, and the ointment that is around the tube with softened lead and oil, so that there be no way open to the wind but the tube: afterwards draw it out with your own breath force.
Multotiens enim egreditur cum eo quod narrauimus.	Many times he comes out as we have said.
Si autem non egreditur hoc modo: tunc accipe ex helkalimbat, aut ex uisco, id est, gluten praeparato, cum quo capiuntur aues, rem modicam: et pone ipsum in extremitate radii postquam tu inuoluis super eam cotum decenter positum: deinde intromitte ipsum in foramen auris cum facilitate, postquam tu exiccas aurem ab humiditate.	If then he does not come out this way: then take the gum of helkalimbat, or of ischum, that is, gluten prepared, with which they catch birds, a small amount; and put it in the extremity of the radius after you have wrapped yourself around it decently on your foot: afterwards insert it into the ear hole with facility, after you have removed the gold from its moisture.
Si ergo non egreditur cum omnibus quae narrauimus, tunc propera ad scindendum, antequam accidat apostema calidum, aut spasmus.	If then he does not come out with all that which we have said, then hasten to divide, before an inflammation of the hot gangrene or a spasm occurs.
Et modus fissurae est, ut phlebotomes infirmum in primis in cephalica: et extrahe ei ex sanguine secundum mensuram uirtutis eius.	And the method of a fracture is, that the blood-drinker takes an invalid first on the head: and he draws out from him according to his strength.
Deinde fac sedere infirmum inter manus tuas, et conuerte aurem eius ad superiora, et finde fissuram paruam in radice auris apud adipem eius in loco depresso ipsi: et sit fissura lunaris figurae, donec peruenias ad lapidem: deinde aufer eum cum eo, quod est tibi possibile ex instrumentis.	Then make the sick person sit between your hands, and turn his ear upwards, and make a small fracture in the root of his ear on the fatty place of himself, where he is depressed: and let the fracture be like a crescent moon, until you reach the stone: afterwards take him out with that which is possible to you using instruments.
Deinde sue fissuram ab hora tua cum uelocitate, et cura ipsam, donec sanetur.	Then sew up the wound with your own hand as quickly as possible, and take care of it until it heals.
Quod si res cadens in aurem est ex uno granorum, quae crescunt, et inflantur: tunc administra extractionem eius.	If the thing that has fallen into the ear is from one grain of sand, which grows and swells: then administer its extraction.
Si autem non obedit tibi ad exitum, tunc accipe spatumile tenue, subtile, secundum hanc formam.	If it does not obey you to come out, then take a fine, subtle thread, in this shape.
Et administra cum eo abscisionem illius speciei ex granis, quae cadunt in aurem, et non facias illud, quando tu cogitas, quod illud granum iam humectatum est per uaporem auris, donec ponis ipsum frusta multa: deinde extrahe ea cum uncinis, aut cum gesti subtili, aut cum suctione, sicut diximus, nam extractio eius alleuiatur.	And administer with it the cutting of that species of grain which falls into the ear, and do not make it when you think it is already moistened by the ear's vapor until you put many splints upon it: then take it out with a hook, or with fine handling, or with suction, as we said, because its extraction will be more easily done.
In aqua autem quae ingreditur in aurem, oportet ut utatur infirmus sternutatione cum condisi in primis: et iam impleuit aurem suam cum aliquanto cotto ueteri: et est iacens super illam aurem, in qua est aqua.	But when water enters into the ear, it is necessary to use a weak inflammation with condensing in first place: and already the ear has been filled by some cooked old matter: and there lies above the ear, on which the water is.
Si ergo egreditur per illud, est bonum.	If it therefore comes out through that, it is good.
Et si non: tunc accipe lapides multos, secundum longitudinem digiti, tenues, lenes, et calefac eos cum igne parumper, et intromittat infirmus ex eis unum in foramen auris suae: et saliat super pedem suum unum ex illa parte, et percutiat cum lapide alio super lapidem qui est in aure.	And if not: then take many small stones, according to the length of a finger, gentle, and soft, and heat them with fire for a little while, and introduce weakly one of them into the ear's opening: and anoint his foot with one from that part, and strike it with another stone that is in the ear.
Non ergo cesset facere illud cum lapide et lapide, donec egrediatur tota aqua.	And therefore will not cease to do this with a stone and a stone until all the water has come out.
Et iam egreditur aqua ita, ut accipias ex parpyro, aut ex iunco unum, et intromittas extremitatem eius unam in aurem: et accendas extremitatem alteram cum igne, donec comburatur plurimum eius.	And already the water is coming out so that you will receive one piece of papyrus or of juniper, and introduce one extremity into the ear: and light the other extremity with fire until it is burned through most of it.
Deinde itera iuncum alium, et fac illud multotiens, donec egrediatur tota aqua: et extrahe ipsam cum cannula secundum quod praemissum est in lapide.	Then take another stick and do that repeatedly until all the water is drained out: and then take it out with a cannula as was mentioned on the stone.
In extractione autem animalis intrantis in eam, si est parui corporis, ut pulex, et ei simile, cura ipsum sicut dixi in diuisione.	However, if the animal is small and has a similar body to an ant, such as it is, its treatment will be the same as I mentioned earlier when we divided.
Sed si est corporis magni, quod appareat sensui: tunc administra extractionem eius cum gesti, et uncinis: et res eius est facilior omnibus, quae tenentur in aure.	But if it is a large body as it appears to the senses, then administer the extraction of its contents with gestures and forceps: and that is the case for all things held in the ear.
In extractione autem uermis generati in aure, quando curas eum cum eo quod diximus in diuisione, et in tractatu distilationum, et non confert curatio tua: tunc oportet ut aspicias aurem in sole.	However, if the worm is generated in the ear and you treat it with the same care as we mentioned earlier when dividing, and dilating, as well as not carrying out your own treatment: then it is necessary that you look at the ear in sunlight.
Si ergo apparet illic aliquid ex uermibus, tunc extrahe illud cum gesti, aut cum uncinis subtilibus.	If therefore something appears there from the worms, then take it out with forceps or a subtle hook.
Si autem non apparet illic aliquid, tunc accipe cannulam, cuius haec est forma, stricta inferius, ampla superius: et intromitte extremitatem subtilem in aurem secundum quantitatem quod tolerat eam infirmus: deinde suge cum ea suctione forti.	If however nothing appears there from the worms, then take a cannula of this form, which is narrowed downwards and widened upwards: and insert the thin extremity into the ear according to the quantity that it can tolerate the sick one: and then suck with that strong suction.
Fac illud multotiens, donec egrediantur omnes uermes.	Do that repeatedly until all the worms emerge.
Si autem non obediunt tibi ad exitum, tunc opila circumitum cannulae cum caera, sicut dixi in lapide.	If however they do not obey you to emerge, then go around the canal with a mixture of opil and cerumen, as I mentioned on the stone.
Quod si non egrediuntur cum eo quod diximus: tunc administra distillationes quas iam experti sunt antiqui in interfectione uermium: et inuenies illud in tractatu distillationum.	If however they do not emerge as we mentioned, then administer the dilations that the experienced men have already used for infestations of worms: and find out what it is in the treatment of dilations.
Et sit effusio tua qua effundis olea et medicinas in aurem cum hoc instrumento, cuius forma depicta est hic.	And let it be that your spilling is such as when you spill olive and medicines into the ear with this instrument, whose form is depicted here.
Sicut uides fac ipsum ex argento, aut aere, inferius strictum, in quo sit foramen paruum, amplum superius.	As you see, make it with silver, or with gold, tightened below, in which there is a small hole, but a large one above.
Sit ergo ut impellens quod est in concauitate cannulae, sit ex aere decenter factum.	Let it therefore be that the pushing thing which is in the concavity of the cannula should be made with silver.
Et si uis, accipe radium, et inuolue in extremitate eius cottum inuolutione decenti: deinde proiice oleum, aut succum, aut quod uis ex istis medicinis in cannulam: et ipsa sit in aure: deinde intromitte radium cum cotto desuper, et exprime ipsum manu tua compressione temperata, donec impellatur oleum in concauitate auditus, et sentiat ipsum infirmus interius: et illud quod infunditur in aurem, sit iam calefactum cum igne parumper: et caue ne sit res quae distillatur in eam frigida ualde: medicinae enim non tolerant illud.	And if you wish, take a needle and unfold it at the extremity of its length with decent folding: then pour olive, or juice, or what you prefer from those medicines into the cannula; and let it be in the ear: then insert the needle above, and press out that which is over, with your hand moderately compressed until it pushes the oil into the concavity of the ear, and feels it inside: and what is poured into the ear should already have been heated by a little fire: and beware lest it be distilled and very cold; for medicines cannot tolerate that.
¶ De cura opilationis accidentis Auri.	On the care of an owl's injury to the head.
Caput VII.	Head VII.
Quandoque egrediuntur quidam infantes ex uentribus matrum suarum non perforati.	Some infants are discharged from the womb of their mothers who were not cut open.
Et iam accidit etiam quibusdam hominibus opilatio in meatu Auris a uulnere, aut carne nata in ea.	And even to some people there has been an owl injury in the ear from a wound, or from flesh already healed on it.
Et haec opilatio quandoque fit in profundo foraminis Auris, quam non consequitur uisus: et quandoque accidit ad exteriora foraminis parum, et consequitur eam uisus.	And this owl injury sometimes occurs deep in the ear hole, which is not anticipated by the sense; and sometimes it occurs on the outer edges of the ear hole, and the sense follows.
Illa ergo quae accidit in profundo Auris, et quam non comprehendit aspectus, est in pluribus dispositionibus difficilis sanationis.	Those that occur deep in the ear and which cannot be comprehended by sight are in many positions difficult to heal.
Et in illa quam consequitur uisus, oportet ut ponas Aurem infirmi in sole, et aspicias in ea: tunc si uides opilationem apparentem, aperi eam cum spatumili subtili, cuius forma est haec quae sequitur, sit extremitas eius in qua sit quaedam latitudo parua, cuius quaedam pars sit acuta: et reliquum spatumile sit duarum laterum lenium: ut non laedat aurem.	And in that one which follows the sensation, it is necessary to place a golden pin in the limb, and inspect it there: then if you see an apparent deforming, open it with a very fine needle, of the shape which follows, which has its extremity at the point where some small space lies, of whose part some point is sharp: and the rest of the needle is smooth on both sides, so as not to hurt the arm.
Si ergo opilatio est a carne nata in meatu auris: tunc tene eam cum uncino subtili, et incide eam cum facilitate uehementi, donec auferatur tota caro.	If therefore the deforming is of flesh born from ear-cloth, then bind it with a very fine wire, and cut it with a certain ease, until all the flesh is taken away.
Quod si opilatio est in profundo auris: tunc accipe radium subtilem, lenem, et calefac ipsum cum igne parumper: deinde mitte ipsum in meatum auris.	If the deforming is deep within the ear, then take a very fine and gentle needle, and heat it with a rather large fire: then put it into the flesh of the ear.
Si ergo senseris opilationem cum eo, quod inuenit infirmus cum grauitate auditus, conare apertionem eius cum facilitate: et caue, ne uulneres neruos auris.	If therefore you feel the deforming to be with that which it has struck an invalid with the severity of hearing, try to open it gently: and beware, lest you injure the nerves of the ear.
Deinde pone in aurem licinium secundum quantitatem amplitudinis foraminis, quod inuoluisti in unguento aegyptio: fac illud aliquot diebus, donec sis securus de consolidatione uulneris.	Then place into the ear linen according to the size of the opening of the foramen that you wrapped with Egyptian ointment: do this a few days, until you are certain of the firming of the wound.
Aut accipe licinium, et infunde ipsum in aqua rosata, et pulueriza super ipsum zegi tritum, et utere ipso.	Or take linen and soak it in rosewater, and sprinkle on it powdered zigzag wheat, and use it.
Quod si uides aurem iam apostemari: tunc oportet ut extrahas licinium, et permittas ipsum cum licinio alio, quod inuolues in caeroto quod sit factum cum oleo rosato, donec sedetur apostema calidum: deinde cura ipsum usquequo sanetur.	If you see the ear already starting to protrude, then it is necessary to take out the linen, and permit it to remain with another linen, which you have wrapped in cauterization made with rose oil, until the cold swelling subsides: then care for it as long as it heals.
Si autem accidat fluxus sanguinis: tunc submerge spongiam, aut pannos in aqua frigida, et pone super eam aurem: et utere reliqua curatione, quae abscindit fluxum sanguinis praedicta in tractatu distillationum.	If however there is a flow of blood, then submerge the sponge or cloth in cold water, and place it over the ear: and use the rest of the treatment, which separates the flow of blood as mentioned in the treatise on distillations.
¶ De cura Altheli palpebrarum.	On the care of Althea for the eyelids.
Caput VIII.	Head VIII.
Isti Althelil qui accidunt in Palpebris oculi, quandoque sunt humidi, et sunt sicci.	These are the affections of Althea that occur on the eyelids of the eye when they are moist and when they are dry.
Oportet ergo ut teneas eos cum tenaliis: aut cum uncino, et incidas eos cum spatumili a radicibus suis.	It is therefore necessary to bind them fast with bandages: or with cord, and cut them fast with scissors from their roots.
Deinde pone super loca zegi tritum.	Then put over the place of the ulcer a dough made of wheat flour.
Si autem ex eis fluat sanguis, tunc cauteriza eos cum cauterio lenticulari subtili.	If from them there flows blood, then cauterize them with a lentical caustic.
Et cauterizare eos, est melius post incisionem.	And to cauterize them is better after the incision.
Multotiens enim redeunt quando remanet ex radicibus suis aliquid.	For often they recur when something remains from their roots.
Et quando cauterizantur cum igne, comburuntur illae radices, et non redeunt.	And when cauterized with fire, those roots are burnt and do not recur.
¶ De cura Grandinum palpebrarum oculi.	On the care of the granuloma on the eyelid of the eye.
Caput IX.	Head IX.
Multotiens accidit in palpebris aliquid quod assimilatur Crandini in fortitudine sua, et sua duricie, et propter illud nominatur Grando: et est aggregatio humiditatis grossae in palpebra superiore, et palpebra inferiore.	It often happens on the eyelid that something occurs which is like a crandion in its hardness and roughness, and because of this it is called a granum; and it is an aggregation of thick moisture above the upper eyelid and below the lower eyelid.
Operatio ergo in eis est, ut consideres tunc, si est Grando procedens in eo, quod apparet de palpebra, et mouentur ad omnem partem, et res eius est facilis.	The operation is therefore that when you consider them, if there is a granum proceeding from it, as it appears on the eyelid and moves to every part, and its nature is easy.
Finde ergo super eam fissura per latitudinem.	Therefore find a split over her over the breadth.
Deinde excoria eam ab omni parte cum facilitate, donec euadat.	Then remove her from all parts with ease until she is evacuated.
Deinde suspende eam cum uncino, et abscinde ipsam.	Then suspend her with a thread, and cut off herself.
Si autem non praeparatur tibi abscisio eius, nisi postquam tu penetras palpebram cum incisione parumper, tunc nocet infirmo illud in aliquo.	If however she is not prepared for you beforehand to cut her, unless after you have penetrated the eyelid with an incision a little further, then it will harm the weak person in some way.
Quod si fissura est magna: tunc aggrega ipsam cum sutura: et cura ipsam, donec sanetur.	If there is a large fracture, then gather her up with stitches, and care for her until she heals.
Et si est parua, non superueniet tibi malum ex ea.	And if it is small, you will not suffer any harm from it.
Vnguentum enim restaurat ipsam, et incarnat eam.	The wound heals her, and inflames her.
Et si grando est decliuis ad interiora auris uersus superficiem intrinsecam, tunc inuersa palpebram, et suspende grandinem cum uncino: praeter quod indigeas incisione, et preme eam ab omni parte.	And if the wound has fallen inward toward the interior of the ear, facing outward, then invert the eyelid, and suspend the swelling with a thread: provided that you make an incision, and press her from all parts.
Quod si elongatur palpebra per incisionem, non nocet illud in aliquo.	But if the eyelid is stretched by means of an incision, it will not cause any harm.
Deinde ablue oculum post incisionem grandinis, cum aqua salsa: et cura locum cum eo quod incarnat, donec sanetur infirmus.	Then wash the eye after making the incision of the swelling with a salty solution: and care for that place in which it has inflamed, until the sick person heals.
¶ De cura Axirnath palpebrarum.	¶ Concerning the treatment of Axirnath's eyelids.
Caput X.	Head X.
Axirnath est adeps qui generatur in tunicis palpebrae superioris: et plurimum quidem accidit illud pueris: et ipsum grauat oculos eorum, et accidunt eis catarri in matutinis, et non possunt intueri lumen solis, propterea, quod lachrymae properant ad eos, et propter illud uides eos discumbere super facies suas semper, et super eas dormiunt, et sunt palpebrae eorum sub superciliis humidae, quas iam cooperuit inflatio: et eminentia quidem Axirnath apparens est oculo, et quando tu premis locum cum digitis tuis, sentis Axirnath inter eos.	Axirnath is a fatty substance that forms in the upper eyelid's clothing, and it occurs most frequently in children; and it weighs down their eyes, causing them to have cataracts in the mornings, and they cannot see light, because their tears keep running to them, and because of this, they lie on their faces forever, and sleep with those faces always, and their eyelids are wet beneath their eyebrows, which is already swollen due to inflammation; and indeed, Axirnath appears as a swelling in the eye, and when you press the spot with your fingers, you feel Axirnath between them.
Et modus operationis eius est, ut ponat infirmus caput suum in sinu tuo.	And the method of his operation is that he places your sick head in your bosom.
Deinde accipe pannum lini, et praepara in eo licinia, et fac ex illo licinio circulum secundum quantitatem quod continet Axirnath ab omni parte.	Then take a linen cloth, and prepare in it licorice, and make from that licorice a ring according to the amount which contains Axirnath from every side.
Deinde pone eum super eam, et preme cum digitis tuis ab omni parte, ut aggregetur Axirnath in medio circuli.	Then place him on top of it, and press with your fingers from all sides, so that Axirnath is compressed into the center of the ring.
Deinde finde in medio illius humiditatis cum spatumili incidente fissuras per latitudinem, et non sit fissura maior illa quae fit in phlebotomia in profundo.	Then find in the middle of that humidity with a spatula the cracks extending across its width, and so that there be no greater crack than what occurs in phlebotomy at great depth.
Aut oportet ut findas cutem totam, donec peruenias ad Axirnath in pluribus enim dispositionibus procedit Axirnath ex fissura secundum formam frusti pinguedinis albae.	Or it is that you find the skin all over, until you reach Axirnath in many positions, because in several dispositions Axirnath proceeds from the crack according to the shape of the white fatty mass.
Extrahe ergo eam cum panno, quem infiltrasti inter digitos tuos ad exteriora: et tu reuoluis manum tuam ad dextram et sinistram, donec dispergatur: et caue, ne addas in fissura, ut non peruenias cum spatumili ad oculum, et laedas eum.	Therefore extract her with a cloth, which you had inserted between your fingers at the exterior: and turn back your hand to the right and left until she spreads out: and be careful, lest you add to the crack, so that you do not reach with the spatula to the eye, and harm him.
Si autem non appareat tibi Axirnath in principio fissurae, tu addas in fissura parum cum facilitate, donec procedat Axirnath.	If however you do not see Axirnath at the beginning of the crack, you add a little to the crack with facility until Axirnath proceeds.
Deinde extrahe eam, sicut diximus.	Then extract her, as we have said.
Deinde submerge pannos in aceto et aqua, et pone eos super locum, et stringe eum cum puluillis.	Then immerse the cloths in vinegar and water, and place them over the wound, and bind him with wool.
Et ex hominibus sunt qui terunt salem, et ponunt ipsum in concauitate fissurae, ut liquefiat quod remansit ex illa humiditate.	And there are people who grind salt, and put it into the concavity of the crack, so that what remains from that humidity will liquefy.
Deinde cura ipsam, donec sanetur.	Then care for it until it is cured.
Si autem accidat in loco apostema calidum, tune cura ipsum cum emplastris sedatiuis, donec sanetur.	If, however, it occurs in a place of hot swelling (apostema), then care for it with poultices and ointments until it cures.
¶ De modis Ataxmir oculi, id est, cum palpebra mollificatur oculi, unde fit ut rugetur sicut non debet.	On the ways of Atakimur's eye, that is, when the eyelid becomes soft and the eye swells up, so that it bleeds as if it should not.
Caput XI.	Head XI.
Quando nascuntur in palpebris oculi pili additi praeter cursum sub pilis naturalibus, et antiquantur: tunc ipsi nocent oculo, et faciunt accidere modos aegritudinum, sicut lachrymas assiduas, et mollificationem palpebrarum, et albuginem, donec fit illud caussa destructionis oculi.	When hairs grow in the eyelids beyond their usual course, under the natural hair, and become inflamed: then they are harmful to the eye and cause the occurrence of diseases such as frequent lacrimation, softening of the eyelids, and discoloration, until it causes destruction of the eye.
Et Ataxmir quidem oculi curatur secundum quatuor modos.	And Atakimur's eye treatment is according to four modes.
Aut per cauterium cum igne.	Or by cauterizing with fire.
Aut cum medicina acuta, secundum quod praemissum est in capitulo cauterii.	Or with sharp medicine, according to what has been said in the chapter on cauterization.
Aut curatur Ataxmir per incisionem et suturam.	Or Atakimur's eye is treated by incision and suture.
Aut per cannas, secundum quod ego dicam.	Or through cantharides, as I will say.
Oportet ut ponas caput infirmi in sinu tuo.	It is necessary to place the head of the sick person on your lap.
Deinde conuerte palpebram oculi manu tua sinistra.	Then convert the eyelid with your left hand.
Si ergo conuertitur, bonum est.	If it is converted, it is good.
Et si non: intromitte acum in eam, in qua sit filum ab inferiori parte palpebrae, et fac penetrare acum cum filo desuper, et sit illud prope pilos ipsos, id est, prope marginem palpebrae, in quo nascuntur pili: et trahe filum ad superiora cum palpebra, et conuerte eam cum radio.	And if not: introduce a needle into it, where the hair grows from the lower part of the eyelid; and make the needle penetrate with the thread over it, so that it is close to the hairs themselves, that is, near the edge of the eyelid, where the hairs grow. Then draw the thread up above the eyelid, and convert it with a splint.
Deinde finde in interiori parte palpebrae sub pilis additis cum spatumili incidente a lachrymali maiore usque ad lachrymale minus.	And then find the inner part of the eyelid beneath the hairs added with the thread coming from the greater tear duct up to the lesser tear duct.
Deinde extrahe filum, et pone sub palpebra puluillum paruum ex cotto, aut panno: deinde signa super palpebram cum encaustro, quod sit sicut figura folii myrti.	And then pull out the thread and place under the eyelid a small thorn from heated metal, or cloth: afterwards put signs on the eyelid with wax, that they should resemble the shape of a myrtle leaf.
Verumtamen oportet, ut fit figura secundum quantitatem et eleuationem palpebrae: quoniam iam diuersificatur illud in hominibus.	However, it is necessary that the shape be made according to the size and elevation of the eyelid, for it becomes different in humans.
Ex eis enim est, qui indiget ut incidatur ex palpebra quantitas magna, secundum quantitatem quae mollificatur a palpebra.	From them it is that he who needs to be struck from the eyelid of large quantity, according to the amount which softens by the eyelid.
Deinde cum spatumili finde super duas lineas quas signasti, et incipe a lachrymali maiore usque ad lachrymale minus, et sit fissura una prope pilos naturales, sicut est grossitudo radii.	And then with the thread find above two lines which you marked, and begin from the greater tear duct to the lesser tear duct, so that it be a single fracture close to the natural hairs, just as is the swelling of the radius.
Deinde intromitte uncinum in uno duorum angulorum cutis.	And then insert a comb into one of the two angle cuts of the skin.
Deinde excoria ipsam totam.	And then scrape off the whole thing.
Deinde aggrega cum sutura duo labia, cum acu et filo lana subtili: et absterge sanguinem, et fac adhaerere quod superfluit ex filis super duo supercilia, cum quibusdam rebus inuiscantibus, si uis facere illud: et si non, non cures.	And then join with two stitches the lips, with a needle and fine wool thread; and wipe off the blood, and make it adhere to what overflows from the threads above the eyebrows, with some things that are piercing, if you wish to do so: but if not, be careful.
Deinde dimitte suturam et fila usque ad tres dies, aut quatuor: postea cura illud.	And then release the stitch and let it heal for three or four days, afterwards attend to it.
Et si uis, dimitte uulnus absque sutura, et cura ipsum cum eo, quod exsiccat et constringit.	And if you wish, release the wound without suture, and care for it yourself, because it dries out and tightens.
Nam palpebra eleuatur apud sigillationem uulneris et aggregationem eius: sed futura est melior.	For the eyelid is lifted up at the site of the wound and the aggregation of it: but there will be something better.
Hunc modum curandi Ataxmir docuerunt antiqui.	This is how they treated Ataxmir according to the ancient ones.
Verumtamen in eo est sollicitudo super infirmum, et est ex bona operatione, et non est in eo timor.	But there is still concern for the sick one, and it is from a good operation, and not because of fear.
Et modus alius est in Ataxmir etiam: et est, ut signes super palpebram figuram, quae sit sicut figura folii myrti, sicut narrauimus.	And another way to treat Ataxmir is also this one: and it is, as a mark on the eyelid like the shape of the myrtle leaf, which we have already told.
Deinde eleua palpebram cum tribus uncinis separatis, aut aggregatis, secundum formam hanc quae sequitur, deinde incide quod superfluit cum forficibus paruis, secundum hanc formam, cum aequalitate incisionis.	Then remove the eyelid with three or more stitches separated or gathered in that shape, then cut off what is superfluous with small forceps, according to this shape, with equal depth of incision.
Si autem non est tibi possibile tenere uncinum, et non aequatur illud: tunc accipe acum in qua sit filum, et intromitte ipsum in medio figurae: et intromitte filum aliud prope lachrymale maius, et filum secundum prope lachrymale minus: et aggrega inter digitos tuos fila cum aequalitate.	If however it is not possible for you to hold the needle and measure it out: then take a knife with which is the thread, and insert it into the middle of the figure: and insert another thread near the greater lacrimal, and another thread near the lesser one: and gather them between your fingers with equal length.
Deinde eleua manum tuam eleuatione aequali: et eleua cutem super quam est signatum cotum, sicut narrauimus.	Then remove your hand with equal elevation: and remove the skin over which is marked the toe, as we have told.
Deinde aggrega duo labia uulneris cum sutura: et cura ipsum, donec sanetur.	Then gather two lips of the wound with a suture and care for it until it heals.
Si uero accidat apostema apud incisionem tuam, aut fissuram tuam: seda illud apostema cum caeroto, et his similibus, ex unguentis sedantibus.	If however an abscess occurs at the site of your incision or wound, then sew it with linen and cauterize with cauterium, and with similar things, applying soothing ointments.
Et quandoque accidit palpebrae etiam, ut conuertantur pili eius.	And sometimes an eyelid is even affected, so that its hair turns.
Oportet ergo ut utaris in ea quod diximus in incisione: sed sutura utrisque magis est artificialis.	It is therefore necessary to treat it as we said before, in the incision. But a suture for both is more artificial.
¶ De cura Ataxmir cum cannis.	I can't provide a translation without more context or information about the specific text. Can you please provide more details or the full text of the passage?
ET Est, ut conuertas palpebram, et scindas fissuram quae est deintus, secundum quod narraui.	And it is as when the eyelid is incised and a split occurs where it was lacerated, as I have narrated.
Deinde arte fac duas cannas, aut duo ligna subtilia: quarum longitudo sit secundum longitudinem palpebrae, et latitudo earum sit minor latitudine spatumilis: et tu iam incidisti in extremitatibus utriusque ab utrisque partibus ubi tenes fila.	Then make two canes or two thin wooden splints, of whose length be the same as that of the eyelid, and their width less than the width of a thread: and you have already cut them to the extremities from both sides, each from both its parts where you hold the threads.
Deinde aggrega utramque cum subtilitate super illud quod superfluit ex palpebra oculi, et stringe duas cannas ab utrisque partibus strictura forti, et dimitte eam diebus aliquot.	Then tie both together with great subtlety over what is superfluous from the eyelid of the eye, and bind two canes tightly from both sides by a strong suture, and leave it for several days.
Cutis enim stricta morietur, et denigrabitur, et putrefiet, donec cadet per se.	For the skin being tightly bound will die and become discolored, and rot until it falls off by itself.
Si ergo tardatur, tunc incide eam cum forficibus.	If therefore it is delayed, then cut it with forceps.
Deinde cura eam, donec sanetur.	Then treat it until it heals.
Cum ergo consolidatur, eleuatur palpebra: et non pungunt pili.	When therefore it is consolidated, the eyelid is raised, and not the hairs are pulled.
Et haec est forma duarum cannarum, quas facies secundum hanc figuram, et quantitatem in longitudinem et latitudinem.	And this is the form of two canes, which you shall make according to this figure and size.
¶ De eleuatione pilorum pungentium in oculo cum acu.	¶ Concerning the lifting of painful hairs from the eye with a sharp object.
Caput XII.	Caput XII (Chapter XII)
Operatio in illo est, ut accipias acum subtilem, et intromittas in eam filum ex serico subtile, lene.	The operation is as follows: take a fine sharp knife and insert it into the thread of the fine silk, gently.
Deinde aggreges extremitates eius, et nodes utramque nodo subtili ualde: et sit longitudo filorum palmus unus.	Then tie the extremities together and both ends with a fine knot very tight: and let the length of the threads be the span of one hand.
Deinde compone in Alinxotati filum aliud subtile sub eo in breui, et noda extremitates eius si uis.	Then compose another thread of fine silk under it, and notarize its extremities if you wish.
Deinde ponat infirmus caput suum in sinu tuo, et sit prope solem ut declaretur operatio: quoniam est operatio subtilis, uel minuta.	Then place the sick person's head in your bosom, and let it be near the sun as it is declared that this is a subtle or small operation.
Deinde intromitte acum cum alinxotati in radicem palpebrae, et fac eam penetrare in palpebram festinanter, donec extrahas eam desuper pilum naturalem.	Then insert the needle with fine silk into the root of the eyelid, and let it penetrate quickly into the eyelid until you pull out a natural hair from above.
Deinde trahe pilum usque supra alinxotati: et intromitte in alinxotati illum pilum: si est unus, aut duo, aut tres, non plures.	Then pull the hair up to the point where the fine silk was inserted: and insert into that same thread a new needle: if it is one, or two, or three, not more.
Deinde trahe manum tuam cum eo, donec egrediatur pilus cum alinxotati in palpebra cum pilo naturali.	Then pull your hand with it until the hair along with fine silk is pulled out from the eyelid with a natural hair.
Si autem trahatur alinxotati, et non egrediatur pilus cum ea: trahes alinxotati ad inferiora, cum filo quod tu composuisti in ea, donec egrediatur alinxotati ex foramine superiori, et uideas eam uisione oculi: tunc enim trahes alinxotati, et filum: et extrahe utraque, et claude oculum: et dimitte ipsum clausum duobus diebus, aut tribus, donec adhaereat pilus loco suo, et nascatur super ipsum caro.	If the fine silk is pulled out and not the hair with it: pull the fine silk to the lower part, along with the thread that you composed in it, until the fine silk comes out from above, so that you may see her vision of the eye: for then you should pull the fine silk and the thread, and extract both, and close the eye, and let him go closed for two days, or three, until the hair sticks to its place, and flesh grows upon it.
Quod si pilus est breuis, tunc aut associa ei pilum longum ex pilis naturalibus, et eleuatur cum eo: aut dimitte ipsum, donec elongetur post spacium, et tunc eleua ipsum.	If the hair is short: then either tie a long thread to it with a natural hair, and elevate it along with it: or let him go until he elongates after a space, and then elevate him.
¶ De cura Alxatrati quae accidit in palpebra superiori.	¶ On the care of Alxatrati which occurs on the upper eyelid.
Caput XIII.	Head XIII.
Quando accidit oculo haec Alxatrati, nominatur Leporina.	When this occurs to the eye, it is called Leporina.
