Ayssi comensan las paraulas de Albucasim .	The words of Albucasim begin thusly.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	And then separate between the eyelid and the heat with a soft cloth, place on the heat wool soaked in hen's egg white, and after use remedies for consolidation until it is healed.
Capitol .xvi.	Capitol Chapter XVI
De inscizio de ungla e de eminencia de carn dels lacrimals.	Chapter 16: On incisions of the nails and prominence of flesh in tear ducts.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	Know that a nail can be in two ways, one being nerve-related, and it resembles a hard, thin ciphac; or not nerve-related, resembling white damp that has condensed. The latter, when you touch it, makes the nail take on a single point, it is detached and the nail does not stick to it.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	And both species do not begin until within the major tear duct, where they gradually expand covering the view and prevent light and heat motion.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	The way to act in the incision is that the patient holds their head where you are, and then open their nostrils, lift the eyelid with your hand, and after carefully cut the nail from a small pebble duplication, extend it to the parts above.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	And then take a pin and insert it into that with a horse hair or cowhide, or from the same, or a strong dog, or gradually extend the tip of the pin and place that in the middle of the nail, then penetrate that with the needle, and fix to the nail; and extend that to the parts above, scrape off the skin at the edge of the nail which severs the pupil.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	And follow that into the hair inside the tail end of it.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	And then insert the remaining part into the tear duct in a fine incision or with small slits, and makes the flesh of the tear duct naturally, such that through this incision there does not develop continuous flow of tears.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	And some times the nail at the sun's edge is extended or on the heel, as we have said, and then it should be scraped out through this opening which has this shape:
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	And remember that in the incision do not touch the corneal epithelium and let it result in rupture, and that the pupil be pierced.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	And the incision gets in the nostril a little salt water or made from vinegar, let that one inside for another day; and after that heal it with water that covers until it is healed.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	And if the nail is not nerve-related and you cannot insert the needle, or it does not stick to that part of the nail, then these remedies for the nail are treated with medicines, and they are healed in this way as I have mentioned and recommended in the division.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	And if you want to detach that, then open the nostril of the patient and take out a fine incision along with the sharpness according to this shape:
am subtilitat.	in subtlety.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	And if you notice that it is becoming rarefied and mixed with the tear duct, then distill from your mouth in the nostril made from vinegar or from apple cider or from salt water, and pour the nostril inside for another day.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	And then perform the operation on that until everything from it is removed, otherwise if the contrary pus ball is in the nostril, then you leave that one, and after healing the pus ball until it is healed.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	And continue with your operation on that with reason until it is healed.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	The prominence of the tear flesh, if you notice by great harm in the nostril, should be suspended from a nail; and cut that one part after another, and do not finish the incision for fear of causing continuous tears to flow.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	And then distill on the tear duct with apple cider vinegar and make it from vinegar until it is healed.
Capitol .xvii.	Capitol Chapter XVII
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	Chapter 17: On incisions of the alveolar and what is born from adjusted flesh in the nostril.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	Some in the nostrils of some people an odd flesh grows, and it is overgrown so that it covers the pupil, or approaches or strengthens near the eyelids, and squeezes the eyelids to the parts beyond and is assembled touching the back wall.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	The operation on you is that the patient holds their head where you are; and then open all the nostrils of that one and collect all that flesh with suitable tools for water, or use forceps or spoons; and after that cut the flesh starting there until everything is finished through the incisors, and remember not to remove that part of it should be your operation.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And make your incision with which you cut those ones or through the gap that we have recommended in the incisions of the nails, or with small slits along which the snail collects as it comes to resemble this chapter.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	When your operation is completed and the entire flesh has been refreshed, then fill the nostril with salt, or distill it into a powdered rue, resembling the powder of corrosive medicines, and place it above the nostril with a slice of raw hen's egg to ensure the protection against pus in case there's an abscess.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	And if any cause of garlic burns the mouth and causes burning in the stomach, then place the nostril on the burn site with water until that burn subsides, and apply it continuously during this operation so that it is cured, similarly treat the adjusted flesh where an event occurs in the nostril of this spice.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	But may you know that all healing of the nostril takes place naturally or accidentally through iron, and do not put your hand into these operations when that member is suffering this operation.
Capitol .xviii.	Chapter XVIII.
De colleccio de sabel en le huel.	On the collection of garlic in the nostril.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	Garlic has rosy veins that are stubborn in the nostril and prevent its operation, and heal the nostril over a period of days.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	So it is necessary at the beginning that you consider whether the nostril with garlic is strong and in it there is no other ailment than garlic, then you remove that garlic.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And you command the patient to place their head in your direction, and suspend those veins with an onion or two according to your discretion; and let that onion be of fine double duplication as follows:
o so dos oncis gradantment en un cos segon aquesta forma:	or if it's two onions gradually in one body as shown below:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	And when those veins are removed with fine subtleties and subtlety, remove the smell immediately afterwards, while you observe those veins being refreshed by the garlic and turned over.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And remember not to let the garlic reach the ends of the nose; and if your operation is in midmorning facing the sun, ensure your operation movement that you only involve those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	And when you have completed, then distill in the nostril with green pepper or rue so that its sharpness corrodes whatever is refreshed from the garlic.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	If it's not possible for you to remove everything at that time, then cover everything with what relieves your pain, and leave him for a few days until the pain in him subsides and ensure protection against pus.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	And apply it continuously to you according to your mother's method so that you are cured.
E aquesta es la forma de las forfexs:	And this is the form of the scissors:
Capitol .xix.	Chapter XIX.
De reduccio de arizati al nas.	On reducing swelling in the nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you treat swellings with a cautery or with an acute burning medicine as described before and it is not cured, then there is no need for you in it, but you must open the pus sac to accelerate its maturation, and drain all the moisture that is inside it, let alone pouring until the bone becomes exposed.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And when the bone is exposed and there's a corruption or blackness, then you apply to him with a stick of this form:
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	And it is named with a sharp tip, and made of iron inside, let the head be red just like that which is made pierced by the hole of an axe or finely drilled (just like in the following form).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And place that above the corrupted part of the bone, and apply rotate it between your fingers, and gently press your hand gradually until you know that this corruption has been removed.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And do it with some repetitions, and apply restore the area from drying and coagulative causes.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	And if the area is hardened and in him there's a good flesh and it has been removed from the disease and garlic for forty days, and it is not renewed and there's no pus in him, then you know that he is cured.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	And if not, then it's not in him but to reduce the fissure to the shape of the nose, and according to this manner: you uncover from below with iron or with an acute medicine, and when the bone is exposed, then take hold following this form:
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	Let the end of your iron be triangular, and let the shaft of it be primarily extended into the end just as shown here.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	And place that above the bone, let it be close to the lacrimal; and extend your hand slightly in the nostril, and apply rotate your hand along the hold until all the bone penetrates, and let him feel the patient through his touch as he finds an exit when you use his hand.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	And then restore the area with coagulative drying medicines, just like these ones are prescribed.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	And when you observe that the flesh and the area are hardened, then the substance which was discharged to the parts goes back to the nose, so this is slight pus on the patient.
Capitol .xx.	Chapter XX.
De reduccio de la eminencia del huel.	On reducing the prominence of the nostril.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	When the nostril protrudes to its entirety and there's no pain or diminution during operation, then you have to guide the patient, and apply you make them breathe in through their neck on the scarification place and let it bleed well; and then apply rest by placing liquid liniment made from aloe and sesame oil and yolk of egg over the nostril with powdered plaster.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	And the method of the powders is that you take linen cloths, and each cloth be duplicated into four parts; and make from those pieces.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	And place those one on top of the other according to the amount that the patient needs.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	And apply firm pressure on those covered by the linen cloth until stiffness appears; and repeat the suction cups over wetness during scarification; and keep the suction cups in place and allow the body to stretch day and night.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	If meanwhile the ligament is softened, then it should be stretched.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	And continue to hold the ligament straight day and night as we have said.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	And if the body has already been reduced, that is good, and if not, then continue with applying plaster over the powders and the stiffness, as well as suction cups until recovery occurs.
Capitol .xxi.	Chapter XXI.
De la inscizio de la eminencia de la tunica uvea.	Regarding the onset of the prominence of the uveal layer.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When there is disruption in the uveal layer, and subsequently it becomes prominent like a slight swelling of the eyelids, resembling a mild inflammation. The shape of the eye is distorted due to this, and if this situation occurs, then the procedure to be followed as we have advised you will be such: You should insert your instrument into the cleft of the uvea at the place left after removing it from above, and then insert another part of your tool near which has a double thread coming out of the lacrimal part. Make that thread penetrate and guide the first needle according to its position; then cut open the area of the double line and lift the portion of the uvea along with it in the groove of the instrument, and press that firmly.
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	And after removing the needle, place on the eye wool soaked in egg white and let it sit until the thread falls into the uvea.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	And afterwards treat the eye with what will make that comfortable once the infection is healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And some inflamed areas accumulate around the entire circumference of the eye within the eyelid, increasing its prominence greatly. Then puncture it with a fine needle that reaches into the root of the eye, and allow the aqueous humor to drain out, and then return the eye down slightly.
E aprop strenh entro que sia sanat.	And after that, strengthen until it is healed.
Capitol .xxii.	Chapter XXII.
De curacio de alconati.	Regarding the treatment of conjunctivitis.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This disease called conjunctivitis is nothing but inflammation that settles in the eye resembling water flowing out, and it's not that one.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	The method of treating it is to have the patient sit on the prepared seat straightly and take hold of his head with your hands from both sides, moving him so that you can see where the inflammation reaches the parts left, then dry it without letting it go down and keep looking at the eye as you see.
E si no descendra en jos, sapias que es aygua.	And if it doesn't descend downwards, know that it's water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	And if the descent of the inflammation isn't prepared as we have said, then make the patient sit between your hands and take a fine needle to pierce it over the eyelid, cutting off just a small part of the conjunctiva on the uveal membrane inside the corona (in that place you look), letting the inflammation be exposed.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	And once it's exposed, then you distill water from the eye into which you have mixed honey or water in which you already boiled fenugreek and honey.
E aprop sia curat am las autras causas entro que sia sanat.	And afterwards treat the other causes until it is healed.
Capitol .xxii.	Chapter XXII.
De la curacio de la aygua descendent del huel.	Regarding the treatment of water flowing out from the eye.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	We have already discussed the properties of water in its division and which one suits to pierce according to the description we declared, then that one according to the health.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	And you should have the patient sit between your hands on a mat and hold his head in place firmly.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	And then place your right hand near the inner eyelid of his eye, if the eye with water is the left eye; or with your right hand, if the eye is the right one.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	And with your right hand take up an almond, if the eye is on the left side; or with your left hand, if the eye is on the right side.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	And then place the tip of the almond near the cornea through the fullness of the eye along the membrane of the inner tear duct, and then scrape the almond with its edge and turn your hand towards that.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	And then penetrate into the membrane of the eye and feel when the almond has been drained due to visibility.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	And you should have the length of the almond's path to the root as being the same measure as the space between the pupil and the end of the blackness, which is the rim of the eye; there you will see the pupil in your view of the eye through the transparency of the cornea.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	And then place the almond in the area where there is water, and pull it down slightly once or twice. And if the water descends right away, then observe the patient so that you see his vision through the almond in his eye immediately, and leave the almond on his eye.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	And then rest for a little while; if the water has descended, then you should wait for that slight moment before removing the almond so it doesn't get stuck.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And when it's thus and doesn't descend, then you extract the almond gently, turning your hand little by little, and dissolve a small piece of clear gemstone salt in water; and with that wash inside the eye. Then leave the eye covered or stop with wool soaked in rubbed oil and egg white, and let the eye rest.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	Those of our time customarily place above that which has been torn in the book of ointment.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	And if you do not resist the urge to push through the wound in the skin due to its hardness - which is true for some of those whose skin becomes hard from pus - then find and use the instrument called an awl, which has this shape:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And therefore pierce that joint, and do not finish your hand at the tendon, and do not let it if it does not make way for the finger in a delicate spot.
E aprop entromet almagda segon que havem dit.	Then insert the finger as we have said.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	And you should complete your work well, have the sick person prepared to sleep decently in a room where they can lie on their back in darkness, and forbid all movements.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And place yourself in the nature of the sick person so that their nature is linearized, and do not let their head turn to either the right or left side at all.
E sia le liament segon la sua disposicio entro al tertz dia.	And let him lie according to his disposition within three days.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	And then release them in that dark bed and unclog the swollen view, and show him some remedies, and soon return his body within seven days.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And don't let you do this during the hour of treatments or shortly after infusion.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	You must avoid doing this because the water could overflow slightly due to its great and strong pressure.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	If an abscess appears in the wound, then you should release the pus before the seventh day, and correct that where there is pus formation.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Then you must observe the person's view and pause over their facial expression for their breath regulation through their nostrils for a few days, existing in the dark room.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And then let them get used to this dark room gradually and converse about its causes.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	And know that within an almond, the disciple cannot see many defects, and thus you should be fervent about the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And already has been reached by us from some of those who are in the Artach, and someone says to make fire in an Ayrac pot that is pierced through which water seeps.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	However, I have not seen this perfectly in our land which has such water, nor is it legal in some of the books of the ancients; and this may be a new thing.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the forms of the species of pots by which one is placed over those where that person does not know them:
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And they should be made of iron or proper copper, and let the ends of them at this subtlety triangular, the sharp end also like that is the form.
Capitol .xxiv.	Chapter XXIV.
De la curacio de carn nada en le nas.	On treating flesh wounds in the nose.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When in the nose there are various buried flesh lumps of which one cause is such that it assembles to a pus-filled spot or a land mass, and this sickness is called a polyp which resembles that land mass.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And if the flesh of him/her is crooked, pitted, dark-colored; and there's the case where the flesh appears to be lion-like but not with a dark color.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Therefore in that which is among these lion-like flesh lumps that are not fraudulent or crooked, you should have the sick person stand between your hands and expose them to sunlight, and open their nostrils, and touch them with your tongue on those flesh lumps.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	And then remove that from the far parts, and carefully cut out what you have understood from those with a sharp, subtle tool between one part so you know all the flesh has been exposed; if there is any significant cause within them for which excision is possible, then use one of these finer instruments to facilitate this removal as it would not harm any significant cause.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	If there is itching or if an abscess appears in the wound, then you should pause on this that concerns; or it's about malignant abscesses, then you squeeze and cauterize that place where the disease has spread and all cavities are exposed.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	And then let it heal in the nose near the incision site with water or wine.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	If the nose is opened and there's moisture inside the palate from this process, then you should know that it has been healed.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	If the moisture does not penetrate as you expect, then you should know that inside him/her is flesh without pus under your nose bones which have not been subjected to excision.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Therefore you should insert faith into him/her where there is any lump, and drain the pus with the help of water, pause between each nut between one ounce or measure, and let the sick person stand and insert an end of the faith in their nose towards the ray or another cause which could be within them.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And after this is done, let him/her exhale its smell so it reaches the canals of their nose, and stand over his/her nostril area, which causes many defects in making these actions seem like what children do in schools, it's a slight reason to do that.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	And then pause the two ends of the faith, one end that extends over the nose and the other which exits in the nose, and then manage flesh stitches on the nostrils that are within the faith, and do this knowing that the flesh is already around the nostrils of the faith.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	And then remove the gall bladder, place in the nose near the extraction point of the tongue a spoon, and do this for three days or more until the ointment has dissolved all that is rotten in the meats.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	And at the end of the cause, place a lead tube in the nose for several days until healing occurs.
Mays si endigeys de curacio que exsique, usa de aquela.	If there is a cure that dries out, use that one.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	And this is the form of the apparatus for head-venting which consists of distilling oils and medicines in the nostrils:
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	And make this of silver or copper, which looks like a small open lamp, as small as a little basin, and the mouth similarly.
