Ayssi comensan las paraulas de Albucasim .	This begins the words of Al-Baghdadi.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And do not remove your hand from the area of the cautery, but rather in the process of its application.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And it is said by some old men who are among the people that use to apply iron-like cauterization with fire in this area which is between the ribs, up until we reach this place and heal it there as we have mentioned for this place of the wound.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	There should be no fear in this perforation with the cautery; it is just like what happened to you recently when you injured yourself at the site of the fistula where healing did not occur.
Capitol .xxx.	Chapter XXX.
De la cauterizacio de la melsa.	On the application of the cautery to meat.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you treat the illness of meat as we have discussed in its division and do not apply your treatment, then using a cautery on it occurs according to three ways, all of which are perpendicular. One way is to make three or four lines in a row along the length of the meat according to the shape of the cauterizations in the wound, which I have already described.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	And between each cauterization leave the thickness of a finger or even less, and the way to apply the cautery is the same as we have described in the cautering of wounds.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And do not remove your hand from the area of the cautery; and let the patient rest on their elbows.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	And there is another way to apply cautery; that means you ignite the cautery with two streams of fire, a fact we have mentioned in the chapter on dislocation of muscle. And raise the patient's body from behind so as not to let the discharge of the left thigh reach the area where the meat was wounded.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And your elevation should be at which you raise the body according to the length of the torso, so that the cauterizations are made according to the width of the body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And then insert both streams in the middle, ignite them, in that place where they penetrate from the other side.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then remove the cautery; and thus four cauterizations are made.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you see fit, apply the cautery with three streams of fire.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And then you treat the effects of the cautery which has allowed blood to flow for too many days; this is preferable compared to other previous causes in treatment.
Capitol .xxxi.	Chapter XXXI.
De cauterizacio de ydropici.	On the application of the cautery to dropsy.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cauterization should not be applied to dropsy but only in places appropriately.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you treat dropsy as we have described in its division and do not apply your treatment, then you should use the following method: cauterize with four cauterizations around the belly button, one on the stomach, another on the wound, another between the two kidneys, two cauterizations on either side of the backbone, one on the right side of the leg, and another on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the depth of the cautery should be as wide as the thickness of the body part being treated.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And then leave the application open for a long time until blood flows out properly.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not remove the patient from treatment near the cautery as it causes confusion and hinders the healing process. It should be treated with rest and aid for recovery.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery which is applied to the abdomen should be elongated as per its previous form, and the area where the cautery is applied on the back should be like an olive according to its previous form.
Capitol .xxxii.	Chapter XXXII.
De cauterizacio de pes e de las coyssas.	On the application of cautery to the legs and thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the legs are swollen with watery dropsy and filled with salty water, you should apply cautery to the back of the feet up to the area between the thumb and little finger. Lift your hand next to the cauterization and do not twist it; then lift your hand and do not return it completely as the salty water will drain out.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	The application of the cautery is as follows: Apply two cauterizations on each thigh, and in every part place a cauterization at the tip of the knife-like extension.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And the application of the cautery should be according to the length of the thigh: hold one end and the other is in the middle of the thigh; on each thigh, two cauterizations.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And leave the open wound for a long time as part of treatment so that some water drains out from it.
E aprop cura le am aquelas causas las quals havem ditas.	And then treat those causes which we have mentioned.
Capitol .xxxiii.	Chapter XXXIII.
De cauterizacio de cos de ventre.	On the application of cautery to the abdominal region.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When abdominal pain is due to wind and moisture inside causing digestive and retaining processes, they are within the stomach and in the intestines. This condition can be treated using standard therapeutic methods without causing harm; often, patients endure the exhibition of the disease's symptoms by undergoing a stomach cautery procedure. In this case, it is necessary to perform a large stomach cautery according to the sequence established during the gastric cautery process, followed by a circular cautery and four cauterizations in the area below the umbilicus, including subtle pin-point cauterization; and a large cautery over the navel region, or two cauterizations.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if you encounter excessively abundant moisture and the patient can tolerate it, then perform a cautery on the groin area and over the intestines, reinforcing your adjustments with two cauterizations on the stomach and close to the inguinal region. This is a complete cure of youth that will not fail.
Capitol .xxxiv.	Capítulo XXXIV.
De cauterizacio de emorroydas antiquas.	On the cautery of ancient hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When dealing with ancient hemorrhoids of a large humor or corrupted moisture, if they are treated as we have said in the division and you do not cause harm to your treatment, then perform three cauterizations on each of the two small and triangular buttocks' pus points. Also, conduct one cauterization above the navel groove for two times.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if you feel that the stomach of the patient is cold and the food they eat isn't digested well, plus if their face appears pale, then perform a large stomach cautery according to how it was done before; also do one on the tongue and another on the chest. Use a subtle pin-point cauterization for these procedures. Allow some time after each treatment for healing, and soon after this process, they should recover.
Capitol .xxxv.	Capítulo XXXV.
De cauterizacio de atheyl aprop la abscizio de lor.	On the cautery of the liver near the appendix.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you remove the liver, then you apply the cautery that is akin to fire.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Place the heated tool into that liver incision, and as you perform your work, ensure the cautery reaches the opening of the vein from which the disease spreads.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And do this once or twice; if the liver is too big, then cauterize each of them according to what we've discussed earlier. Also, cure those with treatments you administer until they recover.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you apply a large cautery to the liver, it will heal better during youth.
Capitol .xxxvi.	Capítulo XXXVI.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	On the treatment of fistulas that naturally occur in the parts of the body.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature does not conform to the treatment we've recommended in its proper place, and the patient is frightened by this, they should be treated with cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	So when a certain one has a fistula in nature and it's ancient, full of sickly fluids, and contaminated pus, then that which is the essence worth discharging from it should be extracted with gentle probing. And you ought to understand the depth of its extent while conducting this probing process.
Aprop igneys le cauteri que es semblant a ray.	Place the cautery that resembles fire.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And place the ignited cautery in this fistula, according to the depth of the probing.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And apply the cautery repeatedly inside until those corrupted bodies are consumed; do this one time or two times, or three times according to your need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And protect yourself from burning nerves and veins; or if the fistula reaches to the bladder's blood vessel or intestines, then protect all those areas. Do not perform this operation until you're sure that the fistula is in a fatty area and there's no possibility of it penetrating further.
E aprop cura le loc entro que sia sanat.	And treat the affected area until it heals.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the area has healed, and all substances have been removed from it, and they continue to do so for a long time, then you will know that it is completely cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the substances are not his own, then you will know that it is penetrating or in the vicinity of his organs, or that there lies a reason for this condition in those causes whose memory will return to him at that place.
Capitol .xxxvii.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
De cauterizacio dels ronhos.	Regarding the cautery of the ears.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in the ears there is pain due to scratching or through great windiness, and when the patient's ear is reddened, then one should consider cautery of that on the ears with a cautery over each ear with a pointy tool whose handle helps remember the procedure.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And for the second one, slightly apply the cautery, so that three linear cauteries come forth, and therefore they will be more at the back in youth.
Capitol .xxxviii.	Chapter XXXVIII.
De cauterizacio de la vesica.	Regarding the cautery of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When it happens in the bladder due to scratching and wetness causing urine retention, if the patient cannot urinate, then apply cautery at that sensitive spot over the bladder, like starting points of the skin on the penis, and do so with a single cautery tool at that sensitive spot on the right side, and another on the left side.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And the length of each cautery according to the size of the feet' nails; apply cautery with a tool at that sensitive spot on the lower part of both sides, or use two tools if necessary.
E sia cauteri clavilh segon que es procesit.	And apply pointy cauteries according to how they are performed.
Capitol .xxxix.	Chapter XXXIX.
De cauterizacio de la mayra.	Regarding the cautery of the throat.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When there is scratching and wetness in the throat, causing it to be difficult to swallow, and menstrual periods are disturbed for this reason, delayed or not occurring at all, and pain arises in the throat, one should consider that this area needs three cauteries around the navel, as we have described earlier when treating the bladder; and also apply a pointy cautery tool over that sensitive spot on both sides of the body, either using two tools if necessary.
Capitol .xl.	Chapter XL.
De cauterizacio de la dislocacio de l’anqua.	Regarding the cautery treatment for a dislocated shoulder.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When wetness causes the muscles to infiltrate the shoulder joint area and creates instability in its location, a sign that this occurs is when one arm extends beyond the other when compared.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the place of the dislocation is compressed within the armpit region.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then consider applying cautery to the patient's shoulder area as if drawing a circle similar, once you have marked it out around this circumference in the shoulder region just like it is rotated, and for that reason, when the shoulder rotates, the center of the circle will be the right spot.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And follow the same form for applying cautery as described in the treatment of the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this kind of cautery is not at your disposal, then apply three large olive-shaped cauteries.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And apply the cautery according to the intensity of pain in all parts of the body; and then proceed with caring for that area until it has healed.
Capitol .xli.	Chapter XLI.
De cauterizacio de la vena sciatica.	Regarding the treatment of sciatic vein cautery.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain occurs in the shoulder area, caused by scratching and wetness for this patient, the treatment we have mentioned is applied to the patient without delay, and then it gets cured. So consider that you will let out the body fluids through pills made of honey or artificial pills or similar; and then apply cautery to the area.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the method of applying cautery in this case follows two methods: one is using cautery with burning medicines, or the other is applying cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	There are two scientifically recognized methods, of which one is to apply three triangular-shaped cauteries over that area on the shoulder width of the patient as described, and ensure they have good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And the distance between each cautery is equivalent to the thickness of your finger, and apply either an olive-sized or large cautery.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	May some improvements be made on the mid part at the head of the shoulder blade so that there are four cauteries in total.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish, apply cautery as described in the treatment of a shoulder dislocation using this circular method, which encompasses and burns away pain throughout the entire body.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the method of applying cautery in the form of heat when pain is localized to the shoulder and does not extend within the chest.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	And if it does extend within the chest, then apply two cauteries on the breast over the area where the pain is concentrated; and one cautery at the ribcage slightly to the right of four finger-widths.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if it's a surgical knife cautery, then the depth of the cautery should be according to the intensity of pain in the body.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the pain is centered within the area between your feet and hands, then apply cautery here at this location, using a point for three points or four or more if it's necessary.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the pain is localized in front of your chest area, then apply a surgical knife cautery here.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And always remember that when applying cautery, you should not continue until the process burns nerves or large vessels, for this can result in damage to the body or contraction.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And I have seen both of those who apply cautery on the ribcage and finalize during the process, then fire inflation within where the tumor has obtained the foot, and fire perforates and decays throughout the foot.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And it happens that there's an intense stomach solution, and at that moment death occurs.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two parts simultaneously, cauterize each one according to this manner.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And some wise people say in the cauterization of water cautery, this is how it should be done: make it resemble a circular iron piece where the circumference is about the size of a hand; and make its opening according to the thickness of a finger bone or perhaps slightly less.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And inside that circle place another metal piece; and make the space which is between them equal to the length of a toe; and those circles should be opened in two parts each; and the length of those rods is one toe or two toes, and make the iron grooves suitably aligned within the circles; and this is its form:
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	And it should be ignited in the fire until it heats up and sends sparks, and then it should be placed on the water part, with the patient standing upright.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And thus cauterize that area with three round water cauteries.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And let that area rest for three days; then, cover that spot with bandages and let the opened wound heal properly for many days; and treat that area with ointment until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Albucasis: or, children, of this type of cautery we have used few for the sake of examining them, and for this reason we have found those that watch over them.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	Consolation to those who suffer from large cauteries, and finds the place of pain for them.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	Consolation for the cautery with medicines attached is that you make two circular holes in each, through which the steam of iron water escapes; and the length of the part on the patient should be about two or perhaps three times this size.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space which is between each part has the amount of thickness of the iron rod; and place them under and above each other, and make sure they contain one within another according to this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And place the patient's foot in the water part with them standing upright, and press your hand on the water part; then take hot water and pour it between the two circles, making sure its quality is with a small fire, and let that be for an amount of one hour, and make the patient endure the biting sensation - as if they were being bitten by fire - until the biting sensation ceases.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then lift your hand to the instrument and wipe off the hot water from all of the water with lukewarm water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And let that area rest for three days and place a poultice over it where the color of the healing is intensified, and let this be done for several days, then the body will run off from the patient; this comes at the end in youth.
E aprop cura aquel am enguentz entro que sia sanat.	And treat that area with ointment until it is healed.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain extends into the thigh or chest, make the patient stand in a position containing water as is done for water cautery.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the method of iron water, and I have already written about it in the treatise on the rectification of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe of alkali and ash not completely extinguished in equal parts one-third each, mix them with a new wave where the part left is pierced through a small rod, according to the amount that fits into your fire.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And place the bottom of this wave another wave in such a way that it sends water over the live alkali and ash with lukewarm water which catches them as wide as your finger, and when you squeeze these between your hand for good pressure, let the steam that comes out from the sharp water of the part left to the new wave.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then adjust all that water, and pour it over live ash and new alkali, where this will have strong acidity from the moment on, which is administered in operations of medicine and in cauterization of other limbs, this operation being done with fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And some medicines among which there is a large cauterization, as with thyme vinegar and honey and ash in water that should be mixed.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And as for the treatment of a man from antiquity in terms of surgery and healing, which is used to heal pain caused by water and sciatic vein, this method is very effective, and it doesn't require any other kind of treatment, and once healed in one go as described, it makes him feel light on his feet and already feels better in that way.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it should be taken close to a minty vert, and if there's no vert available, take a recent fig; then mix it with a little water and place it in the water where the pain is, or on the thigh, or on the chest, and let it rest.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And leave it for a duration of three hours or until the patient feels relief from the pain.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And then immerse that in water until the patient's body turns red, and then place it in the sun, where the pain will cease and healing will take place.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	And know that one should not use these medicines with cauterization unless it's for the purification of the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	Consolation from Escorides states that when there's an injury to the vein, it is cauterized; and this is how you perform the cauterization: take wool and soak it in old oil, then place it between the feet and below the knees.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And then take a goat's skin, make it bleed in the fire where it has been burned with charcoal; and place him over the wool, let it stretch while it is being heated.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And continue this process, and do not stop doing this until the sensation of gnawing enters the water and rests on the pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	And this method of cautery is called cattle's cautery.
Capitol .xlii.	Chapter 42.
De cauterizacio de dolor de dos.	On the treatment for pain in two stages using cautery.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some pains in two places are caused by several reasons, such as impact or striking or excessive evacuation, and for reasons similar to those, due to the infusion of moist and irritating matter.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cautery is not like any other; it is made in this single kind which is produced by the discharge of irritant matter.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Then remove the waste from the thigh with fitted pills and make them similar to these, which are made over both sides where there is pain, three lines according to the width of each one; try with tests in each line up to cauterizations or more, depending on the amount that can be tolerated by the patient and its effectiveness.
E sia fayta cauterizacio am cauteri de punt.	And this is done with cattle's cautery using a pointed cautery.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you want, you can cauterize with three or four cattle's cauteries according to this method:
Capitol .xliii.	Chapter 43.
De cauterizacio al comensament de gilbositat.	On the treatment for glibesity using cautery.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Some symptoms associated with this disease in young children; and the sign of its commencement in children is that it affects their skin and causes elevation and movement.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And it appears behind the lower part of the back and on the buttocks where it already begins to rise above the other vertebral bones.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And when you do this and want to stop it, then cauterize that with cattle's cautery according to this method:
que prengua le cauteri sobre tota partida del spondilh engualment.	let the cautery touch all parts of the spine equally.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you want, cauterize along the circumference of the spine with two or three lines of cattle's cautery.
