Ayssi comensan las paraulas de Albucasim .	And the book begins.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	The patient's body is treated by applying forceps to hold them in place and use of a hot cautery to remove the excess humors.
E aprop leyssa aquela ayssi streyta cum roman.	And place a cushion on their legs.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	And you have to be careful with the foot so that it does not become swollen or ruptured.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	And if you see two humors from the same person, then put your hand on their head and say "This is the way to do it."
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	And then they are burned by the cauterization.
E no fa aquo sino bo artifexs e savi.	And so, it is called gout if the pain occurs in the legs.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	And if a member is affected by a pain caused by cold humors, and that pain is in their foot, then they are said to have the gout.
Capitol .xxxiv.	Then apply the poultice or cautery to the affected area on their feet.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	And from the ligament which is connected to their feet by the tongue.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This sentence appears to be about ligaments and their potential role in causing pain.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	Let the patient be treated with cauterization for the treatment of their condition.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	If the patient experiences pain in the joints or has a gouty condition, the doctor will be careful to avoid confusing their symptoms.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	If you are careful, the pain in the foot will be eased.
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	And if necessary, apply a poultice to the affected limb after the initial treatment.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	This describes what a physician should do if a patient has a blockage in the intestines due to gout.
E aprop aquel cura am las autras causas entro que sia sanat.	Then place it on their legs, so that the pain does not spread.
Capitol .xxxv.	This refers to gout, which is a form of arthritis.
De extraccio de ranula dejos la lengua.	Then apply the same cushion on their feet.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	And if the pain is severe, apply another cauterization to the area; otherwise, it is a simple gout.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	Then apply the treatment to the patient's legs.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	And if the pain is in the foot, and it's felt in the feet, and the person has a sharp pain, place a cushion under their foot, so that they can no longer feel the pain.
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	E si es, that is, if you must do a cushion for his/her grief.
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	Then apply the appropriate remedies to restore your health to its proper state.
Capitol .xxxvi.	The meaning of "Capitol .xxxvi." depends on the context. It could refer to a section or chapter number in a book or treatise.
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	This describes how to treat an injury if you need to use the information for treatment in the future, you can refer back to this text.
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	When the patient's body has been afflicted by the fire of illness, such as the throat, you must place a hot iron on their neck, to apply cautery to the affected area.
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	And if the pain is severe in the legs, do not touch them; they are only to be treated with a poultice on the affected area.
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	When one needs to cauterize an area, such as if there's pain in the foot.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	E then you should consider whether the doctor has already treated them for the ailment, so the patient is in their normal state.
E sia fayt de argent o de aram, e sia subtil cum cotel.	And if it is made of silver or iron, use a knife to make them better.
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	And if the pain is in the legs or feet, it is best to use a hot cautery.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	And so treat them with whatever remedy will address the cause.
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	And if a person has a slight limp or stiffness in their gait, it is called a "forcep" by doctors.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	And if a cautery is present, apply it to the bowels so that they are kept in their place.
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	And then apply a poultice to the wound on their leg.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	Mildew, if you want to avoid its harm, can be treated by poultices made from herbs, or by boiling and reducing the amount of moisture in the environment.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	And then apply cautery to the legs in order to treat the other ailments that may be present.
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	And the woman was already being medicated, which she had brought on herself by her own bad humors, but she was still suffering from the same symptoms.
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	And the abscess had grown so large that their legs are now held open by two openings.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	And if there's an accumulation of humors that cause pain in the body, they're to be treated accordingly.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	And then you have applied a hot iron to their legs, but only a little blood.
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	The cushion will be placed on the thigh or foot, depending on which one is affected.
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	And if you are affected by evil humors, they should be cauterized, as the physician will tell you.
Capitol .xxxvii.	And if needed, treat the affected area with other remedies.
De inscizio de huvela quan es apostemada.	From incision of the thighs when it is caused by gout.
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	And if the illness affects the legs, the physician places a cushion on the foot to relieve its pain.
Mays quan es curada am aquo que havem dit en la divisio, e no comfereys la tua curacio, e eyssament ja vezes que apostema caut ja es ostat de lu e es subtil, lahoras cove que tu inscidas aquela que es agreguadas redonda; e si es ad aquela longitut, e es sanguina, de fusca color o de negre, e no es a lu centiment, lahoras cove que tu temtes la inscizio de lu, quar en aquela es temor sobre le malaute.	Then if you are curing a sore that is caused by an imbalance in the body's humors, you should know when to stop cauterizing because the patient's leg is being healed.
E quan tu vezes aquela segon la manieyra que yeu he dita de la sua blancor e longuesa, que tu fassas sezer le malaute e premas la lengua de lu am instrument del qual procesic la sua forma e aprop fica le onci en la nuva, e tira aquela en jos e inscideys aquela am un de dos instrumentz les quals e ditz en la inscizio de dos mellas.	When you have identified the patient's illness by its symptoms, such as pain in the joints and muscles, it is customary to call it gout.
E cove que no inscidas aquela sino aquo que es ajustat sobre le terme natural ses addicio, quar si tu inscides de lu mays, lediyras le sieu parlar.	And if you are going to write about it, it should be said that the pain in the joints is called gout.
E aprop la inscizio, usa de aquo le qual havem recomtat en la inscizio de dos mellas, e cura aquela entro que sia sanat.	And then apply a cautery to the patient's legs.
Mays si era le malaute espaventat per la inscizio de lu, cove que use de engen en la cauterizacio de lu ses temor, e la manieyra del cauteri en lu no es sino am aygua aguda, e es que tu pauses le cap del malaute en le tieu se, e aprop prem la lengua de lu am le instrument le qual havem dit, e aprop pren de l’aygua la qual havem dita en le capitol de cauterizacio, e comfeys am aquela caus viva, e pausa aquela no spessa ni subtil, e de aquela omple la concavitat de l’estrument del qual aquesta es la forma:	If a doctor uses an instrument to treat a patient's pain in the feet, it's called a cushion-based treatment, which is if the patient's feet are affected by a specific ailment.
Sia la extramitat de lu conquavitat en la qual sia pausada la medicina ayssi cum la conquavitat de culher de ray, e pausa le strument am la medicina sobre la vula, e·l malaute jagua sobre le sieu latz per so que corro saliva o musellage de la boca de aquel per la intrinscequa medicina, per so que no deyssenda de aquela deguna causa sobre le golayro de lu e que ledesca aquel.	This is a medieval medical treatise describing how to treat a swollen joint by applying a pointed cautery to a specific area.
E aprop te la tua ma am la medicina, e exprem aquela sobre la uvula per l’espazi de miega hora entro que vegas aquela esser denegrada e sedada per la mordicacio de la medicina.	And then place your hand on the cushion so that the patient's pain subsides.
E si vols, prengues coto e envolopes aquel sobre la extremitat del ray, e submergeys le coto en la medicina, e entrometas le ray am le coto en una canula de sobre entro que·l coto adheresca en aquela canula, e fay aquo tantas vetz entro que consiegues aquo que vols de la cauterizacio de la uva, e aprop leyssa aquela quar ela se seccara e cayra aprop tres dias o quatre.	Then you have to put the patient's feet in a warm cautery, and apply other treatments for three days or four days so that they dry up.
E si indigeysses que iteras la medicina, itera aquela, e aprop la cauterizacio abstergeys en le circuit de la uva am coto enbegut en boder, e mondifica am aquel aquo que es en le circuit de lu de la medicina, e sia lavat am aygua frega, e sia curat deforo am embrocacio, e dedintz am guarguarismes entro que sia sanat.	And if you find the patient suffering from the ailment, then apply heat to that area, and apply the same treatment to the other legs.
E aquesta especia de curacio es pus salva que inscizio e pus long de temor.	And so this type of healing is more effective than cautery and more effective than fear.
Alcunas veguadas es curada la uvuola am aquo que es pus subtil que cauteri e inscizio, quar es curat am subfumigacio en aquesta manieyra: recipe calament, ysop, origua, ruda, scicados arabic, camamilla, broyda e semblant ad aquels de las erbas, e ajusta totas aquelas causas, o alcunas de lor, en una ola, e sian submergidas am vi agre, e bulhan; e la ola sia be lutada am lut decentment, e sia en le mieg loc de la ola un trauc, sobre le qual sia pausat un instrument conquau de aram segon aquesta manieyra; sia fayt de argent o de aram.	When the wound is caused by cold and dampness, treat it with a less harsh method, such as using a poultice made of silver or gold, which is applied to the affected area, but if there is no improvement, use a more aggressive approach.
E sia entromesa la extremitat en la boca del malaute entro que la vapor poge a la uvula sobre la quanula, entro que la uvula sia mot ofuscada.	And if the pain affects the throat, they should be treated with a cushion on their feet, and another placed to stop the vapors from affecting the body.
E aprop itera sobre aquela motas veguadas entro qu’es secca, e guarda te que no fassas aquesta curacio al comesament de l’aveniment de apostemas, quar trop ajustaria en le apostema, e no cove que tu fassas aquo, sino deves la declaracio de apostema de lu caut.	Do this at the beginning of the treatment for cushion-related ailments.
Mays si no es a tu present aquest instrument, lahoras pren una cana e compon en la extramitat de lu un clos de huou, per so que la boca del malaute sia comborida, quar le closc del huou prohibeys la vapor comburir la boca.	This means that if you have a cushion in your hand, you can use it to stop the pain from spreading to other parts of the body.
E aquesta curacio es bona am salut.	And this cure, if done properly, will bring relief from the ailment.
Capitol .xxxviii.	Capitol 38.  (Assuming the ".xxxviii." refers to a chapter number)
De extraccio d’espinas e de aquo que adhereys en le golayro e de las autras causas.	And if it is necessary to remove them from their body.
Motas veguadas adhereys en le guolayro o spina de peys o alcuna autra causa.	And if it is necessary to apply cautery to the foot, they are saying that the patient has gout, which is caused by a cold humors.
Adonc cove que tu extraguas aquo que de aquels es apparent, sobre le qual catz la vista, pus que tu premes la lengua am instrument denant solelh, per so que a tu sia declarat aquo que es en la guola.	And if you want to keep the pain in the patient's body from spreading, you should put the following on their tongue: a cushion under their feet, and another cushion on the other parts of the body, for example, the legs.
E aquo que no apar e es a tu occultat en le guolayro, cove que tu fassas vomir le malaute denant que la vianda sia degerida en l’estomac, quar fort leu la causa annexsa le golayro sira foro-getada per vomit; o que deglusia le malaute una pessa de nap o de razit de laytuga o un boci de pa sec; o prengua una pessa de sponga marina sequa leon, e lia aquela fortment am fiel, e aprop le malaute transglussia aquela, quar cum perve al loc en le qual so spinas e es extrahuda, lahoras so foro-getatz.	When you see that the patient's body has been overheated by the sun, use a cushion to prevent them from feeling the heat.
E mays pren una anguila e be am fiel liada, e sia dedintz mesa e soptament sia extrayta; o pren un porr e soptament le metas e soptament l’en tratz.	And if you cauterize the wound, the patient will be better off for it.
Mays si no so foro-getatz am aquelas causas las quals havem ditas, lahoras husa de un instrument de plom segon aquesta forma:	Now apply a poultice to that area according to this method:
E sia pus gros que ray un petit, e en la extramitat de lu sia conquavitat la qual tu entrometas en la sua guola am facilitat.	And then apply a poultice to the patient's legs, for they are the ones who need to be treated by cauterization.
E el aga le sieu cap elevat en sus, e guarda te que·l tocament del sieu os de la gola, per so que endevengua a lu cos e am aquela que enpellesca le os o la spina, o que aquel le metge am la sua ma.	Then place a bandage on the bone to protect the skin from being burned by the cauterization tool.
Mays empero que·l malaute aquel entrometa es miels, per la sua sciencia del loc de la causa annexa e enpellisca en jos, e tira la sua ma am le instrument en sus, tot aquo segon la quantitat la qual es a lu preparada entro que sia foro-getada.	Then he must be treated for his ailment.
Capitol .xxxix.	Capitol .xxxix.
De extraccio de sancguisugua annexsa al golayro.	And so you should apply a cushion to the patient's neck and nothing else.
Quan es medicada sanguisugua am aquo que havem dit en la divisio de la curacio am medicinas e no comfereys, considera lahoras en le guolayro del malaute al solelh, pus que tu aias compremuda la lengua de lu am instrument le qual a tu havem recomtat.	When the patient's tongue is treated with medicine, consider carefully their position so that your hands are free to use other methods of treatment.
Donc si tu vezes la sancguisugua, extratz aquela am onci petit o am gesti subtils decentment.	So, if you understand what's going on with your body, you will be able to treat it properly.
E si no es a tu possible estrayre am aquel, lahoras pren una canula concava e entromet aquela en lo guolayro del malaute, e aprop pausa en la concavitat de la canula un ferr ignit, e fay aquo tantas vetz (entro que la sancguisugua sia morta e se osta del guolayro) e abstengua se le malaute tot lo jorn de aygua.	And if it is not possible to hold the patient still, use a tool to open the space between the patient's thighs.
E aprop prengua una veyria plena de aygua frega, e obra la boca de lu en aquela, e lava la boca am aquela; e no trasglucia de aquela alcuna causa e maugua l’aygua una hora aprop autra am la sua ma, quar la sancguisugua tantost cum sent l’aygua catz.	Then, place the cushion on their hand, and to prevent the patient from experiencing pain.
Mays si no es foro-getada am aquo que havem recomtat, lahoras subfumigua le malaute am cimetz o am assafetida per le instrument le qual havem recomtat en la sufumiguacio de uvula.	If your body has too much fire, it will be treated by applying hot stones to joints.
Fay aquo, so en quar cayra.	When there are pains in the foot, it is customary to apply cautery.
E es un’autra manieyra de operacio en sufumiguacio de aquela, es que tu prenguas una ola en la qual sian carbos ignitz e la ola sia cuberta am una cobertora en le mieg de la qual sia un trauc, e sia compausat en aquel trauc la extremitat del instrument; e aprop dega desus la subfumigacio; e pause le malaute la sua boca en la extremitat de la canula, e claugua la sua boca per que la subfumiguacio no sia foro-getada entro que sapias que la subfumigacio es pervenguda a la sancguisugua, quar la sancguisugua tantost cayra.	And then you must use a cauterizing iron.
E si no catz, lahoras tu itera la subfumiguacio motas vetz, e abstengua le malaute de beure, e mange causas saladas e alhs, e no begua aygua, e ayssi necessari es que am aquest regiment sia fora-getada.	And if you don't drink, avoid foods that cause inflammation, and eat only bland foods, and apply a poultice to their legs.
E aquesta es la forma del instrument am le qual es trayta sancguisugua del guolayro quan es vista; e es semblant a forceps ayssi cum vezes, sino quar es en lu alcuna curvitat:	This sentence describes a method of using a cautery tool to treat the condition of the joint pain caused by cold humors.
le qual sia mesa al guolayro, e la extremitat de lu es semblant a bec de ciconia, que es guanta, en la qual es aspretat de lima, per so quar, quan comprem alcuna causa, aquela no leyssa.	Then apply the hot cautery to the neck if needed, for the cure of the patient, and put the affected area in the same way as the other, so that the pain will be similar to what the doctor calls gout.
Capitol .xl.	The title "Capitol .xl." suggests a chapter heading, likely referring to Chapter 40.
En le qual es la suma del sermo en apercio de apostemas e en seccio de lor.	When the pain of gout manifests in the legs, it is called leg pain by doctors.
Les apostemas so motas specias, de motas manieyras, segon que ve rememoracio de lor, de quascuna en aquest libre.	And if they are caused by the same thing as a boil, and if they are caused by a disease that causes inflammation in the joints, we call it gout, which is what it says here.
E so diversas en perforacio e seccio de lor per doas manieyras, de las quals la una es per la specia de apostemas en si meteys; e per aquo que comprem de las humiditatz.	And then there are other ways for the treatment of these abscesses, so that they do not spread to the others parts through the use of various methods.
E la segonda manieyra es prop les locs en les quals accideys del cos, quar le apostema accident en le cap es autra de la apostema accident en le cul; e le apostema en le loc carnos accident es autra del apostema accident en junctura; e a quascun de lor es son juguament per operacio.	And le cushion es in le cul, then it is called the second stage.
E mays de apostemas so alcunas las quals cove que no sian perforadas sino aprop maturacio de la sania en aquels o compliment de lor.	When wounds are deep, they're healed with a cauterization technique.
So autras apostemas les quals cove que sian traucatz quan son cruzes, e no son maturatz segon lor compliment, ayssi cum apostemas que son propdas a las juncturas, quar apostema quan ve prop junctura, lo esser de lu es prolonguat entro que·s poyreys aquo que es en le circuit de lu, e fort leu son corromputz les liamentz o les nervis de aquela junctura, per que es fayta causa de contraccio de aquel membre; o es apostema prop de membre principal, e si tu tardas la perforacio de lu entro sia madurat nosira al membre principal; o es prop le cul, donc perfora aque no-madurat; e no cove que·l perforas cru, de no-complida degestio, sino aquel que es prop del cul, per so que no poyresca le preon de lu e sia elonguat a las partidas dedintz del cul, e sia fayta fistula, o que sia fayt en le terme de lu que no sia sanat.	The first few lines are already in a language similar to English, so we can assume the rest follows suit.
Mays cove que tu sapias la hora de la perforacio de la apostema, e aysso es quan es maturat.	When the abscess has matured, you should apply a hot instrument to the abscess.
E sapias que es madurat quan es la cedacio de la dolor e la cessacio de la febre, e aprop la diminucio de la rogor e de la pulsacio, e la acuitat del cap del apostema, e les autres senhals.	Then apply another hand to their legs to prevent the swelling from spreading and other symptoms from worsening.
E quar cove que sapias la perforacio cazer en le loc pus dejos del apostema e de pus venient de curacio de la eminencia.	And if it is necessary to cauterize a patient's boil or abscess, one should first open the location and then apply heat to the area.
E perforacio tostemps sia per le lonc de la carn o del cors, si las apostemas son en las partidas de las mas o dels pes, e en loc dels lacertz, de las cordas dels nervis, de las arcerias; e, al derier, en totz locs enguals en les quals no es reflecio; quar en aquels que so reflectitz, usa de perforacio segon aquel membre.	And if the blood vessels are inflamed in the long bones, they should be treated with a cushion on the affected area.
Mays quan le apostema es en loc carnos, lahoras miels es que leysses la perforacio de lu entro que sia confermada la digestio de lu segon compliment, ayssi quo havem dit; quar si tu perforas aquel denant aquo, es prolonguat le cors del poyre de lu e de mota sordicia, e fort leu las labias de lu so enduradas e la profunditat de lu.	Mays be honey and apply it to the wounds, which are already confirmed.
Mays alcus apostemas so perforatz segon la latitut de la carn o del cos deves la necessitat, o segon aquo del qual lo membre indigeys.	The patient needs to be bled if they have pain in their legs or feet.
E cove que administres petita perforacio , e·n les apostemas grans gran perforacio e ampla o motas seccios segon la diversitat de la grandesa dels apostemas.	And if they are large, treat them with a cushion or a sharp incision on their legs.
E autras so dels apostemas en les quals cove que la codena sia conquavada e sia encidida, quan es fayta ayssi quo pan e fayta es en terme que ja stigua, ayssi cum aquel que accideys en trops de dubelec e de bubos.	And others use other remedies for abscesses in the limbs, such as applying heat to the affected area.
E de aquels so que so insciditz am seccio havent tres angles; e de aquels es en le qual es inscidit ayssi cum figura de fuelha de mirtra, ayssi cum las apostemas dels angonars.	And in the others have three angles, which are called the bowels?
E de lor so en les quals es administrada seccio redonda e seccio lunar, e semblantz ad aquels.	And on their feet, they will be treated with a cautery.
Mays aquel al qual no es cap ayssi cum son apostemas leons superficials, cove que tu perforas aquel am perforacio superficial, o plana tant solament.	Then apply heat to the affected area if you need to cauterize them.
E cove quant le apostema es gros e ya ha colligit mota sania, que perfores aquel e no te coytes que extraguas tot le poyre en aquela hora; habantz extratz de aquel una partida, e aprop opila le apostema entro al autre dia, e aprop extratz una partida major, e aprop fa aquo motas veguadas segon graduacio entro que sia foro-getat.	The boil is large and already drawn in the body, which means the patient has been treated for a while, and you are warning them to be careful with the cushion or their pain will be greater, and then what will they do?
E majorment si·l malaute es de freol vertut, o femna prens, o enfant petit, o viel en decrepitut, quar l’esperit animal motas vetz es resolvut am la egressio de la sania, e fort leu mor le malaute, e tu operte les.	You have already opened the passage to the other parts of the body, and you must stop, for they are ill-humored.
Don guarda aquest capitol am gran cautela, e aprop la tua perforacio en la qual perforas aquestz apostemas, cove que abstergescas las plagues e consideras donc si la plagua del apostema es pauca, o es una seccio plana, lahoras tu aministra las qualguas de li o de coto antic; e si le apostema es gran, e las fissuras de la perforacio son motas, lahoras cove que tu pauses meca en quascun trauc entro que pervenguan ensemps.	When you have to treat pain in the foot: apply a cushion to the affected area;
E si en le apostema es abscindit una partida de la codena o has concavada aquela en le circuit, lahoras cove que tu la complescas de coto viel o de fil fayt de drap de li, ayssi cum quan has traytz pans o razizos, ses humiditat; e strenh aquel entro al tertz dia; e aprop proceseys aquel e cura le am aquo que cove dels enguentz entro que sia sanat.	And if the doctors have already diagnosed the patient with a condition that needs to be treated by drawing out the pus or treating it with a bandage to prevent infection.
Mays si accideys flux de sanc en la hora de la operacio tua, lahoras tu aministra aygua frega e vi agre en les quals mules un drap de li, e pausa aquel sobre le loc del fluxs del sanc motas veguadas.	When blood flows during the operation, apply water to prevent it from affecting the patient's legs and feet.
Mays si persevera le fluxs del sanc, lahoras cove que tu aministres regiment e curacio e polveras las quals he recomtadas en motz locs de aquest nostre libre e de divisio.	And if you don't apply proper treatment to their illness, they will be sick.
Mays si es en temps de hivern, e·l loc de la apostema es loc de motz nervis, lahoras cove que tu enfundas pulvils en vi e oli caut, e pauses aquels sobre les locs.	If it is an abscess, apply a cushion to the affected area.
E si es en estiu, e les locs son carnoses, lahoras cove que tu pauses pulvils enbeguts am aygua e oli o am vi e oli, e tot aquo sia freg entro que sia le ters dia, ayssi cum havem dit, e lahoras cove que tu deslies le apostema e abstergescas aquel e aministres en la curacio de lu aquo que a lu conveneys entro que sia sanat.	And if it is in the summer, and the person has hot, painful swelling on their feet, then you should use a cold cushion for treatment.
E aysso es aquo que es necessari de la cognicio de la curacio de apostemas universalment, mays segon la via de distinccio ja he dit de tot apostema en qual manieyra es via de la cura de lu per capitols singularment.	Then it is necessary to know how to treat each individual case.
Capitol .xli.	Chapter xli.
De seccio de apostemas les quals veno en la codena del cap.	This is a description of the practice of applying a cautery to treat a disease, which is often called gout in modern medicine.
En la codena del cap petitz apostemas, e so de specias de nodes les quals conteno tunicas que so a lor factz ; e las specias de lor so motas.	In the case of the small head, it is called gout when it is caused by the swelling of the joints.
E de lor son pingas, e de aquelas so que conteno humiditat semblant a lima.	And of their feet, they contain humors similar to lime.
E de aquelas so las quals conteno humiditat semblant a pols, et asemblantz a lor; e de aquelas so que son lapideas, durs.	And if it is a swelling caused by inflammation from dampness, apply heat to the affected area.
E en la seccio de totz, e en la extraccio de aquels no es temor, cum deves la exteccio de aquels no fa contrariat arceria.	And in the extraction there is no pain, except for the fear, which does not cause them pain.
E la operacio en seccio de aquels es que tu esproes aquels am instrument la forma del qual ve aprop aysso, le qual es apelat entromes, entro que sapias que contengua.	And so you see, that is how physicians describe gout.
Quar si aquo que conte es humiditat, lahoras scindeys aquel am seccio segon la longitut per seccio superficial segon aquesta forma:	This is an old medical text that mentions the practice of treating gout by applying a treatment called "punting" to the affected area.
E comensa en la seccio de la linha de .B. entro a la linha de .G. Donc cum la humiditat es evacuada, lahoras tu excoria aquela pel que conte aquela humiditat, e no leysses de aquela alcuna causa de tot, quar tropas veguadas retorna, si roman de aquela alcuna causa.	And so, having evacuated the humors, the patient's body will be healed by the power of its own nature or by the use of medicine.
E aprop submergeys coto en enguent egipciach, si es present, e sino, en aygua e sal; e umpleys am aquel la plagua e layssa aquel entro ad autra dia, quar am aquo corrodeys tot so que es romas de aquela pellicula.	Then apply it to their legs, and then use the Egyptian poultice; if not, use water and salt.
E aprop itera sobre aquel coto am enguent egipciach segondament e tersament si indigeyses de lu, entro que·t comfides que no y haia romas alcuna causa de aquela pellicula; lahoras cura la plagua am enguent entro que sia sanada.	Then cure the inflamed area with a salve, trusting that no harm will come to the patient by it.
E si apostema conte nodi gras, lahoras tu inscideys aquel segon aquesta forma:	And here's how you will cauterize a patient suffering from gout:
am seccio havent forma de crotz, e geta oncis entre doas labias de la seccio e scorsa aquel de tota partida, e esforsa la tua vertut en extraccio de la tunica la qual conte aquel.	When there is a wound in the intestines, the physician should use a cushion to apply cautery.
Mays si a tu arceria fa contrarieta, lahoras fay aquo que yeu t’e recontat primieyrament.	And if your bowstring is too tight, it's customary to apply heat to relieve it.
E semblantment fay en le apostema lapificat de seccio e de curacio segon que a tu havem dit; e seccio sobre apostema lapificat es pus leugiera, quar es de pauc sanc e de pauca humiditat.	Here's the first attempt at translating the given sentence:
E alcunas vetz so alcus de aquestz apostemas les quals so en le cap en alcus homes am los quals de tot no es humiditat; la qual causa es quar yeu inscindigui sobre un apostema en le cap de una femna vielha e atrobegui le apostema ayssi cum peyra sorda, aspra, blanqua, la qual no podia esser trinquada, e si a alcu fos am aquela percussit, plaguera aquel.	Gout causes pain in the joints of the body, and if it occurs on the feet, it's considered to be a punishment from God by some people.
Mays en les autres apostemas accidentz en le cap otra aquest no es aquest capitol, ayssi cum les apostemas que veno als caps dels enfantz e deves las razitz de las aurelhas, mays la seccio de aquestz totz sia seccio superficial.	Therefore, the other types of abscesses are treated differently depending on their nature.
E pausa la perforacio de aquels de la partida pus bassa de lor per so que sia alleujat le cos de la sania a las partidas pus bassas.	You are translating the text for the body to be relieved from the pressure of the cushion.
