Ayssi comensan las paraulas de Albucasim .	The surgeon's hands are on your legs to make sure the inflammation doesn't spread.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	This hand has been affected by other diseases.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	And then apply the cautery to the nostrils or nose.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	Mays si le nas has been wetted by humidities, they will be treated with a cauterization.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	And if the wetness does not go into the leg as it should, you will know that he has a disease of the bowels.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	And so the person who has an ailment should be treated by skilled individuals who are called upon to treat ailments of the intestines.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And if it is necessary to treat an ailment in the nose or throat, the patient wants to be treated with a cushion under their head.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Here comes the second version of the translated sentence:
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	And if it is necessary to apply a poultice to the area where the patient's blood is being drawn, you can do so for three days or more.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	Then apply a lead pipe to the patient's wound for a few days until it is healed.
Mays si endigeys de curacio que exsique, usa de aquela.	Then, if healing is required, use the cushion on their legs, but only after.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	E aquesta shall be used to make incisions on the surface of the body, which is why the patient’s legs are mentioned in the context.
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	And if the metal was silver or gold, it should be treated similarly to how one would treat an infection in the feet.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	For hot water to be used for cauterization, you should use a canula that's flat and smooth, and apply it carefully.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	And this disease is called gout.
Capitol .xxv.	Chapter 25.
De theyls natz en las extramitatz del nas.	And if you see that the patient has tears or watery eyes, put a cushion under their legs.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	They believe the patient has a disease called "gout," but use "cushion" for the foot's pain.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And if you wish to know, a physician will be needed for that.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	And if you apply heat to the area, the pain in their feet will be alleviated by applying a cushion to them.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	Then apply a poultice to the affected area.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	And if they have an abscess, then cauterize the place where the inflammation is located.
Capitol .xxvi.	E a la persona que se vole ferir must be made known by signs.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	And if there are wounds on the thighs, and the lips and cheeks are swollen, it is said to be a cushion placed for a reason by the surgeon or a similar practitioner.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	You know that in many cases, you will see that only some men are affected by this condition.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	And now if it is a fresh plague on the legs or elsewhere, it is necessary to apply a cushion to that area, so that the blood does not flow out.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the joints are already separated, they are healed by cauterization.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	Adjust the legs to their original position, apply a poultice to them, or use a plaster for a wound on the foot.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	When you have a wound on their legs, put a cushion under them, and another to hold the wound open while you work on their legs.
Capitol .xxvii.	Then apply the appropriate cautery to the affected area.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	When treating someone for gout, apply a cushion to the affected parts of their body.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	The patient experiences pain if their feet are cold.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	And if there are such-and-such pains in the foot, apply a cushion to the patient's thighs, if necessary.
Capitol .xxviii.	**Capitol .xxviii.  This likely refers to a chapter in a medical treatise.**
De inscizio de la carn ajustada en las gengivas.	Make incisions in the gum tissue only after the patient has been properly treated by a doctor.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	A person with gout should be treated by applying a cushion to the affected area, but avoid using heat on it.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	Then apply to these another medication used for other ailments.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	Then cauterize that flesh, and if necessary, use a cushion to prevent you from injuring it.
Capitol .xxix.	In the old days, such as the Romans had, they would say that in the case of gout, one should apply a hot cautery to the affected area.
De razo de dentz am ferr.	Then apply a bandage to protect the skin from the heat.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When the body's fluids are causing pain in the legs and feet, you can treat them by burning those fluids with a hot cautery to create a point of heat.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And so put your hand on the patient's legs and feet to prevent them from being affected by the cushion.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	If you are going to cauterize the intestine, it should be done by applying a hot iron to the affected area.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	And you know that the patient's teeth are those which must be treated.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	E per cushion the intestines in the legs of the body, they are typically used for other purposes.
Capitol .xxx.	Capitol .xxx.
D’eradicacio de dentz.	On the removal of teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	For the removal of a tooth is a skilled task, a hot cautery should be used to stop the bleeding.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	When the tooth is removed, it is said that the pain in the foot has ceased.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Donc cum deves tu es be, e a la fin de lu be:  "Then, if you see a sharp pain in the tooth, and the other teeth are healthy, you can use this technique to treat it."
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	And place a cushion under their foot if there's a need to keep it from being affected by the pain.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	And thus if it is not forced on them from the beginning, they will be able to be more easily removed.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	This sentence describes a method for treating a condition (likely toothache) with a technique to apply pressure or heat to relieve pain.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	Do a scarification on the gums and the patient's legs are affected by the pain.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	And if you are already burning the foot, use a cushion to prevent pain in the legs from being so difficult to treat, put your hand on the man's legs, and use a cushion on his chest, so that the cushion may not be burned by the cautery.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	And if it is necessary to remove the pain from their feet, then apply the heat of a cautery there.
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	When there is a flow of blood to the legs, the patient has gout, apply the other cushions for the rest of the body.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The shape of the limbs will be strong if they are used properly on their bones.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	And let the thick be on the legs as well.
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	And if they are suffering from gout, which is caused by the Indian iron that is in their legs.
Capitol .xxxi.	This could be a chapter heading or title in a language like French.
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	And if you remove a tooth, one by one, from their broken jaws.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	Then after that, you should remove the tooth by pulling it out.
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	The doctors will treat the patient's limbs.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	And if the patient does not respond to your treatment, you must use the tools to treat the affected area.
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	And if the small intestine is inflamed or swollen, it is often due to a blockage by a stone.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	and if you're dealing with a cold humor, it should be called gout
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	Then describe the second instrument, which should be more delicate than the other.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And thus you help them with their ramps, which is what they need.
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	And if they are for gout, then apply cauterization to these parts.
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	And if you have an opening in the foot, it's a good idea to apply pressure on the area, to prevent bleeding.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And then the doctor will place their hand over the other leg to keep them from contracting.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	The ancients believed that the pain of gout could be relieved by using hot stones to apply heat to the affected area.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	Then when the foot is injured, or there are other problems in the mouth, that's what they call aquo.
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	And if there are any swellings in the body, they should be treated by cauterizing their source.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	And if someone has pain in their legs or feet, treat them with warmth.
Capitol .xxxii.	Gout is caused by an imbalance of humors in the body that lead to pain in the joints.
De la cura de las dentz eminentz sobre las autras.	And from the treatment of the teeth, and apply another cautery to their gums.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	Then use a cloth to cover the area: that's what doctors do.
E sia la tua inscizio am la qual inscideyses aquela en trops dias per la duricia de la dent, e que no sia comauguda autra de las dentz.	E que lu ha en la cavitat del seu cos, e vos es que voil lo refregui.
E si es dent eminent expausat a limadura, lahoras lima aquel am lima de ferr de India del qual aquesta es la forma:	Translation 4: And if you have to perform surgery on the legs, use another cushion for them.
E sia tot de ferr de India e·l margua eysament; e sia de motz menutz puntz ayssi cum lima am la qual son faytas agulhas, am la qual la dent sia limada pauc a pauc en motz dias am fecilitat, per so que no sia autra dent comauguda e caga.	Then place a hot needle on the affected area to treat them.
E aprop lineys aquela en la fi, e ratz aquela am alscus razoris.	And then he applies a cushion to the part of the body where they are affected by the pain.
E si es dent del qual una partida es trinquada e lideys la lengua, lahoras cove que tu limescas aquel entro que l’aspretat de aquela fraccio sia ostada e engualhada, e sia aplenada per so que la lengua no ledesca ni la paraula no corrumpa.	And if the patient's intestine is affected by pain in the legs, you should know that the body is being infiltrated by the other fluids.
Capitol .xxxiii.	And if it is necessary to make incisions for the treatment of the intestines and other parts of the body.
De restauracio de dentz maugudas am fiel de aur o de argent.	Then apply a gold or silver remedy to the teeth.
Quan accideys a las dentz devant concussio e remossio per percussio o per cazament, e le malaute no pot strenher sobre aquo que manga, e tu has curat aquel am medicinas stipticas, e no ha valgut la tua curacio, lahoras per so que no cagan es engen en aquelas que sian strengudas am fiel de aur e no de argent, quar argent se fa vert e aprop se poyreys aprop alscus dias, mays aur nul temps no es mudat.	And when you apply cauterization to the teeth or veins, they are the ones that cause pain in the legs, or if it be the foot, then the doctor should know it’s a sign of gout.
E sia le fiel en tal subtilitat e grocesa segon la quantitat que puesca entrar entre las dentz; e la forma de la reccio es que prenguas le fiel e pren lo doble de lu entre doas dentz sanas, e aprop que cresques am doas tortuositatz del fiel entre doas maugudas, o si’ una o motas, entro que pervengua la tela a la dent sana del autra partida.	And if you wish to apply heat to the leg, or more specifically to the intestine or the bladder, then that's when you would use a cauterization tool.
E aprop itera le teyssiment entro a la partida de la qual comenciest, e strenh la tua ma am facilitat e savieza entro que no sia mauguda.	Apply heat to the area where the patient's body has been placed on the cushion.
E sia la tua striccio am la qual strenhas le fiel deves las razitz de las dentz que no evasesca.	When you have made the incision, be sure to hold the patient's limbs steady so they don't move during the procedure.
E aprop inscindeys las extramitatz del fiel superfluens am las forceps o tosoyras, e agregua aquelas en quascun loc am gesti, e converteys aquelas e las occulta entre la dent sana e la dent mauguda, per so que no fassa lesio a la lengua.	The patient's legs are placed on the surface between the thigh bones, the other leg in a cushion
E aprop leyssa aquela ayssi streyta cum roman.	And place a cushion on his limbs.
Mays si es desliada o rumpuda, strenh aquela o aquelas am autra fiel en tal manieyra en tot son temps.	And make sure the patient's hands are held still.
E aquesta es la forma de las dentz e la figura de la rectacio de doas dentz sanas e de doas maugudas, ayssi cum vezes aquestas liadas:	And thus you know how to distinguish between good and bad humors in the body.
E quan se fa que retorno una dent o doas aprop le cazement de quascuna en lors locs, e sian recrescutz ayssi cum havem recomtat, e que remauguan.	This passage describes the process of treating someone for pain in the foot.
E no fa aquo sino bo artifexs e savi.	And they are only healed by the physician's hand.
E alcunas veguadas es aptat alcuna causa dels osses de vaca, e es fayt de lor ayssi cum forma de dent, e es pausada en loc en le qual defayl la dent, e es strengit ayssi cum havem dit, e reman e serveys am aquel per lonc temps.	And if there's a need to treat a condition by applying heat to the bones, they do that.
Capitol .xxxiv.	Then apply a hot cautery to the area to be cauterized.
De inscizio del liament le qual ve en la lengua e prohibeys loquela.	And from the ligaments which are in the tongue, prevent another from swelling.
Aquest liguament le qual ve dejos la lengua alcunas veguadas o es natural am le qual hom nays, o accidental e accideys per plagua la qual ja es consolidada.	This is a ligament, which is already caused by nature or accident.
E la operacio en lu es que huobres la boca del malaute, le sieu cap existent en le tieu se; e eleva la sieua lengua, e aprop inscideys aquel liament nervos segon la latitut entro que sia solvuda la lengua de la sua recencio.	The rest of the text is Italian.
Mays si en aquela es alcuna duricia o denodacio, e aquo es stat per consolidacio de plagua, lahoras tu gieta unci e scindeys aquel per la latitut entro que aias inscindit le liament e sia dissolvuda la nodacio.	If there is pain in the legs or feet, it is caused by cold humors.
E guarda te que no sia fayta fissura en le preon de la carn e que scindas aqui arceria e vengua flux de sanc.	Be careful that you don't cut the flesh in your foot!
E aprop sia lavat le vestigi de la inscisio am ayguaros o am vi agre o am aygua frega; e aprop pausa dejos la lengua licini; so es meca la qual tengua le malaute dejos la lengua en quascuna nuoyt per so que no sia consolidat autra veguada.	And if they are not yet healed, apply a bandage to keep the skin from being irritated by the constant rubbing.
Mays si accideys flux de sanc, pausa sobre le loc vetriol trissat; mays si le sanc ventz, lahoras cauteriza le loc am cauteri lantiginos le qual conveneys ad aquo.	This means if there is a bloodletting, the physician will use another method for treatment on the patient's legs.
E aprop aquel cura am las autras causas entro que sia sanat.	And place your hand on their chest to prevent them from being harmed.
Capitol .xxxv.	This is likely referring to a specific chapter in the treatise.
De extraccio de ranula dejos la lengua.	Then apply the same process to the rest of the body.
Alcunas veguadas accideys dejos la lengua apostema asemblant a nomla petita prohibent la lengua de la sua operacio natural; e fort leu es magnificada entro que huempla la boca.	And if the pain is severe, place another cushion under their hands to protect them.
E la operacio en lu es que huebras la boca del malaute sesent devant le solel e considera le apostema.	Then consider the opening in the patient's thigh.
E si tu le vezes de fusca color o de negra, dur, al qual le malaute no atroba sentiment, lahoras no toques aquel quar es cranc.	And if you see a patient who has a black or dark-colored spot, but they don't feel pain there, then apply a cautery to that area.
E si es declinat a blancor, en le qual es humiditat, lahoras tu met le onci en lu, e inscideys aquel am spatum subtil, e inscindeys le de tota partida; e si sanc te ventz en la hora de la tua operacio, lahoras tu pausa desus zegi trissat, so es vetriol, entro que sia restreyt le sanc.	E if you want to treat someone, on which the doctors have been applied to.
E aprop retorna a la obra tua entro que lo haias trayt am compliment de lu, entro que sia lavat am vi agre e sal; e cura aquel am l’autra curacio ad aquo entro que sia sanat.	Then apply another treatment to your body's work on the other cushion.
Capitol .xxxvi.	The text "Capitol .xxxvi." likely means "Chapter 36".
De extraccio de apostema de doas aurelhas e de aquel que es nada en le golayro e de las autras apostemas.	And if there are other sores, those should be treated in the same way as you would treat a sore in the throat.
Quan endeveno en le golayro godat, so son glandulas las quals son asembladas algodat, las quals accideysso deforas e son nompnadas doas aurelhas, las quals quan tu las curas am aquo que havem dit en la divisio e no es sanat, lahoras tu considera si le apostema es dur, de fusca color, de pauc sentiment, lahoras no toques aquel am ferr.	When it is swollen and inflamed, you have touched the glands in the neck.
E si es de roga color e la razic es grossa, lahoras no toques aquela am ferr per le flux del sanc; abantz layssa aquel entro sia madurat, e lahoras o tu trauqueras aquel, o sira romput per si.	And if the pain is severe, apply a poultice to draw out the swelling, and be careful not to touch the area with a hot cautery.
E si es de blanqua color, radon, e la razit de lu es subtil, lahoras aquel es que cove esser inscidit.	When one wants to be healed of pain in the limbs, a cushion is placed on their legs and feet.
E la operacio en lu es que consideras, denant la tua operacio, si ja ha repausat le apostema de lu caut am repaus complit o si es deminuit am alcuna deminucio; e lahoras fay sezer le malaute denant le soleyl, e·l cap de lu sia en le tieu se, e huebre la boca de lu, e le servidor prenent entre las suas mas prema la lengua de lu dejos am instrument mot noble del qual aquesta es la forma:	E then apply a poultice to the affected area of the body and treat the patient.
E sia fayt de argent o de aram, e sia subtil cum cotel.	And it should be done on their legs with an instrument made of iron or a knife.
Donc cum tu premes am aquel la lengua e es mostrat a tu la apostema, e catz sobre aquel le tieu vezement, lahoras pren onci e fica aquel en l’amenla, e tira aquel a las partidas defora tant quant podes.	And if it is necessary to apply a cautery to the patient's foot, place another one there.
Otra aquo que tiras alcuna causa de las tunicas, e aprop incideys aquela am instrument del qual aquesta es la forma:	And then apply cauterization to the affected area.
e es asemblat a forceps, empero las extramitatz de lu son corvadas, ayssi que l’orrifici de quascuna de aquelas es en le endreyt del autra, mot agudas, le qual sia de ferr indi enbegut.	And if a body part is twisted or bent, they are straightened to relieve pain by using forceps.
Mays si aquest instrument no es a tu present, lahoras inscideys aquel am spatum del qual aquesta es la forma de lu: E sia agut de la una part, no agut del autra part.	And if this instrument is not present, you will need to use something sharp on the one side, but not the other.
E pus que has inscidit una mella, inscideys l’autra segon aquesta meteyssa manieyra de inscizio, e aprop la inscizio le malaute guarguarise de aygua frega	And then use a different method for each incision on the other leg.
Mays si endeve flux de sanc, guarguarise aygua de decoccio de scorsa de milgrana o de fuelha de mirtra e semblantz ad aquel de las causas stiptiquas entro que·l flux del sanc sia restreyt, e aprop cura aquel entro que sia sanat.	Mils si endeve per la cosa, and so the patient will heal.
E alcunas veguadas naysso en le guolayro autras apostemas otra aquelas doas aurelhas, e inscideys aquelas segon que yeu e dit en la inscizio de doas mellas engualment.	Then put hot coals on the cushion on their feet.
E yeu ja fu medicat una femna de apostema le qual era nat en le golayro de lu, le qual apostema tendia a color fusca, de pauc sentiment, le qual ja havia claus le golayro de lu, e la femna respirava am meat streyt, e ja havia prohibit a lu comestio e beure de aygua, e ja era pervenguda a la mort si mays agues stat per un dia o per dos.	And this first source is saved from being a dark spot by a cushion placed under them, and her legs were also kept still.
E l’apostema ja tant havia pugat que havia mezes dos ramps entro que eyssiro per dos traucs.	And so the doctors already have the cautery set upon their chest, and they are using it.
Donc yeu me cuytegui fisturalment e fiquegui en un de lor onci, e tiregui aquel, e atirada es de lu gran porcio, e aprop yeu incidigui aquela de on comprendegui del autre trau, e aprop yeu obrigui la boca de lu, e compremegui la sua lengua, e aprop yeu fiquegui le onci en aquela apostema.	And that if they are in pain, apply heat to their body, and he'll be the one to determine what needs to be done.
E aprop yeu abscizi gran partida de lu, e no corria de lu sino un pauc de sanc.	And if it is a pain in the leg, they should be treated with a cushion to prevent their swelling from becoming too great.
Donc absolut es le guolayro de aquela femna, e comensec tantost beure aygua, e aprop presec vianda, donc yeu no cessegui inscidir de aquela apostema motas vetz per lonc temps, e succesia apostema en loc de aquel, le qual inscizia entro que es prolonguat aquel.	This text appears to be describing a medical procedure involving a patient's legs and feet.
Donc yeu engen agui e cauterizegui le guolayro de lu, donc astec de addicio; e aprop yeu perambulegui e no saubi que fec Dieus de aquela aprop mi.	Then the patient's body should be cauterized, but it is necessary to cushion the space between their legs.
Capitol .xxxvii.	When there are no more physicians needed, the condition is called gout by doctors.
De inscizio de huvela quan es apostemada.	From incision of the patient's thigh.
Quan catarr deysen a la huvula, e es apostemada e es longa, lahoras ela es nompnada perpendicular; e si es en la partida dejos grossa e redonda, e lahoras ela es apelada buba.	And if the catarrh is caused by humors, the doctor will call it a disease of the feet.
Mays quan es curada am aquo que havem dit en la divisio, e no comfereys la tua curacio, e eyssament ja vezes que apostema caut ja es ostat de lu e es subtil, lahoras cove que tu inscidas aquela que es agreguadas redonda; e si es ad aquela longitut, e es sanguina, de fusca color o de negre, e no es a lu centiment, lahoras cove que tu temtes la inscizio de lu, quar en aquela es temor sobre le malaute.	Then if you are treating a swelling or inflammation in the cavity of the foot, apply cautery to the affected area, as needed.
E quan tu vezes aquela segon la manieyra que yeu he dita de la sua blancor e longuesa, que tu fassas sezer le malaute e premas la lengua de lu am instrument del qual procesic la sua forma e aprop fica le onci en la nuva, e tira aquela en jos e inscideys aquela am un de dos instrumentz les quals e ditz en la inscizio de dos mellas.	When you diagnose something in the body that I have described as painful, do as doctors do when they treat gout by treating its symptoms.
E cove que no inscidas aquela sino aquo que es ajustat sobre le terme natural ses addicio, quar si tu inscides de lu mays, lediyras le sieu parlar.	If you see a patient with a problem where the pain is caused by humors that have accumulated in the body, apply another cushion to their legs as well.
E aprop la inscizio, usa de aquo le qual havem recomtat en la inscizio de dos mellas, e cura aquela entro que sia sanat.	Then apply a cauterizing tool to that area to burn away the excess flesh.
