Ayssi comensan las paraulas de Albucasim .	The patient's condition begins to improve.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	And if it is necessary to treat the patient's legs, place a cushion under them and cauterize them.
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	And place your hand on their legs, so the patient's legs are covered by a cushion or a cloth.
Capitol .xlvi.	This looks like you're asking for a literal translation of the Latin phrase "Capitol .xlvi."
De cauterizacio de torcio.	Then apply the cautery to the affected area.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	Then you should apply hot cauterization to the patient's feet.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	And the cushion should be applied to every limb, for each has its own magnitude.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	When the pain in the feet becomes inflamed, it is customary to use a hot cautery for its treatment.
Capitol .xlvii.	This part describes the joint pain, and the doctor will apply cautery to the affected area.
De cauterizacio de lepra.	And then apply cautery to their legs, among other things.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	Then they must be held back by force, those who are suffering from leprosy and have been marked by their own evil humor.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	Then if you want to cauterize the affected area on the patient's legs, consider it carefully.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	And if you have an attack of gout in your toe, apply a burning cautery to its place.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	And if you have already been exposed to leprosy, but they are still unsure, then use a cautery to burn the affected areas on the hands and legs.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	And do you put your hand on their feet to keep them warm?
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	E alcunas veguadas es cauterizat e if it were to be closed, then one should apply a bandage to the wound.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	And if you have to be treated for gout, the pain will be severe in your body and feet.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	And so, when there are large or few hot flashes in the body, they are treated as such.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	And if you have already opened the space between the legs, and then apply the other cushion to the affected area, the patient will be healed.
Capitol .xlviii.	Chapter 48.
De cauterizacio de stupor.	Then apply a cautery to the area of their legs, and use another cautery on their feet, and hold their legs and feet in place with your hands.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	Then apply a burning cautery to the affected limb.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	When your hand is on their thigh, they have a cushion under them.
E aprop cura aquel am enguent entro que sia sanat.	And apply ointment to that area to heal them.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	And if you see a wound on the legs or feet, treat it with cautery to stop it from spreading.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	When it comes to the body, only those who are knowledgeable in anatomy should speak.
Capitol .xlix.	This is a text about medical practices in the past, specifically mentioning the use of a cauterizer.
De cauterizacio de albaras que es morfea.	And apply cautery on their thighs.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	Then apply the medicine to the old wound, ensuring that some remains in the bandage and some on the foot itself.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	When there is a need to treat an ailment caused by cold humors, and you are treating the intestine or foot of a patient who has this ailment, use a cushion for this purpose.
Capitol .l.	Capitol I.
De cauterizacio de cranc.	When there are signs of illness in the legs, they should be treated with a hot cautery.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	And if cancer has begun to develop, then you must treat it with a cautery by cauterizing it as well as the patient's legs, which are affected by the condition, in the same way that a cushion protects the body from injury.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	The patient's legs are already cauterized.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And if it's necessary to burn away the harmful humors, then use a sharp tool for that purpose.
Capitol .li.	Chapter 51.
De cauterizacio de adubilati.	And if it is necessary, they are to be cauterized.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	Then, place a small cushion on their legs, and apply heat to them with a cautery.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	Then treat it with heat or other remedies.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	And if there are pustules on a member, treat them by cauterizing the body to prevent them from being healed.
Capitol .lii.	This sentence appears to be from an invented language and likely describes a medical procedure related to gout treatment.
De cauterizacio de corrodent.	And then treat for corrosion.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	You are treating the patient for gout.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	Therefore, apply cauterization to the affected area.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	Then apply cautery to burn away the bad humors.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	Then apply a heated poultice to the affected area for three days to burn out the pain in the bones.
E aprop cura aquel am enguentz carn engendrantz.	And so the patient's body will be treated for that pain by a skilled physician.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	And then, if it heals well, you may apply a bandage; but if it doesn't, repeat the cauterization.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	And apply the cushion under the legs, for that is where the pain resides.
Mays empero cauteri am foc es de pus leugier juvament.	But the heat applied by the cautery should be light so as to only cauterize the affected area.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	And so I say that for gout in the legs, it is necessary to use cushions.
Capitol .liii.	Of the body's joints, those affected by gout are to be treated with a pointed cautery.
De cauterizacio de claus e dels autres semblants.	This refers to the treatment of diseases by cauterization.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	This text describes two types of cauterization used for pain relief.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	You have already mentioned the use of cauterization in treating the foot ailment, but the cushion application needs further explanation.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	Then place a cushion on their feet to prevent it from spreading further.
E leyssa aquel per tres dias entro que comense getar brac.	And let it be left for three days in this state so that they may heal.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	Then apply a poultice of wild herbs to the affected area and place your hands on their feet for one night.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	And apply a poultice to the affected area to heal it.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	And so you must apply a small amount of cautery to the affected area.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And if you are a physician who has the power to cure someone from gout (or other ailments) by drawing out the humors, this sentence describes the process of applying a cautery to the affected area.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	And that will heal the patient if the humors are removed by the use of bloodletting.
Capitol .liiii.	Another put a cushion under the patient's legs.
De cauterizacio de tremor.	And then cauterize the trembling.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	Quan endeve li beu'l  be't done with oil for the cause of the ailment in the stomach.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And if the patient's hands tremble, it is a sign that they are ill.
Capitol .lv.	Capitol .50
De cauterizacio de albati accidentz al cors.	Then apply cautery to the affected area, keeping in mind that it's important to avoid opening it further up.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	The first sentence is likely referring to a type of surgical tool used in the medieval era for treating wounds.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	Then apply a cauterization to your foot, or in other words, treat the patient with hot compresses, which is the way doctors treat it.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	And then the patient must be given medicine for their illness, which they are being treated for.
Capitol lvi.	Capitol lvi.  is a chapter number in the original text, so the translation would be **Chapter lvi.** (or **Chapter 56** if translated numerically)
De cauterizacio de fluex de sanc accident per incisio de arceria.	The patient has an injury in their leg caused by a wound from an arrow.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	And if it is necessary to use a hot cautery on the legs, which can be painful when used on the patient's feet.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	A hot iron was used to treat pain in the foot or leg, and it would be customary to place a cushion under them.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	Then place a cushion on the patient's legs, another on their chest, and apply a cold cautery to stop the inflammation.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	And then apply a hot poultice to the patient's leg, or place your hand on it.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	Then apply cautery to the legs if necessary.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	Then keep the patient warm with blankets and soft clothing.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	E sapias que are wise to use cautery for burns, but if there’s joint pain or a burn that you need to treat with something other than medicine:
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	And if it is necessary to apply cauterization to the patient's body, they should use a different tool.
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	Mays you can apply heat or cauterize to alleviate the pain in the limbs of the patient.
Comensa la segonda partida.	And now begin the second part.
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	Doctors call pain in their legs or feet caused by an imbalance of humors.
Aquestas son paraulas de Albucazis.	These are the words of Albucazis.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	Then place a cushion on their legs to support the other parts of the body.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	Then I will speak about that part in this chapter, because the doctors want to know how to treat it.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	Then you must learn to apply the heat to the legs in a controlled manner.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	This sentence translates to "The plague was called gout."
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	And they fear death will strike their body.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	And put cushion on their legs to prevent them from falling ill from cold feet.
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And if the illness persists, it will be fatal for the patient.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And if the patient has pain in their bowels, they will be the one to cause them to be opened.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	Aprobate this manner of treatment; if the patient desires it, or if it is customary for them to have their bowels infiltrated by the use of a cushion, they should be given a cushion, etc., because the world says so.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	And use in the operation of all your ailments, and for the cure of the disease of gout.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	And if you are to cauterize the legs, place the cautery near the knee, so that the intestines do not fall out.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And if you are treating a patient for the ailment of the feet, you should consider their needs, use a cushion to apply pressure, and avoid forcing the toes out of place.
Capitol primier.	Chapter one.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	And so the child’s illness should be cured.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	Sapias que las noves veas a child suffering from this illness is to apply a hot iron to the affected area.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	When translated literally, the sentence means: And sometimes, by an injury to the legs, they are opened, and other cushions are placed on the bed.
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	And I know of a cure for it, which he needs to be cured by the death of the patient.
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	And if you have opened the space between them, and placed the child's intestines upon their legs, and the child has been placed on its back to prevent further complications.
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	This pain caused by these inflammations can be relieved by applying cauteries to affected areas.
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	The English translation is: And if the operation is for the knee, then place a cushion under the leg and one on the foot to help the patient relax.
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	E donc si la humiditat es mays augmentada e l’autre, e la cosa es que l'apostema es major:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And so the doctors would apply a treatment to the affected bone in order to prevent further swelling.
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	When pain occurs in the legs or feet, it is treated by cauterization as needed.
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	And if it is necessary to open the intestine or other ailments in the body, do so carefully with dry cloths and dress it with a bandage.
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	E's un autra methodo per la cura del apostema e le'l autres veguat.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And place a cushion on their legs to prevent them from bleeding out.
Capitol .ii.	Chapter 2
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	And for those who need to be cut, they are given a cushion on their legs and another on their chests.
Capitol segon.	This is the second chapter.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When applied to the feet or to other areas, doctors use "ubert" to treat ailments.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	And thus, when you apply a hot cautery to a wound, the skin of the patient will be burned, and it will be necessary to place a cloth on the wound with your hand in order to prevent the pain from spreading.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	Then place a cushion on the legs and apply heat to the area, while keeping another hot cushion under the patient's feet and holding their hands.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	And if you wish to do so, apply the cautery on their legs.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	And if a cushion is placed on one's stomach, it is called gout in modern terms.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	And if the hernia doesn't return to its cavity, put another cushion under their feet.
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And if it is necessary to make points on the feet because of the amount of blood, they will be treated accordingly.
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And another consider the plague, and if necessary, apply cushions to the affected area.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	And then apply cloth to the wound to help it heal.
Capitol .iii.	And when the patient's legs are being treated for humors, the rest of the body should be covered.
De extraccio de las arcerias las quals so en las templas.	This is a guess at what the original text might mean:
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When the first symptoms of a headache are present, and if it seems to be caused by the old gout or a fever, it is customary to treat it with remedies known to medicine.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	The manner of applying a cautery to the patient's body for fever reduction is to apply heat to the area around the temples.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	And if it is a case of gout, the patient should be treated with a cushion and with hot water for another purpose which I don't know.
E lahoras tu pren le spatum del qual aquesta es la forma:	And if it is necessary to open the patient's legs, another incision is made.
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	Gualtier was an expert in medicine and used to treat patients with a burn from a hot cautery to stop them from having gout.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	And if it is necessary to treat an injury that affects the whole body, apply the cushion where the pain is located.
E aprop evacua del sanc de vi unc. entro a tres.	And if you are unsure how to apply this treatment, you should consult a doctor.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And when the pain of the plague is great, apply a cushion to the legs.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And apply cautery to the excess humors that have formed in the body, so that they don't become inflamed.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you wish, cauterize the bone, but place something under the cushion."
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And if it is customary to call gout a disease, it should be treated as such.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And if it is necessary to make a cautery mark on a patient's leg, use another method to treat them.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	Then, if the pain worsens, apply a cautery to the affected area.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if there is no need for cauterization, prevent further bleeding by applying another method.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And if they are to be treated with a cauterization tool, use a pointed one to remove the excess.
E aquesta es la forma del cauteri:	This is the way to use a cautery.
E sia la acuitat dels dos cotels esemps.	And a cushion is placed between the two ribs.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	Therefore, you should keep the patient's intestines or other organs in their proper place.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, when there is gout, you must apply heat to the affected area.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is best done with the legs in their proper place.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	Then, if necessary, apply a cautery to the patient's legs, but be careful not to cause any pain.
Capitol quart.	Chapter four.
De la cura de cors de lagremas agudas e aciduas dels huels.	This refers to the treatment of wounds on the legs and feet.
