Ayssi comensan las paraulas de Albucasim .	The patient's body is already inflamed.
Capitol .xxi.	Chapter .xxi.
De cauterisacio de dolor de dent.	This likely refers to a practice of treating tooth pain using cauterization.
Quan dolor de dent es per fregiditat, o en lu es freg o verm, o no comfereys la curacio am medicina, lahoras cauteri en aquela es segon dos manieyras: o cauteri am boder de vacas, o cauteri am foc.	When tooth pain is due to cold, you should use a hot compress or apply heat using a branding iron.
Cauteri am boder es que tu prenguas boder de vacas e bulhas aquel en culhe de ferr , e aprop pren coto e envolopa le sobre la extremitat de la tenta, e aprop enmergeys aquel am boder bulhit, e pausa aquel sobre la dent dolorosa festinantment entro que sia enfregidat.	This is a Latin-style translation: "And (if) you burn the patient's body with a hot iron, it is called gout, and is treated by applying points to the affected areas."
E aprop itera aquela alcunas veguadas entro que la vertut del foc pervengua a la razit de la dentz.	And if you need to make an incision on the surface of the foot, apply cautery to prevent the blood vessels from bleeding.
E si voys, submergeys lana o coto en le boder desus dit, e pausa aquel sobre la dent dolent, e pausa sobre aquel ferr ignit entro que·l ferr pervengua al preon de la conquavitat de la dent.	When a tooth is hurting, place a tool on the affected area to apply pressure and keep the pain there.
Mays empero la cauterizacio am foc es que tu atendas a la quannula de eram o de ferr, e sia en le cor de lu alcuna grocesa e la acuitat del foc no pervengua a la boca del malaute.	Then, however, if the heat has spread to the foot, then use fire cauterization sparingly.
E aprop igneys le cauteri la forma del qual vindra, e pausa aquel sobre la dent e te la tua ma entro que·l cauteri sia enfregidat; e fay aquo alcunas veguadas quar la dolor sira remauguda o en aquel dia o en l’autre dia.	Then apply the cushion to the patient's leg so that the pain will be relieved.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	Then apply the cautery to the patient's affected area for one hour, applying it carefully.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	And if it is necessary to make points on the patient's legs, it is done by using it as a cauterizer.
E aquesta es la forma de la cannula:	And this is the way to use a cauterizer.
Capitol .xxii.	A hot poker was used to treat the patient's pain.
De cauterizacio de extrophulos.	On the treatment of gout.
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When the patient has an illness that causes pain because of humors in the body, treat them by applying a poultice to the affected area and using herbs to treat them.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	And if the abscess is small, use a hot cautery on the area for three days.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	And then apply that same ointment to the affected area.
E la forma de la cannula o deu cauteri a tal es comveyter.	And here's how the catheter or probe works on the body.
Capitol .xxiii.	The patient's hand should be placed on their knee while the bloodletting is done.
De cauterizacio de rauquiera de votz e de constriccio de ale.	And apply a cushion to their legs, and another to their feet.
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	Then you have already opened the patient's intestine up to the knee, so that the patient's body will be able to remove the cushion and then put your hand on the knee.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	Then apply it to the patient's throat or other parts of the body, but gently, and cauterize only slightly.
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	And cauterize their other legs.
E·l cauteri de lu sia clavilh sego la maniera precedent.	And then apply the cautery to the area where you have placed your hand on the patient's clavicle.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	Then apply your hand to that area of the patient's leg.
Capitol .xxiiii.	Of the twenty-fourth chapter.
De cauterizacio de malautia del pulmo e de tos.	This refers to the treatment of disease in the lungs and coughing.
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	Then apply hot compresses to the patient's legs in order to reduce inflammation, as the ancient practice has been for them.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	And if you wish, let the patient be treated with a cauterization on their ears, for this is what they are called.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	E siat a lesi còps.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And the cautery should be made at the place where the pain is located.
Capitol .xxv.	Chapter 25.
De cauterizacio de titillic que es le cap del ajutori.	And hold the other leg of the patient down there on the cushion.
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	And if the patient has a fever, then the doctor will use a cautery to treat them.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	And this is the form of the treatment when using a cautery with two points, or other treatments for inflammation in the area.
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	And if you have to cauterize the other side, then apply the cautery to the opposite leg.
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	"And if the patient has a pain in the legs, use a cushion for support."
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	At times it is called gout when there is pain in the feet and ankles.
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	Then apply heat to the affected area to soothe the pain.
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	And if the pain is caused by the infiltration of cold humors, then cauterization on their muscle should be used.
Capitol .xxvi.	E aprop reduce la cosa on the other side or his chest, because they are being affected by an uncharacteristic pain
De cauterizacio del stomac.	This refers to the stomach.
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	Then use a cushion to support their legs and place your hand on the area where the pain is felt, but be careful not to press too hard, lest you cause more pain by pressing on the nerves.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	And adjust the amount of heat in the cautery to the appropriate level.
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	And here comes the device for applying the cautery according to this method, which also applies to the patient's stomach in this case.
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And if it is necessary to cauterize the stomach, you should use a needle to burn the belly, for that is what is meant by the word "cauterizat" in this context means to treat with a hot iron or similar instrument.
Capitol .xxvii.	Then apply the appropriate cautery on the patient's body.
De cauterizacio del fietge fret.	Then apply a cushion to their legs.
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When there is pain in the belly, you should apply a cushion to their knee.
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	And if a man has a pain in the place between his legs, he will be called upon to apply cauterization.
E no compremas la tua am le cauteri mot.	And do not let your mind be troubled by the use of these methods.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	And if the pain is on the legs, they are already filled with cushions.
E es aquesta la forma del cauteri:	And so is this the form of the treatment for the disease by means of the cautery.
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And if it is possible, avoid making cuts/punctures on their legs to prevent them from being exposed to cold humors.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And so that you may know, if you wish to treat someone with too much cauterization, they will get hot feet.
Capitol .xxviii.	This looks like a Latin phrase from a medical text.
De perforacio de apostema del fietge am cauteri.	This is the translation you provided for "When doctors are looking for the cause of pain in the feet, they say it is from the cold humors: "The cushion"
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	The pain of the condition known as gout is felt most strongly in the feet.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it's in the tunic, they are (the doctors) very skilled at handling gout.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Then one may try to apply heat to the affected area; and if the patient complains of pain in their legs, they may be suffering from a condition that causes pain due to the cold humors affecting the joints.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cauterize the affected area so that the patient's body can heal.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And if their legs are affected by other humors, and it's necessary to treat them.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And if a patient has a disease, it's better to avoid using cautery on them.
Capitol .xxix.	Chapter 29.
De cauterizacio de plauresi.	When using the provided context, the translation would be: **On their condition.**
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	This means:
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	Then apply a heated tool to the affected area, but avoid direct contact with the bone near the joint.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	The patient will be healed by the cushion in their legs, if they are allowed to do so.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	This is how doctors in the past would describe treating gout by cauterizing the affected area.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	Then if you have an opening in the foot, the place will be healed.
Capitol .xxx.	Capitol .xxx. translated to English is Chapter 30.
De la cauterizacio de la melsa.	Of the cauterization of the heart.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you cure a disease in the legs, it is customary to mention the type of cautery used for the treatment.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	Therefore, the patient must be treated as if they had a fever in their legs, or by some other means for less severe cases.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And if it is necessary to make a cautery on your leg, then use a cushion for the purpose.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	And if you were to cauterize the intestine, it is best to use the following method: ...
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And so that the surgeon may apply the correct length of the cautery to their body, they use another cushion for the patient's body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	Then return the patient's body to its natural position.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And thus the patient has four points.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you want, apply a cautery to the area where there is pain, and use a cushion to support them, and have another person help with their other leg.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	Then apply the cushion to the patient's legs and feet.
Capitol .xxxi.	Of the 380 possible words in the text, it appears you have provided three translations (the second line you provide) rather than one sentence.
De cauterizacio de ydropici.	E si la persona has been opened for some time, and their condition requires it, they are treated by cauterizing the affected area.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Then apply a cushion to the affected joint only.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	The above sentence is a mix of Latin-based words and Italian/Spanish words, which makes it difficult to determine without knowing which language it's primarily written in.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And if it is necessary to apply cauterization to the leg, then heat should be used on the legs.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And apply a poultice to the affected area.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	If the patient has gout, they should be treated with a cushion under their bowels and another person assisting them.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	Then the patient's foot must be cauterized.
Capitol .xxxii.	Gout is caused by an imbalance of humors in the body, leading to pain in the feet.
De cauterizacio de pes e de las coyssas.	Then apply a hot iron to the foot and its surrounding area to prevent further damage.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the blood is full of the humor that causes pain, it is the worst type of gout.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	Then if it is necessary to make points on the intestines of a man, they should be applied below the knee.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	The patient's intestines are inflamed and swollen from the cold humors: apply cautery to the affected area.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And you have already treated them for a long time, but they are still suffering from it.
E aprop cura le am aquelas causas las quals havem ditas.	Aprofitejam el dolor de la patient's knees in their legs.
Capitol .xxxiii.	And if it is necessary to make cuts on the foot, do so carefully.
De cauterizacio de cos de ventre.	This refers to a burning tool used in medical procedures.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	Gently apply heat to the stomach and legs to treat the intestines for the ailment that causes them to be called gout in the context of humoral medicine.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if you encounter a patient suffering from gout, place a cushion under them, and apply cauterization to their abdomen and legs, but avoid applying it directly to the stomach, lest you cause further injury.
Capitol .xxxiv.	Then apply the poultice to the affected area on the feet.
De cauterizacio de emorroydas antiquas.	Therefore, you should apply the cushion to their legs.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	Then apply a hot iron to the area of the body where the intestines were affected by a thick humor.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	If the stomach is cold, you will be able to tell if it is chilled by the food that has been consumed.
Capitol .xxxv.	This text refers to a specific chapter (Chapter 35) but seems to be describing instructions for treating gout with cauterization using a hot iron.
De cauterizacio de atheyl aprop la abscizio de lor.	And if a firebrand is used on the patient's thighs, they are healed by another treatment.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you apply a poultice to the body, use another cushion to protect the patient's skin from the heat.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then apply a cautery to the foot, while another hand holds the patient's legs and you prevent pain by applying pressure.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And if the patient has gout, make sure to apply the treatment carefully.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	You have already treated the patient's body with cautery on their head, and you put a cushion under them while they are being cauterized on their feet.
Capitol .xxxvi.	The text appears to be referring to a specific passage in a treatise.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	And then apply a cautery to the affected area.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature has not been successful in returning the intestine to its proper place, the patient will be treated by the physician.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	And thus when humors are corrupted, they cause a disease called fistula which was the case in this one.
Aprop igneys le cauteri que es semblant a ray.	And then apply the hot cautery to the joint.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	Then put a cushion under that very patient's body to prevent the inflammation from spreading through the fistula.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And they use a cautery on the legs when necessary.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	When the pain is in the bladder or intestines, treat it with a poultice on the affected area, but avoid using a poultice unless absolutely necessary.
E aprop cura le loc entro que sia sanat.	And if it is necessary to apply your hand to the affected area for healing, use this method on them, but only with the cushions.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	When the patient is placed in a stable position.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if there are no other remedies for pain in the joints, then try to relieve the pain with cushions placed on the legs.
Capitol .xxxvii.	This sentence appears to be in English but contains archaic terms and grammar.
De cauterizacio dels ronhos.	This is a description of the treatment of gout.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When there are painful swellings on the body, and you have to treat them directly, then use a cushion.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And so you see, your translation is correct!  It is customary to use three cauterization points for this ailment.
Capitol .xxxviii.	Capitol 38.
De cauterizacio de la vesica.	And then cauterize the bladder properly.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	Then apply cold to the urine to stop it from being inflamed.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	Burn that which causes pain in the legs, with a hot iron if necessary.
E sia cauteri clavilh segon que es procesit.	And so he placed a cushion above the patient's head.
Capitol .xxxix.	E si es ja e'l  dolor de les quals les arises are caused by the same thing.
De cauterizacio de la mayra.	And so, the treatment involves using a heated cautery on the affected joint.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	Then the use of hot irons to treat his or her ailment should be used; otherwise, the patient's body will be injured by the heat.
Capitol .xl.	When the pain is in the joints due to the humors, it is called gout.
De cauterizacio de la dislocacio de l’anqua.	On the subject of dislocation of the hip.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When there are signs of gout, caused by an imbalance in humors, apply cauterization to the affected area.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the patient is to be burned on the legs with a cautery.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then there is a pain in the left side of the body because the place where the pain is located on the leg is being touched by the cautery.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And if the pain is severe, apply a cautery to the other foot.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	If a patient has a pain in their foot, then they should be treated with cautery.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And if a burn occurs on the foot, it is treated by cauterizing the affected area.
Capitol .xli.	Chapter xli.
De cauterizacio de la vena sciatica.	This refers to cauterizing (burning) the vein near the knee (located behind the kneecap) to treat gout.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	A physician should treat that which causes pain in the patient's legs by applying a cushion to their leg.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	The manner of treatment for the afflicted ailment is described in two ways: with medicine or with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	Let me know if you want to apply hot cauterization to the patient's foot.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	When it comes to treating the body by applying points, it's important to remember the specific needs of each patient when placing them.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	May some hot compresses be applied to the patient's leg.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish to do so, cauterize around the area where the bone was dislocated.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the way to treat a pain in the legs by applying a hot cautery.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	The text mentions four sources: a cushion on the legs, a cushion on the foot, and your hand on the foot. This suggests a medical practice where the patient's leg is treated with a hot iron or other method to draw out the excess humor. Please provide more context for better understanding.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if the physician applies a burning cautery to their body, they should proceed carefully according to the patient's condition.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And then apply the cautery to the area between the legs and feet, if necessary.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	The patient has a cushion under their legs, and they are applying a knife-like cautery to them.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And if they need to be treated with cautery, make sure to apply the cushion while treating the nerves and arteries.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	E you have already seen one or another of those who apply cauterization, and you have put a cushion on their legs, and heated them up.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And then apply a cold cautery to their abdomen.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if there is a need to treat pain in two places on the body, use a hot cautery on each leg.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	When there is an excess of humors in the body, doctors say it is called gout.
