Ayssi comensan las paraulas de Albucasim .	"Thus begins the speech of Albucasim."
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	"And place underneath the bowl another vessel inverted, and pour onto that alkali and quicklime with fresh water until it covers them by one finger's breadth; then compress them with your hand with good compression, and leave the vessel which is going to fall from it boiling water to the inverted vessel."
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	"And then tighten all that water, and pour it onto more quicklime and fresh alkali, because at this time it will have very great strength, which is administered in many medical operations and in cauterization of other members, because it acts like fire."
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	"And so of some medicines with which the ankle is cauterized, such as treacle and honey and quicklime with soap, so that they are mixed."
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	"Galen recounts of a man among the ancients the operation and cure with which pain of the ankle and sciatic vein was cured, and he highly praised it, saying that no other cure is necessary, because it is healed at once as he recounted, for it entered into bath and eased immediately."
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	"And it is that it should be taken of green celery, and if it is not found green, fig leaves should be taken; let them be ground with a little salt and placed upon the ankle where there is pain, or on the thigh or leg, and bound up."
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	"It should be left for three hours or as much time as the patient can bear without discomfort."
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	"Then immediately take him to bathe and feed him once his body is immersed in water, because the pain ceases and he becomes healed."
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	"And know that no one should use cautery with these medicines unless it's for the evacuation of the body."
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	"But as Aesculapius said, when a goat's vein is cut and the bleeding stops, he should apply a poultice to it. And this is how you cauterize: take some wool, dip it in old oil, and place it between the openings of the skin."
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	"And also take dry goat hair and heat it on fire until it becomes charcoal, then place it on the wool and let it cool."
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	"And repeat this process, and don't stop until the sensation of the bite has reached the water, and then the pain will cease."
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	"And this method of cautery is called 'cautery of goats'."
Capitol .xlii.	"Chapter XLII."
De cauterizacio de dolor de dos.	"Of the cauterization of toothache."
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	"Sometimes pain occurs in the back due to various causes, such as kidney stones or blows or excessive evacuation, and for similar reasons, due to an infusion of hot and humid matter."
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	"But cautery is not useful except in this single case, which occurs from the effusion of hot matter."
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	"Therefore, first perform an evacuation of the patient with pills made from the same material as the one causing pain, placed on both sides where the pain occurs in three lines according to its width. Then apply cauteries with tenths in each line, depending on the quantity that comes out and the power of the disease."
E sia fayta cauterizacio am cauteri de punt.	"Then cauterization should be performed using pointed cauteries."
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	"And if you wish, cauterize with three or four cauteries in a cross shape using a small knife-shaped cautery:"
Capitol .xliii.	"Chapter XLIII."
De cauterizacio al comensament de gilbositat.	"On cauterization at the beginning of gibbosity (hernia)."
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	"It often happens that this disease occurs in young children. The sign of its onset in children is when the hernia appears suddenly while they are playing and moving around."
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	"And you should notice that it occurs at the last lumbar vertebra of the spine, where the hernia begins to protrude over the others."
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	"And when you see this and want to prevent it, immediately cauterize around that area with a circular cautery like this:"
que prengua le cauteri sobre tota partida del spondilh engualment.	"so that the cautery covers all of the protuberance of the vertebra on both sides."
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	"And if you wish, cauterize around the circumference of the vertebra with a pointed cautery in two or three lines:"
E sian les puntz propdas entre lor.	"so that the points are close together."
E aprop cura le loc entro que sia sanat am aquo que havem dit.	"And then treat the area inside that has been healed as we have said."
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	"But be careful not to use a cautery in cases of hernia caused by spasms of nerves."
Capitol .xliv.	"Chapter XLIV."
De cauterizacio de podagra e de dolor de juncturas.	"On cauterization for gout and pain in the joints."
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	"When pain in the joints is caused by friction of humors that accumulate in each part of the body, it is customary for physicians to call this condition gout specifically when pains occur in the feet."
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	"And therefore, when gout caused by friction is being treated with medication but the pain does not disappear, then cauterize to remove it."
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	"and you should cauterize around the evacuation area of the joint of the foot using several cauteries:"
E sia cauteri olivar del qual aquesta es la forma de lu:	"And these cauteries should be olive-shaped, with this being their form:"
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	"If it is necessary to make points on the fascia of the foot, then do so using a pointed cautery."
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	"And if the pain moves into the toes or other joints, and this happens many times, then cauterize around each painful area with three or four olive-shaped cauteries like this:"
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	"If many cauteries are needed and these cauteries are necessary for you, then cauterize like this without pressing too hard with your hand before the cautery, being careful only around the skin of the joint."
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	"And if the pain moves into both toes, then administer the cautery as we have said in its chapter."
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	"And if the pain is only in the joints of the hands and it is called arthritis, then make punctures around the knuckles like this, making two lines of them."
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	"And if there remains some pain in the fingers, then make punctures around each knuckle and around the root of the thumb."
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	"And if the pain moves near to the joints of the bones or muscles, then cauterize each of them on all sides of the tendons."
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	"And do not evacuate the disease without good regimen and receipt of medicines, for if there is good regimen and the humor is evacuated with this cautery alone, God willing, it will be healed."
Capitol .xlv.	"Chapter XLIV."
De cauterizacio de rompeduras.	"On cauterization of fractures."
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	"When a fracture occurs in the ankles or shins and the bowels begin to be obstructed before they reach the anus, you should order the patient to leave off food for that day and to use gentle laxatives so that the obstruction may pass from his belly."
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	"And then place the patient between your hands on his back, and order him to hold his breath until the anus is open or the bowels appear."
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	"And then return him with your hands and gently press the fracture onto the bone of the hip, making sure that the end of it is like the middle of a circle on both sides of the body."
E aprop igneys le cauteri del qual aquesta es la forma de lu:	"And then heat the cautery which has this shape:"
entro que sia mot rog e gete cintilhas.	"until it becomes very red-hot and emits sparks."
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	"And then reduce the bowel or anus to its convexity, and quickly place your hand over it so that the bowel does not escape."
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	"And you have already placed yourself between the thighs of the patient and one thigh is paused with your hand, and another servant holds one of his limbs and another holds his foot, which should be held firmly."
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	"And then place the cautery on that sign with your hand and straightener, and apply it until you succeed in reaching the bone of the hip in the middle of the joint; repeat this procedure again if you do not succeed at first."
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	"And be careful to observe the sensation of the bowel during your cauterization, so that you do not burn it and thus bring about the death or another serious injury to the patient."
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	"Know that if with the cautery you do not reach the bone, your operation is ineffective."
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	"And the cautery for children should be fine according to their size and proportion."
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	"And afterwards, care for the place of the cautery with a soft cloth for three days until the scar of the burn is removed."
E aprop cura aquel am les autres enguentz entro que sia sanat.	"And then care for him with other remedies until he is healed."
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	"And the patient should lie on his back for forty days until the place and the wound are sealed."
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	"And you should pause the patient's nutrition according to the length of time for his cure, which loosens his belly, and so that the bowel does not protrude due to the effort of healing."
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	"And when he wants to get up after forty days, then administer suitable food to him and have him lie on his back for another forty days."
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	"And he should be careful about work and exercise, food and drink, and loud voices, for if he follows this regimen of healing perfectly, he will surely be healed."
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	"I have spoken of the treatment of fractures in other parts of the belly, and at the beginning you wish them not to remain. Therefore cauterize the fracture with a round cautery according to its size, and it should be that which is taken from the bone as far as the third division of it; then care for him with what we have said, but do not follow this rule."
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	"And some first authors say that fractures should be cauterized with a triangular cautery according to this shape, for it is marked with a point thus:"
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	"And a line is drawn along the length of the side where the fracture rises and another line above it. Then place your hand with a pointed cautery, but let the first cautery be lighter and better."
Capitol .xlvi.	"Chapter XLVI."
De cauterizacio de torcio.	"On cauterization for torsion."
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	"When pain occurs in some members due to overexertion or blow and persists for a long time without being relieved by treatment with medicines, then cauterize with a pointed cautery."
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	"And let the cautery be of suitable size according to the magnitude and smallness of the member, its strength and weakness, location of the torsion and intensity of the pain."
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	"If it is not healed by the first cautery, that is good; but if not, then repeat the cautery. For such pains are often pierced in a member near to the one affected, so you must reach those with your cautery until the patient is healed."
Capitol .xlvii.	"Chapter XLVII."
De cauterizacio de lepra.	"On cauterization for leprosy."
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	"Some lepers are viewed with caution due to great harm and little improvement, especially those whose condition is caused by decay of phlegm and melancholy."
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	"Therefore, when you wish to cauterize this one, consider if the leprosy is common or already cured according to what we have said in the division above. Do not give it, if there isn't any, and fear that the corruption might spread throughout their whole body and entire complexion. Therefore, cauterize this one on the head with five cauteries: one in the middle of the head, another towards the end of the hairline, and two on both horns; and one behind, on the nape or servants."
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	"And lastly, burn the cauteries slightly within so that they leave a small impression on the bone, and remove the scabs from them, so that the expiration of thick vapors is relieved. Then cauterize on the chest according to what is necessary."
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	"And if the leprosy has already spread over the malady and appears manifestly, then you should cauterize this one with those cauteries which we have mentioned for the head; and cauterize on the extremity of the nose with two cauteries on each cheekbone, two on both shoulder blades, six on the spinal processes of the back, and one large on the spinal process near the coccyx, one on the coccyx itself, two on each ankle, one on each heel, two on each toe, two on the knees, and two on the muscles. Cauterize this one over all the joints of these members and feet, and on each sole of their feet, and on the cushions of their soles."
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	"And beware that you do not cauterize those nerves which are situated on the sole that you may not burn them."
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	"And sometimes it is cauterized with one cautery on the bone of the breastbone and another on the mouth of the stomach, and another on the liver."
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	"And know that the more closely you apply cauteries, the greater is the benefit and advantage. And know that the patient feels no pain from the cautery as they do with their own sores, because the body of the sufferer is already anesthetized."
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	"And it is necessary that the cauteries be large or small according to the members and joints according to what is prescribed by the species of instruments."
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	"And afterwards, cure the wound with a poultice made of bran, honey, and the other remedies until it is healed."
Capitol .xlviii.	Chapter XLVIII
De cauterizacio de stupor.	**On cauterization for stupor**
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	"When a limb is paralyzed or numb and treated with medicines, oils, and plasters yet is not healed, then cauterize that paralyzed limb with cauteries according to the size of the limb or its smallness."
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	"And your cautery should enter just a little into the spine of the backbone."
E aprop cura aquel am enguent entro que sia sanat.	"Then dress it with ointment until it is healed."
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	"And sometimes it happens that some paralysis which is close to the hip or foot, and near the spine of the back where the nerves that move that limb originate, is removed after cauterization."
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	"But one should not presume to do this unless he is knowledgeable in the anatomy of limbs and the exit of nerves throughout the body that moves everything."
Capitol .xlix.	"Chapter XLIX"
De cauterizacio de albaras que es morfea.	"On cauterizing warts that have been disfigured."
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	"When warts are old and do not disappear with the usual remedies of medicine, then cauterize over that one with a hot cautery iron slightly according to the quantity of the thickness of the spine of thewart until it is removed the whiteness and color of it, and its color is changed."
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	"Then dress it with flour of earth and lentils mixed with rose oil, and leaves of sage, and dove's blood or hen's blood, giving each one part and mixing them all together, and then apply a cloth and place it on the spot until it is healed."
Capitol .l.	"Chapter L"
De cauterizacio de cranc.	"On cauterizing warts."
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	"If cancer begins and you wish to destroy it, then cauterize around its circumference with a circular cautery iron as it turns."
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	"And they say that it should be cauterized with the last cautery iron in the middle of it; but I have not seen this, for I fear that it may become ulcerated, and I have seen it happen sometimes."
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	"And it is better that it be cauterized around its circumference with a circular cautery iron as we have said, or with many cauteries."
Capitol .li.	"Chapter LII."
De cauterizacio de adubilati.	"For cauterization of varicose veins."
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	"If some varicose veins are delayed in maturation, this is due to the superfluity they produce, or the condition of the patient, who is elderly and decrepit with little blood, or due to time, and you wish to hasten the maturation of varicose veins; then cauterize around them using small puncturing caustics."
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	"But if you wish to perform the cauterization with a hot iron, then heat the cautery of which this is the shape: and press it on the middle point of the varicose vein until it penetrates the cord."
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	"And if the cautery in that place is put on too strongly, so that the course of the vein is alleviated; and then cure it until it is healed."
Capitol .lii.	"Chapter 52."
De cauterizacio de corrodent.	"On cauterization of corrosive substances."
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	"Corroding corruption wanders through the limbs, which corrodes them as fire consumes dry wood."
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	"If you wish to cauterize that corrosion with fire, then heat the iron instruments accordingly, both small and large ones according to what is appropriate for that area being corroded."
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	"And similarly cauterize it thoroughly within so that you may eradicate all the corrosion and leave no cause of it remaining."
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	"And leave that alone for three days, and then dress the cauterized areas solely with oil mixed with salt so that all scars may be eradicated and all corruption."
E aprop cura aquel am enguentz carn engendrantz.	"And afterward treat it with engendering flesh."
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	"But if after three days the flesh does not grow back healthy and uncorrupted, then you should repeat the cautery on that which remains in the corrupted areas."
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	"And sometimes corrosion is treated with acute medicine, for it serves as a means to cauterize instead of fire."
Mays empero cauteri am foc es de pus leugier juvament.	"But nonetheless cautery by fire is the most gentle remedy."
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	"And I have already spoken of the treatment with acute medicine in the division, and therefore take that when you begin."
Capitol .liii.	**Chapter 53.**
De cauterizacio de claus e dels autres semblants.	**On Cautery for Wounds and Similar Conditions.**
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Often seen in the parts left by the sick foot that is called claw, and it is a thick, solid cause which presses on the foot; and cautery in these cases follows two manners: namely cautery with fire and cautery with cold water.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	Cautery with fire is done using a cautery device similar to the shape of a vulture's feather quill, which should be made of iron according to the size that contains the claw on each side, and it should have fine edges.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	Then pause the heat of the cautery device on the claw and then slowly move your hand with the cautery device around the circumference of the claw until it reaches the depth of the claw.
E leyssa aquel per tres dias entro que comense getar brac.	Leave that for three days until it begins to scar over
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	Then apply a poultice made of crushed wild mallows mixed with salt on that area and leave the poultice overnight, because it will draw out its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	Then treat the location with an ointment made from fatty tissue until it is healed.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	And if it does not improve, and often happens on the surface of the body, especially in the hands and feet, then you should administer cautery with cold water in those cases. Take a canula made of bronze or iron or vulture feather, and place it on the claw; then pour a little cold water into the canula, and hold your hand still, pressing the edge of the canula onto the root of the claw while allowing the cold water to flow through the opening at the front of the root of the claw. Wait for a moment until you feel the bite of the cold water for about an hour, then remove it, because the claw with its roots will be eradicated.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	Do likewise to the others until all of them are eradicated from your body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	Then cleanse those pustules where the roots of the claws have been eradicated with an ointment that causes the flesh to grow.
Capitol .liiii.	Chapter LIV
De cauterizacio de tremor.	On cautery for trembling.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When someone has trembling due to inflammation of the nerves or fever caused by heat, or for another similar reason, then you should perform cautery on them with four cauteries or five, placed on the vertebrae of the back, between each vertebra with one cautery; and also place a cautery on the sole of their foot and on their stomach, using an olive-sized cautery.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And may his trembling cease, and may his health be restored quickly from the burning illness.
Capitol .lv.	Chapter LV
De cauterizacio de albati accidentz al cors.	On cautery for accidental wounds of the body
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When the body is wounded with accidental wounds, and there are pustules or cracks that have been formed from corrupted and thick matter, then at the beginning of the appearance it should be cauterized on top of the fistula head with a subtle cautery made from myrtle wood, the extremity of which has been burned in fire; or with long roots of resinous herbs; or with a lenticular cautery.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And thereafter, as often as it appears, it should be cauterized in the same manner at the beginning of its expulsion; and they should not be believed to be healed until the excess has been disrupted and expelled from them.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	But nonetheless, it is necessary that this be done after evacuation with phlebotomy.
Capitol lvi.	Chapter LVI
De cauterizacio de fluex de sanc accident per incisio de arceria.	"Treatment of accidental blood flux by incision using a cautery."
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	"In places where blood vessels are seen that are cut due to plague or wounds, or during the incision of abscesses or cautery of limbs, they seem similar and it is difficult to remain calm."
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	"Therefore, when something like this happens, at once put your hand on the wound and press firmly until that moment when you see that the blood flow has stopped."
