Ayssi comensan las paraulas de Albucasim .	Certainly! Here's the translation:
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	And such moisture is added between the marrow and the bone, or is added outside the bone over the cartilage
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	For if the moisture is between the marrow and the bone and the swelling is slight, then you must make a wound in the middle of the head with a fissure that is two fingers wide so that the moisture may escape, and this is the fashion of the spatum.
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	And if the moisture is more increased and the swelling is great, then two fissures must be made according to this manner:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And if the moisture is outside the bone, it is a sign that the marrow of the head has been consumed throughout and the water is squeezed out when you press with your thumb on the parts inwards and not that it is in your grasp
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	Therefore make three fissures in the middle of the head according to this manner
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	And extract all the moisture from the incision; then strengthen the fissures with strips and gauze; and give him wine and oil to drink until the fifth day, and then remove the dressing and care for the wound with gentle touches and grease, and strengthen the head equally; and feed the patient with dry food of little moisture until the limb is comfortable and healed
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	There is another method of incision which you must consider according to the greatness of the swelling and the collection of the water, for some veins are more prominent in the occipital region, or in the front, or on the right, or on the left; therefore pay attention to the incision where the swelling appears and the collection of the water, and do what you can to avoid them.
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And observe that you must not pierce the artery, and if there is blood flowing from the wound, keep the patient still until the blood flow has ceased with the evacuation of the moisture.
Capitol .ii.	End of Document.
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	Concerning the incision of the arteries which are close to the ankles, they are called hilasseysse.
Capitol segon.	End of Document.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When there are ulcers or tumors on the heels or toes, and it is old, do not rely on wine and medicines for their cure, for their greatest cure is the incision of those two arteries
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	Therefore take care when you wish to make an incision that the patient raises his head, and strengthen the limb with rough hands to uncover the arteries, and strengthen the patient's chest with some support; and consider where the vein is; and if there is any swelling in the ankles which are depressed, do not pierce them until they are in their rightful place
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	And take care of the surrounding area around the incision with care, and make an incision in each part which has a sudden swelling at the incision so that it reaches the bone, and do the same with the water of the head
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	And if you wish, after making the incision, stop the bleeding from the artery and tie the wound to the parts surrounding it
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	And the length of the incision should be two fingers wide, for when any vein is incised the blood is ejected with a pulsatile flow which leaps out frequently
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	Moreover if the artery does not appear at the incision, take three fingerbreadths of the space and take care with care, and do the same until you reach the bone
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And what you must take to get from the blood is an unc. of wine and take little or more depending on the quantity of the virtue of the patient and the filling of the artery in him
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And consider the wound, and if there remains anything on the bone concerning the cartilage, then you must pierce it so that no further swelling occurs
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	And strengthen the wound with gauze and silk thread, and care for it until it is healed
Capitol .iii.	End of Document
De extraccio de las arcerias las quals so en las templas.	Concerning the extraction of the arteries which are in the temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When there are ancient or acute ulcers that arise from agricultural humidity or because of the quality of the lacerations of the temples, or even if they are ancient and seem like those, and when these cannot be cured by the methods of medical care and wine, then we must resort to the extraction of the arteries in the temples or to the cauterization of those in the same way as we have shown
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	The manner of the operation and extraction of these is that the patient lies on his side; and understand that the incision which you see on the temple is the one which is shown by the sieve, for it is hidden in few people due to its intensity.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	If it is hidden, then the hour of the patient is strong with some moisture; and quickly make the wound open with a rough sponge or vaporize the wound with cold water until the incision appears clearly.
E lahoras tu pren le spatum del qual aquesta es la forma:	And the hour you take the sponge, this is its shape:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And quickly scrape the clot at that point which facilitates the reaching of the incision; and immediately remove it from them on the outside and extract that from the surrounding parts until you have extracted that from the clot and revealed that from the covering which you have left there, from all parts
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	Even if the artery is small, the hour involves covering that with the tip of the finger, and immediately cut a piece of that according to the quantity by which the parts are elongated and contracted, and do not impede the flow of blood, for if they are not cut they will not be cured of anything.</end_of_turn>
E aprop evacua del sanc de vi unc. entro a tres.	And immediately evacuate blood from the wound about an inch.</end_turn> Until three.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the incision is large, the hour covers that you lie on two places with firm double folds of fat or with strong strings at length, and do not cover it until the decay is complete to prevent the formation of pus and impede the flow of blood.</end_turn
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And immediately ligate the excess that is between two ligaments; and do this in that hour or do it at another time.</end_turn>
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you wish, cauterize that which is pointed at the tip of the bone at the tip of the callous until the parts are cut through, and leave in its place the work which you have done.</end_turn
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And it is better work if the patient has a fever or is of scaly complexion; for the cautery is of those causes which help the drying humors, and therefore it is better in summer.</end_turn
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And cover immediately the extraction of the arteries that you notice on the ankle, and keep them covered with fine dust or powder, and immediately apply either a dry cure with dry medicines or a wet cure with calamine and water until it is healed.</end_turn
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while you are working another wound begins to bleed from the incision, the hour you cover that blood, either by cautery or by tying it off, or by packing it with material, and press your hand until the bleeding stops.</end_turn
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if none of these causes are present, the hour suspends the tie that I told you about on the place until the blood is congealed, and moisten the place with cold water of violent cold until the acute pain subsides, and be strong as you cover it.</end_turn
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And what is more curious in the extraction of an artery is that you cauterize the vein at this point having two clips, because you have seen the two places at the attempt, and you have left out some, without igniting, until the bone is reached and the vein is divided into two parts, so that it is elongated what is between the parts, which are not consolidated by this cautery.</end_turn
E aquesta es la forma del cauteri:	This is the manner of the cautery:</end_turn
E sia la acuitat dels dos cotels esemps.	And the acute pain of the two clips is equal.</end_turn
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	However, if there is less acute pain than with two clips, it is better, for if there is a sudden increase in pain close to either of these, it does not cause the flesh to swell with great speed.</end_turn
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore when there is any thickness, keep the fire of the fire in those places and the flesh is split off with ease.</end_turn
E aquesta obra es milhor en tota obra e pus leugiera.	This work is better in all work and more light.</end_turn>
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And the space between two clips is the quantity of the thickness of the finger.</end_turn
Capitol quart.	End of treatise.</end_turn>
De la cura de cors de lagremas agudas e aciduas dels huels.	Of the care of the limbs affected by the acute and acidic humors of the bones.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When the humors are acidic, and it is the limb of those veins which are above the head of the femur, do not interfere in any way with the care of medicine, and sometimes the face of the patient already swells up and sits in front of walking like a walk of ants, and the bones of that limb are extended, moistened in such a way that they have already known them, and the nails are scaled by the intensity of the tears, which are the old methods of care for those who have undergone this operation, and they do not cure that care with space.</end_turn
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And command the patient to stretch out their feet towards the front, and immediately make three incisions along the front, equally distanced according to the length of the front.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	If the length of the incision falls two fingers: one incision shall be made equally distant to the length of the nose in the middle of the face, and the second according to the length of a little more than the movement of the eyelashes which are on the lacrimal bone, and the third from the other side
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And keep your hand from the arteries which are in two layers, and lengthen your hand from the continuation of both mandibles.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space of any incision is equal to three fingers adjusted
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a piece of sponge dressed or dry cloth moist with it on those with which you cover him.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And immediately put the palm of two sharp extremities, of which this is the shape of the incision of them:
que es de la partida des templas entro a la segonda inscizio.	that is from the part of the temples to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Excoriate at that whole the cord which is between two incisions on the lip which is over the bone, and immediately do what is of the migration from the first incision to the second incision
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And immediately stretch out this sponge and enter through the first incision another vein and another instrument which is called cautery, acute from one side and blunt from the other side.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And stop the bleeding of that acute one must the fatty tissue behind the cord, and the veins that descend from the head to the heel, and fill up that which reaches the migrating fissure, and cut off all the vessels that go from the head to the heel
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	May be continued the incision until after the cord, and immediately do what is in the migrating fissure between the two incisions
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And when the amount of blood has gone out, express the places of the patient's feet with sponges soaked in vinegar.<end_turn>
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	And immediately stop in any fresh wound a piece of old cloth, and stop over those powders that are embedded in wine and oil and vinegar, and whatever does not cause pus to form again.<end_turn
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day remove the ligament and administer great abundance of lukewarm water or tepid, and immediately care for what is of ointment of basilisk with olive oil and other things that the wounds may be healed.<end_turn>
Capitol .v.	End of Document
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	From the care of the tears from the cavities of the head descend to the parts below the chin.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When there is an acute attack of catarrh and it continues, and sometimes the patient's feet extend slightly, and already their sight is affected by it, and their eyelashes ulcerate and their pupils dilate excessively, and in the front of the head is acute pain leading to subsequent vomiting, for these accidents the substances and the catarrh do not go out but from blood vessels of the cavities proceeding.<end_turn
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best cure for these is that you command the patient to stretch out their feet towards the front, and immediately make an incision in the middle of the front, a little for the width (and begin with the incision of the left temporal to the right temporal; and let the incision be from the bone; and lengthen your hand from the eyelashes which are in the vicinity of the cheek), until the bone is exposed.<end_turn
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Exsiccate all the blood with sponge or dry cloth and immediately replace between the two lips of the incision with an old cloth or cloth of lint.</end_turn>
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	And immediately remove the clots from the powders embedded in wine and oil to prevent pus from forming again.</end_turn
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you have drained all this and you see that the abscess has already diminished, then immediately care for the bones until it starts to heal, and immediately care for that which is of the regulating of the draining which makes the flesh swell, as if you were taking two loaves of wheat and four barley grains and mixing them or, in this way, make a paste and administer it to these wounds of the newly born flesh.</end_turn
Capitol .vi.	End of Document
De la cura de aquo que catz en las aurelhas.	About the care of what is in the ears.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	Every cause that occurs in the ears is of four kinds, which are either mineral stone or something resembling stone, such as iron and lead, or of plants such as celery or beans, or of a fluid cause such as vinegar and wine and similar things, or any beast.</end_turn
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	Therefore, when purulent catarrh descends into the heel or any other cause similar to these, and the heel is swollen without any obvious reason, and sometimes the purulent catarrh, the hour it distils in any of these causes is of olive oil or slime, and then it must be extracted and made to vomit, and apply compresses to the area following vomiting.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And immediately stop the flow of the heel some drops of fat or lint, and draw out the heel from the place it was let go, because when these fats are put on these causes, they are absorbed in this way.</end_of_turn>
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not absorbed, the hour you administer the extraction of these with the instrument called epicaricary spoon, which is in this shape: ...
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if it is absorbed by the spoon, it is good; otherwise, the hour you administer the extraction of these with great caution.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	Therefore, if it is not absorbed by these, the hour you make a needle of gut and insert the extremity of the needle into the cavity of the heel and close around the needle with wax and olive oil so that nothing is left except the needle itself.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	And immediately extract with the intestines with great traction, because these fats are seen as similar to those that we have mentioned before.</end_of_turn>
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	Or if it is not absorbed in this way, the hour takes hold of a lighted lamp or a vessel of the kind that is taken for these purposes, and brings a basin containing the amount of urine mentioned above, and places it on the limb, and then covers it adequately with the basin mentioned above.</end_of_turn>
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And immediately insert it into the cavity of the heel with ease, and immediately dry the heel from the moisture.</end_of_turn>
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	Therefore, if it is not absorbed by all the causes that we have mentioned, the hour you must cut off that which is causing the swelling or spasm.</end_of_turn>
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the way to cut that is to first ligate the external saphenous vein and extract it according to the virtue of these things, and then make small incisions on the border of the heel, and open the heel in the place of the fat surrounding it.</end_of_turn
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And the opening should be like a half moon until it reaches the purulent catarrh, and when the purulent catarrh is grasped, hold it with the appropriate instruments; and then close the opening at that moment with speed, and care that it be sound.</end_of_turn
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause of the swelling in the heel is one of the fats that grow and infiltrate, the hour you must administer treatment and extraction of these; but if you do not obey my orders immediately, the hour you take sponge-like tissue from the limb in this way: ...
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	And administer with it the excision of that fat which is causing the swelling in the heel.</end_of_turn>
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not be astonished when you think that that is already moistened by the vapor of the heel, and place it in fat drops, and immediately extract it with nails or with a spoon, or by incision as we have said, because the extraction is alleviated.</end_of_turn
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But in the water that enters the heel cover that the disease uses for vomiting at the beginning, and fill the sole of the heel with some old rags, and put over that heel the one in which the water is, and if by these means it is absorbed, it is good; otherwise, the hour you take a number of sponges and lions according to the length of the finger, and clench those on the fire for a little while, and the patient insert one of those into the cavity of his heel and beat on the other foot over the foot that is causing the heel to swell.</end_of_turn
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore do not stop until all the water is absorbed.</end_of_turn>
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And already when the water is absorbed you take paper or gauze, etc. and put one extremity in the heel and extend the other extremity over the fire until it is burnt out.</start_of_turn>
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And immediately put on another gauze and extract all the water until all the water is absorbed, and then remove that with a needle as is said of the purulent catarrh.</start_of_turn
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	But in the extraction of the beast that enters into that heel, if it is small, do so cautiously and little by little, taking care of it as we have said in the division; but if it is large enough to cause awareness at the same time, the hour you administer the extraction of these with the spoon and nails, and the cause of these is less severe than all the other causes that cause swelling in the heel.</start_of_turn
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	When the purulent matter has been extracted from the ear, when you have cured that which we mentioned in the division and in the treatise of distillations, do not neglect to cauterize the ear opening.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And if there appears to be any cause of the worms, then extract that which is thick or slimy, even if no cause appears, then take a catheter and remove it wide open, for this is the form of them
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And insert the limb slightly into the ear according to the quantity that the patient is suffering from the disease; and then pour on some strong oil, and make the area moist, until all the worms are expelled.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	Although if you do not obey me immediately, nevertheless, you opine and close the circuit of the catheter as we have said; then administer distillations which have already been mentioned in the treatment of worms, and you will find them in the treatise of distillations
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And let your effusion be with the medicines which emanate from the oils in the ear with this instrument, of which this is the form.</start_turn>
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make that of silver or of lead, straight, in which there is a small hole, and hold flat down.</start_turn>
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And thus proceed as to the curvature of the catheter of containment here where it is necessary.</start_turn
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you wish, take the rays and wrap them around the lower part of the limb suitably, and then pour oil into the hollow of the auricle, or juice of any herb, or any other medicine which you wish of these medicines in the catheter – which is in the ear – and then insert the rays around the circumference and compress with your hand that which compression is temperate until the oil is expelled from the hollow of the auricle and the patient feels the oil drained.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And what is infused into the ear is already scorched with fire a little.</start_turn
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And take note that the cause for which you distill in the ear is not too strong, because the ear medicines do not suffer from it.</start_turn
Capitol .vii.	End of Document</start_of_turn>
De curacio de opilacio de aurelhas.	Treatment of Ear Oiling
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some girls and young women suffer from large abdominal tumors that are not perforated, and that in many cases happen to men, oil in the meat of the ear for pain or for no reason at all; and this oil some girls find useful in the groin of the ear which does not often happen, and some girls find it in the outer parts.</start_turn
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And that which happens in the groin of the ear, which does not often happen, is in the greatest degree of difficult healing.</start_turn
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And when you have cured it, cover that the ear of the patient is towards the sun and keep it there.</start_turn
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And if sometimes the oil appears, open that which is the soft substance of which this is the form.</start_turn
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the limb in which it is small in width, of which one part is acute and the other is not; and the substance is of two lion heads so that it does not harm the ear.</start_turn
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And if the oil is for no reason born in the ear or in the meat of the ear, then take that which is thick and slimy and prick that with great ease until all the matter is expelled.</start_turn
