Ayssi comensan las paraulas de Albucasim .	Certainly. Here's the translation:
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And thus I have said to you, you must hope for that health, and your ailment is pernicious.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	Therefore do not consent to any of those things which are mentioned; and your caution should be greater than your desire, and your fear should be great; and do not presume any cause except for that which you know for certain is beneficial to you and to which success you are accustomed.</end_of_turn>
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	E use in the care of all those patients with uncertain prognosis and indication of whom it is that health is converted, because in that case it is up to you to assist in acquiring fame and glory, of the praise and honor.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	Oh, son of God, God be with you and understand you, and do not fear my words and protection, for it is in your hand.</end_of_turn>
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And I order this chapter to be distinguished by chapters according as it follows in the chapter of cautery, of the care of the head inwards to the feet, for that it may be alleviated for you what you demand of what you have need.</end_of_turn
Capitol primier.	First chapter.</end_of_turn>
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	Of the care of water which is contained in the head of children.</end_of_turn
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	Wise men say that this disease often appears in children at the time of teething, and when the nurse washes the child's head, his life is saved.</end_of_turn
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	And many times the cause of these fevers is unknown.</end_of_turn
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	I have not seen this disease except in children; and of all those whom I have seen, many have died, and for this reason I leave this work undone in them.</end_of_turn
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	And I have seen that a child whose head was full of water, the head of which was always enlarged until cessation could not bear it any longer due to the greatness of the head, and more that the humidity increased until it caused death.</end_of_turn
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	Or this humidity is added between the marrow and the bone, or is added outside the bones on the head.</end_of_turn
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	For if the humidity is between the marrow and the bone and the swelling is slight, when you make the incision in the middle of the head with a fissure in the breadth, and the length of the fissure is two lines until the humidity runs out, this is the form of the spasm.</end_of_turn
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	And therefore if the humidity is greatly increased and the swelling is great, here are two incisions according to this manner:</end_of_turn
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And if the humidity is outside the bones, a sign of this is that sometimes you have eaten too much of the head and the water is squeezed out when you compress it with your thumb against the parts inwards and it is not that which you have hidden.</end_of_turn
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	For you must make three incisions in the middle of the head according to this manner:</end_of_turn
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	Then extract all the humidity from the incision; and strengthen the incisions with strips and gauze; and pour oil over it from above and olive oil inside for five days; and remove the ligament and care for the wound with attempts and compresses, and strengthen the head equally; and feed the patient with dry food of little humidity until the limb is comfortable and healthy.</end_of_turn
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	There is another method of incision, which considers the magnitude of the swelling and the collection of the water, for some fevers are greater in the occipital region, or in the front, or on the right, or on the left; and therefore attend to the incision where the swelling appears and the accumulation of water, and do the incision as well as you can.</end_of_turn
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And note that you must not incision the artery, and if there is flowing blood of health evacuate the humidity along with it. Keep the patient still for that flow of blood with the evacuation of humidity.</end_of_turn
Capitol .ii.	Second chapter.</end_of_turn
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	Of the incision of the arteries which are near the heels, called Achilles.</end_of_turn
Capitol segon.	Third chapter.</end_of_turn
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When we see a catarrh or swelling in the limbs or feet, and the fever has passed, and we do not trust in the cure of medicines, the best cure in this case is the incision of those two arteries.</end_of_turn
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	Therefore when you want to make the incision, let the patient raise his head as much as he can, and press the area around the area with your rough hand so that the arteries appear, and strengthen the patient's neck with something; and consider where the vein is; and the places where some of the veins which are near the heels are depressed, and hide them as much as possible.</end_of_turn
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	And take care that the wound is not too wide; and make incisions of any sharp object in the area of the wound that reaches the bone, and that the incision is of the breadth of the head.</end_of_turn
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	If you wish, I will enter the sputum and obstruct the artery, thereby relieving the pain at the source.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	The length of the incision should be two fingers' breadth, for when any vein is cut, the blood vessel escapes with a pulsatile swelling, which leaps forth by frequent jumps.</end_of_turn>
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	If the artery does not appear at the incision, nevertheless measure three fingers' breadth of the surrounding space, and with your fingers grasp firmly, and then enter into the bone.</end_of_turn>
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And what you must take from the blood vessel is the amount of one unc.</end_of_turn But do not take too much or too little, but only as much as appears from the severity of the pain and the filling of the artery.</end_of_turn
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And consider the plague, and therefore if there remains any cause of swelling on the bone, then cut away that which may cause subsequent swelling.</end_of_turn
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	And strengthen the swelling with sponges and linen bandages, and care for that which is inside until it is healed.</end_of_turn
Capitol .iii.	End of Document.</end_of_turn>
De extraccio de las arcerias las quals so en las templas.	Of the extraction of the arteries which are in the temples.</end_of_turn
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When in ancient times or in our days some violent accident occurs, either by agricultural humidity or by the quality of the lacerations of the temples, or even an old wound that resembles these, and these are not remedied by the methods of healing medicine, then we must resort to the extraction of the arteries of the temples or to their cauterization as we have shown.</end_of_turn
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	And the manner of the operation and extraction of these is that the patient is placed on the bed of the temple from which the pain arises; and understand that the visible artery in the temple is the one which is shown by the physician, and the hidden one is only known in a few individuals due to its great ferocity.</end_of_turn
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	And if it is hidden, then strengthen the patient with some support; and frequently moisten the area with a rough sponge or evaporate the area with lukewarm water until the visible artery appears.</end_of_turn
E lahoras tu pren le spatum del qual aquesta es la forma:	And now you take the sputum as follows:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And with your fingers grasp the tendon at that point which makes it easier for you to reach the artery; and withdraw it from that side and extract that from the surrounding parts until you have extracted that from the tendon and uncovered that from the surrounding tunicas which are left behind.</end_of_turn
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	If the artery is slender, then wrap that part around the nail; and cut away a part of that according to the extent to which the patient's limbs are swollen and contracted, and do not cause the blood to flow, for if it is not cut it will not be healed.</end_of_turn
E aprop evacua del sanc de vi unc. entro a tres.	And evacuate from the blood vessel one unc.</end_of_turn And so on to three.</end_of_turn
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	If the artery is large, then cover that in two places with strong doubled linen or strong cords, and do not bind it up so as to putrefy it before the swelling is consolidated and to cause the blood to flow.</end>
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And cut away the excess which is between two ligaments; and do that in this hour or wait a while.</end_of_turn
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you wish, cauterize that which is cut at the bone which is cut around until the limbs are healed, and leave in place instead of that make this work.</end_of_turn
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And it is better if the patient has a fever or is of scaly complexion; for those causes help the drying humors.</end_of_turn>
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And cover in this way the extraction of the arteries that you see in the ankle, and rest them over soft powders sufficiently to make them painless, and care for them with dry medicines which make the flesh swell and the swelling subside until they are healed.</end_of_turn
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while working you see that the blood flow of the artery is endangered, then you must immediately restrict that blood flow, either by cutting or by cauterizing, or by filling the ankle with something, and strengthen your hand until the blood flow is restored.</end_of_turn
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if none of these causes are present, then pause for a moment in that place until the blood has solidified, and then moisten the area with lukewarm water of great cold until the pain subsides, and strengthen as before.</end_of_turn
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And thus when the cautery has pierced the vein at this point, having made two holes, because you have marked the two points at the attempt, and having withdrawn somewhat, without causing any spark, until it reaches the bone and divides the vein into two, so that the space between the extremities is prolonged, which is not consolidated by this cautery.
E aquesta es la forma del cauteri:	This is the method of cautery:
E sia la acuitat dels dos cotels esemps.	And the sharpness of the two holes is sufficient.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	However, if the hole is made with less sharpness than two, it is better, because if it is made too sharp it will burn the flesh too quickly
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Therefore, when there is any thickness, the heat of the fire must be regulated in these and the flesh is split apart eagerly
E aquesta obra es milhor en tota obra e pus leugiera.	This work is better in all works and lighter
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And the space between the two holes is the quantity of the thickness of the finger
Capitol quart.	End of text.
De la cura de cors de lagremas agudas e aciduas dels huels.	Of the care of the limbs affected by the acute and acidic humors of the ulcers.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When the acidic ulcers exist, and the limbs affected by these veins are above the cap of the femur, do not interfere with any medical treatment for fear of causing further damage, for the face of the patient often swells up and hangs down like ants, and the limbs are extended, wet because their humors have become known, and the nails are scaled by the sharpness of the tears, which are more useful in the treatment of these ulcers than any previous treatment.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And you command the patient to draw out the humors from the front of the thighs, and immediately make three incisions of equal distance according to the length of the front
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	If the length of the incision is two fingers: one incision should be of equal distance to the length of the nose in the middle of the front, and the second according to the length from the tears which are in the lacrimal, and the third from the other side
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	Beware of the cutting of the arteries which are in two layers, and lengthen your hand from the continuation of both mandibles
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space between any incision is the quantity of three fingers adjusted
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a piece of sponge or dry cloth, moisten it with these which you will use to cover the wound
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	And immediately insert between the two acute extremities, in which this is the form of the incision of them:
que es de la partida des templas entro a la segonda inscizio.	that from the part below the temples to the second incision
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Excise from that whole the tendon which is between the two incisions over the bone, and immediately do the same with the incision which is further on.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	And immediately stretch this sponge and insert in the first incision another instrument which is called cutellar, sharp from one side and blunt from the other side
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	And stop the bleeding from that sharp point which is adjacent to the tendon, and the veins which are beyond the bone, and fill up that until it reaches the further incision, and cut through everything until the veins are severed
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	And continue the incision until after the tendon, and immediately do the same with the further incision
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And when the wound has bled enough, express the parts of the wound closed with a bandage.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	And immediately put on a coarse cloth on each incision, and cover those particles with oil and wine and vinegar, and anything else which does not stick to the scab.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day remove the ligament and give great abundance of lukewarm water or tepid, and care for it with ointment of beeswax with olive oil and other things until the sores are healed.
Capitol .v.	Chapter 5
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	Of the care of the tears which descend from the parts behind the head
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When there are acute and continuous catarrh and sometimes the limbs of the patient extend slightly, and it is already necessary to take care of them, and the ulcerated palpebras cause pain in the front of the head, acute and sudden, due to these accidents the matter and the catarrh do not flow but from small veins of the parts proceeding from the back
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	The best cure for these is to command the patient to yawn widely, and then insert a needle at the middle of the forehead, a little for the width (and begin at the left temporal opening to the right temporal opening; and be sure to puncture the bone; and pull out your hand from the tears of the temples which are made by chewing).
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry all the area around the wound with sponge or dry cloth and then fill the space between the two lips of the wound with old cloth or strips of cloth.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	And then apply dust from belladonna in vinegar and oil to prevent excessive bleeding.<end_turn>
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when you have finished and you see that the bleeding has decreased, then cover the bone until it begins to harden, and then care for that which regulates the excessive bleeding, which makes the wound swell, as if you were taking two parts of wheat flour and four parts of colophony and mixing them together. Or, make a plaster of these and apply it to the wound when it has stopped bleeding.<end_turn>
Capitol .vi.	Chapter VI.<end_turn>
De la cura de aquo que catz en las aurelhas.	Of the care for that which comes down to the ankles.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	Every cause that comes down to the ankles is one of four species, which is either mineral stone or something similar to stone, such as iron and gravel, or of plant origin such as ivy or hemp, or is due to a flowing liquid such as vinegar and wine, or any beast.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And therefore when stone comes down to the ankle or any other cause similar to these does not cause swelling or pain in the ankle, and if sometimes the stone does cause swelling, then distil in that case oil of violets or chamomile, and apply the extraction to it, and make it vomit, and bandage the area around the event of vomiting.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	And then pause the movement of the ankle with some pieces of wool or bandage, and extend the ankle to its parts, because swelling caused by these causes is easily separated from these parts.<end_turn
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not separated, then apply the extraction to it with the instrument called gesti epicicarios subtle of which this is the form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	And if it is separated by the epicicary, it is good; otherwise, apply the extraction with little duplication of the dose.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	Therefore, if it is not separated by the liquid, then make a needle of gut and insert the extremity of the needle into the ankle joint and close around the needle with wax and oil to prevent it from being broken except for the needle itself.<end_turn>
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	And then extract with the strong attraction of the bowels, which cause swelling like the liquid that we have mentioned.<end_turn
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	Maybe if it is not separated in this way, then take from the burnt or from the black appearance that appears in the ankle, as much as a thumb, and keep that in the extremity of the ray, and then wrap around that area appropriately stopped.<end_turn
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And then insert that into the ankle joint with ease, and then dry the ankle from the humidity.<end_turn
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	Therefore, if it is not separated by all the causes that we have mentioned, then you must resort to cutting off that which causes excessive bleeding or spasm.<end_turn>
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the manner of cutting off that which is to be done is that you at first bind the patient’s ankle of the vein sephasica and extract from the disease according to the virtue of the thing, and then make that desist between your hands and convert the ankle to its parts, and make a small fissure at the root of the ankle just before the bone is fractured.<end_turn><end_turn>
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And the fracture should be of a crescent shape until it reaches the stone, and when the stone is grasped, hold that back if you can with appropriate instruments; and then close the fracture at that moment with speed, and care for that until it is healed.<end_turn><end_turn><end_turn>
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause of the swelling in the ankle is one of the fatty substances that swells and inflates, then apply the cure and the extraction of the thing; even if it does not obey your order immediately, take some sponge that is subtle in this way:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	And administer with that the incision of that fat which is caused in the ankle.<end_turn><end_turn><end_turn>
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	Do not hesitate when you think that that is already moistened by the vapor of the ankle, and keep that in large pieces, and extract with nails or with subtle instruments, or by incision as we have said, because the extraction is alleviated in this way.<end_turn><end_turn><end_turn><end_turn>
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	When the water which is introduced into the heel covers the disease at its commencement, and fills the sole of the heel with a little old dust, I sprinkle over that heel the water which is there, and if by that it is not sufficient, take as many pebbles as are necessary and as long as the finger reaches, and burn them in the fire a little, and let the patient put one of those pebbles into the cavity of the heel and jump on the other foot beside that part and strike with another pebble upon the pebble which is under the heel.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Therefore do not stop adding water until all the water has been squeezed out.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And when the water has been squeezed out, take paper or lint to dry it off And put one extremity of the foot into the heel and extend the other extremity over the fire until the greater part of the foot is consumed by the flame.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And put another lint there and do the same with water as many times as necessary until all the water has been squeezed out, and then take out that which is called the outlying stone with a needle as soon as it is detached
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	When the beast enters into that heel, if it is of small size, hold it and keep it still, for that is how we have said in the division; but if it is of great size which causes pain at the same time, then administer the extraction of it with hands and nails, and the cause of it is less serious than all the other causes which cause pain in the heel.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	When the worm has been engendered in the heel, when you have cured that which we have said in the division and in the treatise of distillations, and do not neglect your treatment, then cover that you may protect the heel from the sun
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And therefore if any cause of the worms appears, then extract that with hands or nails subtle, but if no cause appears, then take a needle and stretch it out wide from which this is the shape of it:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And put the pointed extremity into the heel according to the quantity which the patient suffers because of the disease; and then press down with that against that for a strong suction, and do the same with water, until all the worms have been squeezed out
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	If you do not obey my advice, then I will put you under oath and close the opening of the needle with wax as we have said; then administer distillations which have already been mentioned in the treatment of the worms, and you will find them in the treatise of distillations
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And be attentive to the effusion which proceeds from the medicines which are applied to the heel with this instrument of which this is the shape
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make a hole of silver or lead, wide and deep, with a little hole at the bottom
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	Therefore be careful so that it is in the hollow of the needle of containment here where it is necessary.
