Ayssi comensan las paraulas de Albucasim .	Thus begin the remedies of Albucasim.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	And let there be between each cautery the width of a finger or a little more, and the manner of the cautery should be the manner which we have mentioned in the cauteries of the foot, similarly.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And do not comprehend your hand at the cautery; and the patient should be seated on a stool with two legs.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	And there is another manner of cauterizing, that is to ignite the cautery having two vertiments, which causes we have mentioned in the chapter on muscle dislocation, and it raises the codeine which is at the end of the thigh where the patient feels the pain on the affected side.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And let your elevation be the one that raises the codeine according to the length of the body, so that you make pointed cauteries according to the width of the body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And then insert the two vertiments, ignite motion, in that entry where they penetrate the codeine of the other part.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then extract the cautery; and thus make four pointed cauteries.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you wish, cauterize with a cautery having three vertiments.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And then you will cure the cautery better than having to grasp or bend for three days, because it is more comfortable than the other causes preceding in the treatment.
Capitol .xxxi.	Chapter .xxxi.
De cauterizacio de ydropici.	On the cauterization of dropsy.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cauteries are not made in dropsy, but rather in a specific location properly.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you treat the dropsy, in the manners of treatment which we have mentioned in the division and do not confuse your treatment, then it is necessary that those cauteries are four cauteries around the navel, and one cautery on the stomach, and another cautery on the foot, and another cautery on the thigh, and two cauteries between the vertebrae of the back, and one cautery on the right side of the foot, and another cautery on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the quantity of the depth of the cautery should be proportionate to the specificity of the codeine.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And then leave the cautery open so that you hold or bend for a long time.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not evacuate the patient from treatment then with the cautery as it is necessary for them to be added to the two intentions, and it will be fastened to the doctor's healthy aid.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery that is cauterizing the belly is club-shaped according to the shape of that which precedes, and it is that which is cauterizing the back and is olive-shaped according to its preceding form.
Capitol .xxxii.	Chapter .xxxii.
De cauterizacio de pes e de las coyssas.	On the cauterization of feet and of the thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are apostematized in dropsy and are full of stagnant water, it is necessary to cauterize the feet on the back of the foot at night, where it is between the auricular and anular, and raise your hand on the cautery and do not twist it; and then raise your hand, and do not return it entirely, because the stagnant water recedes.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	The cauteries are according to this form: And then make pointed ones on the two thighs, and in each thigh a pointed cautery at the extremity of the cutting cautery.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And the cauteries are according to the length of the thigh: one on the denolh and another on the middle place of the thigh; and on each thigh two cauteries.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And then leave the open plague for a long time, so that some water recedes from it.
E aprop cura le am aquelas causas las quals havem ditas.	And then cure them with those causes which we have mentioned.
Capitol .xxxiii.	Chapter .xxxiii.
De cauterizacio de cos de ventre.	On the cauterization of the belly and abdomen.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the belly and abdomen are cold and humid inside so that they debilitate the vertebrae, it is the digestive and retentive virtue, which are in the stomach and intestines, and it is cured with those manners of treatment and do not confuse, and sometimes the patient suffers from exhibiting vertebrae cauteries, then cauterize them with a large cautery on the navel according to what has preceded in the cauterization of the stomach, with the circular cautery and four cauteries in the subtle circuit of the navel, with a subtle club-shaped cautery; and with a cautery on the alcatin above the great aloes, or with two cauteries.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if sometimes the humidity exhibits and the patient tolerates, then cauterize them on the pentenilh and on the intestines, and strongly adjust two cauteries on the stomach and near the inguinal region, because it is a perfect cure of youthful vigor, from which you do not err.
Capitol .xxxiv.	Chapter 34.
De cauterizacio de emorroydas antiquas.	On the cauterization of ancient hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When they are in the nature of old hemorrhoids or one of gross humors that corrupts or humidities corrupted, and are cured with what has been said in the division and does not conform to the proper cure, then cauterize with three cauteries above the pus below the spine of the small back, and with a cautery above the umbilical region for two digits.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if it happens that their stomach is inflamed and their food is not digested, and their face is often apostemated, then cauterize that above the stomach with a large cautery according to what has been prescribed; and with a cautery on the side, and another cautery on the navel of theirs with a clave-shaped cautery, and leave the cautery for some time open, and then cure them from the inside so that they may be healthy.
Capitol .xxxv.	Chapter 35.
De cauterizacio de atheyl aprop la abscizio de lor.	On the cauterization of athelia, proper for their abscesses.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you abscess athelia, then you ignite the cautery that is assembled in a row.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then insert that ignited cautery into the abscessed athelia, and ultimately apply it inward so that you bring the cautery to the orifice of the vein from which the blood flows.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And make a vein or two, because if the achieyl are too many, then cauterize some of them according to what has been recounted, and then cure those who have veins that conform to their own joints so that they may be healthy.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you cauterize with a large cautery on the alcoves, it is more durable in youth.
Capitol .xxxvi.	Chapter 36.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	On the cauterization of fistulas that are formed in the nature of their own parts.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When the nature does not obey the work that has been recommended in its place, and the patient is frightened by it, then heal with a cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	So when you have a fistula in the old nature, and it is antiquated, corroding their health and humidities corrupted, and so that which is more worthy than the one that covers is that which proceeds with a subtle tension, and then conveys the quantity of the profundity of theirs before the aforementioned tension.
Aprop igneys le cauteri que es semblant a ray.	Then ignite the cautery that is similar to a row.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And then insert that ignited cautery into this fistula, and according to the quantity in which you introduce the tension.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And iterate over that cautery inward so that they burn those corrupted bodies all together one or two or three times, according to the quantity of your necessary need.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And beware of combustion of nerves and veins; or if the fistula goes to the body of the bladder or to the body of the intestine, then beware of all those places; and do not do it unless the fistula is in a fleshy place and you think that it does not penetrate.
E aprop cura le loc entro que sia sanat.	And then cure the place inward so that it may be healthy.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the place is sealed, and you have abscessed from them the materials, and remained thus for a long time, then you will know that it has been fully cured.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the materials are not abscessed from them, then you will know that it is penetrating or in the region of their corrupted bone, or thus because of those causes which will bring remembrance to its place.
Capitol .xxxvii.	Chapter 37.
De cauterizacio dels ronhos.	On the cauterization of the kidneys.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in the kidneys there is pain due to cold or gross ventosity, and thus the coil of the patient's thigh is weakened, then it is fitting that you cauterize above the kidneys with a clave-shaped cautery on each kidney, from which proceeds the remembrance.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And strengthen their cauterization in the second little behind, so that three linear cauteries will come, and then they will be more durable in youth.
Capitol .xxxviii.	Chapter 38.
De cauterizacio de la vesica.	On the cauterization of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When there is debilitation and mollification in the bladder due to cold and humidities, so that the patient's urine does not retain, then cauterize that in the part below about the bladder, where the skin of the perineum begins, and cauterize with a cautery on the right part, and another on the left side of theirs.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And the length of each cautery is according to the quantity of notes on the foot; and cauterize that with a cautery in the part below the lower back, or with two cauteries if it is necessary.
E sia cauteri clavilh segon que es procesit.	And it is a clave-shaped cautery according to what has been proceeded.
Capitol .xxxix.	Chapter 39.
De cauterizacio de la mayra.	On the cauterization of the matrix (womb).
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When cold and humidity come to the matrix (womb), and thus it is prohibited from conception, and their menses are corrupted, and the provocation of theirs is delayed, and there is pain because of the havement of theirs, then it is fitting that the place be cauterized with three cauteries in the circuit of the umbilical region, just as we have said in the cauterization of the bladder; and with a clave-shaped cautery above the place below the back, or with two cauteries.
Capitol .xl.	Chapter 40.
De cauterizacio de la dislocacio de l’anqua.	On the cauterization of dislocation of the ankle.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When moisture accumulates and is retained in the ankle joint, and it causes inflammation of the surrounding tissue, and it seems that the thigh is prolonged over the other when compared between them.
E le loc de la dislocacio es atrobat en lu quays boyt.	And the place of the dislocation is palpated in the said boy's thigh.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then you should cauterize the patient's ankle joint with a circular cautery, because you have sensed that it is tense in the circuit of the joint, and thus it revolves, and so that the joint falls into its proper place within the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And this is the cautery which precedes the form in the cauterization of the stomach.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this cautery is not at your disposal, then cauterize with three olive-shaped cauteries.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And make the cautery according to the quantity of the inspection of the entire body; and then take care that it be healed within.
Capitol .xli.	Chapter 41.
De cauterizacio de la vena sciatica.	On the cauterization of the sciatic vein.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain occurs in the ankle joint, and it is caused by cold and moisture, the patient is cured with what we have said and not contradicted, and what is ancient, then you should remove the patient from gross humors with fetid pills or artificial pills or similar; and then cauterize.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the manner of the cautery in that is according to two manners: either cautery with burning medicines, or cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	It will be according to two scientific manners, one of which is that it cauterizes the ankle joint with three triangular cauteries in this form; and do so at a good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And the space between each cautery is the quantity of the thickness of the said joint, and so the olive-shaped or large cautery.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	Some withered veins are the cauteries on the same place on the head of the ankle, because there are four cauteries.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish, cauterize with the circle in which the form precedes in the cauterization of the dislocation of the ankle, and that the circle contains and burns the inspection of the entire body.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the manner of cautery in every case when pain is adhering to the ankle and does not extend into the thigh.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	But if it is extended into the thigh, then cauterize with two cauteries on the thigh at the place where the patient's pain turns, and with one cautery on the hip for four days, a little below the affected part.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if the cautery is cutting, and its depth is according to the quantity of the inspection of the body.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the patient turns where the pain is extended into the place close to the feet, then cauterize there where it turns with three points or four or even more if it is necessary for that.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the patient turns with pain being below the knee towards the thigh, then cauterize there with a cutting cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And beware in all cauterization that you do not exceed with the cautery so much that it burns nerves or major arteries, and that for this reason you are above the patient's evil or contradiction.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And you have already seen one or another of those who cauterize on the hip and ultimately in the cauterization, and the inflamed flesh swells into the tumor that reaches the foot, and it is perforated and corrupted throughout the entire foot.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And then a strong solution of wine, and then this leads to death.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two parts at the same time, cauterize each one according to this manner.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And I will describe the wise men in the cauterization of ankle joints, which is this manner: make a circle of iron wire whose circumference is the size of one palm; and it should be from seven or eight inches, according to the thickness of one finger's bone or a little less.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And divide that circle into another third; and the space between them is the quantity of the thumb's nail; and these circles are divided into two parts; and their length is one or two inches, and make in that margin of iron decently appareled in the circles; and this is their form.
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Then ignite it in the fire until it is red-hot and emits sparks, and then place it on the ankle joint, the patient collects themselves on the side of the bed.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And then cauterize with three red-hot cauteries in one go.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And then leave it for three days; then apply a plaster with bandages and leave the ulcerated wound for many days; and then take care of it until it is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Says Albucassis: Oh, my sons, of this species of cautery few have used for the terror of the regard of it, and for that reason few have found those who regard it above all.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	More of the cauteries are applied to him who suffers from it, and apply them again in that place.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	More cauteries are medicines that adhere, which you make two circles having a perforated armula in which the iron rod of the door of iron is inserted; it is the length of the partition in the narrowness of their shoes or those nails.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space which is between each of them according to the quantity of the thickness of the digit; and thus you open below and above, and thus they contain themselves among their following this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And then pause on the partition of the water the patient is sitting on, and comprehend your hand on the partition of the water; and take heated water and put it between two circles, and the quality of that should be at a small fire, little by little, and hold that for the quantity of an hour, and suffer the patient the moderate heat and the adjustment of it — because that adjusts the moderate heat thus from fire — until the heat ceases.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then lift your hand with the instrument and evacuate the heated water from all of the water into warm water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And then leave that for three days and pause on that border until the blackness of the adjusted remainder is seen, and leave that for some days, and correct the purification of it; this is the last step in healing.
E aprop cura aquel am enguentz entro que sia sanat.	And then cure him who is wounded until he is healthy.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain is extended into the thigh or leg, make a statue of him containing water according to what is done in the water immersion.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the method of heated water, and I have already written that in the treatise on the rectification of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe of alkali and cause not extinct of two names in one partition, and crush them and pause in a new vessel of which the partition below is perforated by a small tube, according to the quantity that enters into the liquid.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	And pause below the bottom of another vessel, and pour over that alkali and cause living water which covers those for one digit, and since you comprehend those with your tie-fastened hand for good compression, and leave the hole that separates from the liquid water in the partition below to the other vessel.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then adjust all that water, and pour it over another living cause and other renovated alkali, because at that time it will be of great fortitude, which is administered in many operations of medicine and in cautery of the other members, because the operation makes fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And thus of the medicines some are those which are cautered often, thus you will find and mix and blend and cause to know in that way so that they are mixed.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Gualia recounts of a man of the ancients the operation and the cure in which he was cured of water pain and of sciatic vein, and magnifies much to be of that, and says that there is no need for another cure, and because it is healthy for a season thus as recommended, because strong is the one who enters into bath and exercises already of that.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is that he takes some green certarragi, and if there is no green certarragi found, take a fresh fig; and much is crushed into a few gray ones and paused on the water where the pain is, or in the thigh, or in the leg, and bind.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And let it be for a duration of three hours or for the quantity that the patient feels comfort from the adjustment.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And then put him in bath and when his body is warmed, insert him into the sun, because the pain ceases and he is healthy.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	And know that it does not cover that some use of cauteries is in these medicines, but rather the evacuation of the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	More, Escorides says that when an opening of goat's vein is cautered, it benefits him; and the cautery is in this manner: take wool and dip it in old oil, and pause it between the toes of the foot and between the fossils.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And then take dry goat's opening and inflame that in fire until it is made charcoal; and then pause it over the wool and leave it until it is stretched.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And then iterate that, and do not cease doing that until the sentiment of the moderate heat penetrates into the water and relieves the pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	And this manner of cautery is called cautery of goat's horns.
Capitol .xlii.	Chapter 42.
De cauterizacio de dolor de dos.	Of the cautery of pain of toes.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some days' pain is in the toes for many causes, such as for bruising or percussion or excessive evacuation, and for similar causes, through infusion of cold and humid matter.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cauteries are not made except in this sole species which is done by effusion of cold matter.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Therefore, it covers, then evacuate the patient with pills fitted and similar to theirs, which are made on the toes where the pain is three lines according to the latitude of it, because you have ten in each line or cauteries or more, according to the quantity that one sees of the tolerance of the patient and of its virtue.
E sia fayta cauterizacio am cauteri de punt.	And it should be done with a pointed cautery.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	If you want, cauterize with three or four cauteries or with a medium-sized clave in the middle, following this form.
Capitol .xliii.	Chapter 43.
De cauterizacio al comensament de gilbositat.	About cautery at the commencement of gibosity.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Soft words are given to this sickness in little children; and the sign of its commencement in children is that they stumble upon their structure in the wings and elevate with difficulty and limited movement.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And the vertebrae in the back of the spine begin to rise above the others, on top of the dorsal and lumbar vertebrae that have already started to overlie.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And thus when you see this and want to prohibit it, then cauterize with a circle-shaped cautery following this form.
que prengua le cauteri sobre tota partida del spondilh engualment.	which takes the cautery all over the entire affected part of the spine in a circular motion.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you want, cauterize around the circle of the spine with a pointed cautery of two lines or three.
E sian les puntz propdas entre lor.	And place the points properly among them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	And then cure the area within, so that it will be healthy with what we have said.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	Be careful that cautery is not administered in gibosity that is caused by spasm of nerves.
Capitol .xliv.	Chapter 44.
De cauterizacio de podagra e de dolor de juncturas.	About cautery for gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And thus how gout caused by cold is cured in many ways of cure and the pains are not relieved, then relief comes from cautery.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And it is that you should cauterize with evacuation around the circle of the joint of the foot with several cauteries.
