Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Albucasim .
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	But the operation on it is for the patient to rest his head in your lap, opening his eyes and taking up all the flesh with convenient tweezers or forceps; then incising the flesh at the beginning until everything is finished by means of the incision tool, take care not to injure the eye by your operation.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And your incision should be by which you incised the nail or by spatula as we recommended in the incision of the nail, or with small forceps with which it is collected like an onion according to its form, refer to that chapter.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	So when your incision is finished and all the flesh has been discharged, then fill the eye with ground salt or vinegar made from wine, or sprinkle in it red powder resembling that of corrosive medicines, and place over the eyeball a bandage soaked in white of egg until it is secured against an ulcerated pustule.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	And if any cause of the white of the eye becomes inflamed and there is a pustule, then let the eye discharge and cure that pustule with what reduces it; then repeat your operation on it until it is healed, and similarly do in the compressed flesh which occurs in this kind of eye.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	However, you should know that you prevent all cure of the eye by natural or accidental way, done with an iron, and not put your hand in any of these operations until you see that this member is suffering from that operation.
Capitol .xviii.	Chapter 18.
De colleccio de sabel en le huel.	Of the gathering of pus in the eye.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	Red veins which are swollen over the eye and prevent its operation, and open the eye for a length of days.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	So it is necessary at the beginning that you consider whether the eye in which there is pus is strong and there is not another illness, then collect that pus.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And it is that you command the patient to rest his head in your lap, then suspend those veins with an iron or two according to your prudence; and let the iron be of fine double wire according to this form:
o so dos oncis gradantment en un cos segon aquesta forma:	or two irons sloping into one body according to this form:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	And then let those veins be bound with fine cords, with thinness, and wash the blood now and then, until you see those veins become discharged from the eye and are reduced.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And take care not to injure the eye with the tip of the spatula; and if your operation is on the evening side in front of the sun, and keep it steady in your operation that you do not incise except those veins.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	And when you have finished, then distill into the eye wine made from grape must or vinegar so that it has an astringent action on what has been discharged from the pus.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	But if it is not possible for you to collect everything in that hour, then apply a poultice over everything which relieves the pain of it, and let it remain for several days until the pain of it is appeased and secured against an ulcerated pustule.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	Then repeat on it according to the mother method until it is healed.
E aquesta es la forma de las forfexs:	And this is the form of the forceps:
Capitol .xix.	Chapter 19.
De reduccio de arizati al nas.	Of the reduction of hernia to the nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you cure arisati with cautery or with sharp medicine burning according as it is preceded by its description and is not healed, then do not enter into it but split the pustule after the maturity of it has been discovered and all the humidity which is in it and the puss has been extracted so that the bone is uncovered.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And when you see that the bones are exposed and blackened by corruption, then you should treat them with an instrument of this shape.
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	It is called an astringent head, and it should be made of iron, and the head should be round like the eye of a needle, punctured by liming or cauterized by a sublimate (as shown in the following figure).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And apply it to the腐敗 part of the bone, and gently move it around between your fingers, and press your hand gently over it until you feel that the腐敗 is removed.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	And this should be done several times, then restore the area with astringent and drying causes.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	If the area is consolidated and there is good flesh grown over it, and the body has been healed of the ulcer and remains so for 40 days, and there is no recurrence or incident in that area, then you should know that it is healed.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	And if not, then it is not healed but you should reduce the fissure to its natural shape, and according to this method: you should expose the bone with iron or a sharp medicine, and when the bone is exposed, you should take a tribe according to this form:
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The tip of the iron should be triangular, and its shaft should taper toward the tip as shown.
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Then apply it to the bone, and let it be near the tear; lengthen your arm a little bit, and gently move your hand with the tribe so that it penetrates all the way into the bone, and the patient will feel the pain as you push out the wind through him with your hand.
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Then restore the area with astringent, drying medicines just as you healed it.
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	Then when the flesh and area are hardened, then the matter that was effused to the parts around the wound returns to the nose; therefore, there is pus over the patient.
Capitol .xx.	Chapter .XX.
De reduccio de la eminencia del huel.	Of the reduction of a protrusion from the nose.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	If it is necessary to reduce the protrusion of the nose, and if there is a fissure, and you find that the protrusion is not good, then you should expose the bone with iron or a sharp medicine according to this shape.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	And the way of making these powders is to take pieces of linen cloth and double each piece into four folds; make those pieces.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	Then apply them one over another according to the amount that the nose needs.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	Then tightly bind them with a tough cloth with strong compression; repeat the cupping glasses with sucking while you scarify; then remove the cupping glasses and let the patient lie tightly all day and night.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	But if in between, the ligament becomes soft, then let it be somewhat loose.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	Then remove the bandage during the day and night as we have said.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	And if you see that the nose has been reduced, good; and if not, then repeat the bandage with the powders and compression, and the cupping glasses until it is healed.
Capitol .xxi.	Chapter .XXI.
De la inscizio de la eminencia de la tunica uvea.	Of the beginning of a protrusion of the tunica uvnea.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	If you see that the pain of the head extends from the head to the feet, and if you see that the beginning of the protrusion is in the tunica uvnea, then you should expose all the bones with iron or a sharp medicine according to this shape:
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	Then remove the needle and apply wool soaked in egg white over the nose and let it lie until the thread falls down with the uvea.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	And then heal the nose with that which comforts it until the wound is healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	And several times gather from all around with a circle of cloth over the nose where there is great protrusion, and let it be pierced with the spatulum which comes to the preon of the nose, and let the white humidity flow, and the nose will descend and in that time.
E aprop strenh entro que sia sanat.	Then tightly bind until it is healed.
Capitol .xxii.	Chapter .XXII.
De curacio de alconati.	Of the cure of alconatis.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This illness that is called alconatis is not anything other than an ulcer which is settled in the nose like water flowing down and it is not that.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	But the way of working on it is that you make the patient sit up straight and lean forward, and then take his head in your hands from two sides and move it so that you see the ulcer coming to the upper parts; then let it be dried and not flow down, and let there be light, and the patient sees the causes as he looks.
E si no descendra en jos, sapias que es aygua.	And if it does not flow down below, you should know that it is water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	But if the flow of the ulcer is not prepared with what we have said, then let the patient sit up between your hands and then take a sharp spatulum and fen it over the panniculus covering a little below the continuation of the conjunctiva at the edge of the cornea in the corona (in the area where it is bulging out), so that the ulcer is pushed out.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	So when it is pushed out, then you distill water over the nose in which you have mixed honey or water in which you have boiled fenugreek and honey.
E aprop sia curat am las autras causas entro que sia sanat.	Then let it be healed with the other causes until it is healed.
Capitol .xxii.	Chapter .XXII.
De la curacio de la aygua descendent del huel.	Of the cure of water flowing from the nose.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	We have already said about the spices of the water in the division and which agrees to pierce with salt declaring, then that according to health.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Then let the patient sit up straight between your hands over a basket and lean his nose forward, it bent.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	Then apply your left hand over the eyelid of his nose, if the nose in which there is water is the left one; or with your right hand, if it is the right one.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	Then take alum with your right hand if it is on the left; or with your left hand if it is on the right.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	Then place the end of the alum near the edge of the socket by the thickness of the tear in the eyelid of the smaller tear, and apply the alum with strength and rotate your hand with it.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	Then enter into the socket of the eye and feel that the alum has already arrived at the lens because you can see clearly.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	And it is necessary that the path of alum pass through the space from the pupil to the end of the darkness, and it is the socket of the eye; for you will see with that pupil with the vision of the eye by the clarity of the tunica cornea.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	Then place alum within the socket where the water is, and then pull it down from above to below repeatedly; and if the water descends immediately, then the patient will see immediately over which eye he has broken his vision, and alum in the eye.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	Then rest a little; therefore, if the water has descended, then you release that other one before alum is thrown out.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And then when it is dried and does not descend, then you extract the alum with ease, and rotate your hand little by little, and then dissolve in the water a little white salt of gemma and wash the eye within; and then place outside the eye a cotton pad or stopped wool or cloth infused in rose oil and albumen of egg and tongue with that.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	But we and those who are of our time put on that a trassated comi with albumen of egg.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	And if it does not obey you to alum the interior of the eye due to its hardness — for there are some people whose eyes are hard —, then you should take the spatula which is called 'alberid', and this is its form:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	Then pierce with that the junction, and do not push your hand into the wound, and it is only so that you make way for alum to reach its location subtly.
E aprop entromet almagda segon que havem dit.	And then put in alum as we have said.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	And when you have finished your work, the patient's sleeping quarters should be prepared in a dark room where he sleeps on his back in total darkness and all movement prohibited.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And place in nature something so that its nature is smooth, and do not turn his head to the right or left at all.
E sia le liament segon la sua disposicio entro al tertz dia.	And let the bandage be according to his disposition on the third day.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	And then release that in that dark room and examine his vision, and make him see some causes, and then return the bandage on the seventh day.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And do not do this at the time of the cure or immediately after the infusion.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	Before you leave, ensure that the water is completely drained so that the eye can recover quickly and completely.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	But if inflammation occurs, then you should release the eye on the seventh day, and rectify that with water that reduces inflammation.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Then you should clear his vision and place a poultice on his face orally so that the inflammation of his eye decreases down to him for several days, existing in the dark room.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	And then let it be treated in that room gradually and conversed about its causes.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	And know that in some cases vision is not restored to the disciple, and then you should be confident about the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And it has come to us from some of those who are the Artach , and some say that it is made by fire in Ayrac magnified perforated with which water is sucked out.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	However, I have not seen this done in our land, nor has it been recorded in any of the ancient books; and it is possible that this is new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the forms of spices so that it be on those who ignore them:
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And they are made of gold or silver properly, and they are the extremities of them with this subtle triangular shape, the acute extremity like that is its form.
Capitol .xxiv.	Chapter 24.
De la curacio de carn nada en le nas.	Of the cure of nose pain.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When in the nose are grown various meats united of which is some cause which is assembled to scorpion of words weight, or to polyp stone; and this illness is called polypus because it is like that stone represented.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And from it is cancerous meat, scaly, of dusky color; and from it is that there is lion meat not of dusky color.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Then in that which is in these meats not fraudulent nor cancerous, you should make the patient sneeze between your fingers and set him in the sun, and open his nostrils, and prick his nose in those meats.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	And then extract that to the divided foramen, and then scorch it with something you have understood with a pointed spatula from one foramen inside which you know all the meat has been removed; if he sneezes from it due to any cause for which abscission is possible, then you strike it with one of the subtle instruments with ease so that he sneezes.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	But if he bleeds or inflammation occurs, then you place on it something that it covers; or if they are malignant ulcers, then you cut and cauterize them so that the bleeding is stopped and all the holes are closed.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	And then let it be applied to the nose after incision wine vinegar and water or wine.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	But if the nose is open and from it flows humidity into the palate, then you know that it has healed.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	But if the humidity does not penetrate as you know it, then let it be known that within him is meat in the nose in which there has been no healing of the holes.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Then let it be known that you put oil of the dog in which there is thickness, and wet in him words of a nosebleed, and place between each nose the quantity of a finger or less, and rub the patient's face and insert one extremity of the oil into the nostrils with the ray or for any other cause which it is possible to him.
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	And then having done this, let him breathe in his odorant so that it reaches the canals of the nostrils, and let him spit out onto his palm, for the children at school do the same, and it is a mild cause to him who wants to do so.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	And then place the two extremities of the oil, one extremity that drips on the nose and the other that pierces into the nose, and then administer a cauterization of meat with the nostrils that are in the oil, and do this so that you know the meat has been cauterized.
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	And then extract the oil, and place in the nose after abscission of blood a cold poultice, and do this for three days or more until you see that it has healed completely.
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	And then at the end of the cause, place in the nose a lead pipe for several days until it has healed.
Mays si endigeys de curacio que exsique, usa de aquela.	But if it is difficult to cure that which has been squashed, use it.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	And this is the form of the instrument for cleansing nosebleeds with which are distilled oils and medicines in the nostrils:
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	And do this with silver or gold, which is like a little open lantern, likewise with little heat, and the meat likewise.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	And if you want to, make a closed pipe likewise with reed, and the socket of the instrument for cleansing nosebleeds is flat, uncovered; to which there is handle on it, with which you hold it in him, pouring oil or what you want from the sucks and the causes sucking.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	And these are the ingredients for this recipe: take the fur of a beaver, white balsam, ginger, saffron, long pepper, spikenard, epithyme and rose-pinks, each in an ounce quantity. You will make an ointment from the juice of beetroot and cabbage, and these should be made into pills, and a pill should be tempered with tepid water, and it should be dropped into the nostrils of the patient who is lying down facing upwards.
Capitol .xxv.	Chapter 25.
De theyls natz en las extramitatz del nas.	Of warts on the ends of the nose:
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	A brown spot appears on the ends of the nose, and it grows larger in a few days unless the patient is given a cure.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And because of this, you should cut off that spot at its very beginning and remove it all.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	Then place on the spot a cautery or burning medicine which will remain in place of the spot.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	But if its growth has been delayed until it becomes hard and dark-coloured, with little feeling in it, then do not touch that spot with an iron, because such spots usually cause great harm to the person on whom they are.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	And if the spot is soft and not dark-coloured, and its growth seems possible in all, then evacuate the patient and cut that spot out without fear, and cure the wound with something that will dry it and draw it together until it is healed.
Capitol .xxvi.	Chapter 26.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	Of the stitching of the nose and the lips and the ears when their continuity is dissolved by a ulcer or a similar wound.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	Know that whenever there is an accident of discontinuity in one of these cartilage structures, there are few who perform the operation successfully.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	So, whenever for any cause, you find that there is a fresh ulcer with its blood, then bring together the two lips of the ulcer with a suture, and then cure it until it is healed.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the lips of the discontinuity of the wound are already separated and each has healed by itself, then cut off each part of the wound that is exposed until its blood issues.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	Then bring together the two lips with a suture and strengthen them, and over that sprinkle dragon's blood and fine-ground iron pyrites, and place on the powder some of the emollient plaster, or one of the other consolidative plasters, and let it lie for two days or three, and then take off the plaster and change the ointment, and let it lie until the scabs have fallen off by themselves, and then cure it with an ointment until it is healed.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	But the manner of the stitching is that you put together the discontinuity with needles as we have recommended in the stitching of the belly, or put together the discontinuity with pitch as we have told you and make known.
Capitol .xxvii.	Chapter 27.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	Of the extraction of those causes that come in the two lips on the parts within.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	Many people have in the inner lips of their mouths hard warts resembling the skin of a hornet, and some are small and others large.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	So cut through the lips and open up each of those hard growths all around, and then fill the opening with finely-ground sage until the blood is stopped, and then wash it with wine vinegar and cure the wound with something that constricts, until it is healed.
Capitol .xxviii.	Chapter 28.
De inscizio de la carn ajustada en las gengivas.	Of the cutting of the meat which is attached to the gums.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	Often there is on the gum a piece of meat attached which the ancients called albus, so you should suspend that with wax or have it held with tweezers and cut that from its root, and let the blood or sap run out.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	Then place on the spot finely-ground sage or other constrictive or astringent powders.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	And if that meat returns, then cut it again and cauterize it, for the cautery will not return.
Capitol .xxix.	Chapter 29.
De razo de dentz am ferr.	Of the reason of teeth with an iron.
