Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Al-Bucasi .
Capitol .liii.	Chapter.liiii.
De cauterizacio de claus e dels autres semblants.	Of Cauterization in Claws and of the Others.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	There are claws that come out at the back of the leg, and this is a gross cause, exit, which bites the leg; and it is cauterized in two ways: with fire cauterization and water tail cauterization.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	But fire cauterization is that you ignite the cauterization with the appearance of a butterfly fluttering about, which is made of iron according to its quantity that contains the claw completely, and it is made of delicate edges.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	Then place the ignited cauterization on the claw, and turn it over with the cauterization in its path within so that the cauterization reaches the depth of the claw.
E leyssa aquel per tres dias entro que comense getar brac.	Leave it unhealed for three days within so that it begins to burn the arm.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	Then apply this one with dried rose leaves crushed with salt, and leave the application on it for a moment, for that one will eradicate its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	Then take care in applying to the location with a meat-producing enema within so that it is healed.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	And if it is not converted, and small spots occur on the surface of the body, especially in the feet, then when you apply cauterization with water tail, and that one takes a little piece of wax or iron or a butterfly's wing, and places it on the claw; and when you press your hand, turn it over with the application of a small amount of water tail, and reapply the pressure of your hand, and make sure the tail of water passes through the root of the claw; and wait for the patient for a little while for the biting of the water tail according to the hour, and then take off the application, for the claw will be cured with its roots.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And so it was applied to this one that it is the other within so that you pass over all of them in the body.
E aprop cura aquels pus que las razitz dels claus so erradicadas am aquo dels enguentz les quals la carn ve engenran.	Then take care in applying to those bumps that the roots of the claws are eradicated with meat-producing enemas, through which the animal gets its food.
Capitol .liiii.	Chapter.liiii.
De cauterizacio de tremor.	Of Cauterization in Tremors.
Quan endeve ad alcu tremor per freg en le nervi o per febre de causa frega, o per autra causa semblant, lahoras cove que tu cauterises aquel am quatre cauteris o am v sobre les spondils del dos, entre quascun spondilh am un cauteri; e am cauteri en le pietz de lu, e sobre l‘estomac de lu, am cauteri olivar.	When there is a tremor due to friction in the nerves or fever from rubbing, or a similar cause, then take care when you apply cauterization to this one with four cauterizations or two over the spines of the two limbs, between each spine with one cauterization; and on the feet of the patient, and on the abdomen, with an olive cauterization.
E la tremor de lu se repausa e festina la sanetat de la malautia frega.	And the tremors of the patient cease, and the healing of the feverous body quickens.
Capitol .lv.	Chapter.lv.
De cauterizacio de albati accidentz al cors.	Of Cauterization in Accidental Injuries to the Body.
Quan en le cors so espellitz albati, e so pustulas fendas las quals so feytas de materias grossas corruptas; donc cove al comensament cum apareyso, que sia cauterizat sobre tot cap de la fistola am cauteri subtil am fustz de mirt, la extremitat del qual es estenduda am foc; o am razitz de erestologia longua; o am cauteri lentecular.	When the body is accidentally injured and it forms pustules that are produced from gross corruption; then at the beginning, when it appears, it should be cauterized completely on the top of the fistula with delicate edges cauterization, and the extremities of it are extended with fire; or with a long edge cauterization; or with a lenticular cauterization.
E alscunas veguadas es cauteri ademamil al comensament de la sua expulcio segon aquesta manieyra; e no so cregudas, e es disrumpuda la superfluitat fazens aquels, et sana de aquels.	And some are cauterized by burning at the beginning of their expulsion according to this method; and they are not burned, but the superfluity is broken up and cured from that.
Mays empero cove que aquo sia fayt aprop evacuacio am fleubotomia.	But it must be noted that this is not done by the use of the blade of a scalpel.
Capitol lvi.	Chapter VI.
De cauterizacio de fluex de sanc accident per incisio de arceria.	Of cauterization of blood flowing from an injury with an arc.
Tropas veguadas endeve fluex de arceria que es inciza deves la plagua la qual endeve deforo, o deves la incizio de apostemas o cauteri del membre, e alor semblantz, e es dificil remaura aquel.	Of the treatment of blood flowing from an injury caused by a blade, which often leads to gangrene, or the incision of abscesses or the cauterization of a member, and then it is difficult to heal.
Donc cum accideys ad alcu aquo, lahoras tu·t coyta am la tua ma a l’orrifici de la arceria, e pausa sobre aquel le tieu dit endic estrenh aquel motas veguadas entro que sia ostat le fluex del sanc dejos le tieu dit, e que non yesqua.	Therefore, when you have applied the cauterizer to the member, place your hand over the orifice of the blade, and pause it over that place so that the blood does not flow out from under your hand, and do not let it escape.
E aprop pausa en le foc les cauteris olivars paucs e grantz, per nombre motz, e exsuffla sobre aquels entro que sian mot ignitz.	Then put on the fire a few and large hot coals, for many reasons, and exhale them over those places where they are to be heated.
E aprop pren de aquels un petit o un gran segon le loc e la plagua en la qual es rompuda la arteria, sobre aquela vena festinantment pus que auras remaugut le tieu dit, e te le cauteri entro que sia abcindit e restreyt aquel sanc.	Then take from them a small or a large one according to the place and pulse where the artery is broken, with rapidity before the blood has stopped flowing completely, and cauterize that place as soon as possible after closing it.
E si le sanc es expellit de l’orrifici de la arteria quan tu remaues le tieu dit e extringeys le cauteri, lahoras pren la un autre cauteri coytadament dels cauteris les quals en le foc son preparatz, e donc no cesses fer aquo un aprop autre entro que le sanc sia restrengit.	And if the blood is expelled from the orifice of the artery while you are holding the cauterizer and exhaling it, then take another one carefully prepared on the fire, and then do not stop applying it to another place where the blood has been stopped.
E guarda te que no comburas le nervi que aqui es, e que vengua sobre le malaute autra malicia.	And you must take care not to burn the nerve here, and that other evil does not come upon the patient.
E sapias que quan de l’arteria flueys sanc, lahoras no es possible en aquels restrenge la sanc, e majorment quan l’arteria es gran, si no am una de quatre manieyras: o am cauteri ayssi quo dit havem, o am extraccio quan no es extrayta, quar quan es extrayta las extremitatz de lu miels son comburidas e es restreyt le sanc, o que sia liat am fiel o am liament per fort strectura, o que sian pausadas sobre lu medicinas de las quals la vertut es restringir la sanc; e sian strengudas am pulvinar am costriccio decent.	And you must know that when blood flows from an artery, it is not possible to stop it by constricting the place, and more so when the artery is large, unless in one of four ways: or if you cauterize it as described above, or if you extract it when it should not be extracted, for when it is extracted the extremities of the member are burned and the blood is stopped, or that it is tied with a bandage or twisted by a strong strap, or that it is placed on medicine whose virtue is to stop the blood; and they are strangled by pulleys.
Mays aquel que aministra restriccio decent de lu am liament e am strictura am draps o per posicio de causas comburentz e de semblantz, no comfereys sino tart.	But that which administrates a severe constriction of the member and a strong strap by position or for other reasons does not succeed except in some cases.
Mays si aquo endeve ad alcu e no sia le metge present ni medicina, lahoras obre am pausament del dit indic sobre le orrifici de aquela vena ayssi cum havem dit, e entenda a la gran costreccio de lu entro que le sanc sia ostat de la sobirana partida de la plagua, e sobre la arceria le dit no sia remaugut; e de sobre la arceria sia aspergit am aygua frega de mot gran fregiditat entro que·l sanc sia congilat e engrossat; e mays cossire en que ha de cauteri o de medicina necessitat.	But if this is applied to some place that does not have the medicine present, or that does not need it, then open the pause of the said indication on the orifice of that vein as described above, and understand a severe constriction of the member where the pulse stops from its normal movement, and over the blade do not allow it to be re-moved; and over the blade sprinkle cold water of a great coolness as long as the blood congeals and thickens; and also burn the place where cauterization or medicine is needed.
Comensa la segonda partida.	The second division begins.
De incisio e perforacio e ventozas e de fleubotomia e de plaguas e de lor semblants.	Of incision and piercing, of blisters and of fluid extraction, of gangrene and of its appearances.
Aquestas son paraulas de Albucazis.	These are words of Avicenna.
Ja havem dit en le primier capitol tota malautia en la qual cauteri am foc es convenient e am medicina comburent, e las occasios e las causas de lu, e les instrumentz en aquels necessaris am las formas dels cauteris; e he ordenatz les capitols de la subiranetat del cap entro als pes.	We have already said in the first chapter all diseases in which cauterization by fire and medicine is appropriate, and their occasions and causes, and the instruments with which the cauterization should be done; and we will now arrange the chapters of the second part according to the feet.
E yeu procesire en aquest capitol per aquela meteysa guisa, per que sia alliujat lo querent aquo, lahoras sobre aquo que aura demandat.	And I will proceed in this chapter in that way, so that what is desired may be found, then over that that the seeker has demanded.
E denant que yeu comense aquo, cove, fils, que aprenguatz que en aquest capitol es per terror aquo que es en le capitol primier de cauterizacio.	And before I begin with you, know, remember, and learn that which in this chapter is for the sake of fear for you who are seeking; for it is in the first chapter about cauterization.
E per aquo que cove que sia en lu gran cautela, quar en la operacio la qual es en aquest capitol motas veguadas catz evacuacio la qual es am sanc am le qual esta la vida deves la aspersio de la vena o incisio sobre l’apostema o apercio de exsitura o puracio de la plagua o extraccio de sageta o incizio de peyra e a lor semblantz.	And for you who are seeking, know that which must be done with great care, for in the operation described in this chapter many things can be expelled from an injury, or cut off, or burned, or drained, or made to pass by a leech; and similar procedures.
E de totz aquels so acompanhatz temor e tremor e en le mas de lor catz la mort.	And of all these fear and horror accompanies them, and in the worst case, death awaits them.
E yeu amonesti vos que sobre vos no caia aquo en le qual es esitacio, quar alcunas veguadas cazo deves vos manieyras de homes am manieyras motas de malautias.	And I warn you that in this place do not fall what is dangerous, for some of the things that happen to you are caused by the bad ways of men who have fallen ill.
E de lor es alcu que s’irays am la sua malautia e es leugiera deves lu la mort, e aysso per la vehemensia de aquo que troba de sa malautia, e per longuesa de la malautia de lu, e am la malautia es paor la qual significa mort.	And of them is some who, by their illness, go astray and often die, and because of the urgency of their illness, and because of the long duration of their illness, and because of the fear with which one dies when one suffers from it.
E de aquels es le qual dona a tu son aver e ditta, tu esperant am aquel sanetat, e la sieua malautia es perniciosa.	And those are the ones who give you hope and comfort you, but their illness is pernicious.
E donc no cove que tu consentas en aquel que ve a vos del qual es aquesta manieyra; e la vostra cautela sia major que covesitat e la vostra rapacitat; e no presumatz alcuna causa sobre aquo sino aprop sciencia certa la qual virifica aquo deves vos, e al qual perve successio lausabla.	And it is not that you should consent to such a way of doing things with you as this; and your caution should be greater than your haste, and your rapidity; and do not presume any reason about it except by certain knowledge which certifies it for you, and to which the glorious succession of praise belongs.
E usatz en la curacio de totz vostres malautes de pronosticacio e indicacio de lu al qual es salut convertida, quar en aquel es a vos ajutori sobre adquisicio de fama e de memoria, de lausor e de gloria.	And use in the treatment of all your illnesses by prescription and indication of that which is beneficial for you, because it is in that way that you are helped in gaining fame and memory, glory and honor.
O, filhs, Dieus en vos spire le sieu entendement e no oste a vos direccio e proteccio, quar aquo es en la sua ma.	Or children, God in you inspirers the understanding and does not withdraw from you guidance and protection, for it is in His hand.
E yeu e ordenat aquest capitol distingent per capitols segon que precedit en le capitol de cauteris, de la cura del cap entro als pes, per que sia a vos alleujat aquo que demandatz de aquo e del qual havetz necessitat.	And I have arranged this chapter by chapters according to what precedes in the chapter of treatment of the head within the feet, so that what you are seeking may be found with you who are seeking and from which you needed it.
Capitol primier.	Chapter One.
De la curacio de aygua la qual es contenguda en le cap dels enfantz.	Of the treatment of water which is contained in the head of children.
Sapias que aquesta malautia motas veguadas endeve als enfantz deves le enfantament e quan la noyrissa estrenh le cap del enfant ses livitat.	And you must know that this illness which appears in children is caused by the birth, and when the body of the child becomes light-headed.
E alcunas veguadas endeve per causa amaguada la qual no es saubuda.	And some are caused by a hidden cause which is not understood.
Mays yeu no vi aquesta malautia sino en les enfantz; e a totz aquels les quals yeu vi se coytec la mort, e per ayssi es a mi vist layssada obra en aquels.	But I have not seen this illness except in children; and all those whom I saw had died, and for that reason I considered it to be a great work in them.
E yeu e vist que un enfant le cap del qual era d’aygua omplit, e·l cap de lu era totjorn ayssi magnificat entro que ceser no podia sobre si meteys per la grandesa del sieu cap, e mays que la humiditat fe aucmentada entro que foc mort.	And I have seen a child whose head was filled with water, and the head remained the same size for it could not support itself because of the great size of its head, and more than the moisture increased within it until fire killed it.
E aquesta humiditat o es agreguada entre la codena e l’os, o es agreguada dejos le os sobre le ciphac.	And this moisture is added between the cheek and the skull, or it is added behind the skull, or it is added above the skull.
Quar la operacio en aquel si la humiditat es entre la codena e l’os e le apostema es pauc, lahoras cove que tu fendas en le mieg loc del cap am una fissura en la latitut, e sia la longitut de la fissura cays dos notz entro que corra la humiditat, e aquesta es la forma del spatum:	For the operation in that case, if the moisture is between the cheek and the skull and the abscess is small, then you should cut into the middle of the head in length, and make two holes where the moisture runs, and this is the shape of the sponge:
E donc si la humiditat es mays augmentada e l’apostema es major, lahoras son aqui dos fissuras segon aquesta manieyra:	And if the moisture increases more and the abscess grows larger, then there are two splits according to this way:
E si la humiditat es dejos le os, senhal de lu es que tu vezes la comissuras del cap ubertas de tota partida e l’aygua es spremuda quan tu compremes aquela am la tieua ma a las partidas dedintz e no es aquo a tu amaguat.	And if the moisture is behind the skull, it is a sign that you open the combs of the head completely and press the water out when you wrap them with your hand on the inside, and do not let it escape to you who are seeking.
Cove que tu fendas en le mieg loc del cap am tres fissuras segon aquesta manieyra:	Then you should cut into the middle of the head according to this way:
e aprop la inscizio extratz ne tota la humiditat; e aprop strenh las fissuras am draps e plumassols; e aprop enbroca aquo de sobre am vi e oli entro al quint dia, e aprop deslia le liament e cura la plagua am tentas e enguentz, e strenh le cap am equalitat; e mange le malaute am vianda secca de pauca humiditat entro que·l membre sia confortat e sanat.	And then take out all the moisture by cutting it; and make the splits wide with strips and feathers; and then tie it up, and cure the pulse with hot water on the fifth day, and then clean the member and treat it with dry food of little moisture until the member is comfortable and healed.
E es autra manieyra de incisio, que consideras hon apar la magnitut del apostema e la colleccio de l’aygua, quar alcunas veguadas es mays en le occipicii, o en la partida denant, o en la destra, o en la sinistra; e donc aten am la incizio on appar le apostema e la replecio de l’aygua, e fen aquo segon que a tu es miels possible.	Here is the translation of the text:
Et observa que no inscindas la arteria e endevengua flueys de sanc e mora le malaute per aquel flux de sanc am evacuacio de humiditat.	And watch that you do not incise the artery, and take care that the blood flows from the patient as a result of this escape of blood through the opening, for this flow of blood causes pain and makes the patient faint.
Capitol .ii.	Chapter .ii.
De inscisio de las arterias las quals so aprop las aurelhas, apeladas hilasseysse.	Of incisions into the arteries that are close to the ears, called helissises.
Capitol segon.	Chapter second.
Quan endeveno ad alcu catars o raumas als huelhs o al pietz, e es antiquat aquo, e no confereys en aquo la curacio de las medicinas, lahoras la deriera curacio en aquest es incizio de aquelas dos arterias.	When this catarrh or fever is in the feet or legs, and it has been long standing; then, if you have not already used medicine on it, use this second cure by making an incision in those two arteries.
E donc cove quan tu vols inscidir aquelas que le malaute raza lo sieu cap, e aprop fregua le loc am drap aspre per so que aparan las arcerias, e aprop sia strengut le col del malaute am alcu drap; e aprop considera on polsa la vena; e les locs de quascuna sobre les locs les quals so aprop las aurelhas depremutz, e tant se occultan sino en alcus homes.	And therefore cover up when you want to make an incision in the head of the patient, and rub the area with a harsh cloth to prevent hair from getting in the way; also strengthen the neck of the patient with some cloth; and consider where the veins pulsate; and the places near the ears are separated from each other by certain parts in some men.
E aprop senha sobre la arceria am tenta, e aprop inscideys quascuna am le spatum de quascuna partida agut am inscizio pervenient entro al os, e sia aquo per la latitut del cap.	And place your hand on the artery to feel for the pulse; and make an incision in each with a sharp tool, entering into the bone, and let it run according to the shape of the head.
E si vols, entromet le spatum dejos la arteria e trenqua aquala a las inciden a las partidas desus.	And if you wish, insert your hand between the artery and the skin, and separate the two at the incisions made in each part.
E sia la longitut de la inscizio cays dos ditz ajustatz, quar quan alcuna vena es inscizida le sanc es eyssit am egressio pulsatil, le qual saut deforo per saut frequent.	And the length of the incision should be twice the distance between two fingers, because when a vein is incised, the pulse will beat twice as fast, and this can cause fainting.
Mays si la arceria no apareys al cintiment, lahoras cove que tu mesures de la aurelha la quantitat del spazi de tres ditz, e aprop senha am tenta, e fen entro al os.	Except if the artery cannot be felt, then cover up because you will need to measure the distance from the ear to three fingers' width, and then feel for the pulse, and enter into the bone.
E aquo que cove getar del sanc es quantitat de vi unc., e fort leu ne geta de lu mays o mens, e tot aquo es segon la quantitat la qual appareys de la vertut del malaute e de la replecio de la arceria de lu.	And let go of the pulse, and let the amount of blood be measured in a vessel. And hold the patient's leg firmly while measuring, for this amount of blood is second to that which appears from the virtue of the patient and the expansion of the artery.
E aprop considera la plagua, e donc si reman sobre le os alcuna causa del ciphac, lahoras inscindys aquo per so que no endevengua apostema caut.	And therefore consider the possibility of gangrene; and if there is any cause of swelling in the bone, then incise it so that it does not cause apoplexy.
E aprop strenh la plagua am plumassols e am liamentz de drap de li, e aprop cura aquela am enguentz entro que sia sanat.	And therefore strengthen the pulse with plums and linen cloth; and protect that with oil, and cure it within by applying ointment until it is healed.
Capitol .iii.	Chapter.iii.
De extraccio de las arcerias las quals so en las templas.	Of the extraction of arteries that are in the temples.
Quan ad alcu accideys emigranea antiqua o catertz agutz, per humiditatz agrimonials e per qualiditat en les lacertz des templas, o sodo antiqua vehement e semblantz ad aquels, e es medicat am las manieyras de curacio de medicina e aquo no comfereys, lahoras nos hem sproatz en aquestas malautias extraccio de las arcerias en les templas, o cauterizacio de aquelas ayssi cum havem mostrat.	When this emigranea (old age) or fever occurs suddenly, with the use of herbal remedies and due to the quality of the air in the temples, or if it is violent and similar to those mentioned above, then we will address ourselves to the treatment of these malignant diseases by extracting the arteries in the temples, or by cauterizing them as we have shown.
E la manieyra de la operacio e extracio de aquelas es que·l malaute raza les pels les quals son en les templas; e entenda a la arceria apparent en le templar quar ela es a tu mostrada per le sieu pols, e·s occultada sino en paucs homes per vehemencia de freg.	And the way of performing the operation and extracting them is that the patient shaves the hair in the temples where it appears; also consider the artery that is pulsating there, for it is hidden except by its pulse. It is only seen in a few men due to its velocity.
E si a tu es occultada, lahoras le col del malaute sia strengut am alcun drap; e aprop fregua le loc am un drap aspre o evapora le loc am aygua cauda entro que aparesca a tu la arceria manifestament.	And if it is hidden from you, then strengthen the neck of the patient with some cloth; and rub the area with a rough cloth or evaporate the liquid with cold water until the artery appears clearly to you.
E lahoras tu pren le spatum del qual aquesta es la forma:	Then take this grip, which is the shape of this:
E aprop tu scorja la codena am aquel am facilitat entro que pervenguas a la arceria; e aprop geta en lu onti e extratz aquela a las partidas sobiranas entro que extraguas aquela de la codena e descobras aquela de las tunicas las quals so dejos aquela, de tota partida.	And then take the thread with ease until you reach the artery; and let go of it at the roots; and cut off that part of the thread that is between the two roots; also discover those threads that are on the outside, all of them.
Mays si la arteria es subtil, lahoras envolveys aquela am la extremitat del oncii, e aprop inscindeys de aquela una partida segon la quantitat per la qual sian alonguadas las extremitatz de lu e sian contraytas, e no endevindra flux de sanc, quar si no so inscididas no pujara le sanc de tot.	Except if the artery is thin, then wrap it with a thread at its extreme end; and make an incision in that one according to the shape of the leg, which should be longer than shorter, and there will not be a flow of blood because it would not be incised if it were not long.
E aprop evacua del sanc de vi unc. entro a tres.	And then let go of the pulse of half a vessel. To two or three.
E si la arceria es gran, lahoras cove que tu lies aquela en dos locs am fiel dopble fort de ceda o am cordas a lonc, e no coyte a lu putrefaccio denant la consolidacio de la plagua e endevengua flux de sanc.	And if the artery is thick, then cover it with two threads of linen or rope, strong and long, and do not allow any putrefaction in front of the consolidation of the pulse, and let there be a flow of blood.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And then make an incision between two linen threads; and cut it at that time or another.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you wish, cauterize it with a sharp instrument within the bone until the extremities are incised, and set this work in order.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	It is better work than the patient has fever or a cold; for cauterization helps those causes that assist in the ending of the humors, so it is better to do it quickly.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And then extract the arteries that you have shaven at the base of the head, and place them on a clean cloth; and let them rest for a moment, and cure them with dry medicines to prevent the flesh from rotting, and let it run according to the shape of the legs until it is healed.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while you operate on another part of the body there is a flow of blood from the artery, then let it stop bleeding by strengthening your hand within that area; and stop it with cauterization or with something else that stops the blood.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if any of those causes are not present, then pause the thread over the area until the pulse stops bleeding; and tie it with a knot, and wet that place with very cold water until the pulse quiets down, and strengthen it according to what you have.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And the best way to extract an artery is that you cauterize the vein with this cautery having two knives; and pause each one, lit a fire, and let it run until it reaches the bone, and make an incision between the two roots, so that it runs along with those two threads, for they are not consolidated by this cauterization.
E aquesta es la forma del cauteri:	This is the form of the cautery:
E sia la acuitat dels dos cotels esemps.	The acute points of both knives.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	However, if the points of both knives are not acute, then use sharp ones that are suitable for each one; and do not cut the flesh with too much speed.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Then, if there is any thickness in them, the heat of the fire is held back in them, and the flesh is cut off easily.
E aquesta obra es milhor en tota obra e pus leugiera.	This work is better than all works, and it is easier.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	The distance between the two knives should be the quantity of the thickness of the thread.
Capitol quart.	Chapter fourth.
De la cura de cors de lagremas agudas e aciduas dels huels.	Of the cure for sore eyes from acrid tears.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When it is because of acrid tears, and those veins are above the forehead that cause this problem, and do not apply medicine to it; and often the face of the patient becomes red, and feels as if it were burning from the acridity of the tears; also, the eyelids are scratched by their sharpness, and the skin is burned by the acrimony of the tears; therefore, use this operation for them, and let them rest for a moment.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And so you order the patient to rub his skin with a leather glove, and insert three slits evenly spaced according to the length of his forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the slit falls two times: the first slit be evenly spaced to the length of the nose in the middle location of the forehead, and the second according to the length a little movement of the eyelids that are on the eyelid, and the third from the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And be careful about the incisions of the wounds that are in two pieces, and extend your hand from the continuation of both the jaws.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space between each incision is three times adjusted.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a sponge of the dry or rags to remove the sweat from the wound.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	Then place the sponge with two sharp extremities, whose this form is the shape of the incision:
que es de la partida des templas entro a la segonda inscizio.	to go to the second incision.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Then remove all the tissue that is between two incisions in the middle of the bone and insert it into the second incision.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	Then place this sponge and insert it into the first incision again with another instrument called a scalpel, sharp on one side and blunt on the other.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	Then pause the skin of him on the edge of the wound attached to the tissue, and the edges of him away from the bone, and insert it into that which reaches the middle slit, and cut all the vessels that descend from the head to the arms.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	Then be continued the incision as long as the tissue allows, and insert it into that which reaches the middle slit before the other one.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And then pour from the wound a little quantity of water, squeeze the feet of the wound.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	Then place in each slit a little piece of twine, and place on these dusts impregnated with wine and oil and vinegar and let it not develop pus.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day let him remove the bandage and administer a great infusion of lukewarm water, and then clean it with basilic oil with rose water and other things so that the blisters are healed.
Capitol .v.	Capitol
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	Of the cure of blisters by means of cats and to the arms descending from the parts inside of the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When in addition to the cats hot and continuous, and often the arms of the patient exhausted little, and now the care for their healing, and their eyelids ulcerated and of their eyes the skin, and in the forehead sharp pain when they rub it and the sudden withdrawal of the blood, then know that these accidents do not proceed except from small veins that come out of the inside parts.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best cure in these is this: that you order the patient to rub his forehead, and insert three slits in the middle location (and begin with the incision of the left temple within the right temple; and be a cut through the bone; and extend your hand from the eyelids that are hot due to mastication), until it is exposed.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry all the wound with a sponge or rags and then insert between the two edges of the slit a piece of twine or a rag dry.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	Then remove it carefully from these dusts impregnated with wine and oil so that it does not develop pus.
