Ayssi comensan las paraulas de Albucasim .	Thus begins Al-Buqadi's discourse.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Then remove it with a strong grip, because three times have been counted with water that has been described.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	However, if it is not bruised in this way, then take a silver ring or an old ring, and place a small quantity of the cloth between the teeth, and pause it on the side of the ear with a mild grip; then make a small cut at the end of the ring with a sharp blade.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And approach this to the ear with ease, and dry the ear from moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And so if it is not caused by a furunculous infection due to all the causes that we have mentioned, then you should cut off the part that would cause an abscess or spasm.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the way to cut that out is that you should first mark the vein with a blade and extrude it out second by the method of virtue, and then approach your knife between your hands and separate the ear from its base, and make a small incision in the root of the ear which should be greased with oil in the area to be pricked gently.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And the incision should be in the shape of the moon so that it reaches the ear-drum, and if the ear-drum is burst, stop it with an appropriate instrument; then sew up the incision quickly and heal that inside so that it may be cured.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause is a fluid that builds up and inflates the ear, then administer treatment and extract it; but if you do not comply with his advice and insist on your own, then you should take a thin thread according to this form:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and administer the extraction of that fluid which is stuck in the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not pour water when you think that the ear is already moist with vapor from the ear, and place it in a bowl of water, and extract it gently or cut it off as we have said before, for it is convenient to extract it in this way.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But in water that is entered into the ear, it should be that the patient uses a sneeze at the beginning, and fill his own ear with a little old wine, and beat over that ear by which water comes out, and if it is caused by a furunculous infection, then it is good; and if not, then take two very small peasy peas according to its length, and tie them together, and the patient should put one of them into his ear and jump over it with the other one on that part from which water comes out.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	So do not stop pouring water until all the water has been discharged.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And when the water is completely discharged, then you should take paper or a piece of cloth  . i . , and place one end of it in the ear and extend the other end towards the fire until it burns completely.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And then take another piece of cloth and pour water repeatedly until all the water is discharged, and insert it with a cannula as we have said before as an ear-drummer.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	But in the extraction of beasts that enter into that ear, if it is a small thing, then push and pull gently as we have said in the division; but if it is a large thing which causes pain to the head of the person, then administer extraction with a sharp object and a cut, and the cause of it is lighter than all the other causes that are caused by the ear.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But in the extraction of a vermen that is generated in the ear, when you administer to it with water as we have said in the division and in the treatise on distillation, and if you do not comply with your treatment, then you should keep the ear to the sun.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And if there is any cause of worms here, then extract it with a sharp object or a sharp tool, but if there is no cause, then take a narrow cannula that is curved and wide at the end from which it comes out:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And introduce the narrow end into the ear according to its quantity because it suffers from that malady; and draw it out with a strong suction, and pour water repeatedly, so that all the worms are discharged.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if you do not comply with my advice to go out, then you should try to close the canal with wax as we have said before; and then administer distillation as has been described for the cure of worms, and see water in the treatment of distillation.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And may your effusion be with which you pour medicinal oils into the ear with this instrument, of which this is the form of it:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	And make it of silver or brass, wide at the end, in the shape of a small tube, and smooth it on the top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	Then, if you want to put it into the concave part of the cannula from which you pour liquid medicine, then do so.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you want, take the wire and wrap it around the end of the cannula gently, and pour oil or juice from any herb, or water that you want of these medicines into the cannula - which is in the ear -, and then insert the wire with a little pressure onto it, and squeeze your hand slightly to force the oil out into the concave part of the ear, and let the patient feel the oil inside;
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And water that is already poured into the ear is also burned slightly by the fire.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And keep in mind that the cause which you will distillate in the ear should not be too dry, because ear medicines do not tolerate such water.
Capitol .vii.	Chapter VII.
De curacio de opilacio de aurelhas.	Of the Treatment of Ear Aches.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some small children are born with an obstruction in their ears, which does not perforate them; and water already exists in some adults, causing pain in the middle part of the ear, and in some cases, it is in the outer parts.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And that which happens in the middle part of the ear, which does not comprehend the head, is in difficult cases of treatment.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that which you are able to feel the head, then keep the ear of the patient to the sun and look at it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And if there is any obstruction apparent, open that with a sharp object which has a slightly curved end:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the end of it is small in length, of which one part is sharp and the other is not; and the blade is two little blunt to avoid injury to the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And if the obstruction is due to hidden meat in the ear or in the middle part of it, then cut it out with a sharp object and do so with great care that all the meat be removed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the obstruction is in the middle part of the ear, then take a thin wire and burn it slightly with fire, and place that in the middle part of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And if you have perceived any obstruction by water which the patient perceives with ease, then try to press it gently; and keep in mind that you do not injure the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	And then place a thin piece of lead in the ear according to the size of the tube which you have wrapped in wax with olive oil; and do so for several days until it is certain that the ache has been cured; or take some fresh lead and wrap it in cerot that is made of rosin, and place it on the affected part, and let it cool; and then cure that inside so that it may be healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	May it be that the blood flows out, then dip the sponge or cloth in water and place it over the ear, and use the other treatment which constricts the flow of blood, which is said in the treatise on distillation.
Capitol .viii.	Chapter .viii.
De cura de athezil le qual endeveno a las palpebras.	Of the cure for blindness, which is given by applying to the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	The athesil that should be applied to the eyelids of the patient has two kinds, some are wet and some dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Therefore, if you have such herbs as marjoram or mint, and chop them up, then apply them to the affected areas, and place a bandage over them, folded three times.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	May it be that pain comes from a flow of blood, then you should cauterize those with the subtle causticum.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization is to return the incisions and bandages when there remains no cause of their rash; and when they are burned with fire, those rashes are scorched and do not return.
Capitol .ix.	Chapter .ix.
Cura de grandeyssa que veno a las palpebras dels huels.	Cure for blindness that comes upon the eyelids of the patient.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	The spots on the eyelids of the patient are caused by some cause that is gathered together in strength and hardness, and thus it increases and is called "glaucous."
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And this is accumulation of thick moisture on the lower and upper eyelids.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Therefore, the operation is that you should consider if the increase is caused by water on the eyelid and it spreads all over; and the cause of it is clear.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Therefore, cut open that with a blade from the edge, and remove it easily with care; and suspend that of mint and cut off that.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	May it be that you are not prepared for the incision if you do not push into the eyelid with a small incision little by little; then there is no need to notice any cause.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the shape is large, then you should adjust it with a suture; and treat that so that it may be healed.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is little, then it will not harm those for whom that blood of it restores it and heals it.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the increase is declining towards the inner part of the eyelid, then remove that from the inside and suspend it with mint, apart from any incision; and press it with your hand so that it does not spread.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	Then cut open the patient's eye, wash the eyelid with saltwater; and treat the area with a caustic solution so that it is healed.
Capitol .x.	Chapter 10.
De la cura axcirnah en la palpebra desus del huel.	Of the cauterization on the upper eyelid of the patient.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	It is the one that is produced in the tunics of the upper eyelid, and it especially affects children, causing them to cry due to their eyes crying; they cannot look at the brightness of the sun because of the tears.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so you can see each other's faces all the time, and they sleep with their eyebrows wet; and the following signs appear in them: when you press the area, you feel a burning sensation within them; and when you touch the area of the lid with your finger, you feel the pulse there.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And there is no way of operation except to place the patient' head on the table and to place a cloth over it and cut a small circle according to the quantity of arznei that contains in all parts, and to place that over the area and press it with your finger so that it is burned within the middle of the circle; and then close it in the middle of the moisture with a knife, cutting along the edge to prevent the moisture from spreading, and do not let it spread.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	May it be that in the preon you cut all the way down so that you can reach the arznei, for in certain places you carry out arznei by incision according to the shape of the white stain.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Therefore, remove it with the cloths that you have wrapped between your fingers and turn it between your right and left hand so that it is destroyed.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And take care that you do not put your finger in the incision so that the moisture does not reach the eye and damage it.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	May it be that you do not put your finger in the incision at the beginning, but rather put it in the incision a small way so that it treats; and then remove it as we have said; and then pour water over it and rub it with sand.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And therefore they should make salt and put it in the concave part of the incision so that the moisture that is left from it is removed.
E aprop cura aquel entro que sia sanat.	Then treat that so that it is healed.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	May it be that in the area there is a swelling of heat, then treat that with plasters of cold poultice so that it is healed.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	Of ways of touching the patient' pulse.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When the eyelids of the patient are swollen and their natural hair is gone, then touch them with cold poultice and let the tears flow and the eyelids be moistened, so that the cause of damage to the eye, which is called touching the eye, may appear; and it is cured in four ways: either by cauterization with fire; or with acute medicine according to what is said in the chapter on cauterization; or it is performed by cutting and sewing them together; or with reeds according to whether they are open or closed.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And therefore, when you place the patient' head on your left hand, then turn the eyelid of the eye toward your thumb; if it turns, it is good; and if not, pierce that with a needle where it should be turned, and make the needle go through that, — close to the edge of the eyelid where hair does not grow, — close to the hair, and pull the thread over the edge with your thumb toward the eye, and turn that.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	Then cut open the inner part of the eyelid with a blade and place a small piece of cloth or cloth over it, and draw out the thread over the edge with your thumb so that it does not rub against the eye; then remove the thread and turn that.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	However, if it is the case that it is due to a great amount of moisture on the eyelid, for that has become very soft in men; for in men who have this problem, the amount of moisture that is present on the eyelid causes it to be soft and increase in size.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	Then cut open the area between the two lines that you have drawn, and start from the eye of tears within to the eye of the nose.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	And if your incision is close to the natural hair, as it is with the thick-haired man.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	Then place the onion in one of the two angles of the cloth, and remove it completely, and adjust the two lips with a thin thread or yarn, and wipe the blood, and make the blood stick to the hair; and if you want to make it stick, then do not; and do not.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	Then leave the sutures of the threads within for three or four days, and then treat that.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	And if you want to leave the wound unsewn, and heal what there is that dries and constricts, for the eyelid is lifted by the sealing of the wound and its enlargement; but a better sewed wound I have not spoken of yet - and so I said then about the ancient art of taxanir.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	But even if it is necessary to apply pressure on the patient's back, this is a good operation and not something to be feared.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	And there is another way of doing this with taxanir; and it is to lay a thin blade on the eyelid, and to raise the eyelid by three small holes separated and gathered together according to this form:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	But if this is not possible, take a needle with thread in it, and insert that into the middle of the figure, and between the other thread and the major tear, and the thread next to it; then adjust these threads to be equal, and then raise them all together, so that the entire figure hangs over the edge on which it is drawn, as if with a raised bridge.
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	Then adjust the two eyelids to be sewn together, and heal whatever is inside that needs to be healed.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	But if you have a blister, you should sew it shut, or cut it open and pour on the ointment, and cover it with something wet.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	And some people also make their eyelids turn inwards, so that you should not use the incisions we have spoken of; but a sewed eyelid is more artificial.
Ataxinir am cannas es segon aquesta forma:	Taxanir on the nose is according to this form:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	and it is to turn the eyelid and divide the figure that is inside according to what I have said; then, with art, make two thin blades or two small stakes whose length is according to the length of the eyelid and whose width is less than the width of the nose.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	Then you have already cut into the ends of any splits, where you have the threads.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	Then add a little of the ointment to each of the ends that are too long on the eyelid, and tighten the blades or stakes that you have cut with a firm grip, and leave them there for some time; for by this means the thread will die and rot away, and not remain stuck to it.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	But if it is late, then cut the thread that binds the eyelids together, and heal the wound within that needs to be healed.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	And when it is set in order, the eyelid is raised and does not prick.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is the way to make two thin blades according to this form:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	and have the quantity of its length and width neither more nor less.
Capitol .xii.	Chapter XII.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	On the raising of pricking hairs on the nose with a needle.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When the hairs are unnatural, hard and sharp on the nose, then do the operation in this way: take a very thin blade, and pause it on the fiber of a very fine silk thread, and then adjust the ends of it so that they do not touch each other, and cut them with a very slight motion.
E sia la longitut dels fiels de quantitat de una palma.	And let the length of the threads be according to a palm's width.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	Then you may take another thin blade and place it in a V-shape, and cut the ends of those threads that you have just made, if you wish.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	Then return the patient' head to its original position on the table, and place it near the sun so that your work is visible, for it is a subtle and small operation.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	Then insert the needle into the root of the hair that requires it to bend, and let it enter quickly into the eyelid so that it comes out at the other side of the hair.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	Then pull the hair out from under it and insert it into the oil, and let there be one or two or three hairs, but not more.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	Then take your hand away from that place where the hair has come out of its root into the oil on the eyelid with the natural hair.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	But if the hair is pulled out of its oil and does not come out with it, then you will pull out the oil from the ends that have split and are held by the thread that you have tied, within which the oil will come out.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	Then let the oil remain in place on the nose, for you have pulled out its oil and each hair; then leave them for two or three days, within which time the hairs will come off their places and grow on top of it.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	And if the hair is too long, then adjust one of the natural hairs, and raise it up to that; or, if you want to lengthen it, then leave it there for a while, and then raise it up.
Capitol .xiii.	Chapter XIII.
De la cura de ehacratir la qual ve en la palpebra desus.	On the curing of an inflammation that occurs in the eyelid above.
Quan ve en le huel ehacratir, e es contraccio de la palpebra quan es contrayta en sus, o a dextra o a sinistra partida, per mala consolidacio de plagua o de seccio o de cauteri, e es apelada leporina, e aquesta ahercrati o es natural o accidental, e es fayta per consolidacio de plagua o de seccios o de cauteri, o per semblantz a lor malcuratz.	When an inflammation occurs in the nose, and it is contracted in its skin, or to the right or left side by a poor consolidation of the wound or by sectioning or cauterizing, and it is called leporine, and this either arises from natural causes or from accidental means; and it is caused by a bad consolidation of the wound or by sectioning or cauterizing, or by similar means, it is called leporine.
May la manieyra de la operacio en lu es que tu fendas aquela consolidacio e que separes las labias de lu, e pauses en lu en aquo que es entre aquelas una meca de drap de li, e ligues aquelas entro que sian sanadas.	Then the way to perform the operation is that you cut that consolidation and separate the eyelids, and pause them in it so that there is a little cloth between them; then bind them together within which they are healed.
E no cove que tu uses de curacio de lu de las causas las quals exsiccan, constrenho; quar si tu fas aquo retorna alixacratir pus mal que nulh temps no foc habantz.	And I do not know that you should use cauterization on the nose from any causes that cause it to dry out; for if you do so, it will return to being inflamed more than if you do not use it.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	Use on the nose from causes that soften it with fenugrec, and immerse in water which is warm and salty; or with a liquid called dヤquilon, which is made from some oils, and dip it in that water; then heal it.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	And the treasure of your cure is that you perform all that is possible to avoid consolidation according to the form in which it begins.
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	And this operation that we have spoken of is nothing more than a correction of inflammation that does not return to its original form according to what it begins.
Capitol .xiiii.	Chapter XIV.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	On the curing of an inflammation in the eyelid below.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	This inflammation that is caused in the lower eyelid is called, when it occurs naturally, by a natural cause, or by an accidental means.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	Or it may be caused accidentally by an inflammation, or by a sectioning, or a cauterizing, or by similar causes.
