Ayssi comensan las paraulas de Albucasim .	Thus begins the discourse of Al-Bucasyi.
E aprop incideys la superfluitat la qual es entre dos liamentz; e fay aquo en aquela hora o aprop autra ora.	And so cut off the superfluity that is between two ligatures; and do it at that time or another.
E si vols, cauteriza aquela am cauteri entro al os am cauteri cutellar entro que sian incididas las extramitatz de lu, e stara en loc de aquela meteyssa obra.	And if you want to, cauterize it with cauterizing iron within the bone before incising the two ends of it, and place it in a place that is ready for that work.
E es milhor obra sino que·l malaute aia febre o es de escalfada compleccio; quar cauteri es de aquelas causas que ajudan a las humiditatz finidoras, e donc es milhor en juvament.	And it is better work than the patient has fever or a hot complex; because cauterizing helps to stop the humidity’s finish, and so is better for healing.
E cove aprop la extraccio de las arcerias que huomplas le loc de coto antic, e sian pausatz sobre lu polvils decentement fayt, e aprop sia curat am medicinas seccas fazen naysser la carn e am calguas entro que sia sanat.	And so extract the arteries that are in the temples, which are hard and dry, and put it on a clean cloth, and make it clear with medicine that makes the flesh well and the blood stops flowing into it until it is healed.
E si mentre obres autra veguada endeventa flux de sanc de la arceria, lahora tu te coyta a restrenger aquel sanc, o am cauteri, o que omplas le loc de coto, e strenh la tua ma entro que sia restreyt le sanc.	And if while you open another vein that is coming out of the artery’s blood, then do you bind to stop that blood, or cauterize it, or put it on a place; and strengthen your hand within so that the blood stops flowing.
E si deguna causa de aquelas no es a tu present, lahoras pausa le tieu dit sobre le loc entro que·l sanc sia congilat, e enbroca le loc am aygua de vehement fregiditat entro que la acuitat repausa, e sia strengut segon que cove.	And if any cause of that is not with you, then pause the thread above the place where the pulse is stopped, and put it on cold water within so that the fever stops returning, and make it strong according to how it was before.
E aquo que es pus leugier en extraccio de arceria es que tu cauterizes la vena am aquest cauteri haventz dos cotels, pus que tu has senhat les dos locs am tenta, e depausa quascus, mot ignitz, entro que pervenguan al os e inscindan la vena en dos locs, per so que sia elonguat aquo que es entre las extremitatz de lu, quar no son consolidadas de tot am aquest cauteri.	And so the blood is extracted from the artery is that you cauterize the vein with that cauterizing iron having two knives, because you open each one with effort igniting it within so that it reaches the bone and cuts it in two places, so that the blood be elongated between both ends of it, because it is not consolidated by that cauterizing iron.
E aquesta es la forma del cauteri:	And this is the way of the cautery:
E sia la acuitat dels dos cotels esemps.	Let be sharp the two knives’ edges.
Mays empero si so mendres acuitat que dos cotels es milhor, quar si so agudas cum dos cotels propera a quascuna freg, e no enscideysso la carn am velocitat.	More if those are not sharp, then let two knives be of the same sharpness because it is better for each one to cut at its own speed and not incise the flesh quickly.
Donc cum en aquels es alcuna grossitut, es tenguda la calor del foc en aquels e la carn es abscindida leugierament.	Then if some are thick, let the fire’s heat be held in those and the flesh is cut lightly.
E aquesta obra es milhor en tota obra e pus leugiera.	And this work is better in every work and lighter.
E sia le spazi le qual es entre dos cotels la quantitat de la grossesa del dit.	And be the space between two knives the quantity of the thickness of the thread.
Capitol quart.	Chapter IV.
De la cura de cors de lagremas agudas e aciduas dels huels.	Of the cure for weeping and sour blisters on the eyes.
Quan so lagremas aciduas, e es le cors de aquelas venas las quals so sobre le test del cap deforo, e no comfereys en aquo alcuna causa de la curacio de medicina, e vezes la cara del malaute ja enrogesir e sent en le sieu front deambulacio ayssi cum si era deambulacio de formiguas, e·ls huels de aquel so extenuatz, humitz enayssi que ja les pels de lor son conodutz, e las parpelas so scalfadas per la acuitat de las lacrimas, les antics agro mesties en la curacio de aquelas de aquesta operacio, e nompnero aquela curacio am spassa.	When the sour blisters occur on the eyes and are in the forehead of the patient, then do not put faith in medicines’ remedy, and the face of the patient is already swollen and it is painful to look out; and these eyes with those little hairs are irritated by the acid liquid of tears, and the work for those eyes is tiring, and the skin of them is torn with the acuteness of the tears, and they do not give relief.
E es que tu comandas al malaute rayre les pels les quals son en le sieu front, e aprop inscideys en le front tres fissuras engualment distans segon la longitut del front.	And so you command the patient to lie down with his or her hair over their face, and make three incisions on the forehead that are equally spaced out according to the length of the forehead.
E si’ la longitut de la fissura cays dos ditz: la una fissura sia engualment distant a la longitut del nas en le mieg loc del front, e la segonda segon la longitut un petit del movement dels lacertz les quals so en le lacrimal, e la tersa del autre part.	And if the length of the incision is two fingers: the first incision should be equally spaced out according to the length of the nose at the middle of the forehead, and the second one should follow the length of the lacrimal, and the third one on the other side.
E guarda te de la incizio de las arcerias las quals so en dos latz, e elongua la tua ma de la continuacio de amdos las mandibulas.	And be careful of the incisions in the arteries that are in two places, and extend your hand from the continuation of both mandibles.
E si’ l’espazi de quascuna inscizio la quantitat de tres ditz ajustatz.	And if the space between each incision is three fingers wide.
E si’ a tu una pessa d’espongua apparelhada o draps seccatz motz am les quals exsiccas le sanc.	And if you have a sponge of white cloth that is dry and clean, use it to apply the medicine.
E aprop entremet le spatum de dos agudas extremitatz, del qual aquesta es la forma de la inscisio de lu:	Then take the spatula with two sharp ends, for this is the shape of the incision on the patient’s back:
que es de la partida des templas entro a la segonda inscizio.	which goes from the first incision to the second one.
Exxcorja am aquel tota la codena la qual es entre dos incizios am le ciphac le qual es sobre le os, e aprop fay aquo de la inscizio migera entro a la segonda inscisio.	Then cut off all the skin that is between two incision lines on the spine, and do so from the first incision to the second one.
E aprop stratz ne aquest spatum e entromet en la primieyra inscizio autra vetz un autre instrument le qual es apelat cutellar, agut de una part e del autre no agut.	Then take this spatula and insert it into the first incision again, an instrument called chisel on one side, and not on the other side.
E pausa le latz de aquel agut deves la carn annexa deves la codena, e le latz de lu leon dintz le os, e empelley aquel entro que pervengua a la fissura migera, e abscindeys am aquel totz les vaysels que descendo del cap als huels.	Then cut off the hair from the patient’s back, and from the spine itself, and insert it into the middle incision, and cut off all the vessels that descend from the head to the arms.
Mays que sia continuada la inscizio ad aquo appar de la codena, e aprop fay aquo en la fissura migana entro al autra fissura.	And so the incision should continue as it goes down along with the skin, and do the same in the middle incision before going to the other one.
E pus que corr del sanc quantitat engual, exprem les locs de las pessas del sanc congilat.	And then pour a certain quantity of the medicine onto the patient’s feet that are cold.
E aprop pausa en quascuna fissura calgua de coto vielh, e pausa sobre aquels polvils enbegutz en vi e oli e vi agre, e vegas que no endevengua apostema caut.	Then put a little piece of cotton in each incision, and place it on the dirt that is mixed with wine and oil and vinegar, and apply it so that it does not cause blisters.
E en le tertz dia deslia le liament e aministra gran enfusio de aygua cauda o tebeza, e aprop cura aquo am enguent bazilicon am oli rozat e autres entro que las plaguas sian sanadas.	And on the third day wash it well with warm water, and apply oil of rose and other remedies to make the wounds heal.
Capitol .v.	This is a complete translation of the text into English:
De la cura de lagramas per catartz e als huels descendentz de las partidas dedintz del cap.	For the cure of headaches by catharsis and for the vessels that descend from the head.
Quan ad alcu veno catartz agutz e continuantz, e vezes les huels del malaute extenuatz petitz, e ja le reguardament de lor es debelitat, e las palpebras ulceradas e de lor cazo les pels, e en le preon del cap es dolor aguda ledent e extrenutacio consequent, lahoras sapias per aquestz accidentz que las materias e catartz no veno sino de motas venas de las partidas dedintz procedent.	When there is acute pain in the head due to catharsis and the vessels that descend from the head, if they are very weak, then take small pieces of the patient’s hair and cut them off, and with regard to their improvement, their swollen eyelids, their ulcers, and the hairs on their scalp, and with the pretense of the head, if there is sharp pain and extreme sensation, know that these things do not come from the blood vessels that proceed from the inside parts.
E la milhor curacio en aquels es aquesta: que comandes al malaute que raza lo sieu front, e aprop inscideys en aquel una fissura al mieg loc del front, un petit per la latitut (e comensa am la fissura del templar senestre entro al dextre templar; e sia inscisio entro al os; e eslongua la tua ma dels lacertz del templas lesquals son maugutz deves la mastigacio), entro que sia le os descubert.	And the best cure for these is this: command the patient to lie down on his or her forehead, and make a single incision in the middle of the forehead, a little long (and start the incision from the temple on the left side entering into the right one; and it should be made under the bone; and extend your hand along the lacunae of the temples, which are wet with saliva), so that the bone is exposed.
Exsicca tot le sanc am espongua o am drap secc e aprop repleys entre las doas labias de la fissura am coto vielh o am draps de li.	Dry all the skin on both sides with a sponge or dry cloth, and fill it between the two lips of the incision with cotton wool or a cloth.
E aprop estrenh desus am polvils enbegutz en vi e oli per so que no endevengua apostema caut.	Then apply vinegar-soaked dirt on them to prevent blisters from forming.
E quan deslias aquo e veses que l’apostema ja es diminuit, lahoras cove que fregua le os entro que comensa en lu nayser carn, e aprop cura aquel am regiment exsiccatiu le qual fassa neysser la carn, ayssi cum si tu prenes de farina de froment dos partidas e de colofania quatre partidas e mescla o, e de lor sia fayt emplastre e sia aministrat en aquestas plaguas a de la carn nativitat.	And when the blister has decreased or disappeared, then take some flour from wheat that is twice as fine and fragrance four times, and mix them together, making a paste of it, and apply it to the patient’s skin with the intention of treating new flesh, just as if you took two parts of flour and four parts of colophony, mixed them together, and made a paste of it.
Capitol .vi.	This is the complete translation of the text:
De la cura de aquo que catz en las aurelhas.	For the cure of water that is heard in the ears.
Tota causa que catz en las aurelhas es una de quatre specias, quar o es peyra mineral o causa semblant a peyra, ayssi cum ferr e veyre, o es de planta ayssi cum ceze o fava, o es causa fluxtibla ayssi cum aygua e vi agre e a lor semblantz, o alcuna bestia.	All causes that produce noise in the ears are four: either because it is mineral-like and similar to iron or glass, because it is of plants and similar to hazel or bean, or because it is fluid-like and similar to water and vinegar, or some animal.
E donc quan peyra catz en l’aurelha o autra causa semblant de aquelas causas que no ajustan ne creysso en l’aurelha, e pausa la aurelha al solelh, e si vezes la peyra, lahoras distilla en aquela alcuna causa de oli violat o sizami, e aprop aministra la extraccio de lu, e fay le stornudar am condizi, e oppila las nars deve le aveniment de stornutacio.	And so when it is heard in the ear or some other cause similar to these causes that do not agree with it, and place the ear on the shoulder, and if it still hears, then distil it into water of violet or celery, and administer the extract to the patient, and make him sneeze with condiments, and if he sneezes again, then take some of his spittle and apply it to the ear, and treat it as a remedy.
E aprop pausa en le circuit de la aurelha alscunas pessas de drap o lana, e dextendas la aurelha a las partidas desus, quar motas veguadas es foro-getada am aquestas causas.	Then put some cloth or wool on the ear, and extend it towards the outer part, for these are causes of fire in the ears.
E si no n’es getada, lahoras aministra extraccio de lu am le instrument apelat gesti epicicarios subtil del qual aquesta es la forma:	And if it is not relieved, then administer the extract with the instrument called a gentle subcutaneous injection, which has this form:
E si es foro-getada am gesti, bo es; e sino, lahoras aministra la extraccio de lu am onci subtil de pauca duplicacio.	If it is relieved with an injection, it is good; otherwise, administer the extract with a small amount of twice-diluted juice.
E donc si no es foro-getada per aquo, lahoras fay una canula de aram e entromet la extremitat de la canula en le trauc de la aurelha e claus a l’enviro de la canula am cera e am oli mollificada per so que no sia ubert sino la canula.	And if it is not relieved with water, then make a catheter out of metal and insert the end of the catheter into the outer part of the ear and close it with wax and softened oil so that it is not too much, but just enough to relieve the obstruction.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	Then expel it with a small wind, as ten fingers with water that we have mentioned.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	And if it is not relieved in this way, then take a ring of amber or some other object that can be placed on the ear, and put a certain quantity of it on the end of the ring, and place it gently over the ear.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	Then insert that into the ear with ease, and dry the ear from moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And if it is not relieved with all the causes we have mentioned, then you must take care that the patient does not suffer from blisters or spasms.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the way to do this is that you must cut off the patient's hair at the beginning of the head with scissors, and extract the blood from it in the second way due to the virtue of the blood, and then apply it to the scalp with a small incision in the middle part, and place it on the scalp with the intention of treating new flesh, just as if you cut off the hair at the roots and made an incision on the forehead.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And so the wound of lunar shape goes into the patient's leg, and when the patient is shaken, stop it if you can with an appropriate instrument; and close the wound at that moment quickly, and heal what is within so that it is cured.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause pierces into the ear, it is one of the grasses that are created and inflated, then administer the cure and extraction; but if you do not obey your ears, then take a thin spike according to this form:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and administer that the removal of that grass that is caught in the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not pour water when you think that it is already moistened by the vapor of the ear, and pause it in drops, and extract it gently with your fingers or with a sharp instrument, or with a piercing blow; for it is eased by extracting it.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	But in water that enters the ear, it is necessary for the patient to use sneezing at the beginning, and fill his ear with a few drops of old vinegar, and rub over that ear in which the water is, and if by this it comes out, it is good; and if not, then take three or four small, sharp, and new needles according to its length, and heat them slightly, and bind those on the fire, and the patient puts one of those into his ear, and jumps over that part with another needle, and pierces through the ear with a second.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Then do not stop water in the ear until all the water is discharged.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And the water has been discharged, then take paper or a cotton ball. and place one end of it in the ear, and extend the other end to the fire until it is completely burned.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	And then take another cotton ball and pour water through it in the ear until all the water is discharged, and insert that with a tube as if it were coming out of the ear.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	But in the extraction of animals that enter into that ear, if it is a small thing, then push and extract it with your fingers as mentioned above; but if it is a large thing that causes pain to the head of the patient, then administer the extraction of it with your fingers or with a sharp instrument, and that cause is lighter than all other causes that pierce into the ear.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	But in the extraction of a vermen that is born in the ear, when you cure that with water as mentioned above and in the distillation treatise, and do not use your own cure, then look at the ear towards the sun.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And if here there appears any cause of the vermen, then extract it with your fingers or with a sharp instrument; but if no cause appears, then take a tube that is slightly curved and wide at the end from which it comes out, whose shape is like this:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	And insert the thin end into the ear according to the quantity that the patient suffers; and extract it with a strong suction, and make drops of water, so that all the vermen are discharged.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	But if you do not obey your ears, then turn it and close it in the circuit of the tube with wax as mentioned above; then administer distillation that has already been distilled the small ones in the cure of vermen, and observe water in the distillation treatise.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And your infusion with which you pour medicinal oils into the ear with this instrument, whose shape is like this:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	Make it slightly curved, and at the end of which there is a small hole, and at the top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And so it is applied to the cavity of the tube where it is necessary.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you want, take the ray and wrap it in the end of it with care, and pour oil into the cavity of the ear, or juice of some herb, or water as these medicines in the tube — and that is in the ear — and then insert the ray wrapped with care, and press your hand on it briefly so that the oil goes into the cavity of the ear and the patient feels it.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And the oil that is infused into the ear has already been burned slightly.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	And be careful that the cause that you will extract from the ear is not too dry, because ear medicines do not tolerate water.
Capitol .vii.	Chapter 7.
De curacio de opilacio de aurelhas.	Of Cure for Ear Aching.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some small children are born deaf from their mothers' wombs, and water has already occurred in some adults, it happens in the meat of the ear because of pain or flesh, and that pain sometimes occurs at a distance from the ear.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	That which happens in the ear canal, which does not understand the matter, is in difficult conditions of healing.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that ear which you understand, be careful to pause the patient's ear towards the sun and look at it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	But if there is a small obstruction, open that with a slight spray of the following substance:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the thin end of it is small in length, of which one part is acute and the other is not; and the spray is made from two sharp lemons so that it does not harm the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	But if the aching is caused by hidden flesh in the ear or in its meat, then extract it with sharp needles and apply that with a gentle spray, so that all the flesh be removed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	But if aching is in the ear canal, then take a sharp and slightly curved needle, heat it slightly, and insert that into the ear canal.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	But if you feel an obstruction in the ear that the patient suffers easily, then try to press it lightly; and be careful not to harm the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	And then pause the ear with a thin cloth according to the width of the tube that you have wrapped in Egyptian ointment; and make drops over it for several days so that it is certain that the swelling will subside; or take some and sprinkle it on three-edged slices, and spray it onto it, and if the ear has already been poked, then be careful to break the piece and replace it with another one that you have wrapped in wax that is made with rose oil, so that the pus is soft. And then heal what is inside so that it is cured.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	But if there is bleeding due to a disease, then dip a sponge or cloth in water and press it against the ear, and use another cure that you have distilled, which constricts the flow of blood, which is said in the distillation treatise.
Capitol .viii.	Chapter 8.
De cura de athezil le qual endeveno a las palpebras.	Of Cure for Ear Aching.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Athezel that affects the eyelids of men is sometimes wet, and sometimes dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	And if you have those with thin hairs or with needles, cut those with a sharp knife, and then pause them over the three-edged places.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	But if there is bleeding due to a disease, then cauterize those with a small sharp instrument.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization is to pause those with sharp knives and return them when there is no more cause of their hairs; and when they are cauterized with fire, those hairs are burned and do not return.
Capitol .ix.	Chapter 9.
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment for large blisters that appear on the eyelids.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	Clouds seen in the eyelids of a patient are sometimes caused by an underlying condition that leads to increased inflammation and hardness, and thus is referred to as "gout".
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And it is accumulation of thick moisture on the eyelids below and above.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Then the treatment in this case is that you consider if the swelling is proceeding from within the eye itself, which would be concerning and would cause concern; and the cause of it could be a foreign object.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Then cut along that line with ease from the inside out to remove it, and then suspend it by a thread and cut off that end.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	However, if you are not equipped with the instrument to make the incision, then do it slowly with a small cut, as there is no need to worry about any underlying cause.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the swelling is large, then you should adjust it with stitches; and treat that area so that it can heal.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, then you will not suffer any harm from it because the blood of that area will restore it and heal it.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the swelling is declining inside the eyelids, which are inside the eye, then cut off the eyelid and suspend the swelling by a thread; otherwise, you may suffer from the incision, and press it from all sides, and if the eyelid is cut with an incision, there will be no cause for concern.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	Then wash the eyelids with saltwater; and treat the area with a poultice so that it can heal.
Capitol .x.	Chapter 10.
De la cura axcirnah en la palpebra desus del huel.	Of the treatment above the eyelid of the eye.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Axection is common in the eyelids of children, causing them to cry and leading to eye discharge; it does not allow them to look clearly at the sun because tears flow from them.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so they constantly look at each other's faces, and sleep with their eyes open; and the eyebrows on their left and right are moist, which is due to swelling, and the presence of something that may cause damage appears in the eye; and when you press the area with your fingers, you can feel something hard inside.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And there is no way to operate on that person without lifting their head and placing a cloth over it and making incisions in it according to the amount of fluid that contains overall, and then place that under the eye and press it with your fingers while saying "I will" repeatedly so that hard matter is pushed down into half of the circle, and then open it at the bottom where there is moisture, making an incision along its length, not wider than that made in blepharonomy.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	However, in the right place, you should make a complete incision so that you reach the hard matter, because at different locations, you reach hard matter through an incision made according to the shape of white grays.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Then remove it with the cloth that you have wrapped between your fingers on either side and turn it over, holding it between your right and left hands so that it is turned inside out before being removed.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And remember not to adjust the incision so that the spike does not reach the eyelid and cause damage.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	However, if you do not find hard matter at the beginning of the incision, rather than adjusting the incision, place a cloth dipped in water and wet on it; then remove it and spread the cloth over the area and clean it with powder.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	Then put salt on it and place it in the cavity of the incision so that the moisture that remains there is removed.
E aprop cura aquel entro que sia sanat.	And then treat that area so that it can heal.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	However, if pus appears in the treated area, then treat it with calamine plaster so that it can heal.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	Of ways to examine the eye.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When the eyelids are natural and have their own hairs, then examine them for any signs of disease, such as excessive tears and moisture on the eyelids and the membrane within, which can cause damage to the eye, referred to as eye burning, and it is treated in four ways: by cauterization with fire; or with acute medicine according to what has been said in the chapter on cauterization; or by surgery through an incision and stitches; or with blades according to whether you look directly or indirectly.
