Ayssi comensan las paraulas de Albucasim .	Thus begins the speech of Alcubierrez .
E aprop cauteriza aquel am cauteri clavelh am dos cauteris sobre les dos sobrecilhs dejos les cabels un petit.	And cauterize it with a clove wand on the two temples between the hair and a small wand.
E guarda te de la arceria que no incindas aquela.	And guard against bleeding that does not erupt.
E del cauteri clavilh aquesta es la forma.	This is the form of the clove cautery.
Capitol .xv.	Chapter XV.
De cauteri de mollificacio de palpebras dels huels.	Of cauterization to soften the eyelids of the sockets.
Quan la palpebra del huel es mollificada per malautia o per humiditat, lahoras cauteriza aquela palpebre1 am un cauteri am aquest cauteri lunar; e aquesta es la forma de lu:	When the eyelid of the socket is softened by disease or moisture, then cauterize it with a lunar cautery; and this is its form:
E si vos, cauteriza aquel sobre les dos sobrecils un petit am dos cauteris en tota partida, e sian elonguatz de las timporas.	And if you want to, then cauterize it between the two temples with a small wand that is long.
E sia la longitut de quascun cauteri segon la quantitat del sobrecil.	Be the length of each cautery according to the quantity of the eyebrow.
E no premas trop la tua ma am le cauteri, mays segon la quantitat que la tersa partida de la palpebre sia adhurida.	Do not press too hard on your hand with the cautery, more according to the quantity that the third part of the eyelid is softened.
Capitol .xvi.	Chapter XVI.
De cauteri de la palpebre del huel quan les pels so convertitz a las partidas dedintz e punho le huel.	Of cauterization to the eyelid of the socket when the hair is turned inward and turns the patient's hand.
Quan les pels del huel son convertitz a las partidas dedintz ayssi que pungo le huel, cauteri en aquels es segon dos manieyras, quar cauteri o es am fer o es am medicina comburent.	When the hair of the socket is turned inward in such a way that it can be pried up, then cauterize it with fire or burning medicine.
Si am cauteri de lu am foc, comanda al malaute denant aquo que leyse les sieus pels ayssi cum aquels les quals les mundan, entro que sian prolonguatz e engualhatz; e si punho aquel deves le lor naysement, lahoras tu strenh les huels de lu am una benda per so que no sia maugut entro que·ls pels sian nascutz.	If you use fire for cauterization, bring the patient forward where it is not hot, and let the hair fall out on its own; but if he needs to have it pried up, then strengthen his eyebrows with a cloth so that they do not burn, until the hair falls out; and if he wants to stop sweating, then tie him up in a cloth.
Donc cum siran nascutz e engualhatz, lahoras pausa le cap del malaute en le tieu se, e aprop senha sobre la palpebre dels huels de lu am tenta, am senhal le qual sia segon la figura de fulha de merta, e sia le comensament del senhal prop dels pels.	Then, when they are shaved and plucked, bring the patient to a table, and place his head in a certain position, and mark out the shape of an owl on his eyebrows, and this is the beginning of marking out according to the figure of an owl; and it is the beginning of marking.
E aprop pausa coto enbegut en album de huou o en mucillatge de ptilli sobre le huel.	And then put a black cloth over his eyebrows or a wet sponge.
E aprop igneys le cauteri del qual aquesta es la forma de lu.	Then light the cautery, and this is the form of it:
E aprop cauteriza sobre la figura la qual as senhada, petit a petit, em motas veguadas, entro que sia comburida la superficia de la codena la qual es ayssi cum fuelha de mirta, tota aparent propriament.	And then cauterize the mark according to its form, little by little, until it is burned through the surface of the hair; and this is done with an owl' shape, completely burnt.
E senhal de sanetat de la tieua obra es que tu vegus la palpebre de l’huel ja esser contrayta e·ls pels de lu esser elevatz deves la punctura del huel.	The sign of health for this work is that you see the eyelids of the socket already contracted, and that the hair is lifted up from the punch of the socket.
E donc eleva la tua ma e laysa aquel per tres jorns, e aprop pausa sobre lu coto am boder entro que sia eredicada la scara.	Then raise your hand and leave it alone for three days, and then place it on a cloth to make the hair grow again.
E aprop cura aquela am enguent entro que sia sanat.	And then treat that one with oil within so that it is healed.
Mays si retorna per les pels alcuna causa aprop lor naysement e la palpebra es mollificada, lahoras fay autra vetz le cauteri sobre aquel tot ayssi cum avias fayt primieyrament.	But if the hair falls out for some reason and the eyelid is softened, then do it again with a different cautery first.
Mays si les pels so en la palpebra dejos, lahoras cauterisa aquela entro que sia elevada al sieu loc natural e sia engualhat e que les pels no punhan le huelh.	But if the hair is in the eyelid, then cauterize it within so that it is lifted to its natural place and plucked, and may not pinch the socket.
Mays le cauteri am medicina comburent aquest es que comandes al malaute que leyse les pels entro que sian prolonguatz e engualhatz, e aprop sia fayta de carta de drap la forma de fuelha de mirtra.	But if the cautery is with burning medicine, this is what you should order for the patient to remove the hair within so that it is plucked, and may be done with a cloth.
E aprop pren de sabo conogut e de caus viva ana unc. .i., o quays aquo, e aprop mescle3 aquelas causas be, e fay aquo am festinacio per so que no sia enfregidat; e aprop expandeys de aquo sobre la carta la qual es fayta ayssi cum forma de fulha de mirtra, e pausa aquel sobre la un huel od amdos; e pausa dejos le huel coto enbegut en album de huou, e el cap del malaute sia en le tieu se.	Then take a clean cloth and a sharp knife. (I) Then mix those two things together, and make a paste of it so that it does not dry out; then spread the paste on the cloth according to the figure of an owl, and place it over one ear; and leave the patient in a certain position.
E pausa le dit sobre le medicina e prem aquela un petit e no la mauguas entro que lo malaute senta la mordicacio de la medicina, quar mordicacio es en lu ayssi cum de foc.	Then put that paste on him and wait a little while, and do not press it too hard so that the patient feels the burning of the medicine; for the burning is in him.
E donc cum percevera aquo que el atrobo mordicacio, lahoras leyssa la medicina e mau aquela am le tieu dit; donc cum cessa la mordicacio, lahoras remau la medicina he lava le huel am aygua; e lahoras considera si vezes la palpebra ja es levada ayssi cum es lavada deves la costriccio am foc o am incisio, quar lahoras esta be; e si no torna sobre aquela de la medicina sobre le loc en le qual no ha empremut la medicina e no se denigra entro que sia engualhada la tua operacio e sia contrayt le huel.	Then, when he feels the burning of the medicine, then let him lie down and leave the medicine alone; and when it stops burning, then wash his face with water; and if his eye has been cut, then do not worry, for it will be healed; but if it has not been cut, then do not worry.
E aprop pausa sobre lu coto am boder entro que sia eradicada la codena de la adhustio, e aprop cura aquel am enguent deafinicon o am autre entro que sia sanat.	Then place that cloth on the edge to make the hair grow again; then treat that one with oil within, or with another thing, so that it is healed.
E es necessari a tu, deves la tua operacio que guardes am pervigil diligencia que en le huel no caia re de la medicina, e si la palpebre aprop alscus dias es mollificada e alcuna causa dels pels punh en le huel, lahoras itera la tua medicina sobre aquel loc le qual de la palpebre es mollificat, e propriamen ayssi quo as fayt al comensament, e aprop enaviro lu entro que sia sanat.	You must be careful in your operation to keep the medicine from falling onto the socket, and if the eyelid is softened by any reason because of the hair, then repeat your treatment on that spot where the eyelid is softened, and at the beginning, put it where it is healed; and properly so.
E aquesta es la forma de fuelha de mirtra.	This is the form of an owl' shape.
E sapias que les huels dels homes son diversificatz segon la magnitut e la parvitat, e donc segon aquo es fayta la tua contraccio.	The sockets of men are different according to their size and age. And now, according to this, your contracture must be made.
E no sira amaguada la via de rectetut ad aquel al qual es studi en aquesta art.	And do not hide the way of treatment from anyone who studies this art.
Capitol .xvii.	Chapter XVII.
De cauterizacio de fistula que es en le lacrimal de l’huel.	Of the cauterization of a fistula that is in the lacrimal socket of the eye.
Quan tu curas fistula am aquo que havem dit en las divisios de las malautias e no confereys la tua curacio, lahoras cove que tu cauterizas aquela segon aquesta manieyra: comanda al malaute que pause le cap sieu en le tieu se, e tengua le cap de lu alcun ministre entre las tieuas mas en tal manieyra que no sia maugut ni agitat am le sieu cap.	When you treat a fistula with water that we have described in the divisions of the face, and do not continue your treatment, then bring him to the table and make him lie down on his back; and hold his head between two pillows so that it does not move or be disturbed while he sleeps.
E aprop pausa coto enfus en album de huou o en mucellage de ptilli sobre le huel de lu.	And place a sharp point in the humors of the person or in a muck of feathers over their chest.
E aprop igneys le cauteri del qual aquesta es la forma:	Then set fire to the cautery, which has this form:
le qual sia conquau, ayssi cum es forma de cana o de pena de voltor, de la una extremitat am la qual es fayta lo cauteri.	which is curved, then as it is in the shape of a cane or a staff, from one end make the point where the cautery will be made.
E si voys, sia penetrant entro a la autra extremitat.	And if you see, let it pierce into the other end.
E si vols sia sort ayssi cum tenta.	And if you want, then put it out this way.
Mays empero aquel que es concau es milhor a la tieua obra.	However, that which is curved is better for the job.
E aprop prem la fistula si es uberta, e tra de lu sania et exsicca aquela.	Then squeeze the tube if it has opened, and drain and dry that person.
E si no es uberta, lahoras obre aquela e extratz la poyredura de lu.	And if it is not opened, then open it and remove the pus from it.
E aprop pausa sobre lu le cauteri le qual sia be ignit, e te am aquel la tieua ma un petit deves le cauteri del huel a la partida del nas, per so que no erre la tua ma o le malaute sia enquietat, e lahoras pausa le cauteri en le grays del huel e corrompas aquel.	Then place the cautery which has been well lit on their chest and at the root of the nose, so that your hand or the patient's does not shake, and then pause the cautery on the skin of the chest and burn it off.
E donc si al comensament del tieu cauteri perve entro al os, bo es; e sino, lahoras itera le cauteri una veguada o dos, si mestiers era; e layssa aquel ayssi per tres jorns, e aprop pausa sobre aquel coto am boder e enviro lu am enguent exsiccatiu entro que sia sanat.	And then if at the beginning of the fire bone enters into the body, it is good; and if not, then go over the cautery once or twice, as needed, and leave it like that for three days, and then place it on the point with oil of rose and dry it off before applying it.
Mays si eran passatz xi dias e no es sanat, lahoras pausa sobre lu medicina aguda corrosiva entro que l’os sia descubert e sia ras segon que conveneys en le sieu capitol.	However if they have been burning for eleven days and are not healed, then place acute corrosive medicine on them so that the bone is uncovered and trim it as needed in their chapter.
E es autra manieyra de cauteri de fistula la qual alscus primiers diysero: enten al loc de la fistula e fen aquela e aprop pausa en aquela fissura camaen subtil del qual es la forma de lu: E fon en aquela la quantitat de i unc de plom fundut; e te la tua ma am camaem am bona retencio, e no sia maugut le malaute per so que le plom fundut no pervengua al huel de aquel; e cove que pausas sobre le huel del malaute coto enfus en album de huou o en aygua, quar plom adhureys le loc de la fistula e sana aquela per sanacio meravilhora.	And this is another way to cauterize a fistula, which the first two said: Go to the spot of the fistula and pour out and place a sharp point in the crack which is subtle in shape; and put in there one ounce of molten lead; and if your hand is firm and does not sweat, so that the lead does not come to the chest of the person; and cover that up on the chest of the patient with a muck of feathers or water, for lead clings to the spot of the fistula and heals it by a wonderful cure.
E si la fistula es sanada am aquo que havem dit del cauteri e de la curacio, bo es; e sino, lahoras es necessari aministrar trauc del nas e reduzir la fistula al cors del nas segon que vindra en son loc propri.	And if the fistula is healed by the water that I have spoken of in the cauterization and cure, then it is good; and if not, then it is necessary to administer a drop from the nose and bring the fistula to its place in the nose according to where it will come out.
Capitol .xviii.	Chapter XVIII.
De cauterizacio de la fendedura des potz.	On the Cauterization of a Fistula.
Motas veguadas accideysso fissuras en las labias, e majorment en las labias dels enfantz.	Faded spots may occur in the lips, and most commonly in the lips of children.
Donc cum tu curas aquelas fissuras am aquo que nos havem dit en las divisios e no aprofieyta la tua cura, lahoras igneys le cauteri petit cutellar segon aquesta forma que s’ensiec:	So if you cure those cracks with the water that we have spoken about in the divisions and do not profit from the cure, then set fire to a small blade according to this form which is made:
E sia la conquavitat de lu segon la subtilitat de cotella.	and place it on the cavity of the person according to the subtlety of the blade.
Aprop pausa aquel init cuytadament en aquelas fissuras entro que·l cauteri pervengua al preon de las fissuras.	Then place that carefully in those cracks so that the fire comes into the base of the cracks.
E aprop cura aquel am cerotz entro que sia sanat.	Then cure it with care, so that it is healed.
Capitol .xix.	Chapter XIX.
De cauterizacio de fistula en la boca.	On the Cauterization of a Fistula in the Mouth.
Quan en la razit de uvula o en le paladar o en las razitz de las dentz endeve apostema e aprop fa brac, e aprop es rompuda, e aprop es antiquada, e corr brac e es fayta fistula, e aprop tu curas aquela e no aprofieyta a curacio, lahoras cove que tu igniscas cauteri segon la quantitat que sia receubuda en la fistula, e aprop met aquel ignit en le trauc de la fistola, e te la tua ma entro que pervengua le ferr ignit al preon de lu, e al derier de lu fazen aysso una veguada o dos; e aprop cura aquel am aquo que nos havem dit de la curacio entro que sia sanat.	When in the root of the uvula or on the palate or in the roots of the teeth, there is a swelling and it breaks out, and then it is broken and crusted over, and then it oozes, and then it forms a fistula, and then you cure that and do not profit from the cure, then cover that with oil of rose which has been well heated, and place on the fistula's root, so that the fire does not reach the base of it, and at the back of it make one or two go over; and then cure that with water which we have spoken about in the cure, until it is healed.
E donc si la sania es abscindita e es sanat, bo es; e sino, lahoras es necessari de descubrir le loc e hostar le os corrumput segon que vindra en son capitol.	And if the person has been healing and is healed, then it is good; and if not, then it is necessary to uncover the spot and heat the bone rotten as needed in their chapter.
Capitol .xx.	Chapter XX.
De cauterisacio de las dentz e de mollificacio de las angivas.	On the Cauterization of Teeth and Softening of Veins.
Quan las angivas son mollificadas per humiditat e las dentz son maugudas, e curas aquelas am medicinas e no confereys, lahoras pausa le cap del malaute en le tieu se, e aprop igneys le cauteri la forma del qual vindra aprop aysso, enayssi que tu pauses la quanula sobre la dent e entromet en aquela le cauteri ignit festinantment, e te la tieua ma un petit entro que·l malaute cente la calor del foc a la razit de la dent esser pervenguda.	When the veins are softened by moisture and the teeth are loose, then cure those with medicine and do not confer with me, then place the head of the patient on their chest, and set fire to the end of the blade which will come out, quickly, so that your hand does not burn the person' head; and place a little bit of oil on the mouth.
E aprop leva la tua ma, e aprop itera le cauteri alcunas veguadas segon que vols.	Then lift up your hand, and go over the fire a few times as you wish to do.
E aprop le malaute huompla la sua boca de aygua de sal e tengua aquela per una hora, e pueys stupa aquela, quar la dent mauguda es fermada e la gengiva mollificada es strenguda e la humiditat corrompuda es exsiccada.	Then place the person' mouth on a cup of salt water and hold it there for an hour, then swallow that water, because the loose tooth is firm and the softened gum is tight and the moistened thing is dried up.
Capitol .xxi.	Chapter XXI.
De cauterisacio de dolor de dent.	On the Cauterization of Toothache.
Quan dolor de dent es per fregiditat, o en lu es freg o verm, o no comfereys la curacio am medicina, lahoras cauteri en aquela es segon dos manieyras: o cauteri am boder de vacas, o cauteri am foc.	When toothache is from cold or it oozes or bleeds, and do not profit from the cure with medicine, then cauterize that with fire or with cow's milk; or cauterize with fire or with fire.
Cauteri am boder es que tu prenguas boder de vacas e bulhas aquel en culhe de ferr , e aprop pren coto e envolopa le sobre la extremitat de la tenta, e aprop enmergeys aquel am boder bulhit, e pausa aquel sobre la dent dolorosa festinantment entro que sia enfregidat.	Cauterization with Cow's Milk is that you take cow' s milk and boil it, and then rub that on the end of the tooth, and wrap it up in cloth, and then pour the boiled milk over that quickly, so that it is warmed.
E aprop itera aquela alcunas veguadas entro que la vertut del foc pervengua a la razit de la dentz.	Then go over that a few times until the power of fire reaches the root of the teeth.
E si voys, submergeys lana o coto en le boder desus dit, e pausa aquel sobre la dent dolent, e pausa sobre aquel ferr ignit entro que·l ferr pervengua al preon de la conquavitat de la dent.	Then if you see, dip wool or a cloth in the cow' s milk and place that on the tooth, and then place fire over that quickly so that it reaches the base of the tooth' s cavity.
Mays empero la cauterizacio am foc es que tu atendas a la quannula de eram o de ferr, e sia en le cor de lu alcuna grocesa e la acuitat del foc no pervengua a la boca del malaute.	However the cauterization with fire is that you take care of the wax or iron, and it is in the middle of something fine and the power of fire does not reach the mouth of the person.
E aprop igneys le cauteri la forma del qual vindra, e pausa aquel sobre la dent e te la tua ma entro que·l cauteri sia enfregidat; e fay aquo alcunas veguadas quar la dolor sira remauguda o en aquel dia o en l’autre dia.	Then set the fire according to its form, and place that on the tooth and if your hand is firm then dip some water a few times because the painful tooth may move or it will be in that day or the next.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	And when, by the power of that fire, the person' mouth is filled with cow' s milk and held for an hour, then swallow it; and this is the form of the fire.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	Then cauterize according to what you see fit, as it is possible for you to do.
E aquesta es la forma de la cannula:	And this is the form of the tube:
Capitol .xxii.	Chapter XXII.
De cauterizacio de extrophulos.	On the Cauterization of an Extrophusis.
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When ekstrophy is caused by slimy and cold humors that do not respond to medicines, if you notice a slight improvement in digestion, then use cauterization with the shape of the following: Having two extremities open for the smoke to spread the cauterization on the other extremity, and place it on the area a few times, and if necessary, go deeper into the area until you reach the apex of the abscess.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	If the abscess is small, then place the cauterization according to the size of the abscess, and leave it for three days and place it on the edge of the wound in order to allow the fire to burn completely.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	Then clean it with water and try to dress it and bandage it until it heals.
E la forma de la cannula o deu cauteri a tal es comveyter.	And the shape of the canula or cauterizer is as follows:
Capitol .xxiii.	Chapter .xxiii.
De cauterizacio de rauquiera de votz e de constriccio de ale.	Of cauterization for rawiara, and for contraction of a hernia.
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	When the moisture comes to the chest, and mostly when it is cold in nature, then at the beginning of using laxative medicines, and then cauterize that which causes pain in the navel in the buried place.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	And be careful not to reach the cauterization to the navel or burn with the cord of him, but a little bit.
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	Then cauterize that which is caused by another cauterization at the junction of the neck at the last vertebrae.
E·l cauteri de lu sia clavilh sego la maniera precedent.	The cauterization should be done with a pointed tool following the previous method.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	Then clean what is caused by water that came before it heals.
Capitol .xxiiii.	Chapter.xxiiii.
De cauterizacio de malautia del pulmo e de tos.	Of cauterization for respiratory distress and coughing.
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	When coughing and respiratory distress are caused by slimy humors, and the patient does not have a fever or a cold, and it is an old infection, then cauterize that which is caused by two cauterizations on the furcula at the buried places between the ribs; and another cauterization in the middle place of the foot between two breasts; and let the cauterization be done with a sharp tool according to the previous method.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	If you wish, it is called "puncta" cauterization, the shape of which you use in the puncturing method for ear pain.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	You should make points at those places; and then clean what is caused by water that came before it heals.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And there are three ramps for cauterization, each one is done with a sharp tool according to the following method:
Capitol .xxv.	Chapter.xxv.
De cauterizacio de titillic que es le cap del ajutori.	Of cauterization for titillation, which is the tip of the tongue.
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the tip of the tongue is dislocated by lubricous moisture and does not stop in its usual movement of returning to its place, then at first reduce the dislocation, and then reverse the dislocation from inside out, starting from the base of the tongue; and then raise the cord that is connected to the base of the tongue at the back of the mouth using the fingers of your left hand. If the dislocation is on the side of the tongue, do it with the fingers of your right hand.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	Then place two peaks on it; and this is the shape of it:
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	And then cauterize the cord inside, so that it enters from one side to the other; and this is the figure of cauterization with two peaks:
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	and then do it slightly according to the amount of smoke; and this is the shape of it:
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	In some cases, it is adjusted according to the following count, and these are the counts for the cauterization:
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	Then place a small amount of salt on the cauterized area, and then bind it firmly with a cloth, and do not allow any movement for a while until it feels comfortable.
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	If the dislocation is on the side of the tongue and it is not fixed yet, then cauterize over the muscle with a sharp tool or a pointed one, as the junction is confirmed and the moisture is sticky, and the hernia is healed.
Capitol .xxvi.	Chapter.xxvi.
De cauterizacio del stomac.	Of cauterization of the stomach.
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When the stomach has a lot of slimy and sticky moisture that comes out before it is fully digested, and if you continue with your methods of treatment and do not provide relief, then at first, the hernia should be lifted slightly using a cloth; extend its limbs and their movements; and place three peaks on it: one peak should be made by leaving one finger between two fingers, and another two peaks should be placed on either side of those two fingers, forming a triangular shape; and lengthen the areas that are not in place to create a tension.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	If the depth of the cut is the same as the thickness of the cord, then
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	And be this the shape of cauterization according to this method:
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And then cauterize the stomach with a sharp tool according to the quantity that you wish to use, and then cauterize that which is caused by punctures; and then clean what is caused by previous treatments before it heals.
Capitol .xxvii.	Chapter.xxvii.
De cauterizacio del fietge fret.	Of cauterization of the fretty feet.
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When there is pain in the feet due to cold, moisture, or strong wind that exceeds their usual tolerance, and if this treatment does not provide relief, then at first, the hernia should be lifted slightly using a cloth; extend its limbs and their movements; and place three peaks on it: one peak should be made by leaving one finger between two fingers, and another two peaks should be placed on either side of those two fingers, forming a triangular shape; and lengthen the areas that are not in place to create a tension.
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	And be the space between each peak according to the thickness of the finger; and be the cut according to the length of the right hand.
E no compremas la tua am le cauteri mot.	Do not compress it with your hands after the cut.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	If the amount of water that is added is more than half of the cord's length, and if it is not properly adjusted; and if the hernia is resting on the feet; and if it is not comfortable, then it should be raised: this will extend its movements, and raise its braces.
E es aquesta la forma del cauteri:	And this is the form of the cautery:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	And you are able to cauterize these cauteries with a cautery knife, when it is your skill and caution in the art.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And you should be careful not to scorch too much in the cauterization, and that the skin of all the body is preserved so that it is preserved throughout the whole body, because the skin here is thin; and know this.
Capitol .xxviii.	Chapter .xxviii.
De perforacio de apostema del fietge am cauteri.	On the piercing of an abscess with a needle, to cauterize.
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When a boil erupts on the foot and you want to know if that boil is in the flesh of the foot or in the tunic, then know that if it is in the flesh of the foot, the patient will feel great pain and their fever will increase.
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the tunic of the foot, then the pain is acute and great enough to cause pain to the legs.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	So that the patient's neck is turned toward his/her back; then find the place of the boil with your finger, and immediately apply the cautery, which has been made into a thread-like shape, as it was described in the previous page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cauterize with that and cauterize within so that all the body is heated, within so that it reaches the hip, within so that it burns in the fire, within so that it heals in the skin.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	And then heal that with a cure of the other boils within so that they are healed.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And I do not know that of this form of cauterization has only been extended in the art of medicine, and with which many malignant diseases have been known; however, this one is more ardently applied to this operation, but it is better to leave that alone, and instead, the following is done, and it is better.
Capitol .xxix.	Chapter.xxix.
De cauterizacio de plauresi.	On the cauterization of plauresis.
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	It was said that the small cauterization of the roots of the hair is done according to this way: take a thin, long thread from the hair of the leg, and it is of the thickness of the said thread.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	And then immerse that in oil and hold it over the fire, and then cauterize with a small cautery in that place which is between the continuation of the rib cage to the back; and two small cauteries are placed at a little distance from the edge that is left for the beard, and two cauteries between the fifth rib and the navel, declining a little at the edges behind; and one cautery on the stomach, and three cauteries at the edges behind; and one cautery in that place which is between the two ribs, and two cauteries of the two sides of the foot, leaving the cautery which is between the two spallas.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And I do not know that you can buy your hand with the cauterization, but rather to make it appear in the form of the body's disease.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And they have also said that some men use a cautery of iron that looks like a ray and burns it; then place that in that place which is between the ribs, so that it reaches the hip, and so that it burns with fire, and in this way as we said in the boil of the foot.
