Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Buqaqua.
E aprop extratz am le tieu vent am fort atraccio, quar tropas veguadas cum aquo que havem recontat.	And then extract them from me with a strong grip, for ten fingers full of water that I have counted.
Mays si no es foro-getada en aquesta manieyra, lahoras pren de halka alumbat o de vecz aparelhat am le qual son preses les ausels una patita quantitat, e pausa aquel en la extremitat de ray, e aprop envolopa sobre aquel coto decentment pausat.	Maybe if it is not foreseen in this way, then take a ring-plunger or a suitable apparatus and press a small quantity, and pause that at the end of the ray, and wrap that around that corner decently paused.
E aprop entromet aquel en le trauc de la aurelha am facilitat, e aprop excicca la aurelha de la humiditat.	And then insert that in the hole of the ear with ease, and then dry the ear from the moisture.
E donc si no es foro-getada am totas las causas las quals havem recontadas, lahoras tu coyta a talhar aquela denant que endevengua apostema caut o espasme.	And if it is not foreseen in any of the ways that we have counted, then you should cut off that which has formed an abscess or spasm at the front.
E la manieyra de talhar aquela es que tu al comensament sancnes le malaute de la vena sephasica e extratz del sanc segon la mannieyra de la vertut de lu, e aprop fay aquel cezer entre las tuas mas e converteys l’aurelha a las partidas desus, e fen am petita fissura en la razit de la aurelha deves lo greys de lu en le loc be premegut de lu.	And the way to cut that off is that you start by cutting the blood vessel at its beginning and then extract it from there according to the virtue of the ring, and then make that hole between your fingers, and then turn the ear towards the sides, and then insert a small knife in the hole at the root of the ear, greasing it with oil.
E sia la fissura de figura lunar entro que pervengua a la peyra, e, la peyra atrobada, osta aquela si podes am instrumentz apropriatz; e aprop cos la fissura en aquela hora am velocitat, e cura aquela entro que sia sanat.	And if the hole is of the shape of the moon and penetrates into the ear, and when the ear is blocked, block that with an appropriate instrument; and then sew up the hole in that position quickly, and cure that inside so that it is healed.
E si la causa cazent en la aurelha es un dels gras que creysso e so inflatz, lahoras aministra la curacio e la extraccio de lu; mays si no obezeys a tu ad eyssiment, lahoras tu pren spatum teune subtil segon aquesta forma:	And if the cause is caused by fat that you eat and it swells up, then administer the cure and extract it; but if you do not obey your doctor's orders and instead take a thin spit according to this form:
e aministra am aquel la abscizio de aquel gra lo qual es cazut en l’aurelha.	and then administer that fat which has fallen in the ear.
E no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha, e pausa aquel en motas pessas, e prop extratz ne aquelas am les oncis o am gesti subtil, o ab inscizio ayssi co dit havem, quar es alleujada la extraccio de lu.	And do not pour water when you think that it is already moist with the vapor of the ear, and pause that in small pieces, and then extract those by the fingers or by a small instrument, or by cutting off as said have, because it is relieved to extract it.
Mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament, e omple la sieua aurelha am alcu coto vielh, e jagua sobre aquela aurelha en la qual es l’aygua, e si per aquo es foro-getada, bo es; e sino, lahoras pren tropas peyras teunas e leons segon la longitut del dit, e calfa aquelas en le foc un pauc, e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha.	Maybe in the water that is entered into the ear it happens that the patient uses a sneeze at the beginning, and he fills his ear with a small amount of hay, and then hits that ear with a few pieces of hay, and if by water it is foreseen, it is good; and otherwise, then take two sharp pieces of hay according to the length of the said, and burn those pieces slightly, and let the patient insert one of those pieces in his ear, and then he jumps on the floor a little with that piece in his ear, and then hit that ear with another piece of hay over the part that has fallen out.
Donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada.	Then do not stop pouring water until all the water is foreseen.
E ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc .i., e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu.	And then pour the water again as if you were to take paper or a piece of gauze, that is to say, and then put one end in the ear and stretch the other end towards the fire until it is completely burned.
E prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada, e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora.	Then put the other one and pour water repeatedly until all the water is foreseen, and then insert that with a cannula as said has been extracted.
Mays en la extraccio de bestia intrant en aquela aurelha, si es a petit cos, ayssi piussa e a lu semblant, cura aquel ayssi cum havem dit en la divisio; mays si es de gran cos la qual causa apar al sen del vezement, lahoras aministra la extraccio de lu am gesti e oncis, e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha.	Maybe in the extraction of a beast that enters into that ear, if it is a small thing, then pour water and wash it as said has been divided; but if it is a large thing that causes pain to the head by means of wind, then administer the extraction with a sharp instrument or with a knife, and that of the beast is lighter than all the other causes that cause pain in the ear.
Mays en la extraccio de verm engendrat en la aurelha, quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio, lahoras cove que tu reguardes la aurelha al solelh.	Maybe in the extraction of vermen that is generated in the ear, when you administer water to extract it as said has been divided and in the book of distillation, and do not give your cure, then look at the ear towards the sun.
E donc si apar aqui alcuna causa dels verms, lahoras extratz aquel am gesti o am onci subtils, mays si no apar deguna causa, lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu:	And if here appears any cause of the vermen, then extract that with a sharp instrument or with a small knife, but if there does not appear any cause, then take a cannula which is wide at the end and narrow at the beginning, and this is the form of it:
E entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute; e aprop sucgeys am aquela per succio fort, e fay aquo motas veguadas, entro que totz les verms sian foro-gitatz.	and then insert the narrow end in the ear according to the quantity that it suffers pain, and then suck it strongly with a firm suction, and pour water repeatedly, so that all the vermen are foreseen.
Mays si no obezeysso a tu al ayssiment, lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms, e atrobaras aquo en le tractat de distillacios.	And if you do not obey your doctor' orders and instead take a piece of wax according to what has been said, then administer the distillation processes that have already been mentioned in the cure of worms, and then pour water in the distillation process.
E sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu:	And be your effusion with which you pour the medicinal oils into the ear using this instrument, and this is its form:
E fay aquela de argent o de eram, dejos streyt, en le qual sia un petit trauc, e am pla desus.	and then make that of silver or bronze, wide at the end, so that there is a small hole at the top.
E donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari.	And if it is necessary to cover that with wax here, where it is necessary to fill in the cavity of the cannula to prevent it from flowing.
E si vols, pren le ray e envolveys en la extremitat de lu decentment coto, e aprop gieta oli en la concavitat del auziment, o suc de alcuna herba, o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha —, e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz.	And if you want, take the ring and wrap it around the end with care; and then pour the oil into the cavity of the ear, or suck juice from any herb, or water that you want of these medicines in the cannula — and this is in the ear, which is in the hole — and then put the ring on it with a quick compression to prevent the oil from escaping into the cavity of the ear, and feel the oil inside.
E aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit.	And that water which is already poured in the ear has been slightly burned with fire.
E guarda te que la causa la qual distillaras en l’aurelha no sia trop frega, quar las medicinas de aurelha no suffertan aquo.	and be sure that the cause that you will distil in the ear is not too much burned, for the ear does not suffer water.
Capitol .vii.	Chapter VII
De curacio de opilacio de aurelhas.	Of Cure for Ear Aching.
Alcunas veguadas alcus enfantz yeysso dels ventres de lors mayres no-perforatz, e aquo ja accideys en alcus homes, opilacio en le meat de la aurelha per plagua o per carn nada en aquela; e aquesta opilacio alcunas veguadas es fayta en le preon del trau de la aurelha la qual no consiec le vezement, e alcunas veguadas es en las partidas defora.	Some times the belly of the old is not pierced by the nail, and then it happens in some men that an ache appears in the meat of the ear because of wind or for nothing; and this ache sometimes is caused by piercing the ear with a pin, and sometimes it is caused by the sides being apart.
E aquela que accideys en le preon de lu, la qual no comprehen le vezement, es en las majors disposicios de dificil sanacio.	And that which happens in the meat of the ear, which does not understand the wind, is in difficult situations for healing.
E en aquela en qual consegueys le vezement, cove que tu pauses la aurelha del malaute al solelh e reguarda en aquela.	And in that which you obtain the wind, be sure to pause the ear of the patient towards the sun and look at it.
E donc si vezes oppulacio apparent, obre aquela am espatum subtil del qual aquesta es la forma de lu:	And if there is a good opportunity, open that with a small knife whose form is as follows:
Si’ la extremitat de lu en la qual sia petita la latitut, del qual la una partida sia aguda e l’autra no; e le spatum sia de dos latz leon per so que no fassa lizio al aurelha.	If the end of it is small in width, and one part is sharp and the other is not; and the knife is two-edged so that it does not cut the ear.
E donc si la opilacio es per carn nascuda en la aurelha o en le meat de lu, lahoras te aquela am oncis subtils e incidiys aquela vehement facilitat entro que sia ostada tota la carn.	And if the ache is caused by hidden flesh in the ear or in the meat of it, then take that with a small knife and cut it with great ease so that all the flesh is removed.
E si opilacio es en le preon de la aurelha, lahoras pren ray subtil leon e escalfa aquel am foc un pauc, e aprop met aquel en le meat de l’aurelha.	And if the ache is in the hole of the ear, then take a small sharp knife and burn that slightly with fire, and then insert that in the meat of the ear.
E donc si as scentit oppulacio am aquo que le malaute atroba am facilitat, per gravetat de ausir, esforsa la oppressio de lu am facilitat; e guarda te que no plagues les nervis del aurelha.	And if you smell a good opportunity with water that the patient gains by ease, try to press it by ease; and be sure not to trouble the nerves of the ear.
E aprop pausa en l’aurelha drap de li segon la quantitat del ample del trauc lo qual tu as envolvutz en l’enguent egipciac; e fay aquo per alcus jorns entro que sias segur de la consolidacio de la plagua; o que prenguas qualgua e enfon aquela en ayguaros e pulveriza sobre lu segi trissat e usa de lu; e si vezes la aurelha ja esser apostemada, lahoras cove que tu estraguas la qualgua e permutes aquela am autra qualgua la qual tu envoloparas en cerot que sia fayt am oli rozat, entro que sia le apostema caut cedat; e aprop cura aquel entro que sia sanat.	Then pause in the ear a strip of linen according to the width of the hole that you wrapped with Egyptian ointment; and pour water for a few days so that you are sure of the consolidation of the ache; or take some and sprinkle it on dry leaves and use it; and if the ear is already swollen, then be sure to destroy the strips and change them with others that you wrap in wax that is made with rose oil, so that the swelling of the aching stops; and then cure that inside so that it is healed.
Mays si accideys flux de sanc, lahoras submergeys esponga o drap en aygua frega e pausa sobre la aurelha, e usa del autra curacio la qual restrengeys le flux del sanc, la qual es dita en le tractat de distillacio.	If, however, there is a flow of blood, then submerge the sponge or cloth in water and place it over the ear, and use another treatment that stops the flow of blood, which is described in the treatise on distillation.
Capitol .viii.	Chapter .viii.
De cura de athezil le qual endeveno a las palpebras.	On the treatment of an azil that should be applied to the eyelids.
Athezil les quals endeveno a las paupebras dels huels alcuna veguada so humitz, alscunas veguadas son secs.	Athel that should be applied to the eyelids of the patient: some are wet, and some are dry.
Donc cove que tu tenguas aquels am tenhalhas o am onci, e inscindas aquels am espatum de las suas razitz, e aprop pausa sobre les locs segi trissat.	Then you have those that should be warm or cool: and scrape off those hairs from the area, and place a hot cloth over the area in three places.
Mays si dolor am flux de sanc veno, lahoras tu cauteriza aquels am cauteri lanticular subtil.	If there is a pain that blood flows from, then you should cauterize those with a small, delicate cautery.
E la milhor cauterizacio es aprop las inscizios e tropas veguadas retornam quan reman alcuna causa de sas razitz; e quan so cauterizadas am foc, aquelas razitz son comburidas e no retornan.	And the best cauterization is to return those cuts and scrapes when there is still a cause of their hairs; and when they are cauterized with fire, those hairs are burned and do not return.
Capitol .ix.	Chapter .ix.
Cura de grandeyssa que veno a las palpebras dels huels.	Treatment for a large wound that is on the eyelids of the patient.
Motas veguadas endeve en las palpebras dels huels alcuna causa la qual es asemblada a grandissa en sa fortalicia e duricia, e per so grandissia es apelada.	A wound on the eyelids of the patient: some cause that is gathered into a mass in its strength and toughness, and thus it grows larger, and therefore it is called large.
E es agreguacio de humiditat grossa en la palpebra dejos e desus.	And it is an addition of thick moisture on the lower eyelid and above it.
Donc la opperacio en lor es que consideras lahoras si la grandissia es procedent en lu en aquo que apar de la palpebra e es mauguda a tota partida; e la causa de lu es leugiera.	Then the operation in detail is: if the size is increasing above and beyond the eyelid, and it spreads out widely; and the cause of this is slight.
Donc fen sobre aquela am fissura per la latitut, e aprop escorga aquela de tota partida am facilitat entro que evasesca, e aprop suspen aquela am onci e abscindeys aquela.	Then open that with a sharp instrument by its width, and remove that from all parts with ease, and suspend that with an ointment, and cut off that.
Mays si a tu no es apparelhada la incizio de lu si no pus que penetras la palpebra am inscizio pauc a pauc, lahoras aquo no notz en deguna causa.	If you do not have the equipment for this incision: if you cannot pierce the eyelid with a small knife, then there is no need to go any further because it will not cause a problem.
E si la figura es gran, lahoras tu l’ajusta am sutura; e cura aquela entro que sia sanada.	And if the size is large, then you adjust it with sutures: and treat that so that it heals.
E si es pauca, a tu no sobrevindra mal per aquela quar l’anguent de lu restaura aquela e encarna.	And if it is small, then you will not have any trouble with that wound because its blood restores it and heals it.
E si la grandissia es declinant a las partidas dedintz de la palpebra deves la superficia dedintz, lahoras evesa la palpebra e suspen la grandissia am onci, otra que tu indigescas de incizio, e prem aquela de tota part, e si la palpebra per inscizio es alonguada, aquo no notz en deguna causa.	And if the large size is declining towards the center of the eyelid inside, then open the lid and suspend that large size with an ointment, apart from the incision, and press it from all parts; and if the eyelid is elongated by the incision, then there is no need to go any further because it will not cause a problem.
E aprop la incizio, lava le huel am aygua salada; e cura le loc am aquo que encarna entro que sia sanat.	And as for the incision, wash the patient's body with saltwater; and treat the wound with water that heals it so that it heals.
Capitol .x.	Chapter 10.
De la cura axcirnah en la palpebra desus del huel.	On the treatment of an aching eye on the upper eyelid of the patient.
Axcirnath es grays le qual es engendrat en las tunicas de la palpebra desus, e majorment endeve als enfantz, agrava les huels de aquels et accideyso a lor catartz le mayti; e no podon reguardar la claror del solelh per aquo quar lagremas se coytan ad aquels.	Achornath is when it is born in the tunics of the upper eyelid, and mainly it affects children: it causes them to cry tears of bitterness because they cannot look at the light of the sun; and they cannot see clearly because of this.
E per so tu vezes aquels jaser sobre les lors caras tot temps, e sobre les lors caras dormen; e so a las palpebras de lor dejos les sobrecils humidas, las quals ja ha cuberta imflacio, e iminencia de accernac apparent es en l’uelh; e que quant tu premes le loc am les tieus ditz, tu centes accernac entro aquels.	And so you have to look constantly at their faces all the time, and they sleep with their eyelids wet because of tears: and, in their upper eyelids, there are eyebrows covered with swelling, and the appearance of pain seems to be close to them; and when you press the area with your fingers, you feel a sharp pain within them.
E alcuna manieyra de opperacio es en aquel que le malaute pausa le sieu cap en le tieu se, e aprop pausa drap de li e de lu fay calgua, e fay de lu cercle segon la quantitat la qual contena arthernach de tota partida, e aprop pausa aquel sobre aquela e prem am les tieus ditz de tota per que sia agreguat arcernac en le mieg del cercle, e aprop fen en le mieg de aquela humiditat am spatum inscident am fissura per la latitut, e la fissura no sia major que la fissura que es fayta en flaubotomia.	And there is a way to operate in which the patient holds his head in the hand and places it on a cloth; and you place a cloth over him and a little bit of pressure, and make a circle according to the quantity that contains arthenach all at once, and place that over the area and press it with your fingers so that sharp pain is felt in the middle of the circle, and then open it in the middle of that moisture with a sharp instrument that cuts through its width, and the wound does not exceed what is made in flabotomy.
Mays en le preon cove que tu fendas la codena tota entro que pervenguas ad arcernach, quar en las mays desposicios proceseys arcernach per fissura segon la forma de grayseza blanca.	If, however, you do not have the equipment ready: because in its various positions you operate arthenach by a wound according to the shape of white blotchiness.
Donc extratz aquela am draps los quals tu as envolopatz entre les tieus ditz a las partidas deforo e revolv entre la ma dextra e sinistre entro que sia dispargut.	Then take that with the cloths that you have wrapped between your fingers, and turn it over from one side to another quickly so that it is ripped apart.
E guarda te que no ajustes en la fissura per so que am le spatum no pervenguas al huel e ladescas aquel.	And be careful not to pierce the area with the point of the instrument because its moisture does not reach the patient's body and it is rejected by him.
Mays si no apar a tu arternach en le comensament de la fissura, mays que tu ajustes en la fissura un petit am fecilitat entro que procesisca arternach; e aprop extratz aquela ayssi quo havem dit; e aprop submargeys draps de li en aygua e vi agre e pausa les sobre le loc e estrenh aquels am polvils.	If, however, you have not yet observed the appearance of arthenach at the beginning of the wound: rather, you should place a cloth with ease in the wound so that it is removed by it; and then take it out: and then dip the cloth in water and see grass, and place it on the area, and sprinkle some dust.
E so alcus que trissan sal e pausan aquel en la conquavitat de la fissura per so que aquo que es remas de aquela humiditat.	And then pour salt over that: and place it in the depression of the wound so that water that is left from that moisture.
E aprop cura aquel entro que sia sanat.	And then treat that area so that it heals.
Mays si accideys en le loc apostema caut, lahoras cura aquel am emplastres cedatils entro que sia sanat.	If, however, a fever breaks out in the area: then treat that with plasters made of mint, so that it heals.
Capitol .xi.	Chapter 11.
De manieyras de tactimi del huel.	On the ways to test for fever.
Quan en las palpebras dels huels so natz pels ajustatz dejos les pels naturals e so antiquatz, lahoras aquels noso al huel e fan endevenir manieras de malautias ayssi cum lacrimas assiduas e mollificacio de palpebras e tela entro que aquo sia causa de destruccio del huel que s’apela tactinir del huel, e cura se en quatre manieyras: o per cauteri am foc; o am medicina acuta segon que denant es dit en le capitol de cauteri; o es fayt atactini per inscizio e sutura; o per cannas segon que yeu diyre.	When the eyelids of the patient are red by their natural appearance and wrinkled, then open your eyes to the heat and produce ways for fever: such as if it is caused by fire, which is called fire-touching, and treat it with four methods: either by fire, or with acute medicine, according to what has been said in the chapter on cauterization; or by incision and suturing, or with reeds, according to sight.
E donc cove que tu pauses le cap del malaute en le tieu se; aprop converteys la palpebra del uelh am la tua ma sinistra, e si es convertida, bo es; e sino, entromet agulha en aquela en la qual sia fiel de la partida pus dejos de la palpebra, e fay penetrar la agulha am fiel desus, e aquo sia — prop del marge de la palpebra en le qual naysso les pels — prop dels pels, e tira le fiel a las partidas desus am la palpebra, e converteys aquela am le ray.	And then place the patient' head in his hand and turn his eyelids toward you, and if they turn: it is good; and if not, pierce that with a sharp needle at the point where they should be turned upward from the eyelid, and let the needle go through it — close to the edge of the eyelid — and close to the hairs, and pull the hair up above the eyelid, and turn that back toward you.
E aprop fen en la partida dedintz de la palpebra dejos les pels ajustatz am spatum inscidentz del lacrimal major entro al lacrimal mendre; e aprop extratz le fiel e pausa dejos la palpebra polvilhs petitz de coto o de drap, e aprop senha sobre la palpebra am tenta, e sia ayssi cum figura de fuelha de mirt.	And then turn the eyelid inside out by its hairs, and place a small piece of cloth or a needle on it, and tie it: and then turn that over with your fingers, and see if there is a figure like a leaf of mint.
Mays empero cove que sia la figura segon la quantitat de helevacio de la palpebra, quar aquo ja es diversificat en les homes, quar de aquels es le quals indigeys que sia inscidit de la palpebra gran quantitat segon la quantitat per la qual la palpebra es mollificada.	However, sometimes it is the opposite: because the amount of air that enters through the eye is different in each person, because there are those who have their eyelids opened by a large quantity, and this causes them to open their eyes more; and there are those whose eyelids are closed tightly by a small amount.
E aprop fen am le spatum sobre las doas linhas las quals has senhadas, e comensa del lacrimal major entro al lacrimal menor.	And then open it with the point of the needle between the two lines that you have drawn, and start from the lacrimal major into the lacrimal minor.
E si’ la tua fissura prop dels pels naturals ayssi cum es la grossetut del rey.	If your wound is wide as the hair is natural: because it is the size of a king.
E aprop met le onci en un dels dos angles de la codena, e aprop excoria aquela tota, e aprop ajusta am la scitura las doas labias am gula o fiel de lana subtil, e abstergeys le sanc, e fay adherir aquo que superflueys dels fiels sobre dos sobrecils am alcunas causas enviscans, si voles far aquo, e sino, non cures.	And then place an ointment in one of the angles of the cloth, and scratch that completely; and adjust the two sides with a small, fine thread, and wipe the blood, and make it adhere to some hair on the eyebrows for a few causes, if you want to do so, and if not, do not worry about it.
E aprop leyssa la sutura dels fiels entro a tres dias o quatre, e aprop cura aquo.	And then leave the threads to heal within three or four days, and then treat that wound.
E si vols, layssa la plagua ses sutura, e cura aquela am aquo que exsicca e constrenh, quar la palpebra es alevada deves la sigillacio de la plagua e la agreguacio de lu; mays sutura es milor E donc aysso diysso les antics de taxanir.	If you want to: leave the stitch in place, and treat that with water that dries it out and hardens it because the eyelid is raised by the seal of the wound and the addition of it; however, if the stitch comes out: then say these words about the medicine.
Mays empero en lu sia sollicitut sobre le malaute, e es de bona operacio, e no es en lu temor.	But when it is on top of the patient, it is a good operation and not in fear.
E es autra manieyra en taxmir, e es que senhes sobre la palpebra figura ayssi cum fuelha de mirt, e aprop eleva la palpebra am tres uncis segreguatz e congreguatz segon aquesta forma:	And another way to tie it is that you hold on top of the eyelid with such a thread, and pull up the eyelid with three separate and gathered threads according to this form:
Mays si no es possible aquo, tener les uncis, e aquo no es engualhat, lahoras pren una agula en la qual haia fil e met aquela en le mieg de la figura, e entromet le autre fiel prop le lacrimal major, e·l fiel segon prop le lacrimal mendre, e ajusta entre les tieus ditz les fiels am equalitat, e aprop am aquels eleva la tua ma am elevacio engual, eleva tota la codena sobre la qual es senhat ayssi cum havem recomtat.	If it is not possible there, hold the nails, and if it does not close, take a needle with thread in it and put it into the middle of the figure, and stick the other thread on top of the major tear, and the second thread according to the smaller tear, and adjust between these threads to make them equal, and then lift them up with your hand with an upward bend: lift all the string
E aprop ajusta las doas labias de la plagua am sutura, e cura aquel entro que sia sanat.	Then adjust the two eyelids with stitches, and heal the cut inside that is healed.
Mays si accideys apostema deves la tua inscizio o la tua fissura, seda aquel apostema am cerot e a lu semblantz, e am enguentz.	If it happens that the swelling has formed a scar or a crack, then put on it a balm and something similar to it, and moisten it.
E alcunas veguadas endeve a la palpebra que·ls sieus pels sian convertitz, adonc cove que tu uses en aquela de aquo que havem dit de inscizio; mays sutura en quascus es mays artificial.	And some eyes also to the eyelid that their pupils are turned in, then when you use that which we have said of stitches; but stitches on each are more artificial.
Ataxinir am cannas es segon aquesta forma:	Do not tie the string with a knot, according to this form:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	and that you rotate the eyelid and cut the figure inside according to what I have said; and then with art make two needles or two thin wires of which length is according to the length of the eyelid and their width is less than the width of the spine:
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	Then you have already cut into the ends of any splits, where you have the strings.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	Then add to it a little bit of the thread that is extra on top of the eyelid, and tighten the needles on each split with a very tight knot, and leave it for some days, because the string through the tightness will die away and rot.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	If it is delayed, then break it off with a tweezers, and heal the wound inside that is healed.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	So when it is solidified, the eyelid is raised, and the hair does not poke.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is the form of two needles that you will make according to this form:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	and there is no quantity of length or width more or less.
Capitol .xii.	Chapter 12.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	Of raising hair on the spine with a needle when the hair is hard.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When the hair is unnatural, hard and sharp on the spine, then the operation in it is that you take a very thin needle and pause it on the string of a very thin silk, and then adjust the ends of it and tie each one with a very small knot:
E sia la longitut dels fiels de quantitat de una palma.	And be the length of the strings of the quantity of a palm.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	Then you make another very thin string and cross it over, and tie the ends of that one if you want to.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	Then place the patient's head on the table with his face down, and bring the operation to a good conclusion, because it is a delicate and small operation.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	Then insert the needle into the root of the hair with care and attention, and make it penetrate quickly into the eyelid, removing that from the natural hair.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	Then pull the hair out of its root and introduce that into the eye, and be the hair one or two or three or no more than that.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	Then pull your hand away from it so that the hair comes out of its root into the eye, with the hair attached to the eyelid with the natural hair.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	If it is pulled out from the eye and not pulled out with the hair, you will pull out from the split ends with the thread that you have put on it, within which the hair will be pulled out from above.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	Then you will see the spine clearly, because then you will pull out from the eye and the thread, and tighten each one and close it for two or three days, so that the hair sticks to its place and grows over it.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	If it is too loose, then you adjust a long hair of the natural hair, and raise that one, or what you leave within that space, and then you raise it.
Capitol .xiii.	Chapter 13.
De la cura de ehacratir la qual ve en la palpebra desus.	Of the treatment of a bump on the eyelid.
Quan ve en le huel ehacratir, e es contraccio de la palpebra quan es contrayta en sus, o a dextra o a sinistra partida, per mala consolidacio de plagua o de seccio o de cauteri, e es apelada leporina, e aquesta ahercrati o es natural o accidental, e es fayta per consolidacio de plagua o de seccios o de cauteri, o per semblantz a lor malcuratz.	When there is a bump in the spine and it is hard to close the eyelid when it closes on both sides by bad consolidation of the wound or by sectioning or cauterizing, and this is called leporine, and that one is either natural or accidental, and is done for the consolidation of the wound or by sections or cauterization, or by a similar shape to those with which it does not agree.
May la manieyra de la operacio en lu es que tu fendas aquela consolidacio e que separes las labias de lu, e pauses en lu en aquo que es entre aquelas una meca de drap de li, e ligues aquelas entro que sian sanadas.	Then the way of doing the operation is that you split those consolations and separate the eyelids, and pause them between those a piece of cloth of linen, and tie them together so that they are healed.
E no cove que tu uses de curacio de lu de las causas las quals exsiccan, constrenho; quar si tu fas aquo retorna alixacratir pus mal que nulh temps no foc habantz.	And do not use any cure for the causes that dry out, because if you make water return to be swollen, it is better than nothing and does not burn when it comes into contact with the fire.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	Then use on that bump of causes that soften with fenugrec, and dip in the water which is hot and salty and similar to it, or rub aquilon, which is made liquid with some oils, and dip it in that water, and heal it.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	And the treasure of your cure is that you make perfect those consolations that are not consolidated according to the form that comes into contact with fire at the beginning.
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	And this operation that we have described is nothing but a correction of cauterization that does not return to the shape of the wound according to how it comes into contact with fire at the beginning.
Capitol .xiiii.	Chapter 14.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	Of the treatment of a bump on the eyelid.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	This cauterization that is done on the eyelid below, which is called specifically only when it is done on the side of the eye and not in other places, and it is either natural or accidental.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	May be accidental due to a wound, sectioning, cauterizing, or similar shapes.
