Ayssi comensan las paraulas de Albucasim .	Thus begins the discourse of Al-Bucashi .
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	Then leave that for three days; then apply the plaster that is wet with vinegar to it, and leave the wound open for seven days; and then heal that within the water is cured.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	said Al-Bakhi: O son, of this kind of cauterize we have used little for the terror of the regard of him, and because by water have found few those which look over him.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	But some good cauterizes to him who suffered them, and turn that place to him.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	May cauterize with medicines that you have made two circles with iron ring-shaped hole through which should be the lever of the door of iron; and be the length of the parts in the thickness of their are two nuts or three nuts.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space which is between each one is the quantity of the thickness of this thing; and are open from above and from below, and may contain themselves between them according to this form:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	Then place it on the part of the ankle, the patient turned on his back. and hold your hand over the part of the ankle; and take some water tail and put it between two circles, and its quality be lit with small fire little by little, and do that for the quantity of one hour, and bear with him the pain of mouth and the rustling of him - because that rustle then as if by fire - until it stops the pain.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	Then raise your hand from the instrument and wash the water tail of all the ankle with fresh water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	Then leave that for three days and place it on the plaster within that is the darkness of the rustling renewed, then leave it water by seven days, and run him with the water is cured; this one is after a cure in the night.
E aprop cura aquel am enguentz entro que sia sanat.	Then heal that within the water is cured.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain is extended within the crotch or chest, then make him a statue that holds water according to what was made in the ankle.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the way of tail water, and I have written that in the treatise of the correction of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Take the alkaline and of a kind not yet known of both parts one, and tri-fold them and place it on a new wave through which the part leaves is pierced with a small hole, according to the quantity that enters in it.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	Then place above that the source of the new wave wrapped up, and take it on the alkali and the caustic of fresh water which takes those by a nut, and then put it in the tieua hand by good compression, and leave that the new wave sent out from him the water is sharp on the part left on the wrapped-up wave.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	Then adjust all that water, and place it on another caustic alive and other alkali renewed, because that one then a strong fire sharpens, which is administered in drops of medicine and cauterization of the other members, because operation makes fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And so from medicines some by which is cauterized wide, as then it sharpens and heals it quickly and causes am sabo in the morning.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Gualia told of a man of the arts the operation and the cure by which he is healed of the pain of the ankle and sciatica, and he said that there is no need for another cure, because it is cured with one gaze then as it is strong that he put that tieue in bath and eysic already known about him.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And it is that be of certari green, and if not be vert, then be a figue recent; and a hand be tri-fold with a little gray and placed on the ankle in which is the pain, or in the crotch, or chest, and leave it open.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	Then leave that for the quantity of three hours or for the quantity that man is a hundred steps from the pain of rustling.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	Then place that in bath and then when his heart has been heated, introduce that into the water because the pain stops and is healed.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	And you know that there is no need for any medicine of cauterize with these medicines but to remove the contents of the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	May Ja Escorides also say that when the goat's wound is cauterized with oil, then he will be well; and if be a cauterize with this way: take wool and dip it in old oil, and place it between the toes of the foot and between the teeth.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And take a piece of dry sheep's intestine, and inflame it with fire so that it becomes charcoal; then put it on the wool and leave it there until it hardens.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And repeat this several times, and do not stop until the heat of the bite penetrates into the joint and the pain ceases.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	This method of cauterization is called cautery of cows.
Capitol .xlii.	Chapter .xii.
De cauterizacio de dolor de dos.	On the cauterization for pain relief.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some pains in the legs have two causes: either by entrapment or by impact, or by excessive evacuation (diarrhea), and similar causes; due to the infusion of dry or rubbed-in matter, and moist substances.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cauterization should only be used in this one specific case, which is caused by the infusion of dry or rubbed-in matter.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	Therefore, when the leg is swollen, make pills that are similar to its shape and size, which have been made in two places where the pain is; because there will be more tolerance in one line than in another, so that cauterization or more, according to the quantity, should not exceed the swelling.
E sia fayta cauterizacio am cauteri de punt.	And make a cauterization with a pointed instrument.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you wish, cauterize with three or four cautery tools, point-wise or medially, according to this form:
Capitol .xliii.	Chapter .xiii.
De cauterizacio al comensament de gilbositat.	On cauterization at the beginning of baldness.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	The above text states: "For this type of baldness in small children, and to prevent the beginning of it in children by paying attention to their diet, and by not allowing them to stay too long in the sun."
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And pay attention to the last spine of the leg and the bones that are beginning to stick out from under it.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And when you see this, and if you want to prevent it, then cauterize it with a circular instrument, as shown in the diagram.
que prengua le cauteri sobre tota partida del spondilh engualment.	in such a way that the cauterization covers the entire spine from top to bottom.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you wish, perform cauterization in two or three lines around the spine with a pointed instrument.
E sian les puntz propdas entre lor.	The points should be close to each other.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	Then clean the area where cauterization has been performed with water, as mentioned before.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	However, be aware that cauterization should not be administered for baldness due to nerve spasms.
Capitol .xliv.	Chapter .xliv.
De cauterizacio de podagra e de dolor de juncturas.	On cauterization for gout and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	Therefore, if gout is caused by rubbing, and if the pains do not improve with rest, then repeat the cauterization.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	This is because you cauterize the excessive evacuation in the circuit of the joint of the foot with pointed cautery.
E sia cauteri olivar del qual aquesta es la forma de lu:	And make an olive-shaped cauterization, as shown in this diagram:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	If the pains spread to the heels or other joints, and if they become intense, then repeat the cauterization on each heel with three or four cautery tools using the olive-shaped technique described earlier.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	If you find that the number of cauterizations is not sufficient, then perform the aforementioned cauterization and do not apply pressure to your hand during the procedure.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	If the pains spread to the heel and the joint, then administer the cauterization described in the previous chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	If the pains are in both feet, and it is called sugar, then pierce in the circuit of the fire as shown, piercing from one side to the other, and make two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	If the pains remain in the feet, then pierce in the circuit of the fire on each foot and on the heel bone.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	If the pains spread to the sides of the feet or the calves, then cauterize each muscle and tendon on both sides.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	And do not evacuate the patient without proper preparation and reception of medicines, for if it is done well, fire will be evacuated with this cauterization and healing will occur, God helps.
Capitol .xlv.	Chapter .xlv.
De cauterizacio de rompeduras.	On cauterization for fractures.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	When there is a fracture in the ankles and the bowstrings are loosened in front of the tendon, and if it begins to break - which you should order - then the patient should rest for a while, and he should use soothing means so that the gap does not open in his belly.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	Then keep the patient between your two legs, and order him to lie down so that he does not feel any pain or see any tendon or bowstring.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	Then return to the patient's feet and try to break the bone at the end of the foot, which is similar in shape to a circle, with the split running through the middle.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	Then perform the cauterization described in this diagram, which shows the shape:
entro que sia mot rog e gete cintilhas.	And return to the patient's feet, which are warm and have a red color.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	Then return the intestine or hernia to its cavity, and place your hand over the area to prevent the intestine from coming out.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	Then place the cautery on that mark with your hand on top of the cautery, straight, and if you can reach the bones of the finger inside the joint of the foot, do so with the point; and again look with another instrument if you have not succeeded in the first one inside the bone.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	And observe wisely the movement of the intestine during the cauterization, that you do not burn that intestine so that on the patient's leg there is no death or other great evil.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	And know that when you don't reach the bone with the cauterization, do not continue your operation.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	And know that the child’s cauterization is subtle according to its age and size.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	Then clean the place of the cauterization for three days at most before it heals over.
E aprop cura aquel am les autres enguentz entro que sia sanat.	Then heal those same as others with cold humors that have healed.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	And the patient should be covered with a blanket over their legs for 10 days at most so that the place and wound are sealed.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	And know that you should not give food to the patient according to the length of their recovery time; the intestine should not come out before the effort of healing it.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	And after 10 days, if they can walk properly and comfortably, let them go; but if not, keep them for another 10 days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	And follow a strict regime of exercise and food and drink; and be diligent in this whole therapy so that it will heal completely.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	And direct the healing of the ruptures in other parts of the abdomen, and begin it, and want them to stop, then cauterize the rupture with a pointed cautery according to the quantity of the patient; and let that which has come out with the third part of the patient be cured as well; and know that it is not done.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	And some say that the first rupture should be cauterized with a triangular cautery according to this shape, because it is marked by a line:
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	And pause the line that goes down from the edge in the middle above the rupture, and another line on top of it; and leave your hand with a nail-like instrument, but the first cauterization is lighter and better.
Capitol .xlvi.	Chapter 46
De cauterizacio de torcio.	Of Cauterization for Wounds.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	When the pain persists in the limbs by encrustation or percussion, and it does not respond to medication, know that you should cauterize with a pointed cautery.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	And the cauterization of each member according to its size and age, and the virtue and development of it, and the location of the torments and pain in it.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	So if he is healed by the first cauterization, it is good; otherwise, repeat it on him; because usually such pains are caused by punctures in a member adjacent to that part, so that you will be able to heal those with cauterization where the intestine is healed.
Capitol .xlvii.	Chapter 47
De cauterizacio de lepra.	Of Cauterization for Leprosy.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	Leprosy that has been seen to be healed by cauterization is a great remedy, and sparingly if the disease of leprosy is caused by the decay of flame and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	And if you want to cauterize that leprosy, consider whether it is caused by the decay of flame and melancholy; and if it is cured with water as we have said in the division and do not change, neither this nor that concerns you, and fear for the patient's whole body and all his limbs that corruption encompasses them; then cauterize that on the head according to the middle place of the head, and on the second one from behind, leaving the forehead at the end of the hair; and both behind the ears; and one behind the neck.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	And last, place your hand over the cauterization for a little while so that it does not stick to the bone too much, and if the scabs are moved, so that the exhale of thick vapors is relieved from it; and cauterize on its own according to what is necessary.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	And if leprosy has spread over the patient's whole body and manifestly so, then know that you should cauterize that on the head as we have said; and on the tip of the nose, and on the two scabs, and on the two nostrils, and on the two holes of the ear, and on the two spondyls of the neck, and on one above the throat, and on one below it, and on the two shoulders, and on the two arms, and on the two palms of the hand, and on the two legs, and on the two feet, and on the tips of the toes; and know that you should cauterize all these joints of his body and his feet, and on the heels of his feet, and on the fists of his hands.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	And keep in mind those nerves that are over the bone which you do not burn.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	Some are cauterized with a cautery on the bones of the finger and another on the mouth of the stomach, and one above the anus.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	And know that the more you adjust cauterizations, the more it is healed and improved; and know that the patient does not feel pain during cauterization, because his limbs are already numb.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	And know that the cauterizations are few or many according to the limbs and joints, depending on what came before with the instruments.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	Then clean the cauterization with flour that is damp and also with the other cure, as long as it heals.
Capitol .xlviii.	Chapter 48
De cauterizacio de stupor.	Of Cauterization for Stupor.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	When a member is stiffened or fallen asleep and is not healed with medicine, oils, and plasters; then you should cauterize that stiffened member according to the size of the limb or its age.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	And this small cauterization enters into the essence of the contract slightly.
E aprop cura aquel am enguent entro que sia sanat.	Then clean that with soap, as long as it heals.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	Some are cauterized with stupor that extends to the limbs and to the spine; and the nerves that move that limb are also cauterized, and the stupor is repeated.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	More should not be done on it, but what is known in anatomy of limbs and exit of nerves throughout the whole body moving.
Capitol .xlix.	Chapter 59
De cauterizacio de albaras que es morfea.	Of Cauterization for Scabrous Lesions That Are Morphea.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	When the scabs are old and do not respond to any medicine; then you should cauterize those with a small cautery according to the quantity of the contract within it so that the whiteness and color of it change, and the color of it is changed.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	Then clean those with flour and lentils, and olive oil colored red, and leaves of yarrow, or a mixture of chamomile; and know that you should pour this over the place, and leave it for a while so that it heals; and if there is any scar left, then wash it off with water.
Capitol .l.	Chapter 60
De cauterizacio de cranc.	Of Cauterization for Cranky Lesions.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	When the canker is beginning and you want to make it a crusty wound, then cauterize that with a circular cautery in the middle of the wound and turn it over; and know that if there are any sores or openings in the skin, they should first be cleaned with oil.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	And the wise ones said that it should be cauterized with a last cautery in my place; but I don't see this, for I am afraid it is ulcerated, and I have already seen some scabs there.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	And it should be put to cauterize in the circuit of him to circle so also we have said, or at most cauterize.
Capitol .li.	Chapter.li.
De cauterizacio de adubilati.	On Cauterization for Ablations.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When an ablation is delayed in maturity, and this happens due to the excess fluid gathering, or because of the age of the animal, since it is old and feeble of spirit, or because of time, and you want to speed up the maturation process for ables; then cauterize in the circuit of him at most small points; and leave those alone as they will mature quickly.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	But if you want the piercing of him with cauterization, then this is the form of him that you should ignite; and leave that in my place where it penetrates the ablation.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	And if the cauterization is placed in that place that has been left, so that the whole body of the arm is relieved; and leave that to be healed.
Capitol .lii.	Chapter.lii.
De cauterizacio de corrodent.	On Cauterization for Corrosion.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	Corrodent is ambulant corruption in the member, which corrodes that also as if it were eating dry wood with fire.
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	Therefore if you ignite cauterization in that place where it suffers from fire, then you should ignite small points of cauterization first, and large ones according to what is convenient in that place where it is corrosive.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	And leave cauterize that completely from the beginning to heal all corrosion and not remain any cause of him.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	And leave that for three days, and place a damp cloth three times a day mixed with oil on the cauterized places so that the scars are completely healed and all corrosion is eradicated.
E aprop cura aquel am enguentz carn engendrantz.	And leave that to be healed with moistened meat.
Mays si aprop tres dias vezes que la carn nasca sana en la qual no es corrupcio, bo es; mays sino, lahoras itera le cauteri sobre aquo que es romas en les locs corrumputz.	But if after three days' time the meat is born healthy in which there is no corruption, then it is good; but if not, then repeat the cauterization on that place where it is rotted.
E corrodent es medicat alcunas vetz am medicina aguda, quar aquela es meza en loc de cauteri.	Corrodent is treated with some herbs by acute medicine, for that is half a place of cauterization.
Mays empero cauteri am foc es de pus leugier juvament.	But nevertheless cauterization by fire is a lighter cure.
E yeu ja e dit la curacio de lu am medicina aguda en la divisio, e donc pren aquela quan de lu auras endegencia.	And I have already said the cure of him by acute medicine in the division, and now take that when you have need of it.
Capitol .liii.	Chapter.liiii.
De cauterizacio de claus e dels autres semblants.	On Cauterization for Claws and Other Similars.
Motas veguadas endeve a las partidas dejos del pe malautia que s’apela clau, e es causa grossa, fentrada, la qual ladeys le pe; e cauteri en aquels es segon dos manieyras, so es cauteri am foc e cauteri am aygua cauda.	Some scabs develop in the feet that are called claws, and this is a great cause of trouble, cutting off the foot; and cauterize them according to two methods, if by fire, and if by cold water.
Mays cauteri am foc es que igniscas le cauteri concau semblant a pena de voltor, le qual sia feyt de ferr segon la quantitat la qual contengua le clau de tota partida, e sia de subtils marguas.	But cauterization by fire is that you ignite the cauterization of the claw-like appearance as if a bird were flying, which is made of iron according to the quantity that it contains the claw from all parts, and is of fine grain.
E aprop pausa aquel ignit sobre le clau, e aprop revolveys la tua ma am le cauteri en le circuit del clau entro que·l cauteri pervengua a la profunditat del clau.	And leave that ignited over the claw, and turn your hand away from the cauterization in the circuit of the claw so that the cauterization reaches the depth of the claw.
E leyssa aquel per tres dias entro que comense getar brac.	Leave that for three days within which it begins to sizzle the arm.
E aprop emplastre aquel am malvas salvatges trissadas am sal, e leyssa le emplastre sobre aquel per una nuoyt, quar aquel sira eradicat de las suas razitz.	And leave that plastered with dried herbs, three times a day, because that will eradicate its roots.
E aprop cura le loc am enguent de carn generatiu entro que sia sanat.	And leave that place to be healed with meat-generating ointment within which it is healed.
E si so no-convertitz, e motas veguadas accideysso en la superficia del cors, majorment en las mas e les pes, lahoras cove que tu aministres en aquels cauteri am aygua, e es que prenguas una quannula de eram o de ferr o de pena de voltor, e pausa aquela sobre le clau; e aprop geta en la quanula de aygua cauda pauca cantitat, e rete la tua ma, e tu revolveys aquela am compressio de la tua ma de tot, e sia enpremut le marge de la canula en la razit del clau, e atrobara la aygua cauda via al preon de la razit del cau; e espera le malaute un pauc la mordicacio de l’aygua cauda per una hora, e aprop remau aquela, quar le clau am las suas razitz sira erredicat.	If it does not convert into a claw, and some scabs happen on the surface of the body, mostly on the hands and feet, then know that you treat them with water, and this is because you take a small quantity of oil or iron or bird's feather, and pour a little amount of cold water on it, and cover the claw; and get the water out of your hand, and turn your hand over the water, and squeeze your hand, so that the water falls back onto the edge of the claw; and wait for the patient an hour to taste the water from the edge of the claw because the claw with its roots will erode.
E ayssi fe am aquels la i aprop l’autre entro que venguas sobre totz les quals de lor so en le cors.	And thus treat those that are in pain due to corruption in all parts of the body.
