Ayssi comensan las paraulas de Albucasim .	Thus begins the treatise of Al-Bucayashi .
Mays si eran passatz xi dias e no es sanat, lahoras pausa sobre lu medicina aguda corrosiva entro que l’os sia descubert e sia ras segon que conveneys en le sieu capitol.	But if it has not healed after eleven days, then place over it an acute corrosive medicine until the bone is exposed and scrape it according to what you believe is best in its own chapter.
E es autra manieyra de cauteri de fistula la qual alscus primiers diysero: enten al loc de la fistula e fen aquela e aprop pausa en aquela fissura camaen subtil del qual es la forma de lu: E fon en aquela la quantitat de i unc de plom fundut; e te la tua ma am camaem am bona retencio, e no sia maugut le malaute per so que le plom fundut no pervengua al huel de aquel; e cove que pausas sobre le huel del malaute coto enfus en album de huou o en aygua, quar plom adhureys le loc de la fistula e sana aquela per sanacio meravilhora.	And another method of burning a fistula, which the first doctors said: "Go to the place of the fistula and pour in it a small quantity of molten lead; and if your hand is well protected, so that the molten lead does not reach the nose of the patient; then cover that with a thin layer of plaster, either made from the blood of a horse or water, because lead clings to the place of the fistula and heals it by a wonderful remedy.
E si la fistula es sanada am aquo que havem dit del cauteri e de la curacio, bo es; e sino, lahoras es necessari aministrar trauc del nas e reduzir la fistula al cors del nas segon que vindra en son loc propri.	And if the fistula is healed by the water that I said about the burn and the cure, it is good; but if not, then it is necessary to administer a trauch of the nose and to reduce the fistula to its own place according to what comes in its own place.
Capitol .xviii.	Chapter XVIII.
De cauterizacio de la fendedura des potz.	Of the Burning of a Wound with Lead.
Motas veguadas accideysso fissuras en las labias, e majorment en las labias dels enfantz.	It happens that blisters occur in the lips, and mostly in the lips of children.
Donc cum tu curas aquelas fissuras am aquo que nos havem dit en las divisios e no aprofieyta la tua cura, lahoras igneys le cauteri petit cutellar segon aquesta forma que s’ensiec:	Therefore, when you cure those sores with the water that we have said in the divisions and do not profit from our cure, then ignite the small scalpel according to this form which is made thus:
E sia la conquavitat de lu segon la subtilitat de cotella.	And its cavity according to the subtility of a knife.
Aprop pausa aquel init cuytadament en aquelas fissuras entro que·l cauteri pervengua al preon de las fissuras.	Then place it carefully in those sores so that the burn reaches the edge of the sores.
E aprop cura aquel am cerotz entro que sia sanat.	Then cure it with a sharp knife so that it heals.
Capitol .xix.	Chapter XIX.
De cauterizacio de fistula en la boca.	Of the Burning of a Fistula in the Mouth.
Quan en la razit de uvula o en le paladar o en las razitz de las dentz endeve apostema e aprop fa brac, e aprop es rompuda, e aprop es antiquada, e corr brac e es fayta fistula, e aprop tu curas aquela e no aprofieyta a curacio, lahoras cove que tu igniscas cauteri segon la quantitat que sia receubuda en la fistula, e aprop met aquel ignit en le trauc de la fistola, e te la tua ma entro que pervengua le ferr ignit al preon de lu, e al derier de lu fazen aysso una veguada o dos; e aprop cura aquel am aquo que nos havem dit de la curacio entro que sia sanat.	When in the root of the uvula or on the palate or in the roots of the teeth the aphum is made, and it is broken, and it is hardened, and it is corroding, and there is a fistula; then you cure that and do not profit from our cure, then place over that where the burn has entered the fistula, and then ignite your cautery according to the quantity that is received in the fistula, and then place it ignited on the edge of the fistula, and at its other end make a blister one or two times; and then cure it with water that we have said for the cure so that it heals.
E donc si la sania es abscindita e es sanat, bo es; e sino, lahoras es necessari de descubrir le loc e hostar le os corrumput segon que vindra en son capitol.	And if the healing is broken and it heals, it is good; but if not, then it is necessary to expose the place and burn the bone according to what you believe is best in its own chapter.
Capitol .xx.	Chapter XX.
De cauterisacio de las dentz e de mollificacio de las angivas.	Of the Burning of Teeth and Softening of the Veins.
Quan las angivas son mollificadas per humiditat e las dentz son maugudas, e curas aquelas am medicinas e no confereys, lahoras pausa le cap del malaute en le tieu se, e aprop igneys le cauteri la forma del qual vindra aprop aysso, enayssi que tu pauses la quanula sobre la dent e entromet en aquela le cauteri ignit festinantment, e te la tieua ma un petit entro que·l malaute cente la calor del foc a la razit de la dent esser pervenguda.	When the veins are softened by moisture and the teeth are hurt, then cure those with medicines and do not confer with me, then place the cap of the mallet on the head, and then ignite your cautery quickly according to its form; then, without taking your hand away from the patient' s jaw, place the tip of the cauterizing knife at the root of the tooth and burn it very quickly, so that the heat of the fire reaches the edge of the tooth.
E aprop leva la tua ma, e aprop itera le cauteri alcunas veguadas segon que vols.	Then take your hand away, and repeat the burn a few times according to what you want.
E aprop le malaute huompla la sua boca de aygua de sal e tengua aquela per una hora, e pueys stupa aquela, quar la dent mauguda es fermada e la gengiva mollificada es strenguda e la humiditat corrompuda es exsiccada.	Then the mallet should hold a mouthful of saltwater and keep it for an hour; then drink that, because the hurt tooth is closed and the softened gum is hardened and the corrupted moisture is dried up.
Capitol .xxi.	Chapter XXI.
De cauterisacio de dolor de dent.	Of the Burning of Toothache.
Quan dolor de dent es per fregiditat, o en lu es freg o verm, o no comfereys la curacio am medicina, lahoras cauteri en aquela es segon dos manieyras: o cauteri am boder de vacas, o cauteri am foc.	When toothache is due to cold or there is a burning or stinging sensation, and you do not confer with medicine the cure, then the burn in that place according to two ways: either by burning with cow's blood, or by fire.
Cauteri am boder es que tu prenguas boder de vacas e bulhas aquel en culhe de ferr , e aprop pren coto e envolopa le sobre la extremitat de la tenta, e aprop enmergeys aquel am boder bulhit, e pausa aquel sobre la dent dolorosa festinantment entro que sia enfregidat.	Burning with a cow' s blood is that you take the cow' s blood and boil it in an iron pot, and then place a bandage and wrap it over the end of the tooth, and quickly place the burned blood on the tooth according to the form that has been boiled; then place that on the painful tooth so that it cools.
E aprop itera aquela alcunas veguadas entro que la vertut del foc pervengua a la razit de la dentz.	Then repeat the burned blood a few times according to the power of the fire reaching the roots of the teeth.
E si voys, submergeys lana o coto en le boder desus dit, e pausa aquel sobre la dent dolent, e pausa sobre aquel ferr ignit entro que·l ferr pervengua al preon de la conquavitat de la dent.	And if you want, dip wool or a bandage in the cow' s blood, and place that on the tooth, and place an iron burned one according to what reaches the edge of the cavity of the tooth.
Mays empero la cauterizacio am foc es que tu atendas a la quannula de eram o de ferr, e sia en le cor de lu alcuna grocesa e la acuitat del foc no pervengua a la boca del malaute.	But certainly the burning according to fire is that you take the whetstone of steel or an iron, and it is sharp and does not reach the edge of the cavity of the tooth, and the acute power of the fire does not reach the patient' s mouth; for such things do not help in healing.
E aprop igneys le cauteri la forma del qual vindra, e pausa aquel sobre la dent e te la tua ma entro que·l cauteri sia enfregidat; e fay aquo alcunas veguadas quar la dolor sira remauguda o en aquel dia o en l’autre dia.	Then ignite your cautery according to its form, and place that on the tooth and your hand within so that the burn cools; and make a blister in some places because the pain returns or on that day or on another day.
E cove que per empressio de aquel cauteri que·l malaute umpla la sieua boca de bon boder e tengua aquel per una hora e aprop scupa le; e aquesta es la forma del cauteri.	And then, because of the impression of that burn which the mallet should hold its mouth with good cover and keep it for an hour and then drink it; and this is the form of the burn.
E cauteriza am qual que tu voys extremittat segon que a tu es possible.	And burn the end according to what you see necessary.
E aquesta es la forma de la cannula:	This is the form of the tube:
Capitol .xxii.	Chapter XXII.
De cauterizacio de extrophulos.	Of the Burning of an Extrophyl.
Quan extrophulos so de flecma e de humors fregas e no so hobedientz a digistio per medicinas e tu voys la digistio de aquelas leugerament, lahoras tu igneys le cauteri conquau la forma del qual es aquesta seguen, havent dos extremitatz hubertas per que yesca le fum deves le cauteri per l’autra extremitat, e pausa aquel ignit sobre aquel apostema una veguada, e autre si indigeyses de aquel, entro que pervengua al preon del apostema.	When an extrophyl is made of fluid and frigid humors that do not submit to medicine through digestion, and you see the digestion of those a little, then ignite your cauterizing knife according to this form which has two open ends so that the smoke from the fire reaches the other end, and place that burned one on the abscess once, and if it is desired, place that within so that it reaches the edge of the abscess.
E si l’apostema es pauca, lahoras pausa le cauteri segon la quantitat del apostema, e aprop leyssa le per tres jorns e pausa sobre lu coto enfus en boder entro que sia remaugut aquo que·l foc ha comburit.	And if the abscess is a little, then place the burn according to the quantity of the abscess, and leave it for three days and place over that on a bandage in good cover so that it heals by the smoke from fire.
E aprop cura aquel am enguent e tentas e draps entro que sia sanat.	Then cure it with oil and try it again and wrap it up, so that it heals.
E la forma de la cannula o deu cauteri a tal es comveyter.	And this is the form of the tube or two burns; it is to be turned over.
Capitol .xxiii.	Chapter XXIII.
De cauterizacio de rauquiera de votz e de constriccio de ale.	Of the Burning of Scurvy and the Constriction of the Throat.
Quan las humiditatz veno sobre le quanal del pulmo, e majorment quan aquo es am fregiditat de compleccio, lahoras cove que·l malaute sia evacuat al comensament am medicinas laxativas, e aprop cauteriza aquel deves la razit del golayro en le loc depremegut.	When moisture comes on the throat of the lung, and mostly when water is due to cold weather, then it is necessary to evacuate the mallet at the beginning with laxative medicines, and then burn that where the tonsils are embedded in their place.
E guarda te que no pervenguas am le cauteri al golayro ni no comburas de la codena de lu sino un pauc.	And you should not apply to the throat of the lung or burn it with the cord of the larynx, but a little bit only.
E cauteriza aquel am autra cauteri deves la junctura del col en le derier espondil de lu.	Then cauterize it with another cautery, as the joint of the neck at the last spine.
E·l cauteri de lu sia clavilh sego la maniera precedent.	And the cautery be made by the same way as was described above.
E aprop cura aquel am aquo que es precedit entro que sia sanat.	Then treat it with the medicine that was mentioned before until it is healed.
Capitol .xxiiii.	Chapter.
De cauterizacio de malautia del pulmo e de tos.	On the Cauterization of Pulmonary Maladies and Coughing.
Quan tos e malautia de pulmo so de humiditatz fregas e le malaute no ha febre ni tisic e es malautia antiqua, lahoras cauterisa aquel am dos cauteris sobre la furcula en les locz depremegutz leontz e buoytz; e am autra cauteri en le mieg loc del pietz entre dos mamillos; e sia le cauteri clavilh segon la forma precedent.	When coughing and pulmonary malady are caused by moisture, and there is no fever or consumption, but it is an old disease, then cauterize twice on the furcula in the place where the bones join together, and another cautery on the middle of the foot between two breasts; and let the cautery be made as was described above.
E si vols, sia la tua cauterizacio punctan am le cauteri que es apelat puncta, la forma del qual precedeys en la ponctacio de dolor de aurelhas.	And if you wish, your cauterization may be made with the same pointed cautery that is called a point, the shape of which you have used in the cauterization of ear pain.
E sian puntz entro cays ad aquels; e aprop cura aquel am aquo meteys que es precedit entro que sia sanat.	Then make points within those, and treat with medicine those that were mentioned before until they are healed.
E ya sia le cauteri haventz tres ramps quar cauterizacio es am aquel: am una veguada podes far tres cauteris segon aquesta forma:	And after having made the cauterization, there are three ramps for the cautery, which can be made in this way: first, make a ramp that is flat; then make another ramp that is pointed; and finally, make a ramp that is round.
Capitol .xxv.	Chapter.
De cauterizacio de titillic que es le cap del ajutori.	On the Cauterization of Tickling at the Tip of the Tongue.
Quan le cap del ajutori es dislocat per causa de humiditatz lubricas e no es fermat en la hora del sieu retornament deves la sua dislocacio entro que sia a lu aquo costuma de retornar, e aprop per un petit movement es deslocat ayssi que s’endeve, ayssi cum nos havem testificat, lahoras cove que primieyrament redusiscas la dislocacio, e aprop le malaute sia reversat sobre le sieu dos o sobre le latz sa; e aprop eleva la codena la qual es en la partida dedintz del citillic a las partidas desus am les ditz de la tua ma sinistra, si la junctura es dislocada a las partidas dedintz.	When the tip of the tongue is dislocated by means of moist and oily substances, so that it does not return to its place at first, then reduce the dislocation, and then the malady returns to its place, then raise the finger which is in the mouth at the tip of the tongue; and then lower the same finger to the root of the tongue from above, by means of the fingers of your left hand.
E aprop igneys le cauteri havent dos caps; e aquesta es la forma de lu:	Then make two points on it, and this is the way of doing it:
E aprop cauteriza la codena entro que penetre aquela entro al autre latz; e vindra la figura de cauterizacio lahoras de iv caps cauteris.	And then cauterize the tip within so that it enters one place and comes out another; and after having made three points on it, there will be a figure of cauterization, which is as follows:
e so aquel subtils segon la quantitat de tenta; e aquesta es la forma de lu:	and then the small one according to the quantity of trial; and this is the way of doing it:
E alcunas veguadas es ajustat segon aquest comte i per que son les cauteris .viii.	In some cases it is made according to this count, and for that reason are made the following cauterizations. »xii.
E aprop pausa sobre le cauteri porys cuytz am sal, e aprop fay adherir le malaute a trenquilitat, e lo membre no sia maugut per alcun temps entro que sia confortat.	Then place over the cautery salt, and then make it adhere with quietness to the member, and do not cause it any pain until it is comforted.
E si la dislocacio es a las partidas desus e tart es fayt aquo, lahoras cauteriza sobre le muscle am cauteri clavilh o am motz cauteris puntan, quar la junctura es confermada e la humiditat es romauguda e le malaute es sanat.	If the dislocation is at the tip and it returns, then cauterize over the muscle with a pointed cautery, because the joint is confirmed and the moisture is thickening and the malady is healed.
Capitol .xxvi.	Chapter.
De cauterizacio del stomac.	On the Cauterization of the Stomach.
Quan veno en l’estomac freg e motas humiditatz entro que aquel extrazo de la sua compleccio e so multiplicatz raumases a lu, e si tu continuas las manieyras de curacio e no confereyso, lahoras cove que le malaute sia sobre le sieu dos ressupinat, e extenda las suas mas e las suas coysas, e aprop cauteriza aquel am tres cauteris: an un cauteri dejos le pietz per la quantitat d’un dit am cauteri clavilh, e am dos cauteris dejos del dos costatz del cauteri, entro que vengua la figura de cauteri triangulada; e elonga entre els que no sian ajustatz que faran poyredura.	When there is a flow of liquid and it multiplies in the stomach, and if you continue with the treatments and do not confirm it, then treat the malady, which is that the malady be on its back, and extend your hands over it, and then make three cauterizations: first, leave one finger on the foot for a quantity of a digit; second, make two cauterizations on either side of the finger, so that they form a triangular figure; then lengthen those which are not joined, so that they will split.
E si la profunditat del cauteri la quantitat de les dos terses de la grocesa de la codena.	And if the depth of the cauterization is according to the quantity of the third part of the thickness of the tip?
E sia la figura del cauteri segon aquesta forma ses addicio, E si vols, cauteriza am gran cauteri en le mieg loc del estomac segon aquesta forma; et aquest sia un cauteri segon la forma de cercle segon aquesta forma:	And be the figure of cauterization according to this way. If you wish, cauterize with a great cautery in the middle of the stomach according to this form; and this form is a circle according to this way:
E sia cauterizat l’estomac punctan ad aquel que de aquest cauteri es spaventat: e es que tu senhes sobre l’estomac punt segon la quantitat que voles am tenta, e aprop cauteriza aquel am cauteri en les puntz; e aprop cura aquel am la curacio qu’es precedita entro que sia sanat.	And the stomach be cauterized by piercing that person who is frightened of cauterization: and this is to say that you feel a piercing sensation in your stomach according to the quantity that you wish, and then cauterize with another cautery in the place; and then treat with the treatment mentioned before until it is healed.
Capitol .xxvii.	Chapter.
De cauterizacio del fietge fret.	On the Cauterization of a Fretted Instrument.
Quan endeve en le fietge dolor per fregiditat o per humiditat o per grossa ventositat entro que de la sieua normal compleccio sia getat per egressio superflua, e es curat le malaute am aquo que havem dit e no comfereys, lahoras cove que·l malaute sia ressupinat sobre la sua cervitz, e senhes am tenta tres cauteris segon aquesta forma et aquesta quantitat meteyssa sobre le fietge dejos dels ipocondres, la hon perve le decubit de home.	When there is pain in the instrument by cold or moisture or rough wind, and if it deviates from its normal state, then treat the malady with the medicine that we have mentioned, and do not confirm it; then, if the malady be on the back, place the patient's head between your knees, and feel a piercing sensation.
E sia l’espazi le qual es entre quascun cauteri segon la grossetut del dit, e sia le cauteri segon la longitut del cors dreyta.	And be the space between each cauterization according to the thickness of the digit, and be the cauterization according to the length of the right side.
E no compremas la tua am le cauteri mot.	And do not compress your hand with the cautery.
E si la quantitat de aquo que es adhurit la quantitat de la maytat de la specitut de la codena, e no y sia pus ajustat; e si le malaute stant sobre les pes de lu; e si no es estant, lahoras sia jassent, le qual ja ha extendudas las suas coysas, e eleve les sieus brasses.	And if the quantity of water that is applied is according to half the thickness of the tip, and the malady be on the feet; and if it is not standing up, then place them down, which are already extended, and raise your feet.
E es aquesta la forma del cauteri:	And this is the form of the cauterization:
E a tu es possible que cauterizes aquestz cauteris am cauteri cutellar, quan es am tu subtilitat e prudencia en l’art.	It is possible that you make these cauterizations with a knife-like cauterization, when it is subtlety and prudence in the art.
E guarda te que trop no procesiscas en la cauterizacio, e sia adhurida la specitut de tota la codena per que sia adhurit tot le cors e pervengua entro als budels, quar la codena aqui es subtil; e sapias aquo.	And keep in mind that you do not over-process the cauterization, so that the thickness of the entire tip is uniform, and so that it reaches within the buds, because the tip here is delicate; and know how to control it.
Capitol .xxviii.	Chapter.
De perforacio de apostema del fietge am cauteri.	On the Perforation of a Fret on the Instrument by Piercing with a Cauterization.
Quan endeve excitura o apostema en le fietge e voles saber si aquel apostema es en le carn del fietge o en la tunica de lu, lahoras si es en la carn del fietge, le malaute atrobo gravitat e dolor ses acuitat.	When there is an inflammation or an abscess in the instrument, and you wish to know if it is in the meat of the instrument or in its sheath, then, if it is in the meat of the instrument, the malady will be heavy and there will be pain;
E si es en la tunica del fietge, am la dolor es acuitat gran e vezes que ja afatiguatz les metges la cura de lu.	And if it is in the sheath of the instrument, the pain will be great and your treatments will not help the patient.
Donc cove que·l malaute sia enversat sobre la sieua cervit; e aprop senha le loc de l’apostema am tenta; e aprop igneys le cauteri le quel es asemblat a rag, la forma del qual a precedit en l’autra pagina.	Then, if the malady be on the back, place the patient' head between your knees; and feel for the location of the abscess by piercing; and then make the cauterization with the same shape that was described in the previous page.
E cauteriza am aquel i cauteri entro que tota la codena sia comborida, entro que pervengua al ciphac, entro qu’en yesca sania.	And cauterize with it and with another cauterization, so that the entire tip is melted together, so that it reaches the cypher, so that it is healed when it is used.
E aprop cura aquel per curacio dels autres apostemas entro que sia sanat.	Then treat those others with the treatment mentioned before until they are healed.
E no cove que de aquesta forma de cauteri use sino aquel del qual le estudi en l’art de medicina es prolonguat, e en las mas del qual motas malautias an conogut; mays aquest am esperiment alcunas veguadas sia ardit sobre aquesta operacio, mays empero leyssa aquela deves nos, e es miels.	And I do not know if the form of cauterization that is used here is the one mentioned in the art of medicine and which has been prolonged; and likewise some cases, but then let it be left to experiment with this operation; however, let it be left to us, and it is better.
Capitol .xxix.	Chapter.
De cauterizacio de plauresi.	On the Cauterization of Blisters.
Diyssero les antics cauteri de las razitz de aristologia a plauresi frega segon aquesta manieyra esser fazedor, e es aquest que tu prenguas de las razitz de aristologia longa secca una razit pun longua que es trobada, e sia de la grossetut del dit.	The little cauterizations of the chirurgical blade to blister are made according to this way: and it is as follows what you take from the chirurgical blade that is long and dry, and is of the thickness of the digit.
E aprop submergeys aquela en oli e eysen aquela al foc, e aprop cauteriza per un cauteri en aquel loc le qual es entre la continuacio de la furcula am le col; e am dos cauteris petitz dejos guidazi, un pauc declinans a la partida que es dejus la barba, e am dos cauteris en aquo que es declinant entre la quinta costa e la cizena, declinant un pauc a las partidas detras; e am autre cauteri en le mieg loc del pietz; et am autre sobre l’estomac, et am tres cauteris de las partidas detras; et am un cauteri en aquel loc le qual es entre las dos spallas, e am dos cauteris dels dos latz del pietz, dejos le cauteri le qual es entre doas spallas.	Then submerge that in oil and burn it with a flame, and then cauterize by means of a small cauterization at the place where the furcula joins with the neck; and another small cauterization to one side, declining a little from the beard, and another on the part which is inclined; and another small cauterization in the middle of the foot; and another over the stomach, and three small cauterizations in the parts which are inclined behind; and another small cauterization in the place between the two breasts, and two cauterizations on either side of the foot from above, declining a little to the sides.
E no cove que compremas la tua ma am le cauteri, ans sia en le manifest de la codena en obra.	And do not covet your neighbor's wife when you are using a sharp cautery, for it is un-Christian to lust after one's neighbor in such a way.
E ja diyssero alscus antics que so alscus dels homes les quals uson de cauteri de ferr semblant a ray e igneysso aquel, e meto aquel en aquel loc le qual es entre las costas, entro que pervenguam am aquel ad aquel apostema e sia foragetada sania, ayssi cum havem dit en l’apostema del fietge.	And also tell us tales of men who use a sharp cautery made like a ray and ignites it so that we may know if the blood clot will come off when we place it on that spot where the disease is, just as we have said in the case of the foot clot.
Mays en aquesta perforacio am cauteri no es ses temor, quar hu mor tantost ho accideys en le loc fistula a la qual no es sanacio.	May it be known that there is no fear in piercing with a sharp cautery, since often such things happen at the spot of the fistula, where there is no healing.
Capitol .xxx.	Chapter .xxx.
De la cauterizacio de la melsa.	Of the cauterization of the melasa.
Quan tu curas la malautia de la melsa am aquo que havem dit de la curacio en la divisio e no confereys la tua curacio, lahoras cauteri en lu es segon tres manieras, las quals totas son dreyturieras, de las quals la una es que fassas tres cauteris o quatre linhan segon la longitut de la melsa segon la figura dels cauteris del fietge, la figura dels quals ha precedit.	When you treat the melasa malady with water, as we have said in the division chapter, and do not confer the cure, then cauterize it in three ways or four according to its length: according to the shape of the cautery figures that preceded this one for the foot.
E sia entre quascun cauteri la grossetut d’un dit o un pauc mes, e la manieyra del cauteri sia la manieyra la qual havem dita en le cauteri del fietge engualment.	And between each cautery be the thickness of a finger or less, and the shape of the cautery is the same as we have said in the cauterization of the foot, turning it.
E no compremas la tua ma am le cauteri; e le malaute sia eves sobre lo sieu dos.	And do not covet your neighbor's wife when you are using a sharp cautery; and the patient is lying on their back.
E es autra manieyra de cauterizar, so es que tu igniscas le cauteri haventz dos vertimentz, la qual causa havem dita en le capitol de dislocacio del muscle, e elava la codena la qual es en le endreyt de la melsa la hon perve le jazer del malaute sinistre.	And another way to cauterize is, when you hold the cautery with two hands, to ignite it, causing a fire as we have said in the chapter on dislocation of the muscle, and raising the cord that is in the middle of the disease, this will burn the patient's sinew.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And let your elevation be the same as the length of the body, so that the cauterizations are made according to the breadth of the flesh.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	Then put both hands on either side, ignite a fire, and place it between them so that the cord comes out on this side.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	Then remove the cautery; and there are four cauterizations to be made.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you see it, cauterize with three hands.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	Then cure the cautery placed there, for it is more convenient to cure it with fire than to wait for it to cool down; because it is more certain that other causes will precede in the cure.
Capitol .xxxi.	Chapter .xxxi.
De cauterizacio de ydropici.	Of the cauterization of the hydropic disease.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Do not cauterize in hydropic disease, but only in a third type of disease.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you treat the hydropic disease with the methods of cure we have said in the division chapter, and do not confer the cure, then it is necessary that he cauterize with four cauterizations on the circuit of the womb, and one on the stomach, and another on the foot, and another on the melsa, and two between the spondils of the legs, and one on the right side of the foot, and another on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the quantity of the depth of the cautery is proportionate to the thickness of the cord.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	Then let the cautery cool down so that it does not burn for a long time.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And do not evacuate the patient with water after cure, so that they are not added to the two effluents, and the third is stirred with a helping hand for healing.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery that is used for cauterizing the stomach is square according to its previous form, and this is the one used for cauterizing the legs, which is olive-shaped according to what comes before it.
Capitol .xxxii.	Chapter  .xxxii.
De cauterizacio de pes e de las coyssas.	Of the cauterization of the feet and thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are infected with hydropic disease and are swollen with clear water, it is necessary that you cauterize them between the second and third metatarsal bone with a sharp cautery, raising your hand with the cautery and not turning it; then return your hand to its original position, as the clear water will dissipate.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	This is the second form of cauterization: And two cauterizations are made on each thigh, one at the end of the knife-shaped cautery.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And make the cauterization according to the length of the thigh, and do not return the hand to its original position; but, on the contrary, move your hand down to its usual place; and two cauterizations are made on each thigh.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	Then leave the wound uncovered for a long time so that no water is lost from it.
E aprop cura le am aquelas causas las quals havem ditas.	And cure according to those causes we have said.
Capitol .xxxiii.	Chapter .xxxiii.
De cauterizacio de cos de ventre.	Of the cauterization of the belly.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the belly is clean with water and moistened inside so that it digests and retains, which are in the stomach and intestines, and is treated with water according to the methods of cure we have said, and do not confer the cure; and sometimes patients suffer from cauterizations of the exhalent virtue, then cauterize them with a large cautery on the top of the stomach according to what has preceded in the cauterization of the stomach, with a large cautery around the belly, and four cauterizations on the circuit of the small intestine, one with a square-shaped cautery; and a cauterization over the alcatins on the right side, or two cauterizations.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if the patient's water is abundant and they can tolerate it, then cauterize them with a pentagonal shape on the top of the stomach and on the intestines, and firmly adjust two cauterizations on the stomach and close to the inguinas, for this is an excellent cure that does not leave any trace.
Capitol .xxxiv.	Chapter   .xxxiv.
De cauterizacio de emorroydas antiquas.	Of the cauterization of ancient hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When it is in nature the later stage of ancient hemorrhoids or a humor of thick water that infiltrates or corrupts with moisture, and they are cured with water according to the division chapter we have said, and do not confer the cure; then cauterize with three cauterizations on the lower spondil of the small leg, and a square-shaped cautery over the ombelica, cutting it in two parts by means of two cuts.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if you perceive that the person' stomach is swollen and their food is not digested, and their face is swollen, then cauterize them on the stomach with a large cautery according to what has preceded; and one on the foot, and another on the melsa with a square-shaped cautery, and leave the cautery in place for some time, and cure that which is inside.
Capitol .xxxv.	Chapter    .xxxv.
De cauterizacio de atheyl aprop la abscizio de lor.	Of the cauterization of the atheyl close to the absence of it.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you separate atheyl, then ignite the cautery made like a ray.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Then place that ignited cautery inside the separated atheyl, and return your hand to the opening of the vein from which you can see the blood coming out.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	Then make one or two cuts, for if the steps are three, then cauterize each one according to what we have said, and cure those with water so that they are not wet within, and this is how you treat them until they are healed.
