Praefatio.	Here is the translation:
Caput II.	Caput II.
Quando accidunt alicui catarri ad oculos, aut ad pectus, et antiquatur illud, et non confert curatio medicinarum: tunc magis ultima curatio est in illo, incisio harum duarum arteriarum.	When anyone suffers from cataracts to the eyes or to the chest, and it becomes old and does not improve with medical treatment: then the final cure for this is the incision of these two arteries.
Oportet ergo quando uis incidere eas, ut radat infirmus caput suum.	Therefore it is necessary when you wish to cut them, that the patient should place his head back.
Deinde frica locum cum panno aspero, ut appareant arteriae.	Then prepare a spot with a rough cloth, so that the arteries may be visible.
Deinde stringat infirmus collum suum, cum quolibet panno suo.	Then the patient should tie his neck with any of his own cloths.
Deinde considera, ubi pulset uena.	Then observe where the pulse beats in the vein.
Et loca utriusque sunt loca quae sunt post aures depressa: et raro occultatur, nisi in quibusdam hominibus.	And the places are those which are behind the ears, depressed; and it is rarely hidden, except in certain people.
Deinde signa cum encaustro super utraque: et incide utramque cum spatumili utrimque acuro, incisione perueniente ad os: et fiat illud per latitudinem capitis.	Then mark both with encaustic above each one; and cut both with a spatula on either side to the point of being able to reach the mouth, and make it along the width of the head.
Et si uis, intromitte spatumile sub arteria, et incide eam ad superiora cum incisione.	And if you wish, insert the spatula under the artery, and cut it upwards with the incision.
Et sit longitudo incisionis quasi duo digiti iuncti.	And let the length of the incision be almost two joined fingers.
Nam quando inciditur uena, egreditur sanguis egressione pulsatili, qui salit ad interiora saltu frequenti.	For when the vein is cut, blood flows out with a pulsating gush, which jumps to the inside with frequent leaps.
Si autem arteria non apparet sensui, tunc oportet ut mensures ab aure quantitatem spacii trium digitorum.	But if the artery does not appear to the sense, then it is necessary to measure from the ear a space of three fingerbreadths.
Deinde signa cum encaustro, et finde usque ad os.	Then mark with encaustic and find your way up to the mouth.
Et illud quod oportet emittere ex sanguine, est VI uncia et fortasse emittis ex eo plus, aut minus.	And that which is necessary to be emitted from blood is six ounces, and perhaps you may emit more or less from it.
Totum illud secundum quantitatem quae apparet tibi ex uirute infirmi et repletione arteriae eius.	The whole of that according to the quantity which appears to you from the virility of the patient and the filling of his artery.
Deinde considera ad uulnus.	Then examine the wound.
Tunc si remanet ad os ex sifac aliquid, tunc incide illud, ut non accidat apostema calidum: tunc stringe uulnus cum liciniis ex panno lini.	Then if anything remains at the mouth from the flow, then cut it off so that a warm abscess does not occur; then bind the wound with linen cloths.
Deinde cura ipsum cum unguento, donec sanetur.	Then care for him with ointment until he is healed.
¶ De extractione arteriarum, quae sunt in timporibus.	Of the Extraction of Arteries which are in Temporal Regions.
Caput III.	Chapter III.
Quando accidit homini hemicranea antiqua, aut catarri acuti propter humiditates acrimoniales, et caliditate in lacertis timporum, aut soda antiqua, uehemens, et similia illis: et medicatur cum modis curationis medicinae, et non confert illud: tunc experti sumus in his aegritudinibus extractionem arteriarum ex timporibus, aut cauterizationem earum, sicut narrauimus.	When an old hemicrania or acute catarrah occurs in a person due to bitter humors and heat in the temporal limbs, or ancient ulcers, swollen, and similar ones: and it is treated with modes of medical cure, and not by this means: then we are experienced in these afflictions with the extraction of arteries from the temporal regions, or their cauterization, as we have described.
Et modus operationis in extractione earum, est, ut radat infirmus pilos qui sunt in timporibus, et intendat ad arteriam apparentem in timpore.	And the method of the operation for extracting them is, that the patient should shave off the hairs which are on the temporal regions, and direct himself towards the artery appearing in the temple.
Ipsa namque ostenditur tibi ex pulsu suo, et raro occultatur nisi in paucis hominibus, aut uehementia frigoris.	For it is shown to you by its pulse, and rarely hidden unless in a few people or by excessive cold.
Quod si occultatur tibi, tunc stringat infirmus caput suum cum quolibet panno suo: deinde frica locum cum panno aspero.	For if it is hidden from you, then the patient should tie his head with any of his cloths: afterwards, he should rub the spot with a rough cloth.
Aut uapora locum cum aqua calida, donec appareat tibi apparitione manifesta.	Or he should apply a poultice to the place with warm water, until it appears to you in manifest appearance.
Deinde accipe spatumile, quod paulo ante formaui.	Then take the spatula, which I shaped a little while ago.
Deinde excoria cum eo cutem cum facilitate, donec peruenias ad arteriam.	Then scrape with it the skin with ease until you reach the artery.
Deinde proiice in eam uncinum, et extrahe eam ad superiora, donec extrahas eam ex cute, et facias eam euadere ex tunicis quae sunt sub ea ab omni parte.	Then insert the hook into it and pull it out upwards until you pull it out of the skin and make it pass through all the tunics which are underneath it from every part.
Si autem arteria est subtilis: tunc inuolue eam cum extremitate uncini.	If however the artery is slender, then wrap it around with the end of the hook.
Deinde incide ex ea partem secundum quantitatem qua elongentur extremitates eius, et contrahantur, et non accidat fluxus sanguinis.	Then cut from it a portion according to the length by which its ends are extended and contracted, and that no bleeding of blood may occur.
Nam si non inciditur, et si non abscinditur, non ascendit sanguis penitus.	For if it is not cut and not severed, the blood will not rise deeply.
Deinde euacua ex sanguine ana VI unci, usque ad .III.	Then remove from the blood six unciae up to three.
Quod si arteria est magna: tunc oportet ut liges eam in duobus locis ex filo duplo, forti, ex serico: aut ex chordis alhohod, ut non properet ad ipsam putrefactio ante consolidationem uulneris, et accidat fluxus sanguinis.	For if the artery is large, then it is necessary to tie it in two places with a double thread of strong silk or from the intestines of an ass, so that it may not proceed to putrefaction before the wound is consolidated and bleeding occurs.
Deinde incide superfluitatem, quae est inter duo ligamenta.	Then cut away the excess which is between two ligaments.
Fac illud in illa hora, aut post horam aliam.	Do that at that hour or after another hour.
Et si uis, cauteriza eam cauterio usque ad os, cum cauterio cultellari: donec incidantur extremitates eius, et stabit loco eiusdem operis.	And if you wish, cauterize it with a cauterizing knife up to the bone, until the ends of it are cut and it remains in its place as part of the same operation.
Et est melius opus, nisi si infirmus habet febrem, autest calefactae complexionis.	And it is a better operation, unless the patient has a fever or a warm complexion.
Quoniam cauterium est ex eis, quae iuuant ad finiendas humiditates.	Because the cautery is one of those things that help to dry up humors.
Ergo est melius iuuamentum.	Therefore it is a better remedy.
Et oportet post extractionem arteriarum, ut impleatur locus cotto antiquo: et ponantur super ipsum puluilli decenter facti.	And after the removal of arteries, the location should be filled with old boiled cloth, and small lint pillows should be placed on top.
Et post solutionem curetur cum medicinis siccis, quae faciunt nasci carnem, et cum liciniis, donec sanetur.	And after the wound has been cleansed, it should be treated with dry medicines that cause flesh to grow and with lint, until it is healed.
Quod si interim dum operaris accidit fluxus sanguinis ex arteria, tunc propera ad abscindendum eum cum cauterio, aut ut impleas locum cum zegi: et stringe manum tuam, donec abscindatur sanguis.	Which if a bleeding occurs from an artery while you are operating, then hurry to stop it with a cautery or by filling the location with wool: and tie your hand, until the blood is stopped.
Quod si nihil ex illis est tibi praesens, tunc pone super locum digitum tuum, donec congeletur sanguis.	Which if none of those things are present to you, then place your finger on the location until the blood coagulates.
Et embroca locum cum aqua uehementis frigoris, donec quiescat acuitas, et stringatur secundum quod oportet.	And moisten the location with water of very cold heat, until the sharpness ceases and is bound as needed.
Et ex eo quod est leuius et facilius extractione arteriae, est, ut cauterizes uenam cum hoc cauterio habente duos cultellos: sitque acuitas duorum cultellorum similis almagdatem.	And because it is easier and less difficult to extract an artery, it is that you should cauterize the vein with this cautery having two knives: let the sharpness of the two knives be like a well-cut thread.
Verumtamen sunt multo minoris acuitatis, quam duo cultelli.	However they are much less sharp than two knives.
Quoniam si sunt acutae, sicut duo cultelli, properat utrisque frigus: et non incidunt carnem cum uelocitate.	Because if they are as sharp as two knives, the cold will rush to both and not cut through the flesh quickly enough.
Cum ergo in eis est aliquantulum grossitudinis, tenetur in eis calor ignis, et abscinditur caro uelociter: cum hoc ergo opus est melius omni opere, et leuius, et facilius.	Therefore when there is a certain amount of coarseness in them, the heat of fire is held within them, and the flesh is cut quickly; with this therefore the work is better than any other, and easier.
Et sit spacium quod est inter duos cultellos quantitas grossitudinis digiti, postquam tu signas duo loca cum encaustro: et depone utrosque ignitos ualde, donec perueniant ad os, et incidant uenam in duobus locis: ut elongetur quod est inter extremitates eius.	And make a space which is between the two knives the thickness of a finger, after you mark two places with encaustic: and place both of them very hot, until they reach the mouth, and cut the vein in two places: so that what is between its extremities is separated.
Nam non consolidantur cum hoc cauterio penitus.	For they are not thoroughly consolidated with this cauterization.
Et haec est forma cauterii.	And this is the form of the cauterization.
¶ De cura cursus lachrymarum acutarum assiduarum ab oculis.	On the treatment of constant and sharp eye discharges from the eyes.
Caput IIII.	Book IV Chapter 4
Quando sunt lachrymae assiduae, et est cursus earum ex uenis, quae sunt super craneum capitis exterius: et non confert in eis aliquid curationis medicinae cum medicinis, et uides faciem infirmi iam rubere, et sentit in fronte sua deambulationem, sicut est deambulatio formicarum: et oculi eius sunt extenuati, humidi, ita quod iam corrosi sunt pili eorum cum corrosione: et calefactae sunt palpebrae eius ex acuitate lachrymarum: tunc antiqui indiguerunt in curatione earum hac operatione, et denominauerunt eam curationem, cum Ense.	When there are constant discharges and the flow of them is from the veins which are above the outer surface of the head: and nothing contributes to their healing with medicines, and you see the sick person's face already reddening, and he feels a walking sensation in his forehead, just like the marching of ants: and his eyes are worn out, damp, so that their hairs have already been corroded along with the corrosion: and his eyelids have been heated up by the sharpness of the discharges: then the ancients had to resort to this treatment, and they called it a cure with forceps.
Et est, ut praecipias infirmo radere pilos qui sunt in fronte sua.	And so you should have the sick person shave the hairs that are on his forehead.
Deinde incide in fronte tres fissuras aequedistantes secundum longitudinem frontis: et sit longitudo fissurae quasi duo digiti, et fissura una sit aequedistans longitudini nasi in medio frontis, et secunda secundum longitudinem parumper a motu lacertorum, et tertia a parte altera: et caue ab incisione arteriarum quae sunt in duobus lateribus: et elonga manum tuam a continuatione duarum mandibularum, et sit spacium omnis incisionis quantitas trium digitorum coniunctorum: et sit tibi frustum spongiae praeparatum, aut panni siccati multi, cum quibus exsicces sanguinem.	Then make three incisions in the forehead, equidistant from each other according to the length of the forehead: and let the length of the incision be almost two fingers long, and one incision be equidistant from the middle of the nose on the forehead, and the second according to the length a little bit away from the movement of the arms, and the third on the other side: and beware of cutting the arteries which are in both sides: and extend your hand from the continuation of the two jawbones, and let there be space for all the incision, the quantity of three connected fingers: and have prepared a sponge fragment or many pieces of dry cloth with which to absorb the blood.
Deinde intromitte spatumile duarum acutarum extremitatum, cuius mox sequens est forma.	Then insert the spatula of two sharp extremities, whose form follows next.
Ab incisione quae est a parte timporis, usque ad incisionem secundam: et excoria cum eo totam cutem, quae est inter duas incisiones, cum sifac, quod est super os.	From the incision that is from the part of the temple, up to the second incision: and remove with it all the skin which is between two incisions, together with the saphenous vein that is above the bone.
Deinde fac illud etiam ab incisione media usque ad incisionem secundam.	Then make also from the middle incision up to the second incision.
Deinde extrahe hoc spatumile, et intromitte in incisionem primam iterum instrumentum aliud, quod nominatur cultellare acutum, ab una parte lene, non acutum ab altera parte.	Then withdraw this spatula and insert another instrument into the first incision again, which is called a sharp scalpel, blunt on one side and not sharp on the other.
Et haec est forma eius.	And this is its shape.
Et pone latus eius acutum uersus carnem annexam cum cute, et latus eius lene uersus os: et impelle ipsum, donec perueniat ad fissuram mediam: et abscinde cum eo omnia uasa, quae descendunt a capite ad oculos: praeter quod continuetur incisio usque ad illud quod apparet de cute.	And place the sharp side of it towards the attached flesh with the skin, and the blunt side towards the bone; and push it until it reaches the middle cleft: and cut with it all the vessels that descend from the head to the eyes: except for what is contained in the incision up to what appears on the skin.
Deinde fac illud in fissura media usque ad fissuram aliam.	Then do this in the middle cleft up to another cleft.
Et postquam currit ex sanguine quantitas aequalis, exprime loca ex frustis sanguinis coagulati.	And after an equal amount of blood has flowed out, express the areas from the clot of congealed blood.
Deinde pone in omnem fissuram licinium ex cotto ueteri, et pone super eos puluillos imbibitos in uino, et oleo, aut aceto.	Then place linseed oil from old bread into every cleft, and put over them poultices soaked in wine, oil, or vinegar.
Et uide ut non accidat apostema calidum.	And take care that no hot abscess occurs.
Et in die tertia solue ligamentum, et administra infusionem multam cum aqua tepida.	And on the third day dissolve the bandage and administer a great infusion with warm water.
Deinde cura illud ex unguento basilicon, et reliquis quibus curantur uulnera: usquequo sanetur.	Then take care of that with basilicon ointment and other remedies with which wounds are treated until it is healed.
¶ De cura lachrymarum acutarum et catarrorum ad oculos ex interioribus capitis.	Of the cure for sharp lachrymation and catarrh affecting the eyes from internal head causes.
Caput V.	V.
Quando accidunt alicui catarri acuti, acres, assidui: et uides oculos eius extenuatos, paruos, et iam debilitatus est aspectus eorum: et palpebrae ulceratae, et cadunt pili ex eis, et in profundo capitis est dolor acutus, laedens, et sternutatio consequens: tunc sume ex istis accidentibus, quod illae materiae, et catarri non ueniunt, nisi ex uenis multis.	When sharp and constant catarrh occurs to someone, and you see their eyes are worn out, small, and already weakened in appearance: and the eyelids are ulcerated, and hair falls from them, and there is a sharp pain deep in the head, hurting, and coughing follows; then take note of these accidents, that those materials do not come unless from many veins.
Et melior curatio in eis est haec.	And the better cure for them is this.
Et est, ut praecipias infirmo radere frontem suam.	And it is, that you should order the sick person to shave his forehead.
Deinde incide in eam fissuram unam in medio frontis, aut alterius parumper per latitudinem, et incipe cum fissura a timpore sinistro ad timpus dextrum: et sit incisio usque ad os: et elonga manum tuam a lacertis timporum, qui mouentur apud masticationem: donec quando detegitur os: et exsiccabis totum sanguinem cum spongia.	Then cut one incision in the middle of the forehead, or on either side for a short distance, and begin with the incision from the left time to the right: and let the incision be up to the bone; and stretch out your hand from the temples which move during mastication: until when the bone is exposed; and dry all the blood with a sponge.
Tunc separa inter duo labia fissurae cum cotto ueteri, aut cum liciniis ex lino.	Then separate the two lips of the incision with a warm cloth, or with linen strips.
Deinde stringe desuper cum puluillis: et imbibe puluillos cum uino et oleo, ut non accidat apostema calidum.	Then bind it above with poultices: and soak the poultices with wine and oil, so that no hot abscess may occur.
Et quando soluis illud, et uides quod apostema calidum iam imminuitur: tunc oportet ut frices os, donec incipiat in eo nasci caro.	And when you dissolve that and see that the hot abscess is already subsiding: then it is necessary to burn the bone, until flesh begins to grow in it.
Deinde cura ipsum cum regimine exiccatiuo quod facit nasci carnem: sicut si accipias ex farina tritici partes duas, et ex colophonia quatuor partes: et praepares ex eis emplastrum, et administretur ad natiuitatem carnis in istis uulneribus.	Then care for it with a regimen of drying that makes flesh grow: just as if you were to take two parts from wheat flour and four parts from colophony: and prepare an ointment from them, and administer it to the birth of flesh in these wounds.
¶ De cura eius quod cadit in Aurem.	Of the Cure for What Falls on the Ear.
Caput VI.	Chapter VI.
Omne Quod in Aurem cadit, est una quatuor specierum: aut lapis mineralis, aut simile lapidi, sicut ferrum, et uitrum: aut est ex planta, sicut est cicer, et fabae: aut est res fluxibilis, sicut aqua, et acetum, et eis similia: aut aliquod animal.	All that falls on the ear is one of four kinds: either a mineral stone, or like a stone, such as iron and glass; or it is from a plant, such as chickpeas and beans; or it is a fluid substance, such as water, vinegar, and things similar to them; or some animal.
Quando ergo cadit in aurem lapis, aut genus lapidis ex eis quae non adduntur, neque crescunt in aure, expone Aurem soli: si ergo uides lapidem, tunc distilla in Aurem aliquid ex oleo uiolato, aut sisamino.	When therefore a stone falls on the ear, or one of those kinds that do not accumulate and do not grow in the ear, expose the Ear alone. If however you see a stone, then pour something from violet oil or sesame oil into the Ear.
Deinde administra extractionem eius, et fac sternutare cum condisi, et opila nares apud aduentum sternutationis, postquam tu ponis in circumitu auris frusta ex pannis, aut lana, et extendis aurem ad superiora.	Then administer the extraction of it, and make him sneeze with you, and block his nostrils at the approach of the sneezing, after you put strips of cloth or wool around his ear, and stretch his ear upwards.
Multotiens enim egreditur cum hac cura.	For many times it goes out with this treatment.
Si autem non egreditur, tunc administra extractionem eius cum Gesti, id est, Pizigarolis subtilibus: cuius forma est haec.	But if it does not go out, then administer the extraction of it with Gesti, that is, Pizigarolis subtle ones: whose form is this.
Si ergo egreditur cum gesti, est bonum.	So if it goes out with the Gesti, it is good.
Et si non, tunc administra extractionem eius cum uncino caeco subtili paucae duplicationis.	And if not, then administer the extraction of it with a blind and subtle forceps for a few doublings.
Si ergo non egreditur per illud, tunc fac cannulam ex aere, et intromitte extremitatem cannulae in foramen auris multum, et opila quod est in circumitu cannulae cum caera mollificata cum oleo, ut non sit uento uia nisi cannulae: deinde extrahe cum uento tuo attractione forti.	And if it does not go out through that, then make a pipe of air, and insert the end of the pipe into the ear canal very much, and block what is around the pipe with wax softened with oil, so that there will be no way except the pipe: then draw it out with your breath attraction strong.
Multotiens enim egreditur cum eo quod narrauimus.	For many times it goes out with that which we narrated.
Si autem non egreditur hoc modo: tunc accipe ex helkalimbat, aut ex uisco, id est, gluten praeparato, cum quo capiuntur aues, rem modicam: et pone ipsum in extremitate radii postquam tu inuoluis super eam cotum decenter positum: deinde intromitte ipsum in foramen auris cum facilitate, postquam tu exiccas aurem ab humiditate.	But if it does not go out this way: then take a small amount of helkalimbat or veso, that is, prepared glue with which birds are caught: and place it at the end of the radius after you have wrapped around it a cord decently placed: then insert it into the ear canal with ease, after you have dried the ear from moisture.
Si ergo non egreditur cum omnibus quae narrauimus, tunc propera ad scindendum, antequam accidat apostema calidum, aut spasmus.	And if it does not go out with all that we narrated, then hasten to cut, before a warm abscess or spasms occur.
Et modus fissurae est, ut phlebotomes infirmum in primis in cephalica: et extrahe ei ex sanguine secundum mensuram uirtutis eius.	And the method of cutting is, as phlebotomists cut the weak first in the head: and draw out from him a measure of his strength.
Deinde fac sedere infirmum inter manus tuas, et conuerte aurem eius ad superiora, et finde fissuram paruam in radice auris apud adipem eius in loco depresso ipsi: et sit fissura lunaris figurae, donec peruenias ad lapidem: deinde aufer eum cum eo, quod est tibi possibile ex instrumentis.	Then make the infirm person sit between your hands, and turn his ear upwards, and find a small incision in the root of the ear at the fatty part in a depressed place on him: and let the incision be of a lunar figure, until you reach the bone: then take it away with whatever is possible from your instruments.
Deinde sue fissuram ab hora tua cum uelocitate, et cura ipsam, donec sanetur.	Then you should cut open the wound as soon as possible with speed and care it until it heals.
Quod si res cadens in aurem est ex uno granorum, quae crescunt, et inflantur: tunc administra extractionem eius.	If something falls into the ear, such as a grain that grows and swells: then perform its extraction.
Si autem non obedit tibi ad exitum, tunc accipe spatumile tenue, subtile, secundum hanc formam.	But if it does not obey you at the exit, then take a thin, fine forceps, according to this shape.
Et administra cum eo abscisionem illius speciei ex granis, quae cadunt in aurem, et non facias illud, quando tu cogitas, quod illud granum iam humectatum est per uaporem auris, donec ponis ipsum frusta multa: deinde extrahe ea cum uncinis, aut cum gesti subtili, aut cum suctione, sicut diximus, nam extractio eius alleuiatur.	And administer with it the cutting off of that kind of grain which falls into the ear, and do not do what you think when you see that grain is already moistened by the vapor of the ear, until you have placed many plugs: then extract it with a hook or with a fine gauze or with suction, as we said, for the extraction of it is eased.
In aqua autem quae ingreditur in aurem, oportet ut utatur infirmus sternutatione cum condisi in primis: et iam impleuit aurem suam cum aliquanto cotto ueteri: et est iacens super illam aurem, in qua est aqua.	However, when water enters the ear, it is necessary for a weak person to use expectoration first, and then fill their own ear with some warm old oil; and they should be lying above that ear where there is water.
Si ergo egreditur per illud, est bonum.	If therefore it comes out through that, it is good.
Et si non: tunc accipe lapides multos, secundum longitudinem digiti, tenues, lenes, et calefac eos cum igne parumper, et intromittat infirmus ex eis unum in foramen auris suae: et saliat super pedem suum unum ex illa parte, et percutiat cum lapide alio super lapidem qui est in aure.	And if not: then take many small stones, according to the length of a finger, thin, soft, and warm them with fire for a little while; and the infirm person should insert one of them into the ear canal of their own ear; and let them step over one foot from that side, and strike with another stone on top of the stone which is in the ear.
Non ergo cesset facere illud cum lapide et lapide, donec egrediatur tota aqua.	And therefore do not cease to do that with stones and stones until all the water has gone out.
Et iam egreditur aqua ita, ut accipias ex parpyro, aut ex iunco unum, et intromittas extremitatem eius unam in aurem: et accendas extremitatem alteram cum igne, donec comburatur plurimum eius.	And now that the water has gone out, take a papyrus or a reed, and insert one end of it into the ear; and light up the other end with fire, until most of it is burned.
Deinde itera iuncum alium, et fac illud multotiens, donec egrediatur tota aqua: et extrahe ipsam cum cannula secundum quod praemissum est in lapide.	Then take another reed and do that many times, until all the water has gone out; and extract it with a cannula as was mentioned earlier.
In extractione autem animalis intrantis in eam, si est parui corporis, ut pulex, et ei simile, cura ipsum sicut dixi in diuisione.	In extracting an entering animal from it, if it is a small body like a flea and similar to it, cure it as I said in division.
Sed si est corporis magni, quod appareat sensui: tunc administra extractionem eius cum gesti, et uncinis: et res eius est facilior omnibus, quae tenentur in aure.	But if it is a large body that appears to the sense: then administer its extraction with gestures and hooks; and its result is easier for all those held in gold.
In extractione autem uermis generati in aure, quando curas eum cum eo quod diximus in diuisione, et in tractatu distilationum, et non confert curatio tua: tunc oportet ut aspicias aurem in sole.	In extracting a generated worm from the ear, when you cure it with what we said in division and in the treatise on distillations, and your treatment does not bring results: then it is necessary to look at the ear in the sun.
Si ergo apparet illic aliquid ex uermibus, tunc extrahe illud cum gesti, aut cum uncinis subtilibus.	If therefore something appears there from worms, then extract that with gestures or with subtle hooks.
Si autem non apparet illic aliquid, tunc accipe cannulam, cuius haec est forma, stricta inferius, ampla superius: et intromitte extremitatem subtilem in aurem secundum quantitatem quod tolerat eam infirmus: deinde suge cum ea suctione forti.	But if nothing appears there, then take a cannula of this shape, narrowed below and broad above: and insert the thin end into the ear according to the amount that a sick person can tolerate it; then suck with a strong suction.
Fac illud multotiens, donec egrediantur omnes uermes.	Do that many times, until all the worms come out.
Si autem non obediunt tibi ad exitum, tunc opila circumitum cannulae cum caera, sicut dixi in lapide.	But if they do not obey you at the exit, then wrap a strip of caur around the cannula as I said in stone.
Quod si non egrediuntur cum eo quod diximus: tunc administra distillationes quas iam experti sunt antiqui in interfectione uermium: et inuenies illud in tractatu distillationum.	But if they do not come out with what we said, then administer the distillations which ancient people have tried in the destruction of worms; and you will find that in the treatise on distillations.
Et sit effusio tua qua effundis olea et medicinas in aurem cum hoc instrumento, cuius forma depicta est hic.	And let your flowing be as you flow oil and medicines into the ear with this instrument, whose shape is depicted here.
Sicut uides fac ipsum ex argento, aut aere, inferius strictum, in quo sit foramen paruum, amplum superius.	Just as you see it made of silver or air, narrowed below, with a small hole at the bottom and broad above.
Sit ergo ut impellens quod est in concauitate cannulae, sit ex aere decenter factum.	So let what is in the concavity of the cannula be made of air.
Et si uis, accipe radium, et inuolue in extremitate eius cottum inuolutione decenti: deinde proiice oleum, aut succum, aut quod uis ex istis medicinis in cannulam: et ipsa sit in aure: deinde intromitte radium cum cotto desuper, et exprime ipsum manu tua compressione temperata, donec impellatur oleum in concauitate auditus, et sentiat ipsum infirmus interius: et illud quod infunditur in aurem, sit iam calefactum cum igne parumper: et caue ne sit res quae distillatur in eam frigida ualde: medicinae enim non tolerant illud.	And if you wish, take a radium and wrap it with cotton wrapping decently around the end of it. Then pour oil, or sap, or what you like from those medicines into the cannula: and let it be in the ear: then insert the radium with the wrapped cotton on top, and express it by your hand compression tempered until the oil is forced out into the concavity of the hearing, and the sick person feels it inside: and that which is poured into the ear should already be warmed up a little with fire: and beware lest what distills into it be very cold; for medicines do not tolerate that.
¶ De cura opilationis accidentis Auri.	On the cure of accidental gold filling.
Caput VII.	Chapter VII.
Quandoque egrediuntur quidam infantes ex uentribus matrum suarum non perforati.	Sometimes certain infants emerge from their mothers' wombs unperforated.
Et iam accidit etiam quibusdam hominibus opilatio in meatu Auris a uulnere, aut carne nata in ea.	And it also happens to some people that gold filling occurs in the ear from a wound, or flesh born in it.
Et haec opilatio quandoque fit in profundo foraminis Auris, quam non consequitur uisus: et quandoque accidit ad exteriora foraminis parum, et consequitur eam uisus.	And this filling sometimes occurs in the deep recess of the ear, which is not visible; and sometimes it happens near the outer opening of the ear, and is visible.
Illa ergo quae accidit in profundo Auris, et quam non comprehendit aspectus, est in pluribus dispositionibus difficilis sanationis.	Therefore, that which occurs in the deep recess of the ear, and is not comprehended by sight, is often difficult to cure in many cases.
Et in illa quam consequitur uisus, oportet ut ponas Aurem infirmi in sole, et aspicias in ea: tunc si uides opilationem apparentem, aperi eam cum spatumili subtili, cuius forma est haec quae sequitur, sit extremitas eius in qua sit quaedam latitudo parua, cuius quaedam pars sit acuta: et reliquum spatumile sit duarum laterum lenium: ut non laedat aurem.	And in that which is visible, it is necessary to place the ear of the patient in the sun, and look at it: then if you see the filling appearing, open it with a small file having the following shape, with its end where there is some slight notch, one part being sharp: and the rest of the file should be two rounded sides so that it does not hurt the ear.
Si ergo opilatio est a carne nata in meatu auris: tunc tene eam cum uncino subtili, et incide eam cum facilitate uehementi, donec auferatur tota caro.	If the filling is from flesh born in the ear canal, then take it with a small hook and cut it with great ease until all the flesh is removed.
Quod si opilatio est in profundo auris: tunc accipe radium subtilem, lenem, et calefac ipsum cum igne parumper: deinde mitte ipsum in meatum auris.	What if the filling is in the deep ear canal? Then take a small, soft reed and warm it with fire for a little while: then put it into the ear canal.
Si ergo senseris opilationem cum eo, quod inuenit infirmus cum grauitate auditus, conare apertionem eius cum facilitate: et caue, ne uulneres neruos auris.	If you sense the filling with the patient who finds difficulty in hearing, try to open it with ease: and beware of not wounding the nerve of the ear.
Deinde pone in aurem licinium secundum quantitatem amplitudinis foraminis, quod inuoluisti in unguento aegyptio: fac illud aliquot diebus, donec sis securus de consolidatione uulneris.	Then put a linen cloth into the ear according to the size of the opening that you wrapped with Egyptian ointment; do this for several days until you are sure of the wound's consolidation.
Aut accipe licinium, et infunde ipsum in aqua rosata, et pulueriza super ipsum zegi tritum, et utere ipso.	Or take a linen cloth, and soak it in rose water; then powder the powdered bezoar on top of it, and use it.
Quod si uides aurem iam apostemari: tunc oportet ut extrahas licinium, et permittas ipsum cum licinio alio, quod inuolues in caeroto quod sit factum cum oleo rosato, donec sedetur apostema calidum: deinde cura ipsum usquequo sanetur.	If you see the ear already becoming inflamed: then it is necessary that you remove the ligature, and allow it to be tied with another ligature, which you should wrap in a cloth that has been made with rose oil, until the hot inflammation subsides: then care for it until it heals.
Si autem accidat fluxus sanguinis: tunc submerge spongiam, aut pannos in aqua frigida, et pone super eam aurem: et utere reliqua curatione, quae abscindit fluxum sanguinis praedicta in tractatu distillationum.	But if bleeding occurs: then submerge a sponge or cloths in cold water, and place them on the ear: and use the remaining treatment that stops the flow of blood mentioned in the treatise on distillations.
¶ De cura Altheli palpebrarum.	Of the cure for Althaea's eyelids.
Caput VIII.	Chapter VIII.
Isti Althelil qui accidunt in Palpebris oculi, quandoque sunt humidi, et sunt sicci.	These Althelelia that occur on the eyelids of the eye are sometimes moist and sometimes dry.
Oportet ergo ut teneas eos cum tenaliis: aut cum uncino, et incidas eos cum spatumili a radicibus suis.	Therefore it is necessary to keep them with lint or with a forceps, and cut them away from their roots.
Deinde pone super loca zegi tritum.	Then place powdered zinc over the places.
Si autem ex eis fluat sanguis, tunc cauteriza eos cum cauterio lenticulari subtili.	But if blood flows from them, then cauterize them with a fine glass cauterizer.
Et cauterizare eos, est melius post incisionem.	And to cauterize them is better after the incision.
Multotiens enim redeunt quando remanet ex radicibus suis aliquid.	For indeed they often return when something remains from their roots.
Et quando cauterizantur cum igne, comburuntur illae radices, et non redeunt.	And when they are cauterized with fire, those roots are burned and do not return.
¶ De cura Grandinum palpebrarum oculi.	Of the cure for Granulation of eyelids of the eye.
Caput IX.	Chapter IX.
Multotiens accidit in palpebris aliquid quod assimilatur Crandini in fortitudine sua, et sua duricie, et propter illud nominatur Grando: et est aggregatio humiditatis grossae in palpebra superiore, et palpebra inferiore.	It often happens on the eyelids that something forms which is similar to Granulation in its strength and hardness, and because of this it is called Granum: and it is a concretion of thick moisture on the upper and lower eyelid.
Operatio ergo in eis est, ut consideres tunc, si est Grando procedens in eo, quod apparet de palpebra, et mouentur ad omnem partem, et res eius est facilis.	The operation therefore is to observe whether it is Granum growing out of the eyelid, which appears from the eyelid and moves to every direction, and its nature is easy.
Finde ergo super eam fissura per latitudinem.	Therefore find a slit above it across its width.
Deinde excoria eam ab omni parte cum facilitate, donec euadat.	Then strip it off from every part with ease until it comes out.
