Ayssi comensan las paraulas de Albucasim .	Thus begins Al-Buqashani's words.
Capitol .xxii.	Chapter XXII.
De curacio de alconati.	On the treatment of cataracts.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This disease, which is called alconata, is nothing but a disease that resembles descending water and it does not belong to it.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	The manner of the work in it is that you make the lacing come down from the upper part of the eye lid and go up to the two halves of your fingers, and then let it be tied so that you do not see the patient' s eye; and then let it be dried out and then open the eye, and then let the patient look around with his eyes.
E si no descendra en jos, sapias que es aygua.	And if it does not come down in the lower part, you will know that it is water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	And if it is not prepared with water that you have mentioned, then make the lacing come down to the edge of the eyelid and then place a fine needle on it, and then let it pierce the eyelid slightly, going through the cornea, in the area near to the white part (in the edge of the eye lid) until the disease is removed.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	Then when it has been removed, you shall distill in the heel water that you have mixed with honey or water that you have already brewed with fenugrec and honey.
E aprop sia curat am las autras causas entro que sia sanat.	Then let him be cured of other diseases until he is healed.
Capitol .xxii.	Chapter XXII.
De la curacio de la aygua descendent del huel.	On the treatment of descending water from the heel.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	We have mentioned the spices of the water in the division and which are to be boiled with the herbs, then let those follow for healing.
Lahoras cove que tu fassas sezer le malaute entre las tuas mas sobre un cayrat e lia le sieu huel sa, lu mot stringent.	Then let you make the lacing come down between your fingers on a piece of cloth, and then tie it tightly with the heel that is exposed; and let him lie down on his side.
E aprop pausa prop de la palpebra del sieu huel la tua ma senestra, si le huel en le qual es l’aygua es le huel senestra; o am la tua ma dreyta, si le huel es le dextre.	Then place your hand on the eyelid of the heel that is exposed on the side where the water comes from; or on the right side if the water comes from the left heel, or on the left side if the water comes from the right heel.
E aprop am la tua ma dextra pren almagda, si le huel es senestre; o am la tua ma senestra, si le huel es de dreyt.	Then place your hand on the right side with a palm towards you if the heel is left, or on the left side with a palm towards you if the heel is right.
E aprop pausa la extremitat de almagda prop de la corona per la grossesa del ray en le album del huel de part del mendre lacrimal, e aprop enpelleys almagda am vertut e revol la tua ma am aquel.	Then place the end of the finger near to the root because of the thickness of the eyelid on the side of the lacrimal, and then press it towards you with power, and then move your hand back and forth against the edge.
E aprop penetre en le album del huel e sentas que almagda ja es pervenguda a causa vueda.	Then let it penetrate into the heel and feel that the water has come out because of the pain.
E cove que sia la masura del cami de almagda al preon la mesura del spazi le qual es de la pupilla entro a la fi de la negror, e es la corona del huel; quar tu veyras am aquel pupilla am la visio de l’huel per la clartat de la tunica cornea.	And then let you measure the distance of the path of water to the edge of the eye lid from the pupil to the end of the color, and that is the root of the heel; for you shall see with that eye the vision of the heel through the clarity of the cornea.
E aprop pausa almagda entro al loc en le qual es l’aygua, e aprop tu la atira en jos una veguada aprop autra, e donc si la aygua descen tantost, lahoras vetz le malaute aquo sobre le qual huebre la sua vista tantost, e almagda en le sieu huel.	And if you put the alum in a place where there is water, and if you throw it down a hole once, and if the water comes up soon enough, then remove the patient from where he is, so that the alum falls into his wound when he moves.
E aprop repausa se un pauc; donc si la aygua es descenduda, lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada.	And if you pause for a moment, then if the water comes up again, then remove that other cushion before alum is thrown.
E donc quan es sicada e no descen, lahoras tu extrat almagda am facilitat, e revol am aquel la tua ma pauc a pauc, e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa.	And if it does not come up again, then take the alum out slowly, and with your hand rub the wound inside slightly with clear salt from a gem and wash it with water; and then remove the cloth or stop the wound or wrap it in wool soaked in rose oil and white wine. And place it outside the hole.
Mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou.	May they who are of our time pause on that with white wine.
E si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot —, lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma:	And if you don't obey your alum to the instrument of the wound due to its hardness — for it is some of those people whose wound is hard sometimes —, then when you take the spatulum that is called alberid, and this is the form:
E donc perfora am aquel aquela conjunctura, e no ultimes la tua ma en le trauc, e no es si no que fassas via ad almagda loc subtil.	And then pierce that intersection with the spatulum, and do not stop your hand in the trauch, and do not stop unless you put alum at that spot.
E aprop entromet almagda segon que havem dit.	Then add alum according to what we have said.
E deves le compliment de la tua obra, sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa, e sia prohibit de totz movementz .	And you should pay a compliment on your work, prepared in the patient's bedroom peacefully, and refrain from all movements.
E pausa en la natura de lu aquo per que sia linida la sua natura, e no maugua le sieu cap a la partida dreyta ni senestra de tot.	And pause in nature for it to be smooth, and do not hurt the patient' head to the left or right.
E sia le liament segon la sua disposicio entro al tertz dia.	Then add the alum according to its disposition within three days.
E aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista, e fay li vezer alcunas causas, e aprop retorna le liament entro al dia .vii.	Then take it away from that dark room and examine the patient's face carefully, and then return the alum within a day. vii.
E no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio.	And do not say that you should add water at the time of cure or shortly after adding infusion.
Habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament.	While you are away, add water because the water flows gently from a high place and with great force in regard to it.
Mays si accideys apostema caut, lahoras cove que deslias le huel denant le vii dia, e rectifica aquel am aquo que ceda apostema.	May it happen that you find a swelling, then when you take the wound away from the seventh day, and adjust it with water to remove the swelling.
Lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias, lu existent en la mayszo tenebrosa.	Then return your hand and pause over the patient' face by which it is received from them for several days in that dark room.
E aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas.	Then you will be well with that room gradually, and consult about its causes.
E sapias que in alchatea no es excusat le discipol de visio alcunas veguadas, e lahoras tu sias ardit sobre la operacio.	And know that in alchemy it is not allowed to avoid vision some times, and then you are diligent with the operation.
E ja es pervengut a nos de alcu de aquels les quals so al Artach , e alcu disse que fayt foc en al Ayrac magdaam perforat am le qual es succada la aygua.	And it has come to us of some of those who are of Artax, and some said that it makes fire in the Airac magic by piercing it with alum, which causes water to flow out.
Mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo, ni e aquo legit en alcu dels libres dels antics; e es possible que aquo sia novel.	But it seems that in our land there was not water which had done that, nor the water which came out of some of the ancients' treasures; and it seems that this is new.
E aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas:	And these are the forms of magic spices, in order to place them on those who do not know them:
E sian faytas de eram o de ferr propriament, e sian las extramitatz de lor am aquesta subtilitat triangulada, la extremitat aguda ayssi cum aquela es la forma.	And they are made of iron or metal properly, and the extremities of their hand are in this triangular shape, that is to say, with the tip acute, so it is done.
Capitol .xxiv.	Chapter 24.
De la curacio de carn nada en le nas.	Of the cure for meat in the nose.
Quan en le nas so nascudas carns diversas ajustadas de las quals es alcuna causa la qual es assemblada a scorpio de motz pes, o a polip peys; e aquesta malautia es apelada polipus quar es a semblansa de aquel peys representat.	When in the nose are hidden meats that are adjusted from which there is some cause, which is assembled to the sign of many feet or to a pollen; and this bad condition is called pollen because it resembles the appearance of that foot represented.
E de lu es carn cancrosa, lapadea, de fusca color; e de lu es que es carn leon no de color fusca.	And from it is meat cancer, lappet, of a red color; and not from it is meat of a lion of a reddish color.
Donc en aquela que es en aquestas carns leon no fraudulenta ni cancroza, cove que fassas le malaute sezer entre las tuas mas e posat al solelh, e huebre las nars de lu, e picoys le tieu onci en aquelas carns.	Then in that which is not fraudulent or cancerous meat among these lions, pause between your hands and place it in the shade, and open its nostrils, and cut the nose at the tip into those meats.
E aprop extrat aquela a las partidas deforo, e aprop inscindeys aquo que has comprehendut de aquelas am spatum agut subtil de la una partida entro que sapias que tota la carn ja es ostada; que si roman de lu deguna causa de la qual la abscisio es possibla, lahoras tu ratz aquo am la un dels estrumentz subtils am facilitat entro que de lu romangua denguna causa.	Then take that away from the other side beforehand, and cut it with a sharp knife carefully, so that you know all the meat is gone; if by any chance it remains, then take this water easily into one of the instruments for cutting carefully, so that it does not leak.
Mays si senhoreja am sanc o accida apostema caut, lahoras tu pausa a lu aquo que cove; o es dels apostemas malignes, lahoras tu coyta e cauteriza aquel entro que sia abscindit sanc e sian ostadas las cavas totas.	May it happen that you find a swelling at the time of cure or shortly after adding infusion, then pause taking water; or if it is a malignant swelling, then cut and cauterize it carefully within that it has been severed in several places, and all the openings are sealed.
E aprop sia getatz en le nas aprop la inscizio vi agre e aygua o vi.	Then add to the nose near the incision half a grain of pepper and water or vinegar.
Mays si le nas es ubert e de lu procezeys humiditat entro al palat, lahoras sapias que ja es sanat.	May it happen that the nose is open and you see moisture coming out of the palate; then know that it is already cured.
Mays si la humiditat no penetra segon que cove, lahoras tu sapias que dedintz lu es carn nada en los pus sobiras osses de las nars als quals non es pervengut abscizio.	May it happen that the moisture does not penetrate according to what we have said, then know that inside there is no meat in the upper nostrils where it has not been severed.
Donc lahoras cove que entromitas fiel de li al qual sia alcuna grosseza, e nuza en lu motz nuzes, e pausa entre quascun nutz la quantitat del dit o mens, e engene le malaute e entromet una extremitat del fiel en le nars am lo ray o am autra causa la qual es a lu possibla.	Then when you enter faithfully into the fowl, and cut it into pieces, and pause between each piece the quantity of the said or less, and cut the meat at one end of the fowl in the nose by the bone or for any other reason that is possible;
E pus que aquo aura fayt, que atire le sieu odorament entro que pervengua a las canals de las nars, e sia eyssit sobre le sieu golayro, quar tropas veguadas le semblant ad aquesta accio fan les enfantz a las scolas, e es leugiera causa ad aquel que ho vol far.	Then when the water has come out, that it be smelled within that it reaches to the nostrils, and be put on its belly, because many children by such an action are led to schools, and there is no cause for that person who wants to do it.
E aprop pausa las dos extramitatz del fiel, una extremitat que iesca sobre le nas et l’autra que romangua en le nas, e aprop aministra serratura de carn am les nuzes que so en le fiel, e fay aquo entro que sapias que las carn ja so am les nuzes del fiel.	Then pause the two extremities of the flesh, one end that comes out over the nose and the other that remains in the nose, and then add minced meat to those ends, and put water inside that you know the meat is already at the tips of the fowl;
E aprop extratz le fiel, e pausa en le nas aprop la abstraccio del sanc una calgua , e fay aquo per tres dias o mays entro que l’enguent corrodo tot aquo que es romas de las carns.	Then take the flesh away, and pause in the nose before severing the tip of the meat into three pieces, and put water inside for three or more days within that it becomes warm;
E aprop en la fi de la causa, pausa en le nas una canula de plom per alscus jorns entro que sia sanat.	Then when the cause is finished, pause in the nose a tube of lead for many days until it is cured.
Mays si endigeys de curacio que exsique, usa de aquela.	May it happen that you use this cure if you find it effective.
E aquesta es la forma del instrument a capipurge fazedor am le qual son distillatz olis e medicinas en le nars:	And this is the form of the instrument for cleaning and making water and medicines in the nose:
E fay aquo de argent o de eram, la qual sia semblant a una petita lampesa uberta, ayssi cum petita conqua, e le meat semblantment.	Then water of silver or iron, which resembles a small torch lit up, so with a small bowl, and the meat resembling it.
E si vols, fay una canula clausa ayssi cum cana, e la cancula del estrument a capipurge fazedor e sia plana, descuberta; a la qual sia manubre en lo derier de lu, am le qual tenguas aquela quan escaufas en lu oli o aquo que tu vols dels sucs e de las causas suctiblas.	And if you want, make a closed tube like a cane, and the tube of the instrument for cleaning is flat and open; hold it with your hand at the back, and when you want to use the water or oil from the suction, you will not be able to see it.
E aquestz capipurgi es precios: recipe de enforbi de castor, de balayra blanc, de giengiebre, e piletre de safra, de pebre lonc, de escafragia, de epetum de spic ana unc. vi cumfizeys am suc de bleda e de caul, e sian faytas pillulas, e sia destemprada una pillula am aygua tebeza, e sia gitat en las nars del malaute jasent envers.	And these are precious spices for cleaning: honey, white wine, ginger, licorice, and pepperlong, and mustard, and fennel seed, and aniseed, and caraway seed. Then come with blood and calcium sucks, and let them be pills, and one pill be taken with water on an empty stomach, and put in the nose towards the back;
Capitol .xxv.	Chapter .xxv.
De theyls natz en las extramitatz del nas.	About the nostrils.
Motas veguadas es nat theyl en las extramitatz del nas, e es magnificat e omentat en alscus dias entro en que mot es leg le reguardament de lu.	Mottos seen in the extremities of the nose, and it is magnified and omented on various days within which mott it is laid out in the regard of him.
E per aquo cove que tu inscidas aquel en le comensament de la apparissio de lu, e erediques tot aquel.	And so that you do not miss anything in the beginning of its appearance, and inherit everything.
E aprop pausa sobre le loc o cauteri o medicina comburent la qual estia en loc de lu.	Then pause on the spot or use a cauterizing or burning medicine which was on the spot of him.
Mays si es tardada la sua inscizio entro que sia magnificat, lahoras considera si es lapificat, dur, de fusca color e de pauc sentiment, lahoras no toques aquel am ferr quar es apostema crancos; quar motas veguadas ad aquel que inscideys aquesta apostema endeve per lu granda malicia sobre aquel le qual aquel havia.	May it be delayed in its incision before it is magnified, consider if it is lapidated, hard, of scaly color and of little feeling, then do not touch that with fire because the apostema is rotten; for mottos seen in the extremities of the nose, and it is a great malice over him who has it.
E si le apostema es de leon tocament e no es de fosca color, e vezes que inscizio es possibla en tot aquel, lahoras evacua le malaute e inscideys aquel senes temor, e cura le loc am aquo que exsique e costrenh entro que sia sanat.	And if the apostema is of a lion touch and not of a scaly color, and sometimes that incision is possible in all of it, then empty the patient and incise it with fear, and cure the spot with water which comes out and constricts within which is healed.
Capitol .xxvi.	Chapter  .xxvi.
De sutura del nas e de las labias e de la aurelha quan la continuitat es dissolvuda per plagua o per semblantz.	Of the suture of the nose and of the lips and of the earlobe when the continuity is dissolved by plague or by similar things.
Sapias que quan accideys solucio de continuitat en una de aquestas cartillages, pauc confereys en aquela operacio sino en alcus homes.	Know that when it happens solution of continuity in one of these cartilage, little confer in that operation but in some men.
Donc cove, quan endeve ad alcu alcuna causa de aquelas, que consideres si es plagua fresca am le sieu sanc, e lahoras tu ajusta las doas labias de la plagua am sutura, e aprop cura aquel entro que sia sanat.	Therefore, when it happens to some for a certain cause of those, that you consider if it is a fresh plague and then you adjust the two lips of the plague with the suture, and then cure it within which is healed.
E si las labias de solucio de continuitat so ja separadas, e quascuna es fayta sana, lahoras cove que tu excorjes quascuna partida de la sua codena apparent entro que n’iesca sanc.	And if the lips of the solution of continuity are already separated, and each is healed well, then consider that you remove each of their knots apparently within which does not escape a plague.
E aprop ajusta las doas labias am sutura e strenh aquelas, e sobre aquelas pulveriza sanc de drago e enses trissat, e pausa sobre la polvera una pessa de emplaustra diafinicon, o de alcu autre dels emplastres consolidatius, e leyssa aquel liat per dos jorns o per tres, e aprop deslia aquel e permuta aquel emplaustre e leyssa aquel entro que·ls fiels per si sian abscinditz, e aprop cura am enguent entro que sia sanat.	Then adjust the two lips with the suture and strengthen them, and over them sprinkle the plague of dragon and anoint it three times, and pause over the powder a pes of plaster diafinicon, or of some other of the consolidating plasters, and leave it glued for two days or for three, then remove it and replace that plaster and leave it within which they are per se healed, and then cure it with oil within which is healed.
Mays la manieyra de la sutura es que tu agregues la solucio de continuitat o am agulhas ayssi cum havem recomtat en la sutura del ventre, o agregua la solucio de continuitat am fiel ayssi cum a tu e fayt saber.	May the way of the suture is that you add the solution of continuity or by needles also as it has been described in the suture of the belly, or add the solution of Continuity to the fiel also as it has been said to you and let it know.
Capitol .xxvii.	Chapter .xxvii.
De extraccio de aquela causas que veno en las doas labias en las partidas dedintz.	Of the extraction of those causes that come in the two lips in the parts inside.
Motas veguadas endeve a motz homes en las partidas dedintz de las suas labias alcus apostemas durs semblantz a gras de errs, e alscunas de lors son mendres e alcunas son majors.	Mottos seen in the insides of the two lips of some men are apostemas hard similar to fat of errors, and some of them are small and some are large.
Donc cove que tu convertas las labias e fendas quascuna de aquelas duricias de tota part, e aprop la abscizio umpliscas le loc de sagi trissat entro que·l sanc sia restrengut, e aprop sia lavat am vi agre e sia curat le loc am aquo que es stipticitat, entro que sia sanat.	Therefore consider that you smooth the lips and divide each of those hardnesses of all parts, and then the abscission fill the place with three times within which the plague is restrained, and then wash it with vine acid and cure the spot with water which is astringent within which is healed.
Capitol .xxviii.	Chapter  .xxviii.
De inscizio de la carn ajustada en las gengivas.	Of the incision of the flesh adapted in the gums.
Granre de veguadas nays sobre la gengiva carn ajustada la qual les antics apelero albulus, adonc cove que tu suspendas aquela am onci o que tenguas aquela am las forfecs e inscidas aquela deves la sua razit, e leyssas la sania correr o le sanc.	Great care the nostrils are cut above the meat adapted which the young appeal to the white, therefore consider that you suspend those with a nail or that you have them with the forecords and incise that from its root, and let the blood run or the plague.
E aprop pausa sobre le loc sagi trissat o autra polveras stipticas o excicativas.	Then pause on the spot three times or other powders astringent or exfoliative.
E si aquela carn retorna, lahoras inscideys aquela segundariament, e cauterisa aquela, quar aprop le cauteri no retornara.	And if that meat returns, then incise it again from another side, and cauterize it for it will not return with cauterizing.
Capitol .xxix.	Chapter .xxix.
De razo de dentz am ferr.	Of reasons of teeth by iron.
Quan en la superficia de las dentz de las partidas dedintz e de las de foro e entre las gingivas so ajustadas escorsas aspras, legas, e alcunas veguadas son de nigradas e son faytas citrinas o vertz entro que a la gingiva ve per aquo corrupcio e son faytas las dentz legas.	When in the surface of teeth of the insides and of the forums and between the gums are adapted rough edges, smoothes, and some seen are black and are formed citrin or green within which the gum moves by water and the teeth are formed smoothes.
E donc cove que tu fassas sezer le malaute entre las tuas mas e pausar le cap de lu en le tieu se, e ratz las dents en las quals apareysso aquelas escorsas e causas semblantz arena entro que de lor no romangua deguna causa, e aquo fay de la negror e de la citrinitat e de las autras entro que sian mondificadas.	And therefore consider that you file between your teeth and pause the top of him on the thread, and measure the teeth in which appear those rough edges and causes similar to sand within which is not caused by anything, and then it forms the blackness and the citrinity and some others within which are mondified.
Donc si es ostat aquo que es en aquelas del comensament de la razio, bo es; e sino, lahoras tu itera la razio sobre aquelas al autra dia e al segon e al tertz entro que vengua al derier stament en aquo que tu vols.	Therefore if it is water that is in those of the beginning of the reason, then it is not; and if not, then you repeat the reason over those to another day and to the second and to the third within which comes to the last statement in which you want.
E sapias que las dentz han necessitat de motz rezoris de diversas formas e de motas figuras segon que es preparat a la tua operacio.	Know that teeth have need of many resources of different shapes and of many figures according to what is prepared for your operation.
E per so quar le razori am le qual la dent es raza de la partida dedintz es autre del razori am le qual es ras entre las dentz segon autras formas, e aquestas formas de razoris sian deves tu preparadas las quals veyras tantost:	And therefore because the reason with which the tooth is cut from inside is different from the reason with which it is cut between teeth according to other shapes, and these forms of reasons are surely prepared that you will see soon enough.
Capitol .xxx.	Chapter   .xxx.
D’eradicacio de dentz.	Of the eradication of teeth.
Cove que tu cures la dent de la sua dolor am tot engen e tardes en tota eradicacio de lu, quar no es denguna causa que suplisqua la veguada de lu quan es eradicada, quar es sustancia sublima entro que es excusacio en la eradicacio de lu.	Consider that you cure the pain of the tooth from all its causes and delay in any eradication of him, because there is no cause that replaces the substance of him when it is eradicated, for it is an excuse in the eradication of him.
Mays cove quan le malaute es forsat aquela dent eradicar, que fermament deves tu sia certificat quala es la dent dolent, quar motas veguadas la dolor descep le malaute e cuga que sia en dent sana, e tu eradicas aquela e aprop la dolor no cessa entro que la dent malauta e dolent sia eradicada, quar nos ja havem vist aquo per operacio dels barbies.	May consider that when the patient is forced to eradicate that tooth, firmly you must be certain what tooth is painful, because the pain disenchants the patient and causes him to believe that it is in a healthy tooth, and then eradicate that one and let the pain not cease until the painful tooth is eradicated, for we have already seen this by operation of barbies.
Donc cum deves tu es sertificat qual es la dent dolent, e que o sabes be, lahoras cove que tu scarifiques en le circuit de la dent am spatum en le qual sia alcuna vertut, entro que sia dissolvut de la dent de la gingiva de tota partida, e aprop mau aquel am les tieus ditz, o am forfexs subtils al comensament petit a petit entro que aquela concucesquas.	Then consider that you are certain what tooth is painful and that you know it well, then consider that you scarify the root of the tooth in which there is no virtue within which is dissolved from the gum of all parts, and then cut that one with pliers at a small beginning little by little within which comes to the concaved.
E aprop alogua en lu fortz tenalhas grans per bona loquacio o estuptura fort, e pausa le cap del malaute entre les tieus denolhs que be le tengues que no·s maugua, e aprop tratz la dent segon rectitut en manieyra que no trenques aquela, ni al malaute major dolor no dones.	Then fasten with a strong knot large by good speech or loud noise, and pause the top of him between the threads that are not yours to cut him away, and then fix the tooth again from another side in a way that does not break it, nor give pain to the other one.
E donc si no es foro-getat, lahoras pren un de aquels instrumentz, e met aquel dejos lu de tota part am facilitat e esforsa la remocio de lu ayssi que es feyt al comensament.	And if it is not форо-getat, then take one of those instruments, and put that from him from all parts with ease and force the removal of him so as it was done at the beginning.
Mays si la dent es trauquada o corrosa, lahoras cove que tu comples de drap aquel trauc e estrenguas aquel am la extremitat de ray subtil per so que no sia trinquada en la hora de la tua constriccio sobre aquela am tenalas.	May it is a rotten tooth or corroded, then consider that you remove the cloth of him from all parts with ease and strings that do not cut in the hour of your constriction on it with pliers.
E cove que tu obres exquesitament am scarificacio en le circuit de tota part de la gingiva e guarda mot la tua fortaleza que no trenques aquela e romangua partida de lu, e retorne sobre le malaute per la malicia que sia majo que la primieyra dolor de lu.	Then consider that you open with great care in the root of all parts of the gum and save your strength to not break it and does not cause a fracture in the beginning of him, and return to the patient for his maliciousness is less than the first pain of him.
E guarda te que no fassas aquo que fan alscus ignorantz barbiers en lor fistinacio e audacia sobre la eradicacio de lor, ses que no aministran aquo que nos havem recomtat; quar motas veguadas fan venir sobre les homes malautias grans las quals son pus dificils que sian trinquadas, e las razitz de lor remaugudas totas, o alcunas de aquelas, o que extrayguas aquela am alcus osses de la mandigula ayssi cum motas veguadas havem testificat.	And consider that you do not make water come out of those barbers in their lastness and audacity on the eradication of them, because they did not administer water which we have described; for mottos seen come out on the men with big plagues which are harder to cut, and the roots of them become whole, or some of them, or extract that one with a certain number of teeth from the mandible in the same way as Mottos have witnessed.
E aprop la eradicacio de lu sia lavada la boca am vi caut o vi agre am sal.	And then wash your mouth with salt water or vinegar.
E si endeve fluxs de sanc per aysso, ayssi cum motas veguadas endeve, lahoras trissa alcuna quantitat de zegi e aspergeys sobre la plagua, e si no confereys aquel zegi, cauteriza.	And if there is swelling and pain in the eyes due to heat, then sprinkle some salt on the affected area, and if it does not help, cauterize it.
La forma de las forceps e tenalas subtils am las quals es mauguda la dent al comensament sia de longua extramitat, de breu manubre e gros, per so que no sian doblatz quan am aquels deves obrar.	The shape of the tweezers and forceps should be smooth and fine at first, with a long handle, a short handle, and a thick grip, so that they are not bent when used.
E sian ayssi cum vezes de gros manubre entro que quan estrenhas am aquelas no sian dobladas, sian breus extramitatz.	And then, with short handles that are not bent when you use them for the first time, have fine tips at the end.
E sian faytas de ferr de India descentment faytas de dreytas extramitatz, e en las extramitatz de aquelas sian dentz de las quals las unas intron en las autras e estrenhan per constriccio descent fort, e alscunas veguadas las extramitatz de aquelas sian la forma del bec d’un auzel le qual ha nom ciconia, so es guanta, e son de fort constriccio.	And they should be made of iron from India with fine tips at the end, and in those tips some have teeth that interlock with each other and tighten strongly, and some have a groove like a bird's beak, which is good for holding.
Capitol .xxxi.	Chapter .31.
De erradicacio de dentz e d‘estraccio dels osses de las mandibulas trincadas.	Of the extraction of teeth and breaking of bones in the jaw.
Quan deves la eradicacio de dent le qual es trinquat roman alcuna causa, lahoras cove que tu pauses sobre le loc coto am boder per un jorn o per dos entro que·l loc sia mollificat; e aprop entromet algesti o tenalhas las extramitatz de las quals so asembladas al bec de un auzel apelat ciconia o guanta, la forma de las forceps:	When you must extract a tooth that is broken in the jaw, then cover that place with a bandage and leave it alone for a day or two until the place softens; and then insert tweezers or forceps, the form of which is like a bird's beak, and the tips of which are fine:
Las extramitatz de lor sian faytas dedintz ayssi cum lima o alfagi.	The ends of them should be fine with emery or sandpaper.
E si no obediys a tu a eyssiment am aquestas forceps o tenalas, lahoras cove que tu caves sobre la razit e descrobas tota la carn e entrometas le instrument le qual ha nom atali, so es palanca petita del qual la forma es aquesta:	And if you do not obey him by using these tweezers or forceps, then cover the root and dig out the instrument which is called an awl, so it is a small lever whose shape is like this:
E sia de breu extremitat grossa un petit, e no sia enbegut per so que no sia trinquat.	And have a thick end with a small lever, and not be bent so that it does not break.
Donc si per aquo la razit es foro-getada, bo es; e sino, ajuda te am aquestz autres instrument dels quals aquestas son las formas: la forma del primier instrument es de triangulada extramitat en la qual sia alcuna grossesa:	So if the root is hollowed out, it is good; and otherwise, help yourself with these other instruments whose shapes are these: the first instrument has a triangular end with some thickness:
La forma del segon instrument es que sia de triangulada e de pus subtil extremitat.	The shape of the second instrument should be that it is triangular and has a small point at the end.
E ja so ajudatz am aquest instrument havent dos ramps del qual aquesta es la forma aprop la seguent:	And you are helped with this instrument, having two ramps whose shape is like this:
e am autres instrumentz les quals precidero en rasura de dentz; quar juvament es fayt am aquest instrument le qual es asemblat a onci gran, e aquesta es la forma:	And with other instruments which will be used to shave teeth; because it is made with this instrument which is formed like an awl and is made of iron:
de la triangulada extremitat torta o curta, la qual sia alcuna grossesa, e no sia enbegut per so que no sia trinquat.	of the triangular end that is curved or short, with some thickness, and not be bent so that it does not break.
E otra sapias que·ls instrumentz de las dentz motz so e semblantment les autres instruments.	And you should know that the dental instruments are similar to other instruments.
Mays le artifexs savi e subtil en l’art, atroba per si mateys segon aquo que a lu significa la operacio e las malautias diversas; quar son de las malautias a las quals les antics no diysero ni pausero propri instrument, per las formas de diversas specias.	The skilled artisans and craftsmen who work in this art are wise and skilled; they invented different instruments and procedures for themselves because the small ones did not know or pause on their own instruments due to the various forms of their work.
Mays si es trinquat l’os de la mandibula o dels autres osses de la boca, o si poyreys, lahoras sia pes curat sobre aquel en son loc am aquo que es a lu convenient dels instrumentz e de las forceps las quals havem dit en la extraccio de las razitz de las dentz, e ajuda te am gesti del qual aquesta es la forma:	If the bone of the jaw or any other bone in the mouth is broken and needs to be fixed, then cover it with a bandage at the right place for him who knows it well using the instruments and forceps we mentioned earlier when extracting tooth roots; and help yourself with these gestures whose shape is like this:
E sia en lu alcuna grosseza petit a petit, e sia instringida o tenguda am la boca per que no evasesca o fuga entro que l’os de tot sia foro-getat; e aprop restaura le loc am medicinas convenientz ad aquo.	And it should be of small thickness to the little and large, and fixed or tightened with a bandage around the mouth so that it does not move or escape, until all the bone is hollowed out; then restore the place with suitable medicine for him.
Mays si en l’os es petita poyredura, lahoras ratz aquel de aquela poyredura e de la sua negror, e cura aquel entro que sia sanat.	But if the bone is small fracture, then fix that fracture with wood from the same tree and the blackness of it; and heal that place within until it is healed.
Capitol .xxxii.	Chapter.32.
De la cura de las dentz eminentz sobre las autras.	Of the treatment of prominent teeth next to others.
Quan las dentz so eminentz no segon lor cors natural per aquelas la forma es laga, e majorment quan endeve a las femnas, e majorment a las piuselas venerablas; donc cove que tu consideras: si dent es nada aprop autra dent, e no es possibla sarradura ni linament de lu, lahoras radica aquela; mays que no sia annexa am autra dent, lahoras tu inscideys aquela am aquest instrument del qual aquesta es la forma; e es semblant a morr de porc, e sia feyt de ferr de India de extramitat mot aguda.	When the teeth are prominent beyond their natural place because of which shape is long, and more so in women's mouths and especially in elderly women; then cover that tooth; but if it is not attached to another tooth, then cut it off with this instrument whose shape is like this: it is similar to a pig's ear, and made of iron from India with a sharp end.
