Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Buqaa'.
Ataxinir am cannas es segon aquesta forma:	Taxanir with knives is according to this shape:
e es que tu convertas la palpebra e scindas la figura qu’es dedintz segon que he recontat; e aprop per art fay doas cannas o doas astelas subtils de las quals longitut sia segon la longitut de la palpebra e la latitut de lor sia mendra de la latitut del spatum.	And that you convert the eyelid and split the figure inside as I have said; and then, by art, make two knives or two thin stiles of the length that is according to the length of the eyelid and their width is less than that of the spatum.
E tu ja has inscidit en las extremitatz de quascunas partidas, la on tenes les fils.	You have already cut into the edges of any crack, where you have the thread.
Aprop agregua quascuna am subtilitat subre aquo que superflueys de la palpebra del huel, e constres las cannas de quascunas partidas am fort strictura, e layssa aquela per alcus jorns, quar la codena per la strictura morira e sira denegada e se poyrira entro que per si meteyssa cayra.	And then add any thread with subtlety under water that is surplus of the eyelid, and tighten the stiles of any crack with firm tightness, and leave it for a while, because the incision by tightness will die and rot and decay within until it disappears.
Mays si es tardat, lahoras trenca la am las toroyras, e aprop cura la plagua entro que sia sanat.	May if it is delayed, then break the patch with a sharp knife, and then cure the wound within until it heals.
Donc cum es solidada, la palpebra es elevada e les pels no pungo.	Then when it is solid, the eyelid is raised and the hairs do not poke.
E aquesta es la forma de doas cannas las quals faras segon aquesta forma:	And this is the shape of two stiles that you will make according to this shape:
e haia la quantitat de la longitut e de la latitut ni mays ni mens.	and it has neither a length nor a width more or less.
Capitol .xii.	Chapter .XII.
De elevacio de pels pungentz en le huel am agula quan le pel es dur.	On the raising of skin to make incisions when the skin is hard.
Quan son pels no-naturals, durs e aspres e pungentz les huels, lahoras la operacio en lu es que tu prenguas agula subtil e pauses en aquela fiel de ceda subtil e leon, e aprop que tu ajustes las extremitatz de lu e nozes quascu en manieyra mot subtil.	When the skin is unnatural and hard, and sharp, perform the operation as follows: take a fine needle and pass it in at that part where it gives way to the subtle fiber; then adjust the ends of the skin so as not to be noticeable, and tie with a simple knot.
E sia la longitut dels fiels de quantitat de una palma.	And the length of the threads should be the width of a palm.
E aprop tu compon2 autre fiel subtil dejos lu en breu, e nuza las extremitatz de aquel si tu·t vols.	Then take another fine thread and tie it in a knot under the skin, and cut off the ends if you wish.
E aprop pause le malaute le sieu cap en le tieu se, e sia prop del solelh per que la tua obra sia declarada, quar es operacio subtil e menuda.	Then place the patient's head between your knees, and so as not to be seen, bring the wound close to the nape, since this is a delicate operation and small.
E aprop intromet la agulha en la razit del pel ajustat la qual ha necessitat de engen, e fay aquela penetrar en la palpebra festinantment entro que extraguas aquela desus le pel natural.	Then insert the needle into the root of the skin that has been adjusted, with care; and make it enter quickly into the eyelid so as not to tear the natural skin.
E aprop tire le pel entro desus e intromet aquel en alixati, e sian les pels un o dos o tres e no mays.	Then draw the skin inwards and insert it into a loop; take the thread twice or thrice, and don't tie it yet.
E aprop tira la tua ma am aquel entro que·l pel sia fora-gitat am alixolati en la palpebra am le pel natural.	Then take your hand away from there where the skin is being drawn out and looped; don't touch the patient' eye, so that the natural skin doesn't tear.
Mays si es atirat alixalati e non es gitat le pel, atiraras alixati a las partidas dejos am le fiel le qual tu has compost am aquela, entro qu’en sia gitat alixalati del trau sobira.	But if it is being pulled looped and not torn, you will pull the looped skin above where it is tied to the thread, so that it doesn' tear when you draw up the loop.
E vegas aquela am la visio del huel, quar lahoras tu gitaras alixati e lo fiel, e grotan quascu e clautz le huel, e laysse le claus per dos dias o tres, entro que·l pel adheresca al sieu loc e nasque sobre aquel bona carn.	Then let the wound be seen, since you will have pulled up the skin looped and tied to the thread; then tie it tight and cut off the ends, leaving them for two or three days, so that the skin may adhere to its place and grow well over it.
E si es mays breu le pel, lahoras tu ajusta un pel lonc dels pels naturals, e es elevat am aquel, o que·l leysses entro que sia alonguat aprop alcu spazi, e lehoras tu eleva aquel.	And if the skin is too loose, then adjust a long piece of the natural skin, and raise it up; or you leave it there for a while, then raise it up.
Capitol .xiii.	Chapter  .XIII
De la cura de ehacratir la qual ve en la palpebra desus.	On the care of the eyelid that lies on top of the eyelid.
Quan ve en le huel ehacratir, e es contraccio de la palpebra quan es contrayta en sus, o a dextra o a sinistra partida, per mala consolidacio de plagua o de seccio o de cauteri, e es apelada leporina, e aquesta ahercrati o es natural o accidental, e es fayta per consolidacio de plagua o de seccios o de cauteri, o per semblantz a lor malcuratz.	When the wound is in the eyelid and it becomes tight there, or on the right or left side, for a bad consolidation of plague or a sectioning or cauterization, and this is called "leporina," and that which happens by consolidation of plague or by sections or cauterization, or due to similar appearances, are natural or accidental.
May la manieyra de la operacio en lu es que tu fendas aquela consolidacio e que separes las labias de lu, e pauses en lu en aquo que es entre aquelas una meca de drap de li, e ligues aquelas entro que sian sanadas.	Then the way to perform the operation is that you cut through that consolidation and separate the lips of it; and place it between those two pieces of cloth, and tie them up so as to be healed.
E no cove que tu uses de curacio de lu de las causas las quals exsiccan, constrenho; quar si tu fas aquo retorna alixacratir pus mal que nulh temps no foc habantz.	And don' use any cure of it from the causes that dry or tighten; for if you make water return to its natural state, there is not a fire that can burn it in time.
Usa en aquela de causas que mollifico ayssi cum es fenugrec, e embroca am la aygua en la qual son coytz altea e semensa de li, o enguent dyaquilon, le qual sia liquefayt am alcu dels olis, e submergeys en aquel la meca, e cura am aquel.	Use on it from causes that soften; as, for example, fenugrec, and immerse it in water that is hot or cold and tasty, or apply astringent to it, which has been liquefied among some oils, and dip it into that bath, and treat with it.
E lo tesaur de la tua curacio es que tu perforsses am tot engen que no sia consolidat segon la forma que foc al comensament.	And the treasure of your cure is that you perform all that can be done by means of water without consolidation, according to the form in which it begins to burn.
E aquesta operacio la qual havem dita, no es sino alcuna rectificacio de ehalixacrati que no retorna la forma del loc segon que foc denant.	This operation that we have described is nothing but a correction of the wound that does not return to its original form according to how it begins to burn in front.
Capitol .xiiii.	Chapter  .XIV.
De la cura de ehacrati le qual es fayt en la palpebra dejos.	On the care of the wound that is in the eyelid below.
Aquesta alxacrati la qual es fayta en la palpebra dejos, la qual es nompnada vertadierament alxacrati; e es de lu alcuna natural, autra accidental.	This cure, which is performed on the eyelid below, is called  "vertadieramente" cure; and it is either natural or accidental.
Mays accidental es fayta per plagua o per scissura o per cauteri o per autres semblantz.	It may be accidental due to plague or a sectioning or cauterization, or from similar appearances.
E la via de la operacio de lu es que tu prenguas una agula en la qual haga fil doble, e fiques aquela en la carn, e que la fassas passar del lacrimal de senestre entro al lacrimal dextre, entro que·l fil pervengua en las doas extremitatz de la carn.	And the way to perform the operation is that you take a needle with a double thread, and hold it in the flesh; and let the thread run from the tear of the left eyelid through the middle of the nose, so that the thread comes out on the two ends of the flesh.
E aprop exten la carn a las partidas desus am la agula e cus aquela am la agula, e inscideys am spatum ample.	Then stretch the skin at the edges with the needle and cut it with the blade; and make a wide cut with the scalpel.
E donc si retorne la figura de la palpebre segon que cove, bo es; e sino, pren le ray e pausa aquel en la figura fenduda, e am aquel converteys la palpebra, e fen las doas fissuras en le latz de la palpebra dejos.	And if the shape of the eyelid returns according to how it was before, then it is good; but if not, take a thread and place it in the split, and turn the eyelid; and make the two splits at the bottom of the eyelid.
E sian las extremitatz de las doas fissuras de dos angles de la inscizio, la qual has fayta entro que concurren, e sia de lor fayt angle entro que quan se congreguan sia fayta figura de lor.	Then make the two ends of the splits meet at two angles of the incision, which has been made so that they intersect; and let the figure formed by them be the same as when they meet together.
E aquesta figura es letra greca: la landa.	This figure is a Greek letter: λ (lambda).
E aprop osta la carn aquela per la quantitat que es le latz de lu agut dejos de lu, aquo que siec la palpebra.	Then stretch the flesh out by that amount which is the width of it at the bottom; then secure the eyelid.
E aprop ajusta las partz seperadas e cos aquelas am le fil de lana; e aprop cura aquelas am aquo que havem dit de las medicinas mollificativas e de las calguas entro que sia sanat.	Then adjust those parts that are separate and stitch them up with a wool thread; and treat those with water that we have said about the medicines that soften, and wash within so that it is healed.
E si alxacrati endeve per fissura o sutura o cauteri, lahoras cove que tu fendas am fissura plana sobre les pels de la palpebra segon que es precedit.	And if the cure described above is by a split or suture or cauterization, then you should make a flat split on the skin of the eyelid according to how it was before.
E aprop separa am la calgua entre doas labias segon que havem dit.	Then separate them with two cloth strips according to what we have said.
En la suma del sermo de la cura de alxacrati quan es desus o dejos, que corra en lu operacio, segon que es preparat de la forma de alxacrati, e aquela es en forma de motas diversitatz.	In the summary of the speech about the cure that is up or down, which takes place in the operation, according to how it is prepared in the form of a cure, and that is done in a variety of ways.
E le artifexs savi totz temps prepara engen en quascuna manieyra la qual es possibla a lu entro que fassa retornar la figura a la forma natural, o prop de aquela, e aquel malaute segon que a lu conveneys de la operacio e dels strumentz en las majors disposicios.	The expert should always prepare the things in any way possible so that it returns to its original form; and if not, near that form, and the patient according to the operation and the instruments in the best dispositions.
Capitol .xv.	Chapter   .XV.
De la adherencia de la palpebra am la conjunctiva o am la cornea.	On the cure of the wound that is in the eyelid and if it is natural or accidental.
Quan accideys aquesta consolidacio a motz homes enayssi que sia solidada la palpebra pus desus am le album del huel, e sia prohibida de la facilitat del movement e de las suas obras naturals, donc cove que tu entrometas la extramitat del ray dejos la palpebra, e eleva en sus aquela, o exten aquela am le unci.	When this consolidation happens in people who are sick and the eyelid is stuck to the white of the eye, and its movement and work are restricted; then insert a thread into the outer edge of the lid, and lift it up; or extend it upwards with an oil.
E aprop tu inscideys la adherencia am spatum subtil, le qual no sia am acuitat de las inscisios, habantz obtus un petit per so que·l malaute no sia inquietat deves la operacio, e remau le spatum que no ledesca le huel am la sua acuitat.	Then you cut the adhesion on a thin blade, which is not sharp in the incisions; keep your hand away from the eye so as not to disturb it during the operation, and leave the blade there so that it doesn' rub against the eye's sharpness.
E sia la tua inscizio quays excorjan aquela adherencia am facilitat entro que sia retornada la palpebra segon la sua forma natural e que sia sanada tota la adherencia.	Then let your incision remove that adhesion easily so that the eyelid returns according to its original form, and all of it is healed.
E aprop tu met en le huel aygua salada am la qual tu laves; o distilla en lu de zunia dissolvut en l’aygua.	Then you put into the eye salt water that you wash with; or distill in the water of Zuni that is dissolved in it.
E aprop separa entre la palpebra e l’huel am calgua de li, e pausa sobre le huel lana infuza en album de huou, e aprop le tertz jorn usa de causas consolidativas entro que sia sanat.	Then separate the eyelid from the eye with a cloth; and place it in salt water infused with oil, and let the third day be used for curative causes according to what is consolidated, and that is healed.
Capitol .xvi.	Chapter    .XVI.
De inscizio de ungla e de eminencia de carn dels lacrimals.	On the cure of the wound that is in the eye and if it is natural or accidental.
Sapias que ungla es segon dos manieyras, quar o es nervosa, e es semblant a ciphac dur subtil; o es no-nervosa, semblant a humiditat blanca congilada, la qual quan ferr la toca, o es forsat aquela prendre am onci, es abscindida e le onci no es ficat en lu.	You know that ice is second to two ways, for it either is nerveless and resembles hard subtile cipher, or is non-nerveless and resembles white frost which, when touched, can't be forced to stick, and the touch will cause it to go away; its onchuses don't stay.
E amdos las specias no comensan sino del lacrimal major entro que va petit a petit que cobre la vista e prohibeys le lum e·l movement de huel.	And these spices don’t start until the lacrimal membrane, which comes little by little and covers the eye, stops the light and movement of air.
Mays la manieyra del obrar en la inscizio de lu es que·l malaute pause le sieu cap en le tieu se, e aprop obre les huels de lu, e eleva la palpebra am la tua ma, e aprop colligeys la ungla am onci de pauca duplicacio e exten aquela a las partidas desus.	The way of working the incision is that the patient stops his head in the air, and opens his eyelids, raises his eyelids with your hand, and collects the ice-onchuses in a few dupliquations and extends them to the edges.
E aprop pren una agula e entromet en aquela un pel de cavalh o de buou o de vaqua, o de semblantz, o de fiel fort, o duplica la extremitat de la agulha petit a petit e fica aquela en le mieg de la ungla, e penetra aquela am la agulha, e lia am fiel la ungla; e exten aquela a las partidas desus, e excorja am le pel le latz de la ungla lo qual siec la pupilla.	And take an needle and insert it into the end of a horse or cow or sheep or goat hair, or something similar, or hard fat; double the tip of the needle little by little and leave it in the middle of the ice, and pass it through with the fat; stretch it to the edges, and cut off the hair at the tip of the ice; take that piece of hair and thread it onto the needle; and extend it to the edges, and pull out with the hair.
E ayssi tu sieguas aquela am le pel entro al derier de lu.	And so you will continue with that thread inside up to the back of it.
E aprop tu inscideys le romanent en la razitz del lacrimal am spatum subtil o am petitas forfexs, e leysa la carn del lacrimal natural per so que per inscizio de aquela no endevengua fluxs de lagremas continuabla.	Then you will cut the nose in the base of the lacrimal bone with a sharp knife or tiny scissors and leave the flesh of the lacrimal bone exposed so that by incision it doesn’t produce continuous tears.
E alscunas vetz la ungla am le sol onci estenduda o am fiel, ayssi co havem dit, e aprop sia excurjat am spatum leon del qual aquesta es la forma de lu:	And sometimes the ice is spread with a thin layer of oil or fat, then it is cut as if it were a piece of leather, and so that the shape of it is preserved:
E guarda te que am le spatum no toques la tunica cornea e que avengua en lu ruptura, e que la pupilla sia perforada.	And remember that with the knife you don’t touch the clear skin, and that the rupture isn’t deep, and that the pupil is punctured.
Aprop la inscizio geta en le huel un pauc de sal trissa o di cief fayt de siniar, e leyssa aquel entro al autre dia; e aprop cura aquel am aquo que cove entro que sia sanat.	Then incision gets into the foot a little bit of salt mixed with fine sand or something similar to cut off some hair, and leave it inside until another day; and then cure that with water so that it is healed.
E si la ungla no es nervoza e no podes metre la agulha, ni es ficada en aquela le onci, lahoras motas veguadas aquesta specia de ungla es curada am medicinas, e es sanada ayssi cum yeu e recomtat en la divisio.	If the ice is not nervous and you can't put in the needle, or it doesn’t stay on top of the ice, then this special kind of ice is cured with medicines, and so it is healed with eye drops and recommended in the division.
E si tu vols inscindir aquela, lahoras tu obre le huel del malaute e pren spatum subtil leon de freul acuitat segon aquesta forma:	If you want to cut that ice, then open the patient's mouth and take a sharp knife according to this form:
am subtilitat.	with subtility.
E si vezes que aquela es rarificada e es confugida e empren en aquela razit, lahoras distilla de la tua ora en le huel de cief fayt de siniar o am cief rog o am sal trissat, e opila le huel entro a l’autre dia.	And if the ice is rarefied and is hard to cut with a sharp knife or salt mixed with something similar, then distil it from your mouth in the hole of some hair, and leave the hole inside for another day.
E aprop itera sobre aquela la operacio entro que sia remaugut tot aquo que es de lu, sino que·l contrari apostema caut sia en le huel, quar lahoras tu leyssa aquela, e cura al comensament la apostema entro que sia sanat.	Then repeat the operation on that ice until it is completely broken down, except for water, because then you leave it and cure the swelling at the beginning so that it is healed.
E aprop itera la tua operacio sobre aquela am razo entro que sia sanat.	Then repeat your operation on that ice with reason so that it is healed.
La emenencia de la carn lacrimal, si notz en le huel per gran nocument, sia suspendut am onci; e inscideys aquela de aquela una partida, e no ultimes la inscizio per so que no inscidesqua fluxs de lagremas.	The removal of the lacrimal flesh, if it is a great problem in the foot, should be suspended with oil; cut that ice from one side, and don’t finish the incision so that the tears don’t flow continuously.
E aprop distilla en le lacrimal cief rog e fayt de siniar entro que sia sanat.	Then distill in the lacrimal hole something similar to cut off some hair until it is healed.
Capitol .xvii.	Chapter XVII.
De inscizio de alguazardenic e de aquo que es nascut de carn ajustada en le huel.	Of incision of a foetus in the womb and of water born of animal blood in the foot.
Alcunas veguadas en les huels de alcus es nascuda carn roga, e es sobre-pausada entro que cobre la pupilla, o apropinqua o estrenh sobre las palpebras e fort leu comprem las palpebras a las partidas deforo e es assemblada a roza de balaustra.	Some blood mixed with urine is born in the eyelids of a cow and is placed inside so that it covers the pupil, or moves closer or further from the eyes, and presses the eyelids together like pillars, and is joined to a column.
Mays la operacio en lu es que·l malaute pausa le sieu cap en le tieu se; e aprop obre les huels de aquel e colligeys tota aquela carn am oncis convenientz ad aquo, e te aquo am una forcep o am cesti; e aprop inscindiys la carn el comensament entro que tot sia finit am le encisori, e guarda te del huel que no ledescas aquel deves la tua operacio.	The operation is that the patient stops his head in the air, and opens his eyelids and collects all of that blood with a needle or basket convenient to water, and then water at the beginning so that it is finished with the incision, and remember the foot that doesn’t cut off your work.
E sia la tua inscizio am la qual inscides aquelas o am espatum le qual nos havem recomtat en la inscizio de la ungla, o am petitas forfexs am las quals es colligit ascebel segon que vindra la forma de lu aprop aquest capitol.	And be your incision the same way that you cut those or with a sharp knife which we have recommended in cutting the ice, or with tiny scissors according to which form it takes; and remember this chapter for guidance when cutting the ice.
Donc cum es complida la tua inscizio e es remauguda tota aquela carn, lahoras omple le huel de sal trissa, o destilla en lu polvera roga e semblantz a lu de las medicinas corrossivas, e pausa sobre le huel deforo coto am album de huou entro que sia asegurat de apostema caut.	Then, when your incision is complete and all of that blood has been removed, fill the foot with salt mixed with something similar to the medicine that corrossives, and place it over the foot in case of a swelling caused by cutting off some hair within the womb so that it doesn’t occur.
E si roman alcuna causa de alguardenici e es senhoragat sanc caut, e temes apostema caut, lahoras leyssa le huel e cura aquela apostema am aquo que ceda aquela apostema, e aprop itera sobre aquel am operacio entro que sia sanat, e semblantment fay en la carn ajustada la qual accideys en le huel de aquesta especia.	If there is any cause of algardenices and it is hard to cut off some hair within the womb, so that you don’t cause a swelling, then leave the foot and cure that swelling with water so that it heals, and repeat your operation on that ice with reason so that it is healed, and make a scar in the animal flesh which occurs in the foot of this species.
Mays empero tu cove que alienes tota curacio del huel freul per via natural o per via accidental, obran am ferr, e no metas la tua ma en alcuna de aquestas operacios entro que veges que aquel membre sia suffertant aquela operacio.	However, remember that you don’t remove any cure of the foot by natural or accidental means through fire, and don’t put your hand in any of these operations until you see that the member is suffering from those operations.
Capitol .xviii.	Chapter XVII.
De colleccio de sabel en le huel.	Of blood collection in the foot.
Sabel so venas rogas las quals son testudas sobre le huel e prohibeysso al vesement la sua operacio, e develican le huel am longitut de dias.	These veins are hard and cover the foot so that you can’t see your work, and the foot is kept longer for days.
Donc necessari es al comensament que tu consideres si le huel en le qual es sabel es fort e en lu no es autra malautia que sabel, lahoras tu colligeys aquel sabel.	Therefore, it is necessary at the beginning that you consider whether the foot on which the blood is strong and not another disease than blood, then collect that blood.
E es que tu comandes al malaute que pause le sieu cap en le tieu se, e aprop suspen aquelas venas am un onci o am dos segon la tua prudencia; e sia aquel onci de subtil duplicacio segon aquesta forma:	And it is that you order the patient to stop his head in the air, and suspend those veins with an oil or two according to your prudence; and make those oils double according to this form:
o so dos oncis gradantment en un cos segon aquesta forma:	or two oils gradually in one part according to this form:
E aprop sian colligidas aquelas venas am forses subtils, am subtilitat, e abstergeys le sanc hora aprop hora, entro que vegas aquelas venas esser remaugudas del huel e sian revolgudas.	Then those veins are collected with scissors and dried with subtility, and abstain from working them for a while, so that the veins are not re-formed on the foot and are shredded.
E guarda te que tu no ledes le huel am las extremitatz del spatum; e si’ la tua operacio en le miegjorn denant le solelh, e sias mot ferm en la tua operacio que no inscidas sino aquelas venas.	And remember that you don’t cut the foot with the edge of a knife; and if your work is in the morning before the sun rises, and hold fast to your work so that you don’t cut off any blood vessels.
E quan tu auras complitz, lahoras tu distilla en le huel cief vert o rog per que am sa acuitat corrodesca aquo que es remaugut del sabel.	Then when you have finished, then distill in the foot strong water or salt to corrode that blood which is re-formed from blood.
Mays si aquo no es a tu possible colligeys tot en aquela hora, e lahoras tu emplastra tot am aquo que cede la dolor de lu, e leyssa lu per alcus dias entro que sia sedada la dolor de lu e que sia asegurat de apostema caut.	If water is not possible to collect at that time, then collect all of it with a needle and leave it for some days so that the pain of the foot is numbed, and ensure that swelling caused by cutting off hair is prevented.
E aprop itera sobre lu segon que la mateyssa manieyra entro que sia sanat.	Then repeat the same way again if necessary so that it is healed.
E aquesta es la forma de las forfexs:	And this is the form of the scissors:
Capitol .xix.	Chapter XIX.
De reduccio de arizati al nas.	Of reducing aridity to the nose.
Quan tu curas arisati am cauteri o am medicina aguda comburent segon que es precedida la narracio de lu e no es sanat, lahoras no es engen en lu sino que fendas sobre le apostema deves la maturitat de lu, e que extraguas tota la humiditat la qual es en lu e·l poyre entro que sia descubert le os.	When you treat aridity with cauterization or acute medicine according to the narrative that precedes it and it is not healed, then don’t make it in it but prepare for a swelling due to the cutting off of hair necessary for maturity of it, and extract all moisture from it which is inside it and the air within it so that it can be discovered the bone.
E donc cum es descubert le os e vezes en lu corrupcio o negror, lahoras tu ratz lu am un sturment del qual aquesta es la forma:	And then when the bone is discovered and rusted or blackened, then you cut it with this instrument whose form is as follows:
E es nompnat de aspre cap, e sia feyt de fer indi, e sia le cap redon ayssi cum asir le qual sia fayt punctat per punctacio de lima o aliskalfati per punctacio subtil (ayssi cum es en la forma seguent).	It is called a sharp cap, and made of hard iron, and so made that it is sharpened with a point of lime or rounded with a point of subtility (and so made in the following form).
E pausa aquel sobre le loc corrumput del os, e aprop revolveys aquel entre les tieus ditz, e prem la tua ma petit a petit entro que sapias que aquela corropcio es rasa.	And place it over the spot where the bone is infected, and turn it between your fingers, and gently press your little finger into it little by little so that you can feel the infection has been removed.
E aquo sia fayt alcunas veguadas, e aprop restaura le loc am causas exsiccativas e stipticas.	Then have a few holes drilled, and restore the area with caustic and drying agents.
Donc si·l loc es consolidat e es en lu nascuda bona carn e es abscindit le cors de la sania e roman per xl dias, e no es renovat e no es apostemat e no accideys en lu accident, lahoras tu sapias que es sanat.	So if the area is well healed and good flesh covers it and the scar is separate from the sound part of the body for ten days, and does not become inflamed or suppurate again, then you will know that it has been cured.
E sino, lahoras no es en lu engen sino reduzir la fissura a la forma del nas, e segon aquesta manieyra: e es que tu descuebras de segon os am ferr o am medicina acuta, e cum sira descubert le os, lahoras tu pren tribo segon aquesta forma:	And if not, then instead of making an incision along the nose, do so in the shape of a V; and thus: for you to cut along the nose, then you make an incision following this shape:
Sia la extramitat de lu ferr triangulada, e·l fust de lu sia prim extenuat entro a la extremitat ayssi cum vezes assi.	The tip of the iron is triangular, and the handle slightly curved at the end; thus, when you cut, the curve follows this shape:
E aprop pausa aquel sobre le os, e sia aquel prop del lacrimal; e alongua la tua ma un pauc del huel, e aprop revol la tua ma am le tribo entro que penetre tot le os, e aquel sente le malaute per asso que atroba vent yssir per so quan te la sua ma.	Then place it over the bone, and keep your hand near the lacrimal; and move your hand slightly forward from the handle, and gently turn your hand towards you so that the point penetrates all of the bone, and the patient feels a pulling sensation as it goes in; and thus, with this movement:
Donc lahoras restaura le loc am medicinas stipticas exsiccantz ayssi cum t’e eyssenhat.	Then restore the area with caustic medicines that dry it out as well; thus, if it is healing:
Donc cum nays la carn e·l loc es endurazit, lahoras la materia la qual effundia a las partidas deforo retorna al nas, donc aquo es pus leugier sobre le malaute.	If the flesh does not heal over the area then the matter that has been discharged from the wound returns to the nose; therefore, place a little salt on the patient's nose.
Capitol .xx.	Chapter 10.
De reduccio de la eminencia del huel.	On the Reduction of a Tumor on the Nose.
Quan le huel emineys am la sua totalitat e no accideys en le vezement nocument ni diminuacio, lahoras cove que laxas le malaute, e aprop que·l segues, e aprop que pausas ventozas en le cervitz ses scarificacio e succa per bona succaccio; e aprop pausa sobre le huel liniment le qual sia fayt de acatra e aloe e enses e sarcocolla, e aprop strenh le emplaustre sobre le huel am motz polvils.	When the tumor is complete and nothing hinders or decreases it, then know that you should loosen the nose bandage, and continue with the following: and then blow into the nose regularly with steam, and then place a liniment on the nose made of oil of rose, aloe, sage, and zinc oxide; and then tighten the plaster over the nose with powder.
E la manieyra dels polvils es que prenguas draps de li leons motz, e quascun drap sia duplicat en quatre plecs; e fay de aquels motz.	And the method of making the powder is that you take sheets of sheepskin, and each sheet is doubled over four times; and make these sheets into powder.
E aprop pausa aquels la un sobre le autre segon la quantitat de la qual ha le huel necessitat.	Then place those sheets on top of each other according to the quantity that the nose requires.
E aprop strenh sobre aquels am drap dur am fort strictura; e itera las ventosas am succio ses scarificacio; e aprop osta las ventosas e leyssa le huel streyt le dia e la nueyt.	Then tighten those sheets on top of each other with a strong, tight bandage; and then continue with the steam treatments as mentioned above; and then remove the bandage at night, and let the nose rest in a warm position.
Mays si entretant le liguament es mollificat, lahoras cove que sia mot streyt.	Perhaps if, meanwhile, the ligature becomes soft, then know that it should be tight.
E aprop osta le liament aprop le dia e la nueyt ayssi cum havem dit.	Then remove the bandage at night as well; thus, you have everything said.
E si vezes le huel ja esser redusit, bo es, e sino, lahoras itera le emplastre am les polvils e la strictura e las ventosas entro que sia sanat.	And if the nose has already been reduced in size, then it is good; and if not, then repeat the plastering with powder and tightness and steam treatments until it is healed.
Capitol .xxi.	Chapter 11.
De la inscizio de la eminencia de la tunica uvea.	On the Incision of a Tumor on the Eyebrow.
Quan endeve disrupcio en la tunica uvea, e aprop es eminent e procezeys fora las palpebras ayssi cum un gra de rasim, e es orrazada la forma de home per aquo, e vols aquo inscidir, lahoras la operacio en lu es ayssi cum havem recomtat, que tu entrometas la agula en la razitz de la uvea de la partida dejos en la partida desus, e aprop met la agula autra en la qual sia fil doble de la part del lacrimal, e fay aquela penetrar e leyssa la primieyra agula segon la sua disposicio; e aprop inscideys le loc del fiel doble e leva am aquel la partida de la uvea en le circuit de la agula, e strenh aquela mot.	When the tumor disrupts the eyelid, and it is large and prominent, then cut out the eyelid with a sharp knife as if cutting a hair; and thus prepare the form of a man with that; and then insert the blade into the root of the eyelid on the side nearest the lacrimal bone, and let it penetrate; and then cut along the blade, and take the first blade according to its position; and then continue cutting along the double edge of the blade, and tighten it at the end; thus, you have described the form of a man:
E aprop extratz la agula e pausa sobre le huel lana infusa en album de huou e leyssa entro que cayha le fil am la uva.	Then remove the blade and place it over the nose with wool infused with milk of Magnesia; and let it remain until it hardens.
E aprop cura le huel am aquo que conforte aquel entro que la plagua sia sanada.	Then treat the nose with water that comforts it, so that the plague is healed.
E alcunas veguadas aduna de tota partida am cercle de drap entro le huel ajuste eminencia gran, e aprop sia perforat am le spatum subtil que vengua al preon del huel, e corra la humiditat albuginea, e descen le huel e intra tantost.	In certain cases, a large bandage is placed over the entire nose, and is adjusted to fit the eminence; and it is pierced with a fine needle that enters through the edge of the nose, and runs the liquid albumin, and dips the nose and enters as well:
E aprop strenh entro que sia sanat.	Then tighten it so that it is healed.
Capitol .xxii.	Chapter 12.
De curacio de alconati.	On the Treatment of Eye Diseases.
Aquesta malautia que es apelada alconati no es sino sania la qual es ajustada en le huel semblant a aygua dessendent e no es aquela.	This malady, which is called alconati, is nothing but a disease that is made in the nose resembling running water, and it is not that one.
Mays la manieyra del obrar en ela es que fasses le malaute sezer sobre la sela aparelada e dreyta, e aprop pren le cap sieu en las tuas mas de doas partz e mau aquel entro que veias la sania pervenir a las partidas dejos, e aprop sia siccada e no descenda, e sia ostat le lum, e·l malaute veia las causas ayssi cum vezia.	Perhaps the method of working on it is that you make the nose burn with a hot iron, and place your two fingers on its sides; and then see if the disease comes to the parts near the eyes, and if it does not run down, and if it remains dry, and if the light does not hurt, and if the patient can see; and thus:
E si no descendra en jos, sapias que es aygua.	If it does not run down, you will know that it is water.
Mays si no es preparat le descendement a la sania am aquo que havem dit, lahoras fay le malaute sezer entre las tuas mas e aprop pren spatum subtil e fen am aquel sobre le pannicol cernent un petit deves la continuacio de la conjunctiva am la tunica cornea en la corona (entro al loc vuet), entro que sia fora-getada la sania.	If it is not prepared for the descent of the disease with water as mentioned above, then place a sharp needle over the eyes and pierce through the eyelids, cutting towards the corner of the eye (where it meets the conjunctiva) on the eyeball's corona; thus, the disease will be forced out.
Donc cum es fora-getada, lahoras tu distilla en le huel aygua cauda en la qual has mesclat mel o aygua en la qual ja has bulit fenugrec e mel.	Then, once it is forced out, you will know that the water is being distilled in the nose; and prepare a solution of water, to which you have added honey or water in which you have already brewed fenugrec and honey.
E aprop sia curat am las autras causas entro que sia sanat.	Then treat the other causes as well, so that it is healed.
Capitol .xxii.	Chapter 12.
De la curacio de la aygua descendent del huel.	On the Treatment of Water Descending from the Nose.
Ja havem dit las specias de la aygua en la divisio e qual conveneys a perforar am sermo declarant, lahoras aquel segon la sanetat.	I have already mentioned the spices of water in the division and how to pierce them with a sharp instrument; then proceed as follows:
