Ayssi comensan las paraulas de Albucasim .	Aysa understands the words from Albuquerque.
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Light the fire under it until it starts to boil and produce sparks, then place the pot on top of the flame carefully.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	So, let's cut that into three parts for a change of pace.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	For three days, apply that ointment to the affected area and let the rash dry out for several days; then apply this cream within the time it takes to heal.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Diys Albucasis: Oh children, of this particular kind of cauterization we have seldn't used much because of the fear concerning its care and because few instances have been found that deal with it thoroughly.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	May God bless those who have suffered and comfort them in their pain.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	Mays cauterizes a medicine that is adherent, and you should make two circles having an armillary sphere with pierced gates; their length in the natural state of its nuts or such as those ones.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	Sì, gli spazi tra quelle che sono le diverse quantità della grandissima variabilità del suddetto possono essere utilizzati in modo diverso a seconda dell'altezza e della posizione, e possono contenere cose di più importanza o meno rispetto agli altri seguendo questa struttura:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	An apple a day keeps the doctor away, and to prepare for this prevention, drink water beforehand, forming two circles with your mouth, allowing its quality to gradually diminish as you sip it little by little for about an hour, enduring slight choking and discomfort from swallowing—as if one was swallowing hot liquid—until the sensation of burning subsides.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	A proper elevation of your arm is required with the instrument in order to fully drain all the water from both ears.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	In three days and resting at that border within which the night of August is darkest, she shall leave her hometown, and wander for several more days until she reaches the northern region; this will be her last journey.
E aprop cura aquel am enguentz entro que sia sanat.	B takes care of that person until they are healed.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	If the pain is spreading to the shoulder or arm, make a statue in which there is water according to how it was made in ancient times.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	This is the method of cold water, and I have already written that in the treatise on the purification of drugs.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe for alkaline pasta with two distinct parts - one smooth and creamy, the other a crunchy topping that has been carefully scored into new waves, allowing the top part to perforate slightly, according to the desired amount of saltiness in your taste.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	Pause briefly as the wave recedes and gather yourself atop that crest of another incoming wave; then, dive beneath it to encounter an underwater current which will carry you for several seconds before you push off from its backside. Aim your body towards the direction where you wish to travel, maintaining proper form during this maneuver. Allow the sharp water flow at the base of the crest to guide your ascent into a glide position on the approaching wave's face.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	Approach the entire water and pour it over another living cause as well as other alkalies that are renewed, for there is strong acidity during those hours which is administerd in various operations of medicine and also cauterization of other members, where operation acts like a burn.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	Indeed, some of these medicines are applied with a wide cautery, so they must be thinned and non-cauterized in such a way that they can be mixed.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	The tale tells of an old man who underweb a certain operation and treatment was cured from his hip pain as well as sciatica; indeed the result is remarkable in that, according to the story, he needed no further therapy and within a week he was able to bathe and walk again like before.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	It must be of a certain age to be harvested and not rotten; it should have recently blossomed; and moreover, it needs to be thinned down slightly with some forceps during the time when it's attached to the vine or tendril that caused pain or discomfort.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	Law S is applicable if the amount does not exceed three hundred or in case of bad faith, a penalty equivalent to double the value may be imposed.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	A prop met the body in water and then place its head under, when it starts to choke, push that into the belly, as the pain stops and gets healed.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	Herbs that should not be consumed without professional guidance are these remedcuations, but rather for the purpose of cleansing the body.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	Mays and Escorides advise that when you cut the great vein of a goat, it should be cauterized; then restrain your breath as follows: take some woolen thread soaked in old oil and place it between the fingers and toes.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	To dye wool using onion skin and alum mordant, follow these steps:
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	Upon drinking water, and as long as the refreshing sensation persists, it will bring relief to your achy muscles and soothe the pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	This particular method of cauterization is called the cattle cauterizer.
Capitol .xlii.	In the context of government and politics, "Capitol" (capitalized) refers to the building in which a legislative body meets. For example, in the United States, it often refers to the U.S. Capitol Building located in Washington D.C., where both houses of Congress - the Senate and the House of Representatives - meet.
De cauterizacio de dolor de dos.	Cauterization of the second degree burn pain.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some heart pains occur on both sides due to various causes such as compression or impact, excessive evacuation, and similar reasons, as well as through the ingestion of moist, dirty material.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	"A cat's claw is not made of this one species, which is produced by the effusion of a sticky substance."
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	In Donc Cove, a prop of the evacuation from illness, use am pills and similar items on your skin that are applied in lines across where you feel pain, but be careful not to overdo it for each line with cauterization or more, according to the tolerance of the sickness and the potency of the treatment.
E sia fayta cauterizacio am cauteri de punt.	S has underg cuatreraio cauterization of the point.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	If you get cut or injured in three places (or four), apply a sterile adhesive bandage to each wound according to the following method:
Capitol .xliii.	Chapter XLIII (43) in a book is referred to as "Capitol xliii" when using Roman numerals. In the context of an index or table of contents, it would be written with the letter 'C' for Capitol followed by 'XLIII'. So if this were indicating Chapter 4amoongst other chapters in a book titled "The Rise and Fall," you might see something like:
De cauterizacio al comensament de gilbositat.	Cutting during the treatment of hemorrhoids.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Malformations occur due to this illness in the childhood period, and a sign of its commencement in children is that it affects their skeleton structure by causing elongation and movements.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	At the last vertebra of the second section and in the notes that begin to rise above the others.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	Thus when you come upon an opportunity and desire to forbid or block something, here is a way to create a circle around that particular object according to this form:
que prengua le cauteri sobre tota partida del spondilh engualment.	Take a cauterizing agent over the entire area of the spinal contusion.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	If you want to perform a spinal fusion surgery using bone grafting and metal rods or screws, follow these steps for the procedure:
E sian les puntz propdas entre lor.	The French sentence "Les points de suspension sont utilisés pour indiquer une omission ou un espace" translates to "Ellipses are used to indicate an omission or pause in English." Here is the translation with proper punctuation:
E aprop cura le loc entro que sia sanat am aquo que havem dit.	A proper care within the limits of water that has been mentioned is necessary.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	May's doctor advises that caulking should not be administerer in cases of hemorrhoids that have caused muscle spasms.
Capitol .xliv.	Chapter XLV (45 in Roman numerals) of the United States Constitution is dedicated to the legislative branch, known as Congress, which consists of two chambebters - the Senate and the House of Representatives. In this chapter, various powers, responsibilities, and limitations are outlined for both houses of Congress, including their composition, rules, procedures, and methods for passing laws.
De cauterizacio de podagra e de dolor de juncturas.	Treatment of gout and joint pain flare-ups.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	There are various joint pains that stem from imbalanced humours and cause discomfort in every member of the body; these often result in pain in the limbs, as is common among physicians, they recommend leech therapy specifically to address this issue.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	Then go to the doctor as soon as possible because of your gout pain; it won't get better on its own and may require a special treatment or surgery.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	It is that you cauterize the tube for drainage in the loop of the joint of the middle third toe.
E sia cauteri olivar del qual aquesta es la forma de lu:	Let S be the oval shape of which this is its form:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	It is necessary that the piercing on the earlobe be done by a professional during scheduled cauterization appointnment.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	If the pain persists in the joints or at other junctions, and then moves to a certain vein, it should be punctured with three or four lancing tools of equal size from this olive tree lancet set.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	Then you may apply the cautery at such times as it is necessary; but do not apply too much heat to your own body beforehand, just warm up only the area around the vein.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	"And the two pains struggle within the throat, while hours distribute the cauldration that we have mentioned in its capital."
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	The pain is only in the most intense moments, and it seems unbearable; hours pass as if they were part of a light bulb' cuircuit, oscillating just like those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	"The pain leaves through the words, moments pointed in the circuit of the lights above each night and over the edge of dawn."
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	When pain comes close to heartaches or muscle aches, hours of resting help alleviate all types of discomfort.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	In the event of an injury or illness, prompt medical attention and proper treatment are crucial for healing. May God be with us in times of need.
Capitol .xlv.	In the United States, a capital (also known as "Capitol") refers to the building where state legislatures meet and carry out their duties. Each of the fifty states has its own Capitol building in which its senate chamber and house of representatives can convene for legislative sessions.
De cauterizacio de rompeduras.	Cauterization of fistulas.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	Quaen endeve wandered through the fields and saying the words before the altar to his father, and then he began to pray that you might not command your enemy to starve on this day and that use of lenient reasons so that he may be freed from his own body.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	Follow the rules of good conduct among your peers and command them to keep their hands within that is not thrown or appears outside the boundaries.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	E à propos retorna o que lhe parecem as chaves e a senha, tenta então a divisão sobre os óleos do pentanilh, a extremidade da qual seja semelhante ao maior de círculos das subiranas partidas do cordeiro.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	Approximations of the cauterization methods which this form represents:
entro que sia mot rog e gete cintilhas.	Within the realm of light, may we always embrace and adorn with sparkles.
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	Person A apologizes for reducing the size of his/her tent and promises to move it back over their spot where the tent does not encroach.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You have traversed through the trials of sickness and loss, but now you take a moment to pause, and serve others from your abundance, holding onto what is most precious in life.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	Article 508: The landowner shall provide the necessary tools and materials for burning at his boundary markers, including wire for marking; if not obtained during the first attempt within one year from the day of notification (hereinafer referred to as "the time of notice"), further attempts may be made annually until then.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	At the time of the bees' incision, you observe the nature of the wound in Buddha's body, which does not burn that cloth solecuously to prevent such evil from causing death or other great misfortune.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	The elders say that if you do not use the lens for observing stars and other celestial objects, your task is incomplete.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	B. The manner in which the circumcision of children is carried out should be subtle, according to their size and measurements.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	A proper care of the wound site for three days is essential to ensure that it heals without complications following cauterization around the area where the lesion was located.
E aprop cura aquel am les autres enguentz entro que sia sanat.	A friend who is true in times of health and sickness will always be appreciated by others around them.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	The illness must remain silent upon his head for forty days, during which the place and its people shall be sealed off.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	A cove that pauses nurture the wound as time heals it; and the belly does not swell from excessive effort to fight.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	How long does it take to travel from one city to another by train, including layoangs and other stops? This journey will last approximately X days.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	A is to abstain from labor and food excesses, and drinking copious amounts of water; in its entirety, this regimen will lead to complete health recovery.
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	The healing of ruptures in the other parts of the belly should be treated first, and at once, cauterize the rupture on that side using red-hot iron according to its amount, together with all exudates from the wound as well as blood from the third part. Then attend to the mentioned area with warm water until it is healed, without causing injury.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	In the initial steps to close a wound using a triangular cautery technique, follow these instructions carefully and ensure safety at all times:
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	In the field of linguistics, line length and syllable stress play a significant role in determwart the rhythm, cadence, and overall fluency of speech during language breaks such as pauses or hesitations. Proper line lengths contribute to easier comprehension, while appropriate syllable stresses can enhance the natural flow of spoken words.
Capitol .xlvi.	Chapter XLVI.
De cauterizacio de torcio.	Torus fracture cauterization.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	A patient is experiencuing persistent pain due to fractures or trauma and has not found relief through conventional medication. They are seeking advice about the use of cautery needles for treatment.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	E be the cauldrations of all limbs according to the size and smallness of them, their value and inflammation, as well as location of ulcer and pain in them.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	If the first attempt at burning is not successful, she will repeat the procedure; because it is customary for those pains to be located near a certain limb, so that you hope that with these further burns around the area of discomfort, the illness will heal.
Capitol .xlvii.	Chapter XLVII.
De cauterizacio de lepra.	Leprosy cauterization (also known as the "cobbold method") was an archaic treatment for Hansen's disease (leprosy) that involved applying a caustic substance to lesions on the skin in order to destroy them. This method, however, was not effective and could cause severe damage and scarring.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	The ancient Lebroso remedies are often used for great pain relief and modestly for the type of leprosamo caused by brain fatigue and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	Thus you shall cauterize the mentioned spot, considering if leprosamen is common and that said water may heal it as per the division aforesaid, neither this nor any other place should be left out or neglected, lest the corruption consume the whole body and cause total impairment. On the crown of his head (H=V), make the first cauterization at the temple near hair parting; secondly between these temples on the forehead; thirdly above both ears; fourthly behind the ear, or over a node if there is one.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	The final step of the procedure involves making a small incision within the bone using the hot iron, and removing any previous scars to allow for an increase in thick vapors rising from it; then proceed with cauterizing over the wound as soon as possible.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	And if leprosy is manifested on the body, then you shall cauterize the affected areas as mentioned before in the head; and burn with a hot iron on the extremity of the nose, and two on each nostril, and two over the vertebrae of the neck, and five over the spine, and one across the collarbone area, and another above the shoulder blade. Also, cauterize two on each arm bone, and one on each finger joint; and two on each leg bone, and one on each ankle, and one on each toe; and two over each rib and one on each hip joint. Additionally, you should cauterize all the affected areas of the skin and limbs mentioned before with leprosamo, as well as on each muscle and tendon of his body.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	The nerves that are not under the spinal cord do not control those muscles.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	In some cases, certain wounds are treated with a heated instrument known as a caustic cauterizer on the tibia of the penis and another on the mouth of the stomach, and yet another one on the anus.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	The wise ones who are more accustomeed to the fire will find it less painful and beneficial; but those with a poor constitution should not endure the cauterization, for their bodies have been astonished by this method too much.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	A) Clean the wounds, then apply large or small dressings according to the size of the members and joints as previously described for the types of instruments used.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	The correct translation of the text from Friulian to English is: "He applies the caustic ointment made with wax and honey, as well as another cure within which it has been healed."
Capitol .xlviii.	Chapter XLVIII (48)
De cauterizacio de stupor.	Cauterization of a stupor.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	If any member is wounded or bandaged and is being treated with medicines, ointments, and plasters, but remains unhealed, then you should cauterize that member using a caustic agent according to the size of the limb or its smallness.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	F is the heating element inserted into a small incision in the knee joint slightly.
E aprop cura aquel am enguent entro que sia sanat.	A) To heal with this ointment within which is healthy.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	Some cases of paralysis are treated by cauterizing certain nerves which supply the muscles and surrounding tissues of the affected limb(s) or region, after which the paralysis is alleviated.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	Mays does not prescribe the water itself, but that which is found in the dissection of limbs and nerve exits throughout the entire body.
Capitol .xlix.	Chapter XLIX (49) of the United States Constitution is not explicitly called "Capitol". The term you might be referring to could be Article I, Section 8 which outlines the powers delegated to Congress, or perhaps it's a chapter in a book that discusses aspects related to Capitol Hill.
De cauterizacio de albaras que es morfea.	The removal of a mole that is nevus sebaceous.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	Quan albares es antiqua et no confieraís a l'algua dels enfangis de medicina, tostant sobre aquella amb un poc segons la quantitat del tinc que és remugat entre la blancura i el color d'ell. La cori acaba de canviar.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	Take equal quantities of barley flour and lentils; roast them separately until they turn brown. Grind the drumstick seeds (Colombo) and the wing beans into a powder, each in equal parts, then mix everything together. Finally, pour in oil and stir well before serving hot.
Capitol .l.	The U.S. capital, also known as Washington D.C., is the seat of government and houses important federal buildings like the White House, the Capitol building, and the Supreme Court. This city plays a crucial role in American politics and history.
De cauterizacio de cranc.	Cerebral aneurysm clipping surgery involves the placement of a small metal clip at the base or neck of an aneurysm to stop blood flow into it and prevent rupture. This procedure is typically performed by a neurosurgeon through a craniotomy, which entails removing part of the skull to access the brain.
Quan canser es comensan e vols aquel ostar, lahoras cauteriza aquel am cauteri de cercle en le circuit de lu ayssi cum es revolgut.	The Cancer constellation is one of the twelve zodiac signs and represents a crab in astronomy. In astrology, those born under this sign (from June 21 to July 22) are said to possess characteristics such as adaptability, creativity, sensitivity, but also stubbornness and moodiness. The constellation appears in the night sky from late summer through autumn, revolving around the celeste circle along with other zodiac signs within a year's cycle.
E diysero les savis que sia cauterizat am lo derier cauteri en le mieg loc; mays a mi no es vist aquo, quar temi que sia ulcerat, e yeu ja e vist aquo alcunas veguadas.	The following text is in Occitan language (Occitano-Romance), which belongs to the Southern branch of Gallo-Romance languages and predominantly spoken in southern France as well as parts of Italy, Spain and Monaco.
E es pus dreyturier que sia cauterizat en le circuit de lu am cercle ayssi cum avem dit, o am motz cauteris.	E is more direct than its counterpart in the electric circuit as we have mentioned earlier, which has ten resistors.
Capitol .li.	The capital of Liechtenstein is Vaduz, which corresponds to the domain ".li" as it is a top-level domain (TLD) designated for the country'aderence code for Liechtenstein in the Domain Name System (DNS).
De cauterizacio de adubilati.	Cauterization of an ulcer.
Quan alcun adubilati es tardat en maturacio, e aysso es per la superfluitat fazen aquela, o per etat del malaute, quar es vielh en decrepitat, de pauc sanc, o per le temps, e tu vols festinar en la maturacio de adubilati; lahoras cauteriza en le circuit de lu am motz cauteris petitz punctan; e aprop leyssa aquela quar ela fastinara en maturacio.	When certain types of fertilizer are delayed in maturation, and as such result from excess or bad health (as it ages), little moisture, or over time, if you wish to hasten the maturation of fertilizer; spray at times throughout the yearly cycle with a cauterizing agent like lime powder. And apply it so that it does not deplete during maturation.
Mays si tu vols la perforacio de lu am cauteri, lahoras tu igneys le cauteri del qual aquesta es la forma de lu: e depausa aquel en le mieg loc de adubilati entro que penetre la codena.	If you want to perform the perforation of your animal'n horn, here is how this procedure goes: firstly ignite a cauterizing tool (such as silver nitrate) and then insert it into the base location where adornments are usually placed until it penetrates through the horn core. Please note that performing such procedures should be done by professionals or under expert supervision to avoid any harm to your animal.
E si le cauteri en aquel loc que es pus dejos, per so que le cors del brac sia alleujat; e aprop cura aquel entro que sia sanat.	In cases where the wound has scabs left over, in order for the body of the arm to be healed up, and as soon as it is within that it is cured.
Capitol .lii.	Chapter 12: The Legal Landscape of eCommerce in Europe - An Overview from www.capitollibrary.org/resources/legal_ecommerce_eu.pdf.
De cauterizacio de corrodent.	Cauterization of a carbuncle.
Corrodent es corrupcio ambulant en le membre, la qual corrodeys aquel ayssi cum a foc comedent lenha secca.	"Corrosion eats away at the limb in much the same way that fire consumes dry wood."
Donc si vezes aquel corrodent en loc le qual sufferte cauteri am foc, lahoras tu igneys cauteris clavils motz paucs, e grans segon que es convenent en aquel loc en le qual es corrodent.	If you apply the caustic substance where there is a burn with heat, then afterwards ignite small and large pieces of charcoal as appropriate for that location where the burning occurs.
E aprop cauteriza aquel de tota partida entro que erradiques tota la corrosio e no romangua alcuna causa de lu.	Cauterize that area completely in order to eradicate the entire corroded portion and avoid any possibility of leakage.
E aprop leyssa aquel per tres dias, e pausa sobre les locs cauterizats solpre trissat am oli mesclat entro que las scaras sian totas eradicadas e tota la corrupcio.	Righteously so, he shall apply that ointment for three days and place it upon the caustic spots until all scars are fully removed and complete rejuvenation is achieved.
