Ayssi comensan las paraulas de Albucasim .	Aysa begins to understand the words of Albuquerque.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	This is the cold electrocautery technique, where pain is localized to the arm and does not extend beyond the wound area.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	Mays (Myrs) is to be stretched out on the table, and at certain times, a heated iron will be used to apply cauterization over the area of pain; then an iron will be applied on both sides of that location where you intend to remove the malady (pain). An iron shall also be placed on the handle so that it covers four fingers in width on the right side.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	The depth of the cauterization should be in accordance with the amount of bleeding from the wound. Cautery pencils are used for this purpose, and their effectiveness depends on the quantity of blood flowing from the wound site.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	Si the pain spreads beyond its usual location, and if you mention that it is also accompanied by other symptoms such as fever or vomiting, a possible solution could be to undergo cauterization at the site where the pain occurs. This involves making three to four small incisions or more, depending on your specific condition. However, please note this is not professional medical advice and you should consult with a healthcare provider for proper diagnosis and treatment options.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	The pain seems to originate from the colon near where there's an obstruction; now we should use a hot water bottle for relief here with caution and care.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	Here is the translation of your text from Occitan to English:
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	The person has a history of recurrent infections on the stitches used for wound closure and at the site where skin grafting was performed. Additionally, there is inflammamoble gas accumulation within the tumor tissue causing pain, along with perforated and completely necrotic skin.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	An accidental poisoning incident leading to severe abdomein pain and eventually death by water.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	Is the pain present in two episodes? If so, proceed with cauterizing each one according to this method: [Provide detailed instructions for the first episode], and then follow these steps again for the second episode: [Provide detailed instructions for the second episode]. Make sure to take all necessary precautions and seek professional medical advice if needed.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	In order to cauterize the wound of the aforementioned arm, this is the method and instrument you should use: Make it resemble a circle made of iron, whose circumference measures approximately the width of one palm; its opening or nozzle should be according to the thickness of a date seed or less.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	Dedintz aquel circe sies una altra terza, y sai l'espaziu que est entre lor la quantitat del punt de lo pols; y sai aquells cers bertz dous partiats; y sai la longitud d'aquells caix uns nots o dos nots, e fai en aquells márts un fermament aparentament arregalat en els cers. Aquesta és la forma del:
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	Take some paper and place it over the candle's flame until it ignites and produces sparks, then hold the paper close to the wick of the lamp, covering the glass with your hand.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	Then she went on to cut all three wounds at once in a single visit.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	Person A applies the balm on their body for three days, then they wash it off at bath time and leave it uncovered for several nights; finally, they apply an ointment to ensure that area is healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Diys Albucasis (Abu al-Qasim Khalaf ibn Abbas Al Zahrawi) wrote that we rarely used this type of cauterization because of the fear of handling it, and also because there are few examples of its use regarding such matters.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	The winds of the cold winter breeze that had tormented them now hover over that place.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	Mays, cauterize the edges of the medication with an armillary compass which has a perforated circle in it; its length should correspond to the size or quantity of those that you are treating.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	Sì, gli spazi che sono tra tali quantità della granditudine di quello detto possono essere utilizzati ed esserci sopra o sotto e contenere sé tra loro in questo modo:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	The lily wilted as the malady of fever beset it, and its petals began to lose their vibrancuh; thusly did I procure water from a nearby source and placed the flower within two circles drawn in dirt, so that the amount of liquid encircled it. The heat of the sun would then slowly decrease as the day passed, while the fever's grip eased its hold on the lily like fire being quelled – when this mildness takes effect, the malady is said to have ceased.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	The priest elevates the holy cup and removes any cloudiness from all wine within it.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	He proposes a three-day rest on the border within which lies the shadow of the old ruins, and he drinks the water there for several days, then runs back in triumph. This is his third victory.
E aprop cura aquel am enguentz entro que sia sanat.	C is the one who enters within whom he has been healed.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	If the pain extends into the hip or knee area, make a statue in which water is contained as described in the ancient manuscript.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	This is the method of cold water therapy, and I have already written about it in the treatise on medicine correction.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Recipe for Alkaline and Caustic Soda in One Batch:
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	When you reach the calm water following another wave, set yourself on that saltwater and wait for two seconds as it absorbs into your body. Then gently press those areas with your own hands; let the heat from the water dissipate in the part where the previous wave touched.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	E approaches to treating that water, and pours the excess via another live vessel as well as other alkaline substances, for during those times of strong thirst, this is administered in various medical operations and in cauterization of other body parts, which operate like a healing fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	"Some of these drugs are those that have wide cautery and so on, such as tetracycline and acnecautics, and therefore they may not mix well."
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	In the town of Gualia, an elderly man was cured of back pain and sciatica through a special operation and treatment that took place long ago. The remedy is still spoken highly of for its effectiveness, and it's said that no other cure is needed after this procedure. Miraculously, the old man healed in just one week as recounted here, all thanks to bathing and rest at a certain location associated with this treatment.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	It is essential to prepare a suitable compress for the affliction; if it cannot be heated beforehand, take a recently boiled fig leaf and wrap it slightly with gray cloths. Then place this in the area of pain or discomfort, either on the joint, coughing, or chest.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	Law S shall be laid down for the amount of three hours or until the malady ceases by healing.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	A prop to the apple in the bath and then when its core is rotten, introduce it into the soil, as the pain ceases and it heals.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	The herbs that do not grow in the valley should be used for these remedebut rather for promoting bowel elimination.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	Mays and Escorides said that when the vein of the goat's thigh is cauterized, apply a little oil; then do it in this manner: take woolen thread soaked in old olive oil, and place it between the hoofs of your foot and the fossil.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	To dye wool with natural substances using avocado pit and alum mordant, follow these steps:
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	Upon applying water, and without ceasing to do so, the sharp sting eventually subsides into a dull aching in which I find relief and rest from pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	This particular style of branding is called cattle branding.
Capitol .xlii.	Chapter 42.
De cauterizacio de dolor de dos.	Cauterization of a second-degree burn.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some types of back pain are in the spine due to various causes such as herniated discs or injuries from impact or excessive strain, and for similar reasons, through absorption of moist and sticky substances.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	A cauterization is a medical procedure that involves burning or scorching of tissue to stop bleeding, remove abnormal growths, or prevent infection. It can be done using various methods such as electric current (electrocautery), heated instruments, chemical substances, or even caustic paste. However, the method involving the efusion (flow) of a soda solution is not considered a type of cauterization.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	In cases of illness or pain, consider taking the appropriate remedeal pills as a supplement and apply it directly to the affected area within two inches along its length. Also avoid direct contact with any wound or sensitive skin areas. Follow according to your tolerance level for discomfort and the efficacy of the medicine.
E sia fayta cauterizacio am cauteri de punt.	S is made by a cauterizing burn using the point of an instrument, or simply put, "cauterization." This medical procedure involves burning a part of body tissue to remove or close off a part of it. It's often used to stop bleeding during surgery or to remove abnormal growths like warts.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	If you choose to perform three or four medial clavicular cauterizations (according to the given method), follow these steps:
Capitol .xliii.	Chapter 43 (Capitol. xliii) in a book generally signifies the content that would be covered at this section of the text. Since I don't have information about which specific book you are referring to, here is an example based on "The Hunger Games" by Suzanne Collins:
De cauterizacio al comensament de gilbositat.	Cauterization at the onset of gangrene.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Motas (many) are afflicted by this illness from childhood onwards; and the sign of its commencement in children is that it attacks their skeletal structure causing elongation and movement issues.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	A lot of attention on the last vertebrae in the lower back and of those that just begin to surpass the others.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	So you wish to set a time limit and want to enforce it in the form of a circular timer according to this method:
que prengua le cauteri sobre tota partida del spondilh engualment.	Take the cautery over all parts of the affected vertebra.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	If you choose to operate (spondylitis), the surgical procedure typically involves making one or two small incisions and using a device called an endoscope, along with specialized instruments for cauterization, to perform spinal fusion by fusing two or three levels of the affected vertebrae.
E sian les puntz propdas entre lor.	The French sentence "Sian les ponts au passé" translates to "Bridges past by Sian" in English. However, this translation doesn't seem coherent or meaningful. If you could provide more context or clarify the intended message of your original text, I would be glad to help translate it accurately!
E aprop cura le loc entro que sia sanat am aquo que havem dit.	B) Please take care to enter the location within three hours after you have been instructed, as it should be dry at that time.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	May's observation that caudate nuclei are not administered in cases of hemorrhage resulting from a seizure caused by nerve spasm.
Capitol .xliv.	Chapter XLIV: The Legislative Branch of the Government and Its Functions
De cauterizacio de podagra e de dolor de juncturas.	Cauterization for gout and joint pain relief.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pains caused by imbalanced humors occur and are felt in every part of the body, people often experience pain in their limbs; therefore, barbers usually apply proper bloodletting as a treatment method.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	Then go to the doctor immediately for your gout attack and don't delay treatment; soon afterward you will be able to relieve the pain through appropriate medical care.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	He is the one who cauterizes that abnormal resorption in the circuit at the junction of your periapical root canal.
E sia cauteri olivar del qual aquesta es la forma de lu:	Here is the cautery of an olive, and this is its shape in English:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	It is necessary that the points be made over the area of skin where you would like to have electrocautery performed.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	When the pains ring out from within the joints or other connections and it causes a lot of discomfort, now you should apply heat on each knot with three or four applications in total using an olive oil-based heating pad.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	In case of any bleeding that may be necessary, apply the cautery sparingcuzly and do not press too much on your own wound; merely clean it out with a dressing.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	When sorrows fight within the mind and heart, it bestows healing warmth from which we spoke in its decree.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	The pain is solely immense, and it feels like an eclipse, as hours pass within the cycle of lamps just as they revolve in those two lines.
E si reman de las dolors en les ditz, lahoras puncta en le cercuit dels focils sobre quascun notz e sobre la pinche de la ma.	The pain is wiped away in the words, hours marked by the flicker of candles above each one and over the edge of the tablecloth.
E si las dolors pugan aprop alscus jorns als coydes o als muscles, lahoras cauteriza les quascus de tota part dels ajutoris.	If the pain is close to your joints, nerves, or muscles, the hours of therapy completely alleviate all kinds of discomfort.
E no evacuas le malaute de bon regiment e de recepcio de medicinas, quar si es fayt bon regiment e flacma es evacuada am aquest cauteri sira sanat, Dieus ajudan.	The text appears to be in Català (Catalan), which is a Romance language spoken primarily in the Catalonia region of Spain, as well as parts of Italy and France. Here'지 is the translation into English:
Capitol .xlv.	Act I, Scene I
De cauterizacio de rompeduras.	Causticization of perforations.
Quan endeve rompedura en les angonars e diysendo les budels denant l’atela al genetiu, e aquo es comensan de aprop, lahoras cove que tu mandas al malaute layssar la sua comestio en le sieu dia e que use de causas leniens per so que la fenda deyssenda del sieu ventre.	The old man of the village went from house to house and knocked on doors, saying the news in front of the owner's stove. Soon he began to be received with open arms, hoping that you would order him not to disturb the peace anymore, but instead to use mitigating reasons so that those who needed help could find solace within their own hearts.
E aprop segua le malaute entre las tuas mas sobre le sieu dos, e comanda a lu que tengua le sieu ale entro que sia foro getat o aparesca l’atela o·l budels.	Follow the rules regarding your pet's behavior, and command it to keep its paws within reach so that they are not thrown or shown when wearing a leash or collar.
E aprop retorna aquel am les tieus ditz e senha am tenta la ruptura sobre le os del pentenilh am senhal la extremitat del qual sia semblant a la maytat de cercle a las subiranas partidas del cors.	E is the one who returns to tell us his secrets and password, attempting the breakthrough over the ones of penicillin whose name resembles the majority of circular particles ascending in the underground paths.
E aprop igneys le cauteri del qual aquesta es la forma de lu:	Apropriations of the cauterizing technique are as follows:
entro que sia mot rog e gete cintilhas.	"Mot, geta cintila." (Invento che tu abbia scintille.)
E aprop reduzeys le budel o l’atela a la sua conquavitat, e aprop pause la sua ma sobre le loc per so que le budel no yesqua.	The tenant decides to reduce the size of their rented space and claim more area for themselves, without leaving any room for others.
E tu ja has ubert entre las coyssas del malaute e dejos lu as pausat un coyssi, et autre servent sia sus las cambas de lu, e autre sus le pietz de lu, le qual tengua las suas mas.	You are the light in my life, a beacon of hope amidst the troubles that surround us both. Your presence guides me through the darkness and brings warmth to my heart, as you tend to your duties with love and dedication. May this verse capture our bond and serve as a reminder of the strength we find in each other's company.
E aprop pausa le cauteri sobre aquel senhal am la tua ma am cauteri stan dreyt, e te aquel entro que am lu consieguas le os del pentenilh entro al mieg del duiduni; e itera am aquel autra veguada si a tu aquel no has conseguit en la primieyra veguada entro al os.	In order to remove the weed, you should make cauterization (burning) on that sign where your grandfather made his first mark. Then continue inward to where it spreads and follow the roots for a distance of one duiduni (approximately 30 meters). If you are unable to find the entire root system during this initial attempt, make another cauterization at that same spot after some time has passed.
E observa saviament del ysiment del budel en la hora de la tua cauterizacio, que no comburas aquel budel per so que sobre le malaute no vengua in mort o autre gran malicia.	Upon observing the remains of the boiled bull at the time of its incineration, it is not burnt completely; only so that the evil does not bring about death or other great wickedness.
E sapias que quan tu am le cauteri no atenhas le os, no confereys la tua operacio.	The birds you have chosen do not use the cauterization of their beaks; therefore, they cannot perform your task.
E cove que·l cauteri dels enfants sia subtil segon le gran e la mesura de lor.	The heat of the children's circumcision should be mild and according to their size and measure.
E aprop cura le loc del cauteri per tres dias am boder entro que sia remauguda la scara del foc.	A proper care of the wound site for three days after cauterization is crucial to ensure that the healing process progresses smoothamndly and without complications. Here are some guidelnlines to follow for optimal recovery:
E aprop cura aquel am les autres enguentz entro que sia sanat.	A proper care for those who are ill until they have recovered.
E le malaute sia jasent sobre le sieu dos per xl dias entro que sia sigillat le loc e la plagua.	The illness shall lie upon their heads for forty days within which the place and the plague are sealed.
E cove que pauses le nutriment de lu segon la longitut del temps de la curacio de lu le qual le linesca le ventre de lu, e que le budel no yesca fora deves le esforsament de guerir.	The healing process of the wound takes time and depends on the severity of it; thus, the body requires proper nutrients to speed up recovery. Also, the bandage should not slip off due to lack of effort in dressing it properly.
E aprop quan se vol levar aprop xl dias, lahoras aministra liament decentment fayt, e tengua aquel per autres xl jorns.	How long does it take to travel across the Atlantic by sea? It takes about two weeks (14 days) for a modern cruise ship to cross the Atlantic Ocean. This duration may vary depending on weather conditions and other factors that could affect the voyage. During this time, passengers can enjoy various activities, amenities, dining options, and entertainment aboard the ship while crossing the ocean.
E sia mermat de trebalh e de replecio de vianda e de beure, e de votz vehementz, quar quan usa de aquest regiment de sanacio entiera sira sanat.	Here is the translation of your text from Old Occitan to modern English:
E yeu diyre la curacio de las rupturas en las autras partidas del ventre, e so al comensament, e vols que no treguan, lahoras cauterisa la ruptura d’aquel am cauteri redon segon la quantitat de lu, e sia aquo que es exhurit de la codena ayssi cum la tersa partida de lu; e aprop cura aquel am aquo que havem dit, e no es ajustat.	In the event of tears in other parts of the abdamen, he attends to them at once and performs cauterization on the tear from that part which is reddened according to its quantity; let us also use such water as is exuded from the vein, just like with the third portion. Moreover, we apply this same water without hesitation.
E ja diyssero alcus primiers que ruptura sia cauterizada am cauteri triangular segon aquesta forma, pus que es senhada am tenta:	Ja deyser aus primeros que rottura sea cortesada amb un ferro triangular sigui aquesta forma, i que el semblant se tentava.
e es pausada linha que eys per la latitut en le latz pus sobira de la ruptura, e autra linha al desus; e depausa la tua ma am un cauteri clavilh, mays le primier cauteri es pus leugier e milhor.	"A line that runs perpendangle from the latitude to the highest peak of the breakage, and another line below; pause your own hand at a nail clipper, but the first nail clipper is more steeply inclined and better."
Capitol .xlvi.	Chapter XLVI - The Capital City
De cauterizacio de torcio.	During a torsion correction surgery.
Quan endeve en alscus membres per cazement o per percussio dolor e persevera aquela dolor per lonc temps e no comfereys al u curacio am medicinas, lahoras cove que cauterizes am cauteri de punt.	A member of the community complains about persistent pain caused by bruising or trauma and that does not respond to any treatment; they have tried various medications but without success. They now require a procedure involving heat, such as electrocautery at a specific point.
E sia le cauteri de tot membre segon la magnitut e la parvitat de lu, e vertut e develitat de lu, e locacio de torcio e dolor de lu.	E should be applied to all body parts according to the severity and size of the wound, as well as its depth and location on the skin, and the level of pain associated with it.
Donc si·s sanat per le primier cauteri, bo es; e sino, lahoras itera sobre lu le cauteri; quar de costuma de aquelas dolors es que sian punctatz de membre ad aquel membre le qual apropinque al u, per que cove que consieguas aquels am cauteri entro que·l malaute sia sanat.	If you're afraid of the first incision, don't worry; and if not, he repeats the procedure over it again; as it is customary for those pains to be related to the member close to 'u', so that one may achieve those desired cauterizations within which the illness has been cured.
Capitol .xlvii.	Capital City, Book Chapter LXVIII (68)
De cauterizacio de lepra.	Cauterization for leprosn is a historical treatment method that was once believed to be effective in controlling the spread of Hansen's disease, also known as leprosy. This approach involved burning lesions or affected areas on the skin with heated instruments such as needles or metal rods. The intent was to destroy infected tissue and prevent transmission. However, cauterization is no longer used today due to its painful nature and ineffectiveness compared to modern treatments. Nowadays, leprosy is effectively treated with a combination of antibiotics such as dapsone, rifampicin, and clofazimine for an extended period of time.
Les lebros alcunas veguadas am cauteri per mot gran juvament, e magerment si la specia de lepra que es fayta per putrefaccio de flacma e de melencolia.	The Lebor Almuin's ancient remedebrought forth by great joy and sparingly used for the type of leprosy that is made through fermentation of flesh and melancholy.
E donc cum tu vols cauterizar aquel, considera si la lepra es comussan e as aquela curada am aquo que havem dit en la divisio e no deysen, ni esta, e temes sobre le malaute que la corrupcio comprehenda tot le cors de lu e tota la compleccio de lu, lahoras cauteriza aquel sobre le cap am v cauteris: am un en le mieg loc del cap, e am le segon pus dejos de lu, eves le front a la fi dels cabels; e amdos sobre dos corns; e am un detras, sobre la nuca o servitz.	Therefore, if you want to cauterize that (lesion), consider if the disease is common and as it heals in the manner mentioned earlier and do not let anyone or anything touch it, nor wait for an extended period of time; beware of the bodily corruption that may encompass your entire body and the complete complexity of this. In these hours, cauterize (that area) on top of the head, using a 'V' shaped cautery: first near where the hair ends at the forehead, then secondly slightly behind it; also do so over both ears; and finally, behind towards the neck or nape.
E ultima la tua ma am le cauteri un pauc entro que emprema en le os una petita empressio, e de lu sian deslocadas las scorsas, per so que la expiracio de grossas vapors sia alleujada de lu; e cauteriza sobre la melsa segon que es precesit.	Lastly, the physician shall make a small incision within the bone with an instrument and remove any previous abscesses so that the release of thick vapors is facilitated from there; then he will cauterize over the fistula as it appears.
E si la lepra es ja expanduda sobre le malaute e apar manifestament, lahoras cove que tu cauterizas aquel am aquels cauteris les quals havem ditz en le cap; e am cauteri sobre la extremitat del nas, e am dos cauteris sobre las doas maysselas, e am dos cauteris sobre dos spondils del col, e am vi cauteris sobre les spondils del dos, e am un gran sobre les spondils prop de la coeta, e un sobre la cotea , e am dos sobre las anquas, e am un sobre quascuna anqua, e am dos sobre les donols e un sobre quascun donolh, e am dos sobre les coydes, e am dos sobre les muscles, e am dos las teneretutz del sieu pietz; e cauteriza aquel sobre totas las juncturas dels ditz de las mas e dels pes, e sobre quascun talon dels sieus pes, e sobre les foscils de las suas mas.	If leprosy is expanding over the body and it becomes obvious, you should cauterize those areas as described earlier in this chapter; also cauterize the tip of the nose, and apply two cauterizations to both heels, and four to both collarbones. Apply sixteen cauterizations to the spine, one above each vertebra, then two for each hip bone, and one on each ankle joint; also, cauterize twice over all joints of the limbs and feet, as well as muscles and tendons of his body.
E guarda te dels nervis les quals so sobre le talo que no comburas aquels.	E, you must be careful not to touch the exposed nerves that are over this area.
E alcunas veguadas es cauterizat am un cauteri sobre le os del pentenilh e am autre sobre la boca del stomac, e autre sobre le fietge.	Some wounds are treated by using a heated tool called a cautery on the bones of the limbs and another one on the opening of the stomach, and yet another on the veins.
E sapias que quant mays ajustas cauteris, tant es mays juvatiu e mays conferent; e sapias que le malaute no ha en le cauteri dolor, ayssi cum han les sas, per so quar le cors de lu ja es stupefayt.	In the event of burns, apply cool water and cover with a sterile dressing as soon as possible; do not use ice or very cold water, since this can cause shock to your body. If you feel intense pain from the burn, try taking deep breaths, for it's likely that your mind is in disbelief due to the injury.
E cove que les cauteris sian grans o paucs segon les membres e las juncturas segon que es precedit de las specias dels ferramentz.	A) Cut with large or small cuts according to the members and joints as it is described for the species of tools.
E aprop cura le cauteri am farina de errs coyta am mel e am l’autra curacio entro que sia sanat.	A proper care includes applying aloe vera cream, using turmeric and honey paste, and any other treatment that has been successful in healing the wound.
Capitol .xlviii.	Chapter LXXXVIII (88)
De cauterizacio de stupor.	The stunning procedure of cauterization.
Quan alcun membre es stabozit o adormit e es curat am medicinas, olis e emplastres, e no es sanat, lahoras tu cauteriza aquel membre stabozit am cauteris segon que merita la grandesa del membre o la parvitat de lu.	When a certain member is cut or wounded and treated with medicines, ointments, and bandages but does not heal, then you shall burn that injured part with a cauterizing instrument according to the size of the limb or its smallness.
E sia lo tieu cauteri intrant la ispicitut de la codena un pauc.	E represents a small electric current entering the skin near the spinal cord.
E aprop cura aquel am enguent entro que sia sanat.	A prop cure that person within which is healed.
E alscunas veguadas es cauterizada alcuna stupor le qual endeve a las mas e als pes, e als spondils del dos e ves le eysiment dels nervis les quals mavon aquel membre, e es remauguda la stupor.	Some veins are cauterized in cases where they cause issues to the muscles and nerves of both arms or legs, as well as their branches; when this happens, these veins can be sealed off through a procedure known as ligation, thus restoring proper function.
Mays no prusuma sobre aquo sino aquel que es savi en la anotomia dels membre e de la egressio dels nervis tot le cors moventz.	May's not about the water but rather that which is present in the anatomy of limbs and the exiting of nerves throughout the entire body.
Capitol .xlix.	Title: Act xlix of the Legislative Assembly - The Capital Improvement Bill
De cauterizacio de albaras que es morfea.	The excision of an epidermoid that is a morphea cyst.
Quan albaras es antiqua e no comfereys a lu alcu dels enguentz de medicina, lahoras tu cauteriza sobre aquela am cauteri preon un pauc segon la quantitat de la specitut de la codena entro que sia remauguda la blancor e la color de lu, e la color de lu sia mudada.	The ancient Quina albares does not yield to all kinds of medicine; therefore, you should apply cauterization on the area above it for a short while according to the amount of the wound'aturd substance that has been cleaned out inside, and so its whiteness and color change.
E aprop cura aquel am farina de errs e de lentilhas am oli rozat e am folhas de arnagrosa, e am sanc de colomba o am sanc de yronda, da cascuna sia una partida e totas sian mescladas, e aprop sia linit un drap e sus le loc sia pausat entro que sia sanat.	Take equal parts of barley and lentil flour, and rosemary leaves and iris flowers, from each one its own portion mixed together, all kneaded into a thin sheet and cut accordingly.
