Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Al-Baghdadi.
E sia la tua elevacio am la qual elevas la codena segon la longuesa del cors, per que sian faytz cauteris segon la latitut del cos.	And for your elevation, which is how you raise the body according to the length of the torso, so that cauterizations are made according to the width of the body.
E aprop entromet les dos vernimentz, ignitz mot, en aquel entro que am aquels penetres la codena de la autra part.	And then insert both streams into the middle, ignite them, in that place where those penetrate the spine from the other side.
E aprop extrayt le cauteri; e donc son faytz quatre cauteris.	And then remove the cautery; and so it is done by making four cauterizations.
E si voys, cauteriza am cauteri havent tres vernimentz.	And if you see, cauterize with a three-stream cautery.
E aprop tu cura le cauteri pus que aia laysat de getar brac per trops jorns, quar mays es comferent que las autras causas precedentz en la curacio.	And then you treat the wound from the cautery because it has had too much exposure to heat for too many days; more is considered better than the other previous causes in treatment.
Capitol .xxxi.	Title: XXI
De cauterizacio de ydropici.	On the cauterization of dropsy.
Cauteri no catz en ydropici sino en alcinte3 propriament.	Cauterize not in dropsy but specifically in swellings.
Quan tu curas le ydropic am las manieyras de curacio las quals havem ditas en la divisio e no confereys la tua curacio, lahoras cove que aquel cauterizes am quatre cauteris en le cercuit del embelic e am un cauteri sobre l’estomac, e am autre cauteri sobre le fietge, e am autre cauteri sobre la melsa, e am dos cauteris entre les spondils del dos, e un cauteri en lo dreyt del pietz, e am autre cauteri sobre l’estomac.	When you treat dropsy as we have described in the division and do not apply your own treatment, then consider that you should cauterize with four cauterizations around the umbilicus and over the stomach, and another one on the leg, and another one on the foot, and two cauterizations between the ribs of the back, and a cauterization in the middle of the foot, and another one on the stomach.
E la quantitat de la profunditat del cauteri sia propdana a la spicitut de la codena.	And the depth of the cauterization should be roughly equal to the thickness of the spine.
E aprop layssa le cauteri ubert per so que gete brac per lonc temps.	And then let the wound open up completely so that heat can reach for a long time.
E no evacuas le malaute de curacio aprop le cauteri am aquo que cove per que sian agreguadas a lu doas entencios, e sira festinada a lu am ajutori sanacio.	And don't remove the patient from treatment near the cautery as you would for someone who has been treated with two medicines; and it should be well accompanied by healing assistance.
La forma del cauteri am lo qual es cauterizat lo ventre sia clavilh segon que la forma de aquel es desus precedent, e es aquel am le qual es cauterizat le dos sia olivar segon qu’es precedent a la sua forma.	The shape of the cautery over which it is cauterized in the stomach should be similar to that of the one previously treated, and that over which the back is cauterized should be like an olive according to its previous form.
Capitol .xxxii.	Title: XXXII
De cauterizacio de pes e de las coyssas.	On the cauterization of limbs and thighs.
Quan les pes so apostematz en ydropitz e so repletz de aygua sitrina, cove que cauterisas les pes sobre le dos del pe in nocrati aquo que es entre le auricular e le anular, e eleva la tua ma am le cauteri e no torses aquel; e aprop eleva la tua ma, e no retornes aquela de tot, quar l’aygua satrina rezuda.	When the feet are swollen with watery dropsy and are filled with saline water, consider that you should cauterize the feet above the back of the foot in such a way that it is between the auricular and annular bones; lift your hand to the cautery and do not twist it; then raise your hand and do not return it completely as the saline water dissolves.
Es le cauteri segon aquesta forma: E aprop fay sobre las doas coyssas dos cauteris, e en quascuna coysa sia feyt cauteri am la extremitat del cauteri cutellar.	The shape of the cautery is like this: Then make two cauterizations on each thigh, and for every object that you have made a cauterization, do it at the end of the surgical instrument.
E sia le cauteri segon la longitut de la coyssa: i dejos le denolh e l’autre jos le mieg loc de la coyssa; e sobre quascuna coyssa dos cauteris.	And make the cauterizations according to the length of the thigh: leave one end and the other halfway on the thigh; and for each thigh, two cauterizations.
E layssa la plagua uberta ses curacio per lonc temps per so que alcuna aygua resuda de lu.	And let the opened wound heal over a long period of time so that some water dissolves from it.
E aprop cura le am aquelas causas las quals havem ditas.	And then treat with those causes which we have described.
Capitol .xxxiii.	Title: XXXIII
De cauterizacio de cos de ventre.	On the cauterization of abdominal cavities.
Quan cos de ventre es per freg e per humiditat entro que debelice las vertutz, so es la vertut digestiva e retentiva, las quals so en l’estomac e en les budels, e es curat aquo am las manieyras de curacio e no confereys, e vezes le malaute suffertan cauteri de vertut exhiberant, lahoras cauteriza aquel am gran cauteri sobre le sieu stomac segon que a precedit en la cauterizacio del estomac, am le cauteri del cercle e am quatre cauteris en le cercuit del embelic subtils, am cauteri clavilh subtil; e am cauteri sobre le alcatin sobre alozis gran, o am dos cauteris.	When the abdominal cavity is affected by friction and dampness causing distension, these are digestive and retentive functions which reside in the stomach and intestines. It should be treated as described in the methods of treatment and not your own; sometimes the patient suffers from cauterization due to the disturbance of these functions, so you should cauterize this with a large cautery over its stomach according to what was described earlier in abdominal cavity cauterization, with the circumference of the stomach, and four cauterizations around the subtle umbilical area, with a small, subtle cautery; and one cauterization on the spleen above the larger lump or two cauterizations.
E si vezes las humiditatz exhuberants e le malaute aquo tollerant, lahoras cauteriza aquel sobre le pentenilh e sobre les budels, e fort leu ajustant dos cauteris sobre l’estomac e prop dels inguonas, quar es curacio perficent de juvament de la qual no erras.	And if you encounter excessive moisture and the patient tolerates it, then cauterize this over the navel and over the intestines, enhancing your adjustment of two cauterizations on the stomach and near the groin area; this is a complete cure for youth which you cannot go wrong with.
Capitol .xxxiv.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
De cauterizacio de emorroydas antiquas.	Regarding the treatment of old hemorrhoids.
Quan so en la natura derier emorroydas antiquas o una de humors grossas fregas o de humiditatz corrompudas, e son curadas am aquo que havem dit en la divisio e no confereys la tieua curacio, lahoras cauterisa am tres cauteris sobre le pus dejos spondilh del dos petit e petit triangular, e am cauteri desus le ombelic cays per dos ditz.	When they are in nature causing old hemorrhoids or one due to large humors or corrupted wetness, and they are cured as we have said in the division and do not give your cure, then apply three cauteries on the pus left on the two small and triangular lumbar areas, and after that cauterize on the navel spot for two fingers.
E si doptas que l’estomac de lu sia enfregidat e la vianda de lu no sia degerida, e la cara de lu vezes apostemada, lahoras cauteriza aquel sobre l’estomac am gran cauteri segon que es precedit; e am un cauteri sobre fietge, e am autre cauteri sobre la melsa de lu am cauteri clavilh, e leyssa le cauteri per alcun temps ubert, e aprop cura lu entro que sia sanat.	And if you observe that the stomach of the patient is chilled and the food they eat does not digest well, and their face has become flushed, then apply a large cautery as it was previously mentioned; and after that cauterize on the chest, and apply another cautery on the back, and use a needle-like cautery on the belly area, leave the cautery in place for some time, and soon afterwards treat internally until they recover.
Capitol .xxxv.	Section 35.
De cauterizacio de atheyl aprop la abscizio de lor.	Regarding the treatment of anthers near their absorption site.
Quan tu abscindes atheyl, lahoras tu igneys le cauteri que es asemblat a ray.	When you remove anther, then you ignite the cautery that is ready as a tool.
Aprop entremet aquel ignit en aquel atheyl abscis, e ultima la tieua ma entro que pervengua le cauteri al orifici de la vena de la qual ve la sanc.	Place the ignited tool within that anther near its absorption site, and continue using your hand until the heat of the cautery reaches the opening of the vein from which the disease flows.
E fay aquo una vetz o doas, quar si achieyl son trops, lahoras cauteriza quascun de lor segon que havem recontat, e aprop cura aquels am aquo que confereys a lor dels enguentz entro que sia sanat.	And do this once or twice, if there are many, then cauterize each according to what we have recounted, and after that treat those with your prescribed ointments until they recover.
E si cauterizas am gran cauteri sobre alquatin, es mays derier en juvament.	And if you apply a large cautery on the buttocks, it will heal more quickly in young people.
Capitol .xxxvi.	Section 36.
De cauterizacio de fistolas que son faytas en la natura derie en las partidas de lu.	Regarding the treatment of fistulas that occur naturally in various parts of the patient's body.
Quan la natura no obeziys a la obra la qual havem recomtada en son loc, e·l pacient es espaventat per aquo, sia sanat am cauteri.	When nature does not comply with the procedure we recommended in its place, and the patient is frightened by this, they will be cured by using a cautery.
Donc quan ad alcun ve fistola en la natura derier, e es antiquada, corro sania de lu e humiditatz corrompudas, e donc aquo que es pus digne que cove es que proes aquela am tenta subtil, e aprop conoys la quantitat de la profunditat de lu am la devant dita tenta.	So when someone has a natural fistula in the buttocks, and it is old, full of pus that is both hot and corrupted moisture, then take that pus out with a thin tube, and after that know the depth of the area by using the tool mentioned before.
Aprop igneys le cauteri que es semblant a ray.	Place the cautery tool which resembles a ray for heating.
E aprop met aquel cauteri ignit en aquesta fistula, e segon la quantitat en la qual intrec la tenta.	And place the ignited cautery into this fistula, according to the depth in which the tube reaches.
E itera sobre aquela le cauteri entro que sian comburitz aquels cors corrumputz tost una veguada o dos o tres, segon la quantitat de la tua necessitat.	And iterate over that area with the cautery until those corrupted bodies are burned out. Do this once or twice or three times, according to your need's quantity.
E guarda te de combustio de nervi e de vena; o si fistula va al cors de la vesica o al cors del budel, lahoras guarda te de totz aquels locz; e no fassas aquo sino quan la fistula es en loc carnos e cogitas que no es penetrant.	And protect yourself from burning the nerves and veins; or if the fistula extends to the bladder or the intestine, then protect all those areas; and do this procedure only when the fistula is in a fleshly location and you consider it non-penetrative.
E aprop cura le loc entro que sia sanat.	And after that treat the area until it heals.
E si le loc es sigillat, e so abscindidas de lu las materias, e roman ayssi per lonc temps, lahoras sapias que ja es curat entierament.	And if the area is sealed off, and all substances have been removed from it, but it still drains for a long time, then you can know that it has been completely healed.
E si las materias no so de lu ostadas, lahoras sapias que es penetrant o en le preon de lu os corromput, o cays aquo de aquelas causas de las quals vindra rememoracio en son loc.	And if the substances are not from your body's own, then you can know that it is penetrating or in the beginning of your body's corruption, or it relates to those causes which will bring memory of themselves in that location.
Capitol .xxxvii.	Section 37.
De cauterizacio dels ronhos.	Regarding the treatment of sores.
Quan en les ronhos endeve dolor per freg o per grossa ventozitat, e per aysso le coyt del malaute es amermat, lahoras cove que cauterizes aquel sobre les ronhos am cauteri sobre quascun ronho am cauteri clavilh del qual precesic la rememoracio.	When in sores there is pain due to friction or by large wind, and the belly of the patient becomes pale, then take care to apply a cautery on those sores with a point-like cautery over each sore, using one that you have accustomed yourself to for recall.
E fort leu cauterizam am le segon un petit dejos, per que vindran tres cauteris liniatz, e donc siran mays deriers en juvament.	And strengthen the application of the cautery on a slight delay, so that three line-like cauteries will come in, and then they heal more quickly in young people.
Capitol .xxxviii.	Section 38.
De cauterizacio de la vesica.	Regarding the treatment of the bladder.
Quan accideys en la vesica debelitat e mollificacio per freg e per humiditatz ayssi que·l malaute la urina no retengua, lahoras cauteriza aquel en la partida pus dejos sobre la vesiqua, la hon comensan les pels del pentenilh, e cauteriza am un cauteri en la partida dreyta, e am autre en la senestra de lu.	When there is debility and loss of moisture in the bladder due to friction and corruption such that the patient's urine does not retain, then cauterize it on the area with pus left above the bladder, starting where the skin meets the buttock, and apply one cautery on the right side part and another on the left.
E sia la longitut de quascun cauteri segon la cantitat dels not del pous; e cauteriza aquel am cauteri en la partida pus bassa del dos, o am dos cauteris si es necessitat.	And the length of each cautery according to the amount of pus; apply that with a cautery on the lowest part of both sides. Or use two cauteries if necessary.
E sia cauteri clavilh segon que es procesit.	And use needle-like cauteries as previously described.
Capitol .xxxix.	Section 39.
De cauterizacio de la mayra.	Regarding the treatment of the womb.
Quan veno en la mayra freg e humiditatz, e per aysso es prohibida enpreignacio, e son corrompudas las mestruas de lu, e es tardada la provocacio de lor, e accideys dolor deves le haveniment de lor, lahoras cove que·l loc sia cauterizat am tres cauteris en le circuit del ombelic, ayssi cum havem dit en le cauteri de la vesica; e am cauteri sobre le loc pus dejos del dos, o am dos cauteris, e sia le cauteri clavilh.	When there is friction and corruption in the womb, as well as prohibition for conception, and if her menstrual cycles are corrupted and delayed, causing abdominal pain, then you should have this area treated with three cauteries around the navel region; as we described in the treatment of the bladder. And place a cautery on the area above both sides or use two cauteries, using needle-like cauteries.
Capitol .xl.	Section 40.
De cauterizacio de la dislocacio de l’anqua.	Regarding the treatment of dislocation of the anus.
Quan humiditatz moucozas so efundudas a la partida de la anqua, e so faytas causas del yssiment del sieu loc, e senhal de lu es que la coyssa es prolonguada sobre l’autre quan so comparadas entre lor.	When corruption seeps into the area of the anus and causes reasons for its instability, a sign is that the buttock extends over the other when compared between them.
E le loc de la dislocacio es atrobat en lu quays boyt.	The location of the dislocation is found in their thigh joint.
Adonc cove que cauterizas le malaute sobre la partida de la anqua de lu am cauteri a sercle semblant, pus que tu auras senhat am tenta en le cercuit de la partida ayssi cum es revolguda, e per so que la partida caia el mieg loc del cercle.	Then you should burn the patient's buttocks around the junction of the water exit, using a similar cautery. Because when you try this in the circuit of the junction as it turns out, and to prevent the junction from falling off, aim for the middle location of the circle.
E sia le cauteri del qual precedit la forma en la cauterizacio del estomac.	And as per the shape described in the treatment for the stomach's cautery.
E si aquest cauteri no es a tu present, lahoras cauteriza aquel am tres cauteris am cauteri olivar gran.	And if this cautery is not available to you, then use three olive wood cauteries instead.
E sia fayt le cauteri segon la quantitat de la ispicitut de tota la codena; e aprop cura aquel entro que sia sanat.	And make the cautery according to the intensity of the pain in all the chain; and then treat that which is within until it is healed.
Capitol .xli.	Chapter XLIV.
De cauterizacio de la vena sciatica.	On the treatment for the sciatic vein cautery.
Quan dolor ve en la partida de anqua, e so causa de lu freg et humiditatz, le malaute es curat am aquo que havem dit e no confereys, e aquo es antiquat, lahoras cove que tu lacses le malaute de humors grosses am pillulas fetidas o am pillulas artificials o semblantz; e aprop cauteriza aquel.	When pain occurs in the junction of water, and it is due to cold and dampness causing swelling in the buttocks, the patient heals with what we have said earlier without consulting anyone else. If this is antiquated knowledge, then when you notice swelling caused by larger fluids in the buttocks, either with hot pills or artificial ones or similar; and then proceed to treat that area.
E la manieyra del cauteri en aquela es segon dos manieyras: o cauteri am medicinas comburentz, o cauteri am foc.	And the method of the cautery in this case follows two methods: either a cautery with burning medicines, or a cautery with fire.
Sira segon dos manieyras scientas, de las quals es la una que cauterizes aquel sobre la partida de l’ancha de lu am tres cauteris triangulatz segon aquesta forma; e fay am aquels bona profunditat.	There are two known methods, of which one involves applying three triangular cauteries on that area over the width of the thigh; and then ensure they have good depth.
E sia le spazi le qual es entre cascun cauteri la quantitat de la grossitut del dit e si le cauteri olivar o gran.	And between each cautery is the size of the mentioned swellings, whether it's from olive wood or large cauteries.
Mays alcunas veguadas sia le cauteri sobre le mieg loc sobre le cap de l’anquan per que son quatre cauteris.	Consider four cauteries on the middle area over the head of the anus for some red marks from the cautery.
E si vols, cauteriza am le cercle del qual es precesida la forma en la cauterizacio de la dislocacio de l’anqua, la i que sia cercle continent e comburey la ispicitut de tota la codena.	And if you wish, burn around the circle described in the treatment for ankle dislocation, which is a circle containing and burning all the pain throughout the chain.
E aquesta es la manieyra de cauteri in ciatiqua quan dolor es adherent al anqua e no es estenduda entro a la coyssa.	And this is the method of cautery in cases where pain is confined to the ankle and does not extend into the leg.
Mays si es estenduda entro a la coyssa, lahoras cauteriza aquel am dos cauteris sobre la coyssa sobre le loc al qual envireys le malaute que es la dolor; e am un cauteri sobre la cavilha per quatre ditz un pauc deves la part cilvestra.	And if it extends into the leg, then apply two cauteries on the leg at the location where you find pain in the buttocks; and one cautery on the groove for about four or five of the lateral parts.
E si le cauteri cutellar, e sia la profunditat del cauteri segon la quantitat de la ispicitut de la codena.	And if it's a knife-like cautery, then the depth of the cautery should be according to the intensity of pain in the chain.
E si le malaute envireys que la dolor es estenduda entro al loc prop les ditz des pes, lahoras cauteriza aquel aqui on envireys am cauteri per tres puntz o quatre o mays si indigeys de aquel.	And if the swelling makes pain extend within the area near the ankles, then treat that area here with a cautery at three points or four or more if necessary.
E si le malaute envireys dolor esser dejos le donolh ves la coyssa, lahoras cauteriza aquel aqui am un cauteri cutellar.	And if the swelling causes pain to spread below the knee in the leg, then treat that area here with a knife-like cautery.
E guarda te en tota cauterizacio que no ultimes am le cauteri en tant que comburas nervi o gran arceria, e que per aquo a tu es sobre le malaute mal noccument o contraccio.	And when treating with cautery, be careful not to use it until you burn nerves or large blood vessels, and due to this, there might be damage or contraction on the buttocks.
E yeu ja e vist un e autre de aquels les quals cauterizero sobre la cavilha e ultimero en la cauterizacio, e la cama foc inflada entro que la tumor aconseguit lo pe, e foc perforat e corromput tot le pe.	And I have seen some who apply cautery to the groove and finish with it during the treatment, and the fire-filled bed causes the swelling in the foot, and burns through and corrupts all of the leg.
E aprop accidic fort solucio de ventre, e aprop aquo la mort.	And something like that happens to the belly with strong vinegar solution, and because of this death occurs.
E si la dolor es en dos partidas ensemps cauteriza quascuna segon aquesta manieyra.	And if the pain is in two parts at once, treat each one according to this method.
E diysero les savis alcus en la cauterizacio de anqua cauteri del qual aquesta es la manieyra: fay semblant a cercle de ferr del qual le cercuit sia la maytat de un palm; e sia deves le sieu orrifici segon la grossesa de un os de datil o mens un pauc.	And the wise ones say about ankle cautery that this is the method: make it like a circular iron ring where its circumference should be as long as one hand; and its hole according to the thickness of an almond or slightly more.
E dedintz aquel cercle sia un autre tertz; e sia le spazi le qual es entre lor la quantitat del notz del pous; e sian aquels cercles ubertz de dos partidas; e sia la longitut de aquels cays un notz o dos notz, e fay en aquels margue de ferr decentment apparelhat en les cercles; e aquesta es la forma de lu:	And inside that circle make another triangle; and the space between them is according to the size of your foot; those circles are made in two parts; and the length of those cuts is one toe or two toes, make grooves of iron appropriately corresponding to the circles; and this is its shape:
Aprop sia ignit en le foc entro que s’enrogesisca e gete scintillas, e aprop sia pausat sobre la partida del anqua, le malaute colcat sobre le latz sa.	And ignite it in the fire until it becomes red and starts to emit sparks, then place it on the ankle joint, with the buttocks over the calf area.
E donc cauteriza aquel am tres cauteris redontz en una veguada.	And then apply three circular cauteries in one go to that area.
E aprop layssa aquel per tres jorns; aprop emplastre aquel am boder e layssa la plagua uberta per trops dias; e aprop cura aquel am enguentz entro que sia sanat.	And then smooth that area for three days; and cover the opened wound with bandages for too many days; and treat it with ointment until healed.
Diys Albucasis : o, filhs, de aquesta specia de cauteri pauc havem usat per la terror del reguardament de lu, e per aquo que paucs havem trobatz les quals reguardan sobre lu.	Albucasis: or, children, from this type of cautery, we have used it due to the danger in examining them, and because of this, we have found those who examine them.
Mays dels bos cauteris a lu qui les sufferta, et atroba am aquel le loc de lu.	And for those who suffer from large cauteries on them, find that place on their body.
Mays cauteri am medicinas adhurentz es que tu fassas dos cercles haventz armula perforada en la qual deyssen le guaffo de la porta de ferr; sia la longuitut de la paretz en la nauteza de lor sian dos nozes o quays aquels.	And for those who apply burning medicines, make two perforated circles where the iron dust goes in. The length of their parts should be as long as two or more of your fingers.
E si le spazi le qual es entre quascu la quantitat de la grossitut del dit; e sian ubertz dejos e desus, e sian que contenguan se entre lor segon aquesta forma:	And if the space between each is according to the size of the mentioned swellings; leave them below and above, making sure they contain each other in this manner:
E aprop pausa sobre la partida de la anqua le malaut jasent sobre le latz sa, e comprem la tua ma sobre la partida de la anqua; e aprop pren de aygua cauda e fon la entre dos cercles, e la qualiditat de aquela sia am le foc petit a petit, e te aquela per la quantitat de una hora, e sufferta le malaute la mordicacio e la adhustio de lu — quar aquel atrobo mordicacio ayssi cum de foc — entro que cesse la mordicacio.	And place the buttocks on the ankle joint while holding your hand over the ankle area; take hot water and pour it between the two circles, making sure its quality is with small fire gradually. Keep that for an hour's worth of heat, allowing the patient to endure the biting and adjustment—like being bitten by fire—until the biting stops.
E aprop eleva la tua ma am le instrument et abstergeys l’aygua cauda de tota la anqua am aygua dousa.	And then raise your hand to the tool and wipe away all the water residue from the heated water.
E aprop leyssa aquel per tres jorns e pausa sobre aquel boder entro que sia la negror de la adhustio remauguda, e leyssa aquo per alcus jorns, e correra de lu poyredura; aquest es derier en juvament.	And let it lie for three days and place it over that lump inside which the redness of the heated adjustment is intensified, and continue to do this for several more days. This lasts until your recovery; this happens later in youth.
E aprop cura aquel am enguentz entro que sia sanat.	And then treat it with ointment inside which the healing occurs.
E si la dolor es extenduda entro la coyssa o la camba, fay a lu estatua en lu que contengua aygua segon que es feyt en la anqua engualment.	And if the pain extends within the thigh or leg, have them lie in the position where water is contained according to how it's done in equal water.
E aquesta es la manieyra de aygua cauda, e yeu ja he scrit aquela en le tractat de la rectificacio de medicinas.	And this is the method of heated water, and I have already written about that in the treatise on the correction of medicines.
Recipe de alcali e de caus no extinta de amdos ana partida una, e trissa les e pausa en una ola nova de la qual la partida dejos sia perforada per un petit trauc, segon la quantitat que intre en lu ray.	Mix equal parts of alkali and a white ash, then divide them into two. Place each part in a new vessel where the one you leave should be pierced with a small rod, according to how much fits into their rays.
E pausa dejos le fons de la ola autra ola enveyriada, e gete sobre aquel alcali e caus viva de aygua doussa la qual cobra aquels per un dit, e pus que tu compremes aquels am la tieua ma per bona compressio, e leyssa la hola que deyssenda de lu aygua aguda en la partida dejos a la ola enveyriada.	Place the bottom of the vessel with another layer of boiling water, and add this living alkali and ash to it. Pour in enough cool water so that it covers your hand by a finger's width, and when you grasp those (ingredients) with your good compression, let the hot water from the cooling water drip onto the part left in the boiling water.
E aprop ajusta tota aquela aygua, e geta la sobre autra caus viva e autre alcali renovelatz, quar aquela lahoras sira de mot forta acuitat, la qual es aministrada en motas operacios de medicina e en cauterizacio dels autres membres, quar operacio fa de foc.	And then adjust all that water, and pour it over fresh live ash and another new alkali. Then, this becomes intensely hot, which is administered in parts of medical operations and in the cautery of other limbs. This operation involves using fire.
E so de las medicinas alcunas am las quals es cauterizat ancha, ayssi cum tezizic e mel anacrat e caus am sabo enayssi que sian mesclatz.	And there are some medicines in which parts are heated, such as when the skin is burned, or with the use of melted wax and ash mixed together that need to be combined.
E Gualia recontet de un home dels antics la operacio e la curacio am la qual es curada dolor de anqua e de vena sciatica, e magnifiquet mot be esser de aquel, e diys que no hac necessitat de autra curacio, e quar es sanat per una veguada ayssi cum recomtec, quar fort leu aquel intrec en banh e eysic ja sa d’aquel.	And Gaulia recounts an operation and treatment from the ancients for which water pain and sciatica nerve pain are cured, and praises this method greatly, saying that it requires no other treatment, and one recovers in one go as described, giving a person strength and health similar to that of another.
Et es que sia pres de certarragi vert, e si no es atrobat vert, sia presa figua recent; e mot sia trissada am un pauc de grays e sia pausat sus la anqua en la qual es la dolor, o en la coyssa, o en la camba, e sia liat.	And if it's near to a hernia in the back, and if no vertebra is found, take some raw fig. And then divide this into several parts and place it in water where there is pain, or on the thigh, or on the leg, and tie it up.
E sia layssat per la cantitat de tres horas o per la quantitat que·l malaute centa cedacio de la adhustio.	And leave it for the duration of three hours or until you notice any change in the condition of your recovery.
E aprop met aquel en banh e donc quan le cors de lu sia enrozat, entromet aquel en le sol, quar la dolor cessa e es sanat.	And then rub it with oil until the patient's body becomes red, and then introduce heat from the sun, for when the pain ceases, they are healed.
E sapias que no cove que alcu use de cauteri am aquestas medicinas sino aprop la evacuacio del cors.	Know that it is not appropriate to use cautery with these medicines but rather for the body's natural expulsion process.
Mays ja Escorides diysec que quan am fenda de cabra la vena stretica es cauterizada, aprofieyra a lu mo be; e sia le cauteri am lu segon aquesta manieyra: sia presa lana e sia enbeguda en oli antic, e sia pausat entre le pous del pe e entre le fossil.	May already Escorides taught that when there is a vein rupture in a goat, it is cauterized; the animal will heal faster. And do this with the cautery according to this method: take wool and dip it in old oil, then place it between the ribs and the back of the neck.
E aprop pren fenda de cabra secca e emflasma aquela am foc entro que sia fayta carbo; e aprop pausa lu sobre la lana e leysa la entro que sia estengida.	And then take a dried goat's horn and heat it with fire until charcoal is formed; and place the patient over the wool and leave them there until the charred part stretches out.
E aprop itera aquo, e no cessas far aquo entro que·l scintiment de la mordicacio pervengua entro al anqua e repausa la dolor.	And repeat this process, and don't stop until the sensation of the burn reaches into the water and rests on the pain.
Et aquesta manieyra de cauteri es apelat cauteri de vaquas.	This method of cautery is called cow's cautery.
Capitol .xlii.	Capitol .xlii. (This indicates the forty-second section or chapter.)
De cauterizacio de dolor de dos.	On the application of cautery for two types of pain.
Alcunas veguadas dolor es en le dos per tropas causas, cum per cazement o per percucio o per superflua evacuacio, e per causas ad aquelas semblantz, per infusio de materia frega e humida.	Some pains in both parts are due to several causes, such as impact or percussion or excessive expulsion, and by similar causes, through infusion of wet and rough matter.
E cauteri no catz sino en aquesta sola specia la qual es fayta per efusio de materia frega.	And cautery is not used otherwise but in this single type which is done through the discharge of rough material.
Donc cove, aprop evacuacio del malaute am pillulas fitidas e am semblant a lor, que sian faytas sobre·l dos en le qual es la dolor tres linhas segon la latitut de lu, pus que senhas am tentha en quascuna linha v cauteris o mays, segon la quantitat que ve de la tolleransa del malaute e de la vertut de lu.	So know that you should evacuate from the patient using fitted pills and similar to them, which are made on both sides where there is pain for three lines according to the width of your body. For each line, if there's a sign in any case, do cautery or more, depending on the tolerance capacity of your body and its effectiveness.
E sia fayta cauterizacio am cauteri de punt.	And perform the cautery using point-shaped cautery.
E si vols, cauteriza am tres cauteris o am quatre am cauteri clavilh medial segon aquesta forma:	And if you wish, you can do it with three or four points of the medial ligula according to this method:
Capitol .xliii.	Capitol .xliii. (This indicates the forty-third section or chapter.)
De cauterizacio al comensament de gilbositat.	On cautery at the onset of glibosis.
Motas veguadas endeve aquesta malautia als petitz enfantz; e senhal del comensament de lu en les enfantz es que accideys sobre lor estrectura en le ale eves la elevacio e·l movement.	Some symptoms of this illness in small children lead to glibosis; and a sign that it begins in them is when you notice their structure becoming fluid, along with an increase in swelling and mobility.
E atrobas en le derier espondil del dos e dels notz de lu que ja comensa a sobremontar sobre les autres spondils.	And you find it at the end of the spinal column of the back and on the buttocks where it starts to rise above the other vertebral columns.
E donc quan tu vezes aquo e voles prohibir, lahoras cauterisa aquel am cauteri que sia cercle segon aquesta forma:	And when you do this and wish to stop it, then perform the cautery using a round-shaped cautery according to this method:
que prengua le cauteri sobre tota partida del spondilh engualment.	Let the cautery cover all parts of the vertebral column equally.
E si vols, cauteriza en le circuit del spondilh am le cauteri de punt dos linhas o tres.	And if you wish, perform the point-shaped cautery on the circuit of the vertebral column for two or three lines.
E sian les puntz propdas entre lor.	And make the points in between them.
E aprop cura le loc entro que sia sanat am aquo que havem dit.	And then treat the area so that it heals, using what we have said for water treatment.
Mays guarda que cauteri no sia administrat en gelbositat que sia fayta per spasme de nervi.	Watch out that a cautery not be applied in gout caused by nerve spasm.
Capitol .xliv.	Chapter XLIV.
De cauterizacio de podagra e de dolor de juncturas.	On the treatment of gouty pain and joint pain.
Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors, lahoras quan veno dolors en los pes, de costuma dels metges es que aquo apelen podragua propriament.	When joint pain is caused by cold fluids that permeate every part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E donc cum es curada podagra de causa frega am manieyra de cura e no so remaugudas las dolors, lahoras las remau cauteri.	And thus how gout caused by rubbing with the hands is cured using a method of treatment and not leaving the pains unresolved, then they use cautery.
E es que tu cauterizas aquel aprop evacuacio en le circuit de la junctura del pe am motz cauteris.	And you will apply the cautery near the evacuation in the circuit of the joint on the foot with hot points.
E sia cauteri olivar del qual aquesta es la forma de lu:	And an olive-shaped cautery, like this is what it looks like:
E si es necessitat que puntz sia fayt sobre la fassia del pe, lahoras fay am cauteri de punt.	And if it's necessary to make points on the surface of the foot, then do so with a pointed cautery.
E si las dolors pujan entro als denolhs o a las autras juncturas, e aquo motas vetz s’endeve, lahoras cauteriza aquel sobre quascun donolh am tres cauteris o quatre de tota partida am aquest cauteri olivar.	And if the pains climb into the joints or to other joints, and this is how they manifest, then apply the cautery on each joint with three or four points of this olive-shaped cautery.
E si motz cauteris que aquestz cauteris sian a tu necessaris, lahoras cauteriza aquel e no premas trop la tua ma am le cauteri abans, sia tant solament enviro la specitut de la codena.	And if you find that this kind of cautery is necessary for your use, then apply the cautery without pressing too hard with your hand on it before, just around the size of the vein.
E si las dolors pugan entro al donolh e·l dos, lahoras aministra le cauteri le qual havem dit en le sieu capitol.	And if the pains climb into both joints, then administer the cautery which we have mentioned in our chapter.
E si las dolors so en las mas tant solament, e es apelada suagra, lahoras puncta en le circuit dels focils ayssi cum se revolvo, puncta en aquels dos linhas.	And if the pains are only in the hands, and it's called gout, then puncture along the lines as they twist around in the veins, puncturing on those two lines.
