Praefatio.	Prologue.
Et istae sunt formae specierum ex magda, ut stet super ea qui ea ignorat.	And these are the forms of the kinds of tubes, so that one who does not know them may understand them.
Fiant ex aere proprie: et sint extremitates eorum cum hac eadem subtilitate triangulatae, et extremitas acuta.	Let them be made of bronze properly; and let their extremities be sharpened to this same fineness, and the tip be pointed.
Formae magda.	Forms of tubes.
¶ De cura Carnis natae in naso.	Chapter: On the treatment of flesh growing in the nose.
Caput XXIIII.	Chapter 24.
Quandoque nascuntur in naso Carnes diuersae additae, ex quibus est aliquid quod assimilatur scorpioni multorum pedum: et ex ea est caro cancerosa, lapidea, fusci coloris: et ex ea est quae est caro lenis, non fusci coloris.	Sometimes different kinds of flesh are born in the nose, among which is some that resembles a many-legged scorpion, and from this there is fleshy tissue like stone, dark-colored; and there is also that which is soft flesh, not dark-colored.
In ea ergo quae ex istis carnibus est lenis, non fraudulenta, neque cancerosa, oportet ut facias sedere infirmum inter manus tuas oppositum soli, et aperi nares eius, et proiice uncinum in illas carnes: deinde trahe eas ad exteriora, et incide quod comprehendisti ex eis cum spatumili subtili acuto a parte una, donec scias quod caro tota iam ablata est.	Therefore, with regard to that which is soft flesh from these kinds of flesh, not fraudulent nor cancerous, you should make the patient sit between your hands facing the ground, and open their nostrils, and insert a hook into those fleshes: then pull them towards the outside, and cut what you have grasped from them with a fine sharp spatula from one side until you know that all the flesh has been removed.
Quod si remaneret aliquid ex ea cuius abscisio non est possibilis: tunc rade illud cum uno instrumentorum subtilium cum facilitate, donec non remaneat ex eo aliquid.	But if something remains from that which cannot be cut off: then shave it with one of the fine instruments easily until nothing remains of it.
Si autem sanguis tibi dominatur, aut accidat apostema calidum: tunc oppone ei per id quod oportet: aut est ex apostematibus malignis, tunc propera cauterizando eum, donec abscindatur sanguis, et auferantur omnes carnes.	But if blood dominates you (the patient), or if a hot abscess occurs: then apply to it what is necessary; or if it is from malignant abscesses, then hurry in cauterizing him until the blood is stopped and all the flesh is removed.
Deinde proiiciatur in nasum post incisionem acetum, et aqua, aut uinum.	Then pour vinegar into the nose after cutting, and water, or wine.
Si autem aperitur nasus, et procedat ex eo humiditas usque ad palatum, tunc scias quia iam sanus est.	If however the nose opens and moisture comes forth from it to the palate, then know that he is now healthy.
Si uero non penetrat humiditas, secundum quod oportet, tunc scias quod intra ipsum est caro nata in superioribus ossibus naris, ad quae non peruenit cum incisione instrumentum.	But if moisture does not penetrate as it should, then know that there is flesh born inside the upper bones of the nose which the instrument did not reach with its incision.
Tunc ergo oportet, ut intromittas filum lini cui sit quaedam grossitudo, et noda in eo nodos multos: et pone inter omnem nodum quantitatem digiti, aut minus: et ingeniet infirmus, ut mittat extremitatem unam fili in nasum cum radio, aut cum quo possibile est ei postquam fecerit ipsum simile azer: et trahat odoratum suum, donec perueniat usque ad caassum, et egrediatur super guttur suum.	Then it is necessary that you insert a thread of linen which has some thickness and many knots tied in it: place between every knot the quantity of a finger or less. And have the patient lie down so that he may put one end of the thread into his nose with a probe, or whatever is possible for him after having made it like this. And let him draw his breath until it reaches the back of his throat and comes out over his Adam's apple.
Et multotiens quidem faciunt simile huic Attomi pueri in scholis: et est res facilis ei, qui uult.	But indeed many boys do similar things to this in schools: and it is easy for him who wishes.
Deinde pone duas extremitates fili, extremitatem unam quae egreditur super nasum, et alteram quae remansit in naso.	Then place two ends of the thread, one that comes out over the nose and the other that remains in the nose.
Deinde ac ministra serraturam carnis cum nodis qui sunt in filo.	And then have a pair of scissors ready along with the knots on the thread.
Fac illud donec scias quod carnes iam sunt cum nodis fili.	Do this until you know that the flesh is caught with the knots of the thread.
Deinde extrahe filum: et pone in nasum post abstersionem sanguinis licinium quod imbibisti in unguento aegyptio: fac illud tribus diebus, aut plus, donec unguentum corrodat totum quod remansit ex carnibus.	Then remove the thread and place into the nose, after wiping away the blood, a linen cloth soaked in Egyptian salve. Do this for three days or more until the salve has eaten away all that remains of the flesh.
Deinde pone in fine rei in nasum cannulam de plumbo, diebus aliquot, donec sanetur.	Then place at the end of the matter a lead tube into the nose for several days until it heals.
Si autem indiget curatione quae exiccet, utere illa.	If however treatment that dries is needed, use that.
Ad caputpurgium faciendum, cum quo distillantur olea, et aliae medicinae in nasum, fac illud ex argento, aut aere: quod sit simile lampadi paruae, apertum sicut conchula: et meatus eius similiter.	For making a head-purge funnel through which oils and other medicines may be dripped into the nose, make it of silver or bronze, like a small lamp with an opening like a shell, and similarly shaped.
Et si uis fac cannulam clausam, sicut canna.	And if you wish to make a closed tube, like a reed.
Et conchula instrumenti ad caputpurgium faciendum, sit plena, detecta: cui sit manubrium in postremo eius, cum quo teneas ipsam, quando calefacis in ea oleum, aut quod uis ex succis, et rebus fluxibilibus.	And the shell of the instrument for making a head-purge should be full and open, with a handle at its end by which you may hold it when heating oil or whatever other liquid or flowable substance you wish.
Et haec est forma instrumenti.	And this is the shape of the instrument.
¶ De cura Thelul nasi.	On the treatment of a deviated nose.
Caput XXV.	Chapter 25.
Multotiens nascitur in extremitate nasi Thelul, et magnificatur, et augmentatur cum diebus, donec foedus fit aspectus eius.	A crookedness in the tip of the nose is often born and grows greater with time until its appearance becomes unsightly.
Et propter illud oportet, ut in cidas illud in principio apparitionis eius, et eradices totum eius.	And therefore it is necessary that you cut off this growth at its earliest appearance and remove all of it.
Deinde pone super locum, aut cauterium, aut medicinam comburentem quae stat loco eius.	Then place upon the site either a cautery or a burning medicine to remain in its place.
Si ergo tardatur incisio eius, donec magnificetur, tunc considera, si est lapideum, durum, fusci coloris, pauci sensus: tunc non tangas ipsum cum ferro: quoniam apostema est cancerosum.	But if the incision is delayed until it becomes large, then consider whether it is stony, hard, dark in color, and insensitive; then do not touch it with iron, for it is a cancerous ulcer.
Multotiens enim uidi, qui incidit hmoni apostema, et accidit ex eo malicia magna super illum qui ipsum habebat.	For I have often seen that those who cut into such an ulcer suffer great harm as a result.
Et si apostema est lenis tactus, non fusci coloris, et uides quod incisio possibilis est in toto eius, tunc euacua infirmum, et incide ipsum sine timore, absque pauore: et cura locum cum eo quod exiccat et constringit, donec sanetur.	But if the ulcer is soft to the touch, not dark in color, and you see that it can be cut into entirely, then evacuate the patient and cut into it without fear or trembling; then treat the site with something that dries and contracts until it heals.
¶ De sutura nasi, et labii, et auris.	On the suture of the nose, lip, and ear.
Caput XXVI.	Chapter 26.
Scias Quia quando accidit solutio continuitatis in una harum cartilaginum, parum confert in ea operatio, nisi in quibusdam hominibus.	You should know that when the continuity of one of these cartilages is severed, it does little good to operate on it unless in certain people.
Oportet ergo quando accidit alicui aliquid ex illo, ut consideres, si est uulnus recens cum sanguine suo: et tunc aggrega duolabia uulneris cum sutura: deinde cura ipsum, donec sanetur.	Therefore, when something happens to someone such that one of these cartilages is severed, you should first consider whether it is a fresh wound with its own blood; then join the two sides of the wound together with stitches, and then treat it until it heals.
Et si solutionis continuitatis labia iam separata sunt, et facta est unaquaeque pars sana: tunc oportet ut excories omnem partem a cute sua apparente, donec sanguinetur.	But if the lips of the wound are already separated and each part has healed on its own, then you must shave off all the skin that is visible until it bleeds.
Deinde aggrega duo labia cum sutura, et stringe ea, et pulueriza super ipsum sanguinem draconis, et olibanum trita: et pone supra pulueres frustum emplastri diafinicon, et alicuius alterius ex emplastris consolidatiuis: et dimitte ipsum ligatum duobus diebus, aut tribus.	Then join the two lips together with stitches and tie them down; powder dragon's blood and ground frankincense over it; place a piece of diafinicon plaster and another strengthening plaster on top; leave it tied for two or three days.
Deinde solue ipsum, et permuta medicinam: et dimitte ipsum, donec abscindantur fila per se.	Then untie it and change the dressing until the threads fall off by themselves.
Deinde cura ipsum cum unguento, donec sanetur.	Then treat it with ointment until it heals.
Modus autem suturae est, ut aggreges solutionem continuitatis, aut cum acubus, sicut narrauimus in sutura uentris: aut aggrega solutionem cum filo, sicut feci te scire.	The method of stitching is this: either join with a continuous suture or with interrupted sutures as we have described for abdominal wound closure; or join with a suture using thread as I have taught you.
¶ De extractione nodorum labiorum.	On the Extraction of Swellings on the Lips.
Caput XXVII.	Chapter 27.
Multis Quidem hominibus accidunt plaerumque in interioribus labiorum suorum apostemata dura similia granis herbi: et quaedam eorum minora, et maiora.	Many people often get hard lumps similar to grains of millet on the insides of their lips, some small and others large.
Ergo oportet ut conuertas labium, et findas super omnem nodum eius, et suspendas ipsum cum uncino, et incidas ipsum ab omni parte.	So you should turn over the lip and pierce each node with a needle; then suspend it with a hook and cut into it from all sides.
Deinde impleas locum post incisionem zegi trito, donec abscindatur sanguis.	Then fill the space after cutting with powdered zedoary until the bleeding stops.
Deinde colluatur cum aceto, et curetur locus cum eo, in quo est stipticitas, usquequo sanentur uulnera.	Then sprinkle it with vinegar and treat the area with it until the wounds heal.
¶ De incisione carnis natae super gingiuam.	On Incising Tissue Born on the Gums.
Caput XXVIII.	Chapter 28.
Multotiens nascitur super gingiuam caro addiat, quam antiqui nominant abuluss.	Frequently, additional flesh is born over the gums, which the ancients call 'abulus'.
Oportet ergo ut suspendas eam cum uncino: aut teneas eam cum forcipibus, et incidas eam apud radicem suam, et dimittas saniem currere, aut sanguinem.	So you should suspend it with a hook or hold it with forceps and cut it at its root; then let the pus or blood flow.
Deinde pone super locum zegi tritum, aut alios pulueres stipticos, exiccatiuos.	Then apply powdered zedoary or other drying powders to the area.
Quod si redit illa caro post curationem, nam multotiens redit, tunc incide eam secundo, et cauteriza ipsam: ipsa namque non redit post cauterium.	But if that flesh returns after treatment - for it often does return - then cut it a second time and cauterize it; for it will not return after the cautery.
¶ De rasione Dentium cum ferro.	On Extracting Teeth with Iron Instruments.
Caput XXIX.	Chapter 29.
Quandoque aggregantur in superficiebus Dentium ab interiori et extetiori parte, et inter gingiuas cortices asperi, turpes, et quandoque denigrantur, et citrini fiunt, et uirides, donec peruenit ex illo corruptio ad gingiuam, et foedi fiunt dentes per illud.	Sometimes tartaraccumulates on the surfaces of teeth both inside and out, and between the gums there are rough, ugly, blackened, yellowed, or greenish layers until corruption reaches the gum and the teeth become foul through it.
Oportet ergo ut facias sedere infirmum inter manus tuas, et caput eius in sinu tuo, et rade molam et dentem, in quo apparent tibi cortices, et res similis arenae: donec non remaneat ex eis aliquid, et similiter fac de nigredine, et uiriditate, et citrinitate, et aliis donec mundentur.	Therefore you should make the sick person sit between your hands and put their head on your lap, and scrape off with a file the tartar from the tooth where you see layers like sand until nothing remains of them. And do likewise for blackness, greenness, yellowness, and other stains until they are cleaned.
Si ergo auferatur quod in eis est a principio rasionis, bonum est: et si non, tunc itera super eos rasionem die alio, secundo, et tertio, donec ad ultimum perueniat studium in eo quod uis.	If you remove what is at first rationally possible, that is good. But if not, then repeat the process on another day, secondly and thirdly, until finally it achieves your desired goal.
Et scias, quod dens indiget rasoriis diuersarum formarum, multarum figurarum: secundum quod praeparatur operationi tuae: proptera, quod rasorium quo raditur dens ab inferiori parte, est aliud a rasorio quo raditur inter dentes, secundum formas alias.	And know that teeth require razors of various shapes and sizes according to what is prepared for your operation. For the razor used to scrape below the tooth is different from the one used between teeth due to their different shapes.
Et istae formae rasoriorum sint apud te praeparatae, quas uides.	And these shapes of razors should be prepared by you as you see them.
¶ De extractione doloris Dentium.	Chapter on the Extraction of Toothache.
Caput XXX.	Chapter 30.
Oportet ut cures Dentem a dolore suo cum omni ingenio, et tardes in eradicatione eius.	It is necessary to treat the tooth from its pain with all skill and be slow in extracting it.
Non est enim quod uicem eius suppleat quando eradicatur: quoniam est substantia sublimis: donec quando non est excusatio de eradicatione eius, tunc oportet quando cogitur infirmus eradicare ipsum, ut firmetur, et certificetur apud te dens dolens.	For there is no substitute for it when extracted, as it is a noble substance. Therefore, until there is no excuse for extracting it, then it is necessary to extract the tooth when compelled by pain so that it may be steadied and assured at your hand.
Multotiens enim decipit infirmum dolor, et putat quia est in dente saha et eradicat ipsum: deinde non recedit dolor, donec eradicetur dens infirmus.	For pain often deceives the sick person into thinking it is in a sound tooth and they extract it. Then pain does not cease until the sick tooth is extracted.
Nos enim iam uidimus illud ex operatione phlebotomatorum.	We have already seen this through the practice of bloodletting.
Cum ergo certificatur apud te dens dolens ipsemet, tunc oportet ut scarifices in circumitu dentis cum spatumili, in quo sit quiddam uirtutis, donec soluatur gingiua ab omni parte: deinde moue ipsum digitis tuis, aut cum forcipibus subtilibus in primis paulatim, donec concutias ipsum.	When the painful tooth is assured at your hand itself, then you should circumcise around the tooth with a spatula containing some power until the gum is loosened on all sides. Then move it gently with your fingers or fine forceps gradually until it wobbles.
Deinde loca tunc in eo forcipes magnos locatione bona, et caput infirmi inter genua tua: quod iam bene tenuisti, ita quod non moueatur: deinde trahe dentem secundum rectitudinem, ut non frangas ipsum.	Then place the large forceps well on that spot and have the sick person kneel between your thighs; grasping firmly so that it does not move. Then pull out the tooth in a straight line to prevent breaking.
Si ergo non egreditur, tunc accipe aliquod illorum instrumentorum, et intromitte ipsum sub eo ab omni parte cum facilitate, et conare motionem eius, sicut fecisti in primis.	But if it does not come out, then take one of those instruments and insert it under it on all sides with ease. Then try to move it as you did at first.
Si autem dens est perforatus, aut corrosus: tunc oportet ut impleas illud foramen panno: et stringas ipsum cum extremitate radii subtilis, ut non frangatur in hora constrictionis tuae super ipsum cum forcipibus.	If the tooth is pierced or eaten away, then you should fill that hole with cloth and bind it tightly with a fine thread so that it does not break during your tightening with forceps.
Et oportet, ut exquisite agas cum scarificatione in circumitu gingiuae ab omni parte multum.	And you must carefully make incisions around the gum on all sides.
Et custodi fortitudinem tuam, ut non frangas ipsum, et remaneat pars eius, et redeat super infirmum ex ea malicia quae sit maior dolore eius primo.	But guard your strength so that you do not break it and leave a part of it, which would return upon the sick person with greater pain than before.
Et caue, ne facias illud quod ignorantes faciunt phlebotomatores in festinatione sua, et audacia ipsorum super eradicationem eius, praeter quod administrent illud quod narrauimus.	And beware of doing what ignorant bloodletters do in their haste and rashness, which exceeds what we have described.
Multotiens enim faciunt euenire super homines infirmitates magnas, quarum difficiliores sunt ut frangantur, et remaneant radices eius omnes, aut quaedam earum: aut ut extrahant ipsum cum quibusdam ossibus mandibulae: sicut testificati sumus multotiens illud.	For often they bring great ailments upon people whose teeth are difficult to break, leaving all or some of their roots, or extracting them along with certain jawbones. This we have witnessed many times.
Deinde colluatur post eradicationem eius cum uino, aut cum aceto et sale.	Then rinse it with wine or vinegar and salt after extraction.
Quod si accidat fluxus sanguinis ex locis (multotiens enim accidit) tunc tere aliquid ex zegi, et imple cum eo locum: et si non, cauteriza ipsum si non confert tibi zegi.	If bleeding occurs from that spot (which often happens), then grind some myrrh and fill the place with it. And if this does not suffice, cauterize it.
Formae forcipum subtilium quibus mouetur dens in primis, sint longarum extremitatum, breuis manubrii, grossi, ut non duplicentur quando cum eis premitur super dentem: sint sicut uides grossorum manubriorum, donec quando stringis cum eis, non dent seipsas, neque duplicentur: breuium extremitatum, et sint ex ferro indo, aut ex faled decenter facti, directarum extremitatum: et in eorum extremitatibus sint dentes, quorum quidam ingrediantur in quosdam, et stringant constrictione decenti, forti.	The shape of the fine forceps used to move teeth should be long at the ends, short at the handle, thick so that they do not double when pressed on the tooth. They should resemble the thick handles you see, so that when squeezed together with them, they do not cut themselves or double over. The ends should be short and made of polished iron or well-made bronze, straight at their tips. And there should be teeth on their ends which fit into each other and grip tightly.
Et quandoque fiunt extremitates sicut forma oris auis quae nominatur ciconia, et sunt fortis constrictionis.	And sometimes the ends are made like the shape of a bird's mouth called 'ciconia', and they have a strong gripping power.
¶ De eradicatione Dentium, et extractione ossium mandibularum fractorum.	Chapter on the Extraction of Teeth and Fractured Mandible Bones.
Caput XXXI.	Chapter 31.
Quando remanet apud eradicationem Dentis qui frangitur aliquid, tunc oportet ut ponas super locum cotum cum butyro die uno, aut duobus diebus, donec mollificetur locus: deinde intromitte ad ipsum algasti, aut forcipes: quorum extremitates assimilantur ori auis quae nominatur ciconia.	When extracting a tooth that is broken off at the root, you should first apply butter to the area for one or two days until it becomes softened. Then insert an elevator or forceps into the spot whose ends resemble the beak of a bird called 'ciconia'.
Forma autem haec est forcipum.	This is the shape of these forceps:
Sint extremitates eorum factae sicut lima deintus: aut sicut aliskilfegi.	Their ends should be shaped like a file inside, or like an awl.
Si ergo non obedit tibi ad exitum cum istis forcipibus, tunc oportet, ut caues super radicem, et detegas carnem totam, et intromittas instrumentum quod nominatur Palanca parua, cuius forma est haec.	If the tooth does not yield to extraction with these forceps, then you should make an incision over the root, remove all flesh, and insert a small instrument called a 'Palanca' whose shape is as follows:
Sit breuis extremitatis, grossae parumper: et non sit imbibitum, ut non frangatur.	It should be short at the end, somewhat thick, and not hollow so that it does not break.
Si ergo egreditur radix per illud, est bonum: et si non, iuuare oportet cum istis instrumentis aliis quorum formae sunt istae.	If the root comes out through this (instrument), that's good. But if it does not, you should aid with other instruments whose shapes are as follows:
Forma primi triangulatae extremitatis, in qua est quaedam grossitudo.	The first one has a triangular shape at the end with some thickness.
Forma triangulatae extremitatis subtilis.	The second has a thin triangular shape at the end.
Etiam iuuatur cum hoc instrumento habente duos ramos, cuius haec est forma.	And you should also aid with this instrument having two branches whose shape is as follows:
Et cum aliis instrumentis et ferramentis quae praecesserunt in rasione dentium.	And with other instruments and tools which preceded in the order of teeth.
Etiam sit iuuamentum cum hoc instrumento quod assimilatur uncino magno, huius formae, triangulatae extremitatis tortae, in qua est quiddam grossitudinis, ut non frangatur: et sit non imbibitum.	And there is also aid with this instrument resembling a large hook whose shape is triangular at the twisted end with some thickness so that it does not break; and it should not be hollow.
Et scias, quod instrumenta dentium sunt multa: et similiter reliqua instrumenta non computantur, et artifex prudens, subtilis in arte sua inuenit per se ipsum instrumentum, secundum quod significant ei operatio et aegritudines ipsae.	And know that there are many instruments for teeth, nor are other instruments counted; and a skilled craftsman, subtle in his art, finds the instrument himself according to what operation and diseases dictate.
Quoniam ex agritudinibus sunt ad quas non dixerunt antiqui instrumentum, propter diuersitatem specierum earum.	Because there are diseases for which no instruments have been mentioned by the ancients due to the diversity of their kinds.
Si autem frangatur os ex mandibula, aut ex aliis ossibus oris, aut putrefit: tunc perscrutare super ipsum in loco suo cum eo quod conuenit ei ex instrumentis et forcipibus quae dixi in extractione radicum, et iuuare cum gesti, cuius forma est haec.	But if the bone breaks from the jawbone or other bones of the face or putrefies: then examine it carefully in its place with suitable instruments and forceps which I mentioned for tooth extraction, and assist accordingly. Its shape is as follows.
Sit in eo quiddam grossitudinis paulatim, ut stringatur, uel teneatur cum eo os, et non fugiat et uadat, donec egrediatur os: et restaura locum cum medicinis conuenientibus ad illud.	Let there be some thickness gradually so that it may grasp or hold the bone without slipping or escaping until the bone comes out; and restore the site with suitable medications.
Si autem in osse est putredo parua, tunc rade ipsum a putredine sua, et cura ipsum, donec sanetur.	But if there is a small amount of putrefaction in the bone, then scrape it away from its putrefaction and treat it until it heals.
De serratura Dentium eminentium super alios.	On the extraction of prominent teeth above others.
Caput XXXII.	Chapter 32.
Quando Dentes eminent non secundum cursum suum naturalem, foeda fit per illud forma: et praecipue quando accidit illud in mulieribus, et puellis, scilicet uenalibus.	When teeth protrude not according to their natural course, it becomes unsightly thereby, especially when this happens in women and girls, that is, the venal ones.
Oportet ergo ut consideres.	It is therefore necessary for you to consider.
Nam si dens est natus post dentem alium, et non locatur, uel est possibilis eius serratura, neque limatura ipsius: tunc eradica ipsum: et si est annexus cum dente alio, tunc incide ipsum cum isto instrumento, cuius haec est forma.	For if a tooth has been born after another and does not fit, or its extraction is possible but not its polishing: then uproot it; and if it is attached to another tooth, then cut it with this instrument whose shape is as follows.
Est simile rostro paruo, et fit ex ferro indo, acutae extremitatis ualde.	It resembles a small beak and is made of soft iron with a very sharp point.
Et sit incisio tua qua ipsum incidis in diebus multis, et propter duriciem dentis, et ut non commoueatur alius ex dentibus.	And your incision should be made over many days, and because of the hardness of the tooth, and so that no other tooth is moved.
Si autem est eminens expositus limaturae suae: tunc lima ipsum cum lima ex indo, cuius forma est haec.	But if it is prominent enough to be polished, then polish it with a file made of soft iron whose shape is as follows.
Sit totum ex indo, et manubrium eius minutorum punctorum ualdae, sicut lima cum qua fiunt acus: cum quo limetur dens paulatim in diebus multis cum facilitate, ut non commoueatur dens, et cadat: deinde leni ipsum, in fine rade ipsum cum quibusdam rasoriis.	Let it be entirely of soft iron, and let its handle be thick with small holes like the file used for making needles. With this, the tooth should be polished gradually over many days with ease so that the tooth is not moved or falls out. Then gently scrape it, finally smoothing it with certain razors.
Quod si est dens, ex quo frangatur pars, et laedit linguam: tunc oportet ut limes eum etiam, donec auferatur asperitas illius fractionis, et aequetur: et applanetur, et non laedat linguam, neque corrumpat sermonem.	If it is a tooth from which a piece has broken off and hurts the tongue, then it is necessary to polish it with a file until the rough edge of the fracture is smoothed out and made even, so that it does not hurt the tongue nor interfere with speech.
¶ De retatione Dentium cum filis auri.	On the Extraction of Teeth using Gold Threads.
Caput XXXIII.	Chapter 33.
Quando accidit Dentibus anterioribus concussio et commotio a percussione, aut casu: et non potest infirmus stringere super illud quod comedit ut non cadat: et curasti eos cum medicinis stipticis, et non ualuit curatio: tunc ingenium in eis est, ut stringantur cum filo auri: quoniam argentum fit uiride, et putrefit post dies: sed aurum nunquam mutatur.	When there is concussion and disturbance of the anterior teeth due to impact or accident, and the patient cannot bite without the food falling out, even after treatment with astringent medicines, then it is advisable to fasten them with gold thread, because silver turns green and decays after some time, but gold never changes.
Et sit filum medium in subtilitate et grossicie secundum quantitatem quod capiat inter Dentes.	And let the thread be of medium fineness and thickness according to the size that can fit between the teeth.
Et forma quidem retationis est, ut accipias filum, et intromittas duplum eius inter duos dentes sanos: deinde texeas cum duabus extremitatibus fili inter dentes motos, siue unus sit, aut plures, donec peruenias cum tela usque ad dentem sanum alterius partis.	And the method of extraction is as follows: Take the thread and insert its double between two healthy teeth. Then tie it with both ends of the thread between the loose teeth, whether one or more, until you reach a healthy tooth on the other side.
Deinde itera texturam usque ad partem a qua incaepisti: et stringe manum tuam cum subtilitate et sapientia, donec non remoueatur prorsus: et sit constrictio tua qua stringis filum, apud radices dentium, ut non euadat.	Then repeat the tying until you reach the side where you began. And tighten your hand with gentleness and wisdom until it is not moved at all, and let your grip on the thread be near the roots of the teeth so that it does not slip out.
Deinde incide extremitates fili superfluentes cum forficibus: et aggrega utrumque, et conuerte eas cum gesti: et occulta ipsas inter dentem sanum et dentem motum, ut non laedat linguam: deinde dimittatur ita strictum dum remanet.	Then cut off the excess ends of the thread with forceps and bend both parts towards each other. Hide them between the healthy tooth and the loose tooth so that they do not hurt the tongue. Then leave it tied like this.
Si autem soluitur, aut inciditur, stringe eos cum filo alio, et stabit cum eo taliter tempore toto.	If it loosens or breaks, tie them together with another thread and it will remain stable in that way for the whole period of time.
Et haec est forma Dentium, et figura retationis duorum dentium sanorum, et duorum dentium motorum, sicut uides.	This is the form of Teeth, and the figure of how to retain two healthy teeth and two loose teeth, as you see them.
Et quandoque fit, ut redeat dens unus, aut duo post casum urriusque in locis suis, et retentur sicut narrauimus, et remaneant: et non facit illud nisi artifex, prudens, et expertus.	And sometimes it happens that one tooth or two return to their places after falling out, and are retained as we have described, and remain so. And this is done only by a skilled and experienced artist.
Et quandoque aptatur aliquod ex ossibus uaccinis: et fit ex eo sicut forma dentis, et ponitur in loco, ex quo munitur dens et stringitur, sicut diximus: et remanet, et seruitur cum eo tempore longo.	And sometimes a piece of the jawbone is prepared and made into the shape of a tooth, and placed in its position where it supports and holds the tooth in place as we have said, and remains there for a long time.
¶ De incisione ligamenti quod accidit sub lingua, et prohibet loquelam.	On cutting the ligament that occurs under the tongue and hinders speech.
Caput XXXIIII.	Chapter 34.
Quandoque ligamentum hoc quod accidit sub lingua, est aut naturale, cum quo nascitur homo, aut accidentale, a uulnere quod iam consolidatum est.	This ligament which occurs under the tongue is either natural, with which man is born, or accidental, from an injury that has already healed.
Et operatio in eo est, ut aperias os infirmi in capite eius in sinu tuo, et eleua linguam eius: deinde incide illud ligamentum neruosum per latitudinem, donec soluatur lingua a retentione sua.	The operation for this is to open the mouth of the patient in your lap and lift up his tongue. Then cut through that nerve ligament from side to side until the tongue is released from its restraint.
Quod si in eo fuerit quiddam duriciei et nodationis, et fuerit illud ex consolidatione uulneris: tunc proiice in illud uncinum, et finde illud per latitudinem, donec incidas ligamentum, et soluatur nodatio.	But if there is something hard and knotted in it, and this is from the healing of a wound, then insert a hook into it and cut through it from side to side until you have cut through the ligament and released the knot.
Et caue, ne sit fissura in profundo carnis, et incidas arteriam illic, et accidat fluxus sanguinis.	And beware lest there be a deep cut in the flesh and you cut into an artery there, causing blood to flow freely.
Deinde colluatur in uestigio incisionis cum aqua rosata, aut cum aceto, aut aqua frigida.	Then rinse the wound with rosewater or vinegar or cold water at the site of the incision.
Deinde pone sub lingua licinium ex lino, quod teneat infirmus in omni nocte: ut non consolidetur secundo.	Then place under the tongue a linen pad which the patient should hold in place every night so that it does not heal again.
Si autem accidat fluxus sanguinis, tunc pone super locum zegi tritum.	If however bleeding occurs, then apply powdered myrrh to the spot.
Si uero uincit te sanguis, tunc cauteriza locum cum cauterio lentiginoso, quod conuenit ad illud: deinde cura ipsum cum reliqua curatione, donec sanetur.	But if blood overcomes you, then cauterize the spot with a lentigo cautery which is suitable for it; then treat it with the rest of the treatment until it heals.
¶ De extractione Ranulae quae fit sub lingua.	On the Extraction of a Cyst that Forms Under the Tongue.
Caput XXXV.	Chapter 35.
Quandoque accidit sub lingua apostema quod assimilatur Ranae paruae, prohibens linguam ab operatione sua naturali: et fortasse magnificatur adeo, donec implet os.	It sometimes happens that a swelling resembling a small frog forms under the tongue, preventing it from functioning naturally, and perhaps grows so large that it fills the mouth.
Et operatio in eo est, ut aperias os infirmi coram sole: et considera apostema.	And the operation is this: open the patient's mouth before the sun and examine the cyst.
Si ergo uides ipsum fusci coloris, aut nigri, durum, cui non inuenit infirmus sensum: tunc non tangas ipsum, quoniam est cancer.	But if you see that it is of a dark or black color, hard, and insensitive to the patient, then do not touch it, for it is cancer.
Et si est decliue ad albedinem, in quo est humiditas, tunc proiice in ipsum uncinum, et incide ipsum cum spatumili subtili, et libera ipsum ab omni parte.	But if it leans towards whiteness and has moisture, then insert a hook into it, cut it open with a fine scalpel, and free it from all sides.
Quod si uincit te sanguis in hora tuae operationis, tunc pone super ipsum zegi tritum, donec abscindatur sanguis: deinde redi ad operationem tuam, donec extrahas ipsum cum complemento eius.	But if bleeding defeats you during your operation, then apply powdered myrrh to it until the bleeding stops; then return to your operation until you remove it along with its base.
Deinde colluatur cum aceto et sale: et cura ipsum reliqua curatione conueniente ad illud, donec sanetur.	Then dress it with vinegar and salt, and treat it with appropriate care until it heals.
¶ De curatione apostematis duarum Amigdalarum.	On the Treatment of Swellings of the Two tonsils.
Caput XXXVI.	Chapter 36.
Quandoque accidunt inter guttur godad, id est, glandulae, quae similantur algodad, quae accidunt deforis: et nominantur duae Amigdalae: quas quando curas cum eo quod diximus in diuisione, et non sanantur, tunc considera.	Sometimes swellings occur between the throat, that is, the glands which resemble almonds and appear externally, known as the two tonsils. When you treat them with what we have said in division and they do not heal, then examine them.
Si ergo est apostema durum, fusci coloris, pauci sensus: tunc non tangas ipsum cum ferro.	If however it is hard, of a dark color, and insensitive, then do not touch it with an iron.
Et si est rubei coloris, et radix eius est grossa: tunc non tangas ipsum etiam cum ferro, timens fluxum sanguinis, imo dimitte ipsum, donec maturetur.	But if it is red in color and its root is thick, then do not touch it even with an iron, fearing bleeding, indeed leave it until it ripens.
Et tunc aut perforabis ipsum: aut rumpetur per se.	And then you will pierce it; or it will burst by itself.
Et si est albi coloris, rotundum, et est radix eius subtilis: tunc oportet ipsum incidi.	If it is white in color, round, and its root is thin, then it is necessary to cut into it.
